m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58328113776487,38.5989237460892,0.0016343824440880894,0.0172769907684156
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.588163576256,38.59016778170814,0.006516820935217993,0.0085210263873563
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58409789969266,38.58408396201827,0.0024511443718751025,0.0024372066974862605
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.580823481859426,38.58575920865941,0.0008232734613571324,0.004112453338628086
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.57754929539954,38.5937990911695,0.004097459921240443,0.01215233584871811
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58270190666406,38.576857901732424,0.0010551513432801585,0.004788853588358677
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.57445878283306,38.551545056345134,0.007187972487720629,0.03010169897564907
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58147916994707,38.582940382062155,0.00016758537370975546,0.0012936267413721225
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.5785360137272,38.59799663165693,0.0031107415935807126,0.01634987633615026
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.580023391819495,38.587253979351246,0.001623363501288111,0.005607224030462987
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.59827269634856,38.56831481602737,0.016625941027776037,0.013331939293415473
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.59519061936815,38.604019068635054,0.01354386404736374,0.022372313314271253
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58262652407421,38.59681938052722,0.000979768753424537,0.01517262520643925
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58196004480557,38.56940661611197,0.00031328948478659413,0.012240139208813616
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58259158543247,38.584592525312985,0.0009448301116847801,0.0029457699922019742
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.583570377814596,38.57038512424472,0.0019236224938126156,0.011261631076060041
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58066441632603,38.57037057694533,0.0009823389947527517,0.011276178375453583
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.578821180799736,38.58687140492095,0.0028255745210472583,0.005224649600165776
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58320543951523,38.61168948464908,0.001558684194449711,0.03004272932829366
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58420249577022,38.559542981791594,0.002555740449437849,0.022103773529188686
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.57562769763712,38.55707606096865,0.0060190576836660625,0.024570694352135547
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.59098964814819,38.57057493798342,0.00934289282740508,0.011071817337359846
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.59754409554254,38.57073525788935,0.015897340221755485,0.010911497431429495
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.58220778697457,38.58918260281339,0.0005610316537882909,0.00753584749260483
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.587106541610915,38.604945004492016,0.005459786290131774,0.023298249171233465
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,38.565339477232286,38.55417870785902,0.016307278088497412,0.02746804746175968
