m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,0.003944372735359934,0.013323880156484336
0.01,0.01,1.9913157536841377,9.337695896052754e-10,38.58164675532078,0.0043175447375525524,0.013937648031673206
0.02,0.02,1.9825554300779649,9.243375735486561e-10,38.58164675532078,0.004142010293387713,0.012944305527796246
0.03,0.03,1.9737176844607265,9.14905557492037e-10,38.58164675532078,0.0040987726545040175,0.013892541609411894
0.04,0.04,1.964801136140164,9.054735414354184e-10,38.58164675532078,0.004264590809340931,0.013956443586887914
0.05,0.05,1.95580436715797,8.960415253787996e-10,38.58164675532078,0.004120200345642729,0.014156282804252527
0.06,0.06,1.9467259209364776,8.866095093221806e-10,38.58164675532078,0.004344758704619878,0.013709187575243404
0.07,0.07,1.9375643008633656,8.771774932655613e-10,38.58164675532078,0.004503056730771704,0.014217687967470511
0.08,0.08,1.9283179688109167,8.677454772089426e-10,38.58164675532078,0.004047064416755205,0.01421132129925087
0.09,0.09,1.918985343586183,8.583134611523236e-10,38.58164675532078,0.00417966866435853,0.014695280913839653
0.1,0.1,1.9095647993081502,8.488814450957049e-10,38.58164675532078,0.004401632892734526,0.015801166957633627
0.11,0.11,1.9000546637077282,8.394494290390861e-10,38.58164675532078,0.004280697189966105,0.013892508141998178
0.12,0.12,1.8904532163461254,8.300174129824673e-10,38.58164675532078,0.004314768551754711,0.014200890190620683
0.13,0.13,1.8807586867468644,8.20585396925848e-10,38.58164675532078,0.004435316761781579,0.013739303288923381
0.14,0.14,1.870969252436353,8.111533808692291e-10,38.58164675532078,0.0047488254501544275,0.013376503356095597
0.15,0.15,1.8610830368876068,8.017213648126102e-10,38.58164675532078,0.004536690654326222,0.013841382870243649
0.16,0.16,1.8510981073612989,7.922893487559912e-10,38.58164675532078,0.004739351445283205,0.014589373176463695
0.17,0.17,1.8410124726379327,7.828573326993724e-10,38.58164675532078,0.004727326408755289,0.014859271019273777
0.18,0.18,1.8308240806344924,7.734253166427533e-10,38.58164675532078,0.0047406558794264985,0.014149982327639834
0.19,0.19,1.820530815898414,7.639933005861343e-10,38.58164675532078,0.0045014563537757795,0.014477801809184114
0.2,0.2,1.8101304969712413,7.545612845295155e-10,38.58164675532078,0.004618945164076848,0.01501790809713195
0.21,0.21,1.7996208736137405,7.451292684728968e-10,38.58164675532078,0.004955752501468993,0.014799750790096312
0.22,0.22,1.7889996238836343,7.356972524162776e-10,38.58164675532078,0.004539113230299009,0.015346587175861843
0.23,0.23,1.7782643510564888,7.262652363596585e-10,38.58164675532078,0.004840927711162465,0.015162314353971099
0.24,0.24,1.7674125803795062,7.168332203030395e-10,38.58164675532078,0.0045428094894325284,0.014971921545850463
0.25,0.25,1.7564417556472545,7.074012042464206e-10,38.58164675532078,0.0045864535043618985,0.014863609192160909
0.26,0.26,1.7453492355874618,6.979691881898017e-10,38.58164675532078,0.005139928446236141,0.014940491429607718
0.27,0.27,1.7341322900441,6.885371721331829e-10,38.58164675532078,0.004750421115044062,0.014117199808531865
0.28,0.28,1.722788095943956,6.791051560765638e-10,38.58164675532078,0.0044957061912433,0.0155128428808965
0.29,0.29,1.711313733031793,6.696731400199447e-10,38.58164675532078,0.00439638925891451,0.015477068702294603
0.3,0.3,1.699706179357965,6.602411239633259e-10,38.58164675532078,0.005079730001293385,0.015247515869266877
0.31,0.31,1.6879623065010638,6.508091079067069e-10,38.58164675532078,0.004826386619633211,0.01605326393372461
0.32,0.32,1.6760788745066837,6.413770918500882e-10,38.58164675532078,0.004909311764085843,0.016002031394803863
0.33,0.33,1.6640525265218362,6.319450757934689e-10,38.58164675532078,0.0050015286766216605,0.01599380153918223
0.34,0.34,1.6518797831027674,6.225130597368502e-10,38.58164675532078,0.005254208244471087,0.015860864275852322
0.35,0.35,1.639557036172042,6.130810436802313e-10,38.58164675532078,0.004997519637413617,0.01591860808980874
0.36,0.36,1.6270805425986328,6.036490276236126e-10,38.58164675532078,0.004952469270373655,0.016470031365741135
0.37,0.37,1.6144464173724318,5.942170115669934e-10,38.58164675532078,0.004935104829124256,0.015972278571341435
0.38,0.38,1.6016506263420462,5.847849955103744e-10,38.58164675532078,0.004750128554597538,0.017287486093438262
0.39,0.39,1.5886889784819094,5.753529794537554e-10,38.58164675532078,0.005454610564862747,0.016640642340573948
0.4,0.4,1.5755571176516256,5.659209633971366e-10,38.58164675532078,0.0053888147370171995,0.01799111400613765
0.41,0.41,1.5622505138069964,5.564889473405177e-10,38.58164675532078,0.005178257802443213,0.017238439846876445
0.42,0.42,1.5487644536183611,5.470569312838987e-10,38.58164675532078,0.005715124175041865,0.016898070964466185
0.43,0.43,1.5350940304476355,5.376249152272798e-10,38.58164675532078,0.005151823355249661,0.01624130352061823
0.44,0.44,1.5212341336307065,5.281928991706608e-10,38.58164675532078,0.005355012946842394,0.017257726635646863
0.45,0.45,1.50717943700661,5.187608831140418e-10,38.58164675532078,0.005549724479309262,0.01791369116563473
0.46,0.46,1.4929243866290494,5.09328867057423e-10,38.58164675532078,0.005587788004547917,0.017585536380515236
0.47,0.47,1.478463187589315,4.99896851000804e-10,38.58164675532078,0.005742000521243071,0.01686845093853515
0.48,0.48,1.4637897898723569,4.904648349441852e-10,38.58164675532078,0.005727108440564123,0.018752767897309085
0.49,0.49,1.4488978731596076,4.810328188875658e-10,38.58164675532078,0.005599640878462239,0.018160888447302015
0.5,0.5,1.433780830483027,4.716008028309471e-10,38.58164675532078,0.0056819362702024276,0.01863652601868641
0.51,0.51,1.4184317506245478,4.6216878677432804e-10,38.58164675532078,0.006175725228915752,0.018881737972380692
0.52,0.52,1.4028433991435674,4.527367707177092e-10,38.58164675532078,0.005975503789567412,0.01946760318799892
0.53,0.53,1.3870081979021314,4.433047546610903e-10,38.58164675532078,0.005823845659418993,0.019196616841309008
0.54,0.54,1.370918202942736,4.3387273860447116e-10,38.58164675532078,0.005312080358246163,0.0186346167378002
0.55,0.55,1.354565080557118,4.2444072254785245e-10,38.58164675532078,0.005878245867436874,0.018758215946900934
0.56,0.56,1.337940081365533,4.1500870649123337e-10,38.58164675532078,0.006046111890930945,0.018484031693533694
0.57,0.57,1.3210340122047022,4.0557669043461455e-10,38.58164675532078,0.006659626311974222,0.019507466926466464
0.58,0.58,1.3038372055982888,3.9614467437799573e-10,38.58164675532078,0.0062994191578257105,0.019130841975323193
0.59,0.59,1.286339486556065,3.8671265832137665e-10,38.58164675532078,0.006329879541297572,0.01952543118992659
0.6,0.6,1.268530136416278,3.772806422647577e-10,38.58164675532078,0.006505997789541752,0.018923101078274614
0.61,0.61,1.2503978534094944,3.678486262081388e-10,38.58164675532078,0.006726854467655357,0.01991318278985524
0.62,0.62,1.231930709580581,3.584166101515198e-10,38.58164675532078,0.0067769388382873785,0.020341700378750688
0.63,0.63,1.2131161036576448,3.4898459409490085e-10,38.58164675532078,0.006594795101786445,0.020053469672407048
0.64,0.64,1.1939407094015329,3.395525780382819e-10,38.58164675532078,0.00683576055345398,0.020935406218762127
0.65,0.65,1.1743904189056604,3.3012056198166295e-10,38.58164675532078,0.007855207043180698,0.021472448346008675
0.66,0.66,1.1544502802419097,3.206885459250441e-10,38.58164675532078,0.007392443555919215,0.021882723317120722
0.67,0.67,1.1341044287622568,3.112565298684251e-10,38.58164675532078,0.006866568925678664,0.02179255072745562
0.68,0.68,1.1133360112654138,3.0182451381180613e-10,38.58164675532078,0.007819364253475087,0.021181047930642138
0.69,0.69,1.092127102120336,2.923924977551873e-10,38.58164675532078,0.007938438756042472,0.023501115458631632
0.7,0.7,1.0704586103006692,2.8296048169856833e-10,38.58164675532078,0.007659501884090432,0.023862068712605575
0.71,0.71,1.0483101761220233,2.7352846564194936e-10,38.58164675532078,0.008391597018745799,0.02321640225626622
0.72,0.72,1.0256600562823308,2.640964495853304e-10,38.58164675532078,0.008296651871415747,0.02528463808922298
0.73,0.73,1.0024849955784345,2.546644335287115e-10,38.58164675532078,0.007583852277582195,0.024220579067686685
0.74,0.74,0.9787600834017757,2.452324174720926e-10,38.58164675532078,0.008476530206143607,0.026685420542572287
0.75,0.75,0.9544585927932409,2.3580040141547356e-10,38.58164675532078,0.009263624090651519,0.024840572776942637
0.76,0.76,0.9295517994500337,2.263683853588546e-10,38.58164675532078,0.008454127149968613,0.025416688045329535
0.77,0.77,0.9040087776111622,2.1693636930223558e-10,38.58164675532078,0.008623545936538192,0.02680385010340609
0.78,0.78,0.8777961691839321,2.0750435324561668e-10,38.58164675532078,0.009751798742408823,0.029595650119496598
0.79,0.79,0.8508779217882115,1.980723371889978e-10,38.58164675532078,0.009342315537459869,0.027038547329930964
0.8,0.8,0.823214990557691,1.8864032113237884e-10,38.58164675532078,0.010085880260293138,0.030681997444526543
0.81,0.81,0.7947649975091858,1.7920830507575986e-10,38.58164675532078,0.01002674072928697,0.02886121902427183
0.82,0.82,0.7654818410218275,1.69776289019141e-10,38.58164675532078,0.010252242486426554,0.03145568065252513
0.83,0.83,0.7353152463923233,1.603442729625221e-10,38.58164675532078,0.010698449819341533,0.03269813520715067
0.84,0.84,0.7042102464645194,1.5091225690590314e-10,38.58164675532078,0.011497660534445784,0.03478939783315141
0.85,0.85,0.6721065788577636,1.4148024084928417e-10,38.58164675532078,0.012780057335068732,0.03404249526749051
0.86,0.86,0.6389379831880825,1.320482247926652e-10,38.58164675532078,0.013046316268862157,0.037122361216790384
0.87,0.87,0.6046313776858756,1.226162087360463e-10,38.58164675532078,0.013571830027189279,0.038252745825773544
0.88,0.88,0.5691058894886825,1.131841926794273e-10,38.58164675532078,0.01572615855438761,0.03949182828535341
0.89,0.89,0.5322717062509686,1.0375217662280834e-10,38.58164675532078,0.016287313520527747,0.046261538524232065
0.9,0.9,0.4940287080441789,9.432016056618942e-11,38.58164675532078,0.0167277884650412,0.043725457200667436
0.91,0.91,0.4542648270914779,8.488814450957043e-11,38.58164675532078,0.018985075075717433,0.04783052484897813
