m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.5813187633328,38.58671989153108,0.0003279919879801696,0.005073136210299367
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.589723814796315,38.5929438917036,0.008077059475532167,0.011297136382815154
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.579874848476244,38.58953142063261,0.001771906844538762,0.007884665311827632
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58425935819835,38.60623329094512,0.002612602877569259,0.024586535624337102
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.59301087257662,38.57466066840887,0.011364117255837414,0.006986086911915379
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.582828154634235,38.58635240734561,0.0011813993134524026,0.004705652024824758
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.59660209850925,38.58240120186169,0.014955343188468362,0.0007544465409097256
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57960987591936,38.56587814507937,0.002036879401423164,0.01576861024141607
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57812671983146,38.57238384673387,0.0035200354893234476,0.009262908586912033
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.585483576195536,38.59107477700971,0.0038368208747527888,0.00942802168892598
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58377116787888,38.55581252906751,0.002124412558096367,0.025834226253273584
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58003747127362,38.57372236482996,0.0016092840471628733,0.007924390490821054
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58440671230687,38.57504939056233,0.0027599569860896622,0.006597364758455626
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.591033371217044,38.63084185641084,0.009386615896261219,0.049195101090056426
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57120294782817,38.565303342143956,0.010443807492613644,0.01634341317682697
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58344560059224,38.618616841625524,0.0017988452714590153,0.0369700863047413
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.580929623658314,38.606998273510435,0.0007171316624692281,0.025351518189651756
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58293912392859,38.56620289909742,0.001292368607806793,0.015443856223363639
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58161255775242,38.56104810467097,3.4197568361094e-05,0.020598650649816364
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.585335202517996,38.5814503881957,0.0036884471972129518,0.00019636712508486198
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57712791675599,38.574558248851936,0.004518838564791849,0.007088506468846845
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57147767725887,38.60115564371246,0.010169078061913694,0.01950888839167675
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58158280165444,38.59313029940738,6.395366634137645e-05,0.011483544086594577
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58502527165807,38.584686059981756,0.0033785163372854754,0.00303930466097313
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.584918092515764,38.56583923826816,0.003271337194981072,0.015807517052621733
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.586539366206814,38.58132608424731,0.004892610886031434,0.00032067107347444335
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.588118885043144,38.59990686173821,0.0064721297223613306,0.018260106417429256
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57680014074805,38.59313702675124,0.004846614572734609,0.011490271430460552
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.581921627600714,38.56635211040758,0.0002748722799310599,0.015294644913204536
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58095517605792,38.578456817508304,0.0006915792628632289,0.0031899378124791156
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58106999325462,38.57084411327956,0.0005767620661600859,0.010802642041220167
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.5877219744271,38.56895101715782,0.006075219106314478,0.012695738162960879
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.56966142889839,38.61954857830838,0.011985326422390585,0.03790182298759959
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57687060444001,38.57953221909899,0.004776150880772434,0.002114536221789365
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58525766814848,38.61172565332703,0.003610912827696211,0.03007889800624497
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57898285904889,38.56629202980462,0.0026638962718905645,0.015354725516161238
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57889382578172,38.57271557396812,0.0027529295390635866,0.008931181352664908
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58528426544962,38.57759470122225,0.003637510128839949,0.004052054098529823
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.582487661472136,38.61329696479457,0.0008409061513532379,0.03165020947378849
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58811320022825,38.57568703221939,0.0064664449074669506,0.0059597231013910346
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58144495343554,38.57448094885955,0.0002018018852396608,0.007165806461230773
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.588903931590885,38.60180616789108,0.007257176270101695,0.020159412570293966
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.586744814178196,38.593272903117615,0.0050980588574134345,0.011626147796832242
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57965398155655,38.57734582664116,0.001992773764236233,0.004300928679626281
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58149360139321,38.5679800308268,0.00015315392757031532,0.013666724493980098
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.587396495879474,38.57741492579657,0.005749740558691485,0.004231829524215414
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.579231696929604,38.57543146267101,0.002415058391179059,0.0062152926497702765
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58648039916974,38.582351146096364,0.004833643848954239,0.0007043907755814871
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57963941781014,38.58672758660272,0.002007337510640639,0.005080831281937037
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58223682829854,38.61629140543503,0.0005900729777579272,0.03464465011424522
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57917283134466,38.565061958302906,0.0024739239761260023,0.016584797017877406
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.5766620419062,38.577707759832556,0.004984713414586395,0.0039389954882267375
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.576328926962184,38.61343022164357,0.005317828358599286,0.031783466322785614
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57602314553889,38.58837713994592,0.005623609781892469,0.00673038462513631
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58194005309364,38.614993224047765,0.00029329777285624914,0.03334646872698244
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57060271970302,38.611943016454504,0.011044035617764791,0.030296261133720748
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58063737370159,38.59680450291091,0.0010093816191911742,0.015157747590130555
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58215297075363,38.60416723710453,0.0005062154328498991,0.022520481783743662
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58005380780659,38.609873106036474,0.0015929475141902572,0.02822635071569124
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.589674743859284,38.57327113351249,0.008027988538501063,0.0083756218082911
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.5700404127285,38.56820030076228,0.011606342592280328,0.013446454558504684
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58391739398222,38.610513184530326,0.002270638661435953,0.0288664292095433
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.59097557405696,38.591836806660396,0.0093288187361793,0.010190051339613149
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58347879001994,38.58605295981045,0.0018320346991558267,0.004406204489669108
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57760360319624,38.57509980493103,0.004043152124545202,0.006546950389754613
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.598751286455034,38.58452872176979,0.017104531134251033,0.002881966449010065
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58270597268975,38.55231712231168,0.0010592173689687456,0.029329633009105294
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58220266749808,38.55532600407526,0.0005559121772975573,0.026320751245521024
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58085992998591,38.58751764515762,0.0007868253348704002,0.005870889836835147
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.590015217149904,38.5851937118151,0.008368461829121543,0.003546956494318465
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.57536072258234,38.5624701134136,0.006286032738444192,0.019176641907179715
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58026178951955,38.58229552651858,0.0013849658012361488,0.0006487711977953836
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58197032918317,38.588946526551,0.0003235738623885709,0.007299771230215413
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.58013823321805,38.601675378442216,0.0015085221027320017,0.020028623121433498
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.56659144542117,38.58475692889759,0.015055309899615565,0.00311017357680754
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2,9.432016056618942e-10,38.581913476953524,38.5669474276487,0.00026672163274099603,0.014699327672083484
