m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,0.0038844417486956643,0.013997974136384954
0.01,0.01,2.0,9.432016056618942e-10,38.58164675532078,0.007348582606926584,0.01536155991424549
0.02,0.02,2.0,9.432016056618942e-10,38.58164675532078,0.00954071952062749,0.016014159209157795
0.03,0.03,2.0,9.432016056618942e-10,38.58164675532078,0.011930830711595163,0.016964969625667934
0.04,0.04,2.0,9.432016056618942e-10,38.58164675532078,0.012683762872203247,0.018431196825304936
0.05,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.015209142930906467,0.020500551807320036
0.06,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.015356996428670982,0.02039124156752658
0.07,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.017468249416876504,0.021937996986791716
0.08,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.018844171130235593,0.022485336161846434
0.09,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.019565509190457662,0.023766535160697686
0.1,0.1,2.0,9.432016056618942e-10,38.58164675532078,0.0207641279444302,0.025554249855845455
0.11,0.11,2.0,9.432016056618942e-10,38.58164675532078,0.022130634527449514,0.026999227922808473
0.12,0.12,2.0,9.432016056618942e-10,38.58164675532078,0.02400890117278051,0.028129964178695815
0.13,0.13,2.0,9.432016056618942e-10,38.58164675532078,0.023276452585158994,0.027182478771721436
0.14,0.14,2.0,9.432016056618942e-10,38.58164675532078,0.024706020983839123,0.027894828080194473
0.15,0.15,2.0,9.432016056618942e-10,38.58164675532078,0.026994878960326686,0.03057878725423201
0.16,0.16,2.0,9.432016056618942e-10,38.58164675532078,0.027209861026954427,0.030438109661733433
0.17,0.17,2.0,9.432016056618942e-10,38.58164675532078,0.02958854476637242,0.03157361018760373
0.18,0.18,2.0,9.432016056618942e-10,38.58164675532078,0.028192831489242464,0.03281244521584229
0.19,0.19,2.0,9.432016056618942e-10,38.58164675532078,0.02830108964072488,0.032172042675650575
0.2,0.2,2.0,9.432016056618942e-10,38.58164675532078,0.029078932173409597,0.033703218667225796
0.21,0.21,2.0,9.432016056618942e-10,38.58164675532078,0.032102724612437926,0.03630764508753053
0.22,0.22,2.0,9.432016056618942e-10,38.58164675532078,0.032239582506220554,0.03587626867332031
0.23,0.23,2.0,9.432016056618942e-10,38.58164675532078,0.0329273070463214,0.03653582958429932
0.24,0.24,2.0,9.432016056618942e-10,38.58164675532078,0.03475523601689014,0.03871942426197894
0.25,0.25,2.0,9.432016056618942e-10,38.58164675532078,0.0348885282936466,0.03942160494194101
0.26,0.26,2.0,9.432016056618942e-10,38.58164675532078,0.035934112567837656,0.04050230511579556
0.27,0.27,2.0,9.432016056618942e-10,38.58164675532078,0.034949214326468435,0.03891438544278273
0.28,0.28,2.0,9.432016056618942e-10,38.58164675532078,0.03665313473889742,0.04001560015969664
0.29,0.29,2.0,9.432016056618942e-10,38.58164675532078,0.040366859174510904,0.044879726294587856
0.3,0.3,2.0,9.432016056618942e-10,38.58164675532078,0.0399050672796612,0.04478458078624547
0.31,0.31,2.0,9.432016056618942e-10,38.58164675532078,0.04048476586806091,0.044506484911199
0.32,0.32,2.0,9.432016056618942e-10,38.58164675532078,0.040962949439288084,0.045081691894129944
0.33,0.33,2.0,9.432016056618942e-10,38.58164675532078,0.04521046919167324,0.04896054408694414
0.34,0.34,2.0,9.432016056618942e-10,38.58164675532078,0.04241984950880534,0.04758106618926078
0.35,0.35,2.0,9.432016056618942e-10,38.58164675532078,0.046769742249406304,0.05167794132157558
0.36,0.36,2.0,9.432016056618942e-10,38.58164675532078,0.04280616995348258,0.048273531899873615
0.37,0.37,2.0,9.432016056618942e-10,38.58164675532078,0.047403502540496974,0.05098104318627452
0.38,0.38,2.0,9.432016056618942e-10,38.58164675532078,0.04528287809445258,0.051650185111696376
0.39,0.39,2.0,9.432016056618942e-10,38.58164675532078,0.04885558151319343,0.054396416572758566
0.4,0.4,2.0,9.432016056618942e-10,38.58164675532078,0.05059658607182601,0.05779028364733371
0.41,0.41,2.0,9.432016056618942e-10,38.58164675532078,0.049899477988376406,0.054168593922757066
0.42,0.42,2.0,9.432016056618942e-10,38.58164675532078,0.0513851523462161,0.05516281548247828
0.43,0.43,2.0,9.432016056618942e-10,38.58164675532078,0.05268580892224944,0.0554431711357045
0.44,0.44,2.0,9.432016056618942e-10,38.58164675532078,0.053200381440801706,0.057859443229946704
0.45,0.45,2.0,9.432016056618942e-10,38.58164675532078,0.05444637036758803,0.05929308271021569
0.46,0.46,2.0,9.432016056618942e-10,38.58164675532078,0.057296189111745534,0.060287006194359165
0.47,0.47,2.0,9.432016056618942e-10,38.58164675532078,0.05779619325640503,0.06406523154591011
0.48,0.48,2.0,9.432016056618942e-10,38.58164675532078,0.05587955285353448,0.060490821714791664
0.49,0.49,2.0,9.432016056618942e-10,38.58164675532078,0.05564697541297994,0.06245706435689199
0.5,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.06434742008239212,0.07062467491368336
0.51,0.51,2.0,9.432016056618942e-10,38.58164675532078,0.06298987612669174,0.06893522835122491
0.52,0.52,2.0,9.432016056618942e-10,38.58164675532078,0.06071260612933574,0.0672840040707141
0.53,0.53,2.0,9.432016056618942e-10,38.58164675532078,0.06695986189067012,0.07062306489250576
0.54,0.54,2.0,9.432016056618942e-10,38.58164675532078,0.06318734980767596,0.07112059842341557
0.55,0.55,2.0,9.432016056618942e-10,38.58164675532078,0.0688853676971368,0.0726717958568441
0.56,0.56,2.0,9.432016056618942e-10,38.58164675532078,0.06966338568230487,0.07603765412702318
0.57,0.57,2.0,9.432016056618942e-10,38.58164675532078,0.06936773792239431,0.07512087281831945
0.58,0.58,2.0,9.432016056618942e-10,38.58164675532078,0.06922783620206478,0.07552686669664115
0.59,0.59,2.0,9.432016056618942e-10,38.58164675532078,0.07231126864209246,0.07697302457699655
0.6,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.07593369818573004,0.08071498218097976
0.61,0.61,2.0,9.432016056618942e-10,38.58164675532078,0.0841033909870702,0.09101800359581932
0.62,0.62,2.0,9.432016056618942e-10,38.58164675532078,0.07733786201360683,0.085049619395625
0.63,0.63,2.0,9.432016056618942e-10,38.58164675532078,0.07679036175096496,0.08497495005169457
0.64,0.64,2.0,9.432016056618942e-10,38.58164675532078,0.08376206152185639,0.09452648357818041
0.65,0.65,2.0,9.432016056618942e-10,38.58164675532078,0.07745901378080572,0.08983584091496805
0.66,0.66,2.0,9.432016056618942e-10,38.58164675532078,0.07900587681462809,0.09173770975340718
0.67,0.67,2.0,9.432016056618942e-10,38.58164675532078,0.08601406921115926,0.0927966329493185
0.68,0.68,2.0,9.432016056618942e-10,38.58164675532078,0.08554332421467936,0.09655874393475487
0.69,0.69,2.0,9.432016056618942e-10,38.58164675532078,0.09169927154843344,0.10032509225420828
0.7,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.09174841117241658,0.1011974751755993
0.71,0.71,2.0,9.432016056618942e-10,38.58164675532078,0.0964714176913714,0.10289531861212814
0.72,0.72,2.0,9.432016056618942e-10,38.58164675532078,0.10124505358851706,0.11089696084210235
0.73,0.73,2.0,9.432016056618942e-10,38.58164675532078,0.09779785370261612,0.10398139740132488
0.74,0.74,2.0,9.432016056618942e-10,38.58164675532078,0.10887910123342295,0.11988516583725317
0.75,0.75,2.0,9.432016056618942e-10,38.58164675532078,0.1087420779061293,0.11596397293211315
0.76,0.76,2.0,9.432016056618942e-10,38.58164675532078,0.10249965880316053,0.11417718445164476
0.77,0.77,2.0,9.432016056618942e-10,38.58164675532078,0.1110655266345782,0.12900792559290528
0.78,0.78,2.0,9.432016056618942e-10,38.58164675532078,0.11473826875068387,0.12907472647724985
0.79,0.79,2.0,9.432016056618942e-10,38.58164675532078,0.1227326417036186,0.1377969643557338
0.8,0.8,2.0,9.432016056618942e-10,38.58164675532078,0.12712793429280939,0.14433877666223066
0.81,0.81,2.0,9.432016056618942e-10,38.58164675532078,0.13411134070138492,0.14836998377025792
0.82,0.82,2.0,9.432016056618942e-10,38.58164675532078,0.13354758564202127,0.15037732400067394
0.83,0.83,2.0,9.432016056618942e-10,38.58164675532078,0.13354371261505987,0.15185646019958893
