m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.583134961181536,38.57419691155578,0.0014882058607526005,0.007449843765002129
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58179578345563,38.57357460789331,0.00014902813484951594,0.008072147427469645
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58122032437466,38.57573048346299,0.00042643094612060395,0.00591627185779231
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58638041099633,38.61588003666672,0.004733655675543957,0.03423328134593362
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.5813033785264,38.59123607089678,0.0003433767943832322,0.009589315575993851
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.59147317113072,38.588538572455676,0.009826415809939704,0.006891817134892619
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.590821620948844,38.56135761737097,0.009174865628061468,0.0202891379498098
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58295688080196,38.548630974477575,0.0013101254811758167,0.033015780843207665
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58271186217355,38.57756130586772,0.0010651068527636198,0.004085449453064882
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58256789538273,38.57025109509504,0.0009211400619477672,0.011395660225744564
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58098721846874,38.583568821605,0.0006595368520407874,0.0019220662842158731
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57992144770443,38.599243449054136,0.0017253076163541436,0.01759669373335271
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57885078553868,38.5793704160561,0.002795969782106056,0.002276339264682292
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.5844268897932,38.572276683169505,0.002780134472416762,0.009370072151277498
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58042455552921,38.584858309437585,0.0012221997915702332,0.0032115541168025175
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.583538516061736,38.55525011956971,0.0018917607409534298,0.026396635751069653
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57943702428797,38.568324132746746,0.0022097310328135222,0.013322622574037268
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58298790113098,38.56982776231574,0.0013411458101941776,0.01181899300504341
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.582620766387386,38.6024600155533,0.0009740110666029977,0.020813260232515063
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.582343588594895,38.59829075151304,0.0006968332741124073,0.01664399619225776
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.581741780399724,38.6022665466828,9.502507894154633e-05,0.02061979136201586
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.585208260777,38.56683145084318,0.0035615054562185833,0.014815304477600932
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58113014270155,38.589462365677505,0.0005166126192364118,0.007815610356722402
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.59081074012618,38.57897713589194,0.009163984805397263,0.0026696194288433617
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57585177469598,38.56342384837692,0.005794980624806101,0.018222906943861972
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.583329070997095,38.59547400083666,0.0016823156763123848,0.013827245515876996
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.59080788481592,38.600371404909836,0.009161129495140585,0.0187246495890534
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57818766906611,38.57083072303022,0.0034590862546721723,0.010816032290563271
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57689619679279,38.5598457142277,0.004750558527994997,0.02180104109308445
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.582909280498086,38.63372904733995,0.0012625251773030755,0.05208229201916481
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58709203909647,38.59477768876171,0.005445283775685539,0.01313093344092664
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.584821322696854,38.58205130640301,0.0031745673760710247,0.00040455108222658964
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57539476446836,38.59037345192373,0.006251990852419453,0.008726696602948891
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.578933130897106,38.58639109489468,0.0027136244236771745,0.004744339573896639
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.5780548332152,38.58978231720935,0.0035919221055848993,0.008135561888565235
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57618177262694,38.585238552290924,0.0054649826938444335,0.0035917969701415586
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58515417690458,38.57307219873879,0.0035074215837980205,0.008574556581990578
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58070010150397,38.57195004551476,0.0009466538168112493,0.009696709806021886
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57265273809489,38.56023776586753,0.00899401722589488,0.02140898945325631
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57962711786119,38.55062960699527,0.0020196374595897737,0.03101714832551039
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.586075590977316,38.60340274000311,0.004428835656533181,0.0217559846823292
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58432871102612,38.57874093604302,0.00268195570533436,0.00290581927776401
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.579855905679146,38.566886473541956,0.0017908496416367825,0.014760281778826823
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58224863605413,38.590764862639965,0.0006018807333489917,0.009118107319181945
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58088675340403,38.57586354845631,0.0007600019167526284,0.005783206864471424
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58853420267835,38.57856527686413,0.006887447357570409,0.0030814784566501885
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.583085536172426,38.573307447360826,0.0014387808516431733,0.00833930795995741
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58837311568317,38.55612167412019,0.006726360362385719,0.02552508120059116
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58060840573226,38.59141252664417,0.0010383495885264438,0.009765771323387185
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58206283241819,38.58888180104192,0.00041607709740532073,0.007235045721138533
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.575796758818996,38.593727076888,0.005849996501787302,0.012080321567218277
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57720698053529,38.56941046288737,0.0044397747854958425,0.012236292433414064
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57922466818489,38.566155773335225,0.0024220871358906493,0.01549098198555754
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.5969281982351,38.565517531395066,0.01528144291431488,0.016129223925716474
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57289054619849,38.563603870642126,0.008756209122296355,0.01804288467865689
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.5708022476901,38.59451124636498,0.01084450763068645,0.012864491044197734
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57714649743639,38.56914969118399,0.004500257884394898,0.012497064136795188
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.577863941009,38.55358782832583,0.003782814311783511,0.028058926994951605
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58535051886737,38.5703768937978,0.0037037635465893004,0.011269861522983149
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.580434618101584,38.603970329764195,0.0012121372191984392,0.022323574443412042
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57575968370575,38.5548480237262,0.005887071615035211,0.026798731594581682
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.578650883974746,38.57702228547,0.0029958713460374042,0.00462446985078202
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58004556454725,38.57053810049552,0.0016011907735347108,0.011108654825264352
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.579335437404836,38.57124161497309,0.0023113179159466313,0.01040514034769302
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.579752397477115,38.591160887936,0.001894357843667649,0.009514132615215942
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58617315740647,38.596133951830716,0.004526402085687664,0.014487196509932687
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.582474153800995,38.59086492834598,0.0008273984802116274,0.009218173025196563
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58678551847536,38.591168181296304,0.005138763154576509,0.00952142597552097
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57791699525956,38.56563257808212,0.0037297600612262727,0.0160141772386595
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58403532217966,38.59252820473656,0.0023885668588761177,0.010881449415776956
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.57936465277925,38.593712803241836,0.00228210254153538,0.012066047921052814
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,2.0,9.432016056618942e-10,38.58232583743463,38.56314786499264,0.0006790821138480396,0.018498890328146445
