m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,1.364200815741497e-05,0.00011388158531127681
0.01,0.01,2.0086960664121003,9.527288946079735e-10,38.58164675532078,3.291983064377702e-05,0.00012987740811744785
0.02,0.02,2.0174923319015567,9.624506180223408e-10,38.58164675532078,5.4305164527587764e-05,0.00014448511070009053
0.03,0.03,2.0263908845731886,9.723727893421588e-10,38.58164675532078,8.511160795396452e-05,0.00019662775706443962
0.04,0.04,2.035393877584003,9.825016725644732e-10,38.58164675532078,0.00010641587675886625,0.00023535648485306838
0.05,0.05,2.044503531868755,9.92843795433573e-10,38.58164675532078,0.00013305227305545527,0.0002665603924108837
0.06,0.06,2.0537221390097273,1.0034059634701004e-09,38.58164675532078,0.0001523435676261404,0.0002490082108497994
0.07,0.07,2.0630520642599994,1.0141952749052624e-09,38.58164675532078,0.000176336191465993,0.00028052803690555706
0.08,0.08,2.0724957497301446,1.0252191365890155e-09,38.58164675532078,0.00021345482474152328,0.00031818797148657813
0.09,0.09,2.0820557177490753,1.0364852809471368e-09,38.58164675532078,0.0001950843800496375,0.00027210899661931395
0.1,0.1,2.091734574410594,1.0480017840687711e-09,38.58164675532078,0.0002781817951617906,0.00042486454710130935
0.11,0.11,2.101535013318088,1.0597770850133643e-09,38.58164675532078,0.00028309052561830496,0.0003972655400299776
0.12,0.12,2.1114598195408156,1.071820006433971e-09,38.58164675532078,0.0003304911204606595,0.0004301638178630923
0.13,0.13,2.121511873796272,1.084139776622867e-09,38.58164675532078,0.00029263636688357694,0.0004236565995387087
0.14,0.14,2.1316941568743455,1.096746053095226e-09,38.58164675532078,0.0003888810329040051,0.0005013731914354768
0.15,0.15,2.142009754320214,1.1096489478375227e-09,38.58164675532078,0.0003750237250583462,0.0005159542679639782
0.16,0.16,2.152461861394364,1.1228590543593976e-09,38.58164675532078,0.00043261151878290326,0.0005335761032142169
