m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,38.58164675532078,0.0002974686924701996,0.00018374827643050096,0.00011021423046279986,0.000689118536324201,-0.00018154083558560028,0.00012446520301779944
0.01,0.01,38.58164675532078,-0.0033808750321209996,-0.0016437472926285005,-0.0034489690908745003,-0.0012589683849540002,-0.0030687950646819994,-0.0015760983589293998
0.02,0.02,38.58164675532078,-0.005195919480241,-0.0015277893159313018,-0.005752038180263,-0.0029486674785446,-0.0053345878625863,-0.002429710515788301
0.03,0.03,38.58164675532078,-0.0079758235981276,-0.0036480764714087992,-0.007467551631203999,-0.004383649439468699,-0.0080171488624011,-0.0026608875132821987
0.04,0.04,38.58164675532078,-0.0087786154819129,-0.0038270657567120014,-0.0089293295518696,-0.0030128293458917006,-0.008329294816575,-0.004109903492060802
0.05,0.05,38.58164675532078,-0.011300124390021201,-0.006795420380358002,-0.010998854760347,-0.005937770930812502,-0.0109132708562768,-0.006389572858163802
0.06,0.06,38.58164675532078,-0.0110156536991017,-0.006821626863026099,-0.0111475329897792,-0.0067895038206085,-0.010937805503882,-0.006786871778207498
0.07,0.07,38.58164675532078,-0.0135049406714348,-0.008750761096336802,-0.012862558413580801,-0.008524458557281102,-0.0131964744260768,-0.008206567244410802
0.08,0.08,38.58164675532078,-0.0147944469593515,-0.0089572740463424,-0.0155530358369982,-0.010227003012676001,-0.014377473502667298,-0.0085839941813007
0.09,0.09,38.58164675532078,-0.0153952503397186,-0.0104344378175586,-0.015426766653535099,-0.009614298752316302,-0.015221868498415298,-0.0094837552443271
0.1,0.1,38.58164675532078,-0.0164245439225645,-0.0120816960566578,-0.016314535886417698,-0.0116174089244377,-0.016377603489505,-0.011341771949879799
0.11,0.11,38.58164675532078,-0.0178772598482017,-0.0126137046128302,-0.0183008302172495,-0.0124375389774911,-0.017726770263067,-0.0130357751142917
0.12,0.12,38.58164675532078,-0.0200932713151513,-0.014076485376458501,-0.0199193167765819,-0.0140614522691504,-0.0194353301760596,-0.013047502212327002
0.13,0.13,38.58164675532078,-0.0191702913135463,-0.014424116359000002,-0.0194157593598738,-0.0140832542187219,-0.0186313654356021,-0.011993470731897502
0.14,0.14,38.58164675532078,-0.020708915018412,-0.0142765275698503,-0.0206390706810879,-0.0150460079082004,-0.020420568173718,-0.0139595446433474
0.15,0.15,38.58164675532078,-0.0226143397611104,-0.0171823894239314,-0.0227235258773694,-0.0163576496915237,-0.0223037103005547,-0.0162960897289647
0.16,0.16,38.58164675532078,-0.023155664239236297,-0.016832341993338898,-0.0228537003639916,-0.017227337199482398,-0.022612624005638498,-0.016218362652196498
0.17,0.17,38.58164675532078,-0.0252754982366888,-0.0181300687291628,-0.0249021550017417,-0.0186266151934142,-0.0253316927706446,-0.017714262461952998
0.18,0.18,38.58164675532078,-0.023884153738483203,-0.0194922646999168,-0.024220794167975,-0.0183181033432665,-0.023445141538614003,-0.018096791602648002
0.19,0.19,38.58164675532078,-0.024418211870846203,-0.0192453017874524,-0.024312334317096597,-0.0194060586463157,-0.0237405098000171,-0.0169053133290223
0.2,0.2,38.58164675532078,-0.0248182294269823,-0.020469436359765697,-0.0248200769945291,-0.0199450961502136,-0.0244774607964542,-0.0189822818313201
0.21,0.21,38.58164675532078,-0.027846588218852098,-0.022883145694874204,-0.027619237593151897,-0.022565280343677604,-0.0275830942303191,-0.021614233104703104
0.22,0.22,38.58164675532078,-0.0283293328456334,-0.0222407318909485,-0.027791345163474198,-0.0206044950554418,-0.0274688900279932,-0.021149273212079798
0.23,0.23,38.58164675532078,-0.0289116794282155,-0.023119726234593,-0.0293108850614522,-0.023232363077653997,-0.0282626160982156,-0.021522140928292605
0.24,0.24,38.58164675532078,-0.030327437694363604,-0.0253619583077442,-0.0304821193627389,-0.024814169379115698,-0.0302167433354522,-0.0240777061404618
0.25,0.25,38.58164675532078,-0.030775811852335,-0.025798279116813205,-0.0305960128612731,-0.023567535164930105,-0.030070483031464403,-0.025002349459987305
0.26,0.26,38.58164675532078,-0.0316021852648074,-0.027170951293912303,-0.031089196445754596,-0.024751419958188005,-0.0315211114386738,-0.0253882175860606
0.27,0.27,38.58164675532078,-0.0307571757129249,-0.0259773043238904,-0.0306477685502615,-0.024241944951075296,-0.0301574605371898,-0.0235873423612072
0.28,0.28,38.58164675532078,-0.0323543832958482,-0.0263911255282838,-0.032132971345869905,-0.027233778274793702,-0.0318693491456504,-0.024172101027311002
0.29,0.29,38.58164675532078,-0.036304014107581495,-0.0312315941027815,-0.0358919326736104,-0.028054415049857798,-0.035527424347714394,-0.029267533218654503
0.3,0.3,38.58164675532078,-0.0356854752173984,-0.030712572248755,-0.0352870134901362,-0.0279257662830821,-0.0352688851225369,-0.029499699134308298
0.31,0.31,38.58164675532078,-0.0369130061975589,-0.0308593231267712,-0.036927925174781495,-0.0300433994097273,-0.0356323491222249,-0.028308269837368196
0.32,0.32,38.58164675532078,-0.0367439046559334,-0.031561731307164706,-0.0367917927978707,-0.031008655527760203,-0.036020960070862404,-0.0291632861894878
0.33,0.33,38.58164675532078,-0.041419906093114,-0.0357230482518259,-0.0411367581990271,-0.035690575230617604,-0.0406066545244808,-0.0326624396243217
0.34,0.34,38.58164675532078,-0.038412888892993796,-0.0338589690779644,-0.037871796584493495,-0.030128183893455597,-0.0373149444265062,-0.0313450569145954
0.35,0.35,38.58164675532078,-0.0428221763949901,-0.0381570970563523,-0.0421880931581668,-0.036392723884372195,-0.0418307507880568,-0.0348550180241559
0.36,0.36,38.58164675532078,-0.0386104626581748,-0.0350185199292791,-0.038896922872106596,-0.0328179043253307,-0.037703798131274696,-0.031612813764932204
0.37,0.37,38.58164675532078,-0.0431811378797098,-0.0377632580040142,-0.0428446299070837,-0.0351720846419267,-0.0424277892766893,-0.0337076433578341
0.38,0.38,38.58164675532078,-0.0412167500032473,-0.0374059350753268,-0.041915658100885704,-0.034729321818689804,-0.0400424135868843,-0.0356801737267374
0.39,0.39,38.58164675532078,-0.0448407281744254,-0.041244539976514304,-0.044297357910315804,-0.039902862317955,-0.0434301251018828,-0.037702680844952305
0.4,0.4,38.58164675532078,-0.046509925429861404,-0.0452139849817743,-0.045799696883533005,-0.0417882946784651,-0.0454294116054871,-0.0412604756909047
0.41,0.41,38.58164675532078,-0.045877829191289896,-0.040819604925488695,-0.0455351344109135,-0.0387281650178466,-0.0444634427970177,-0.037432937237389594
0.42,0.42,38.58164675532078,-0.0473864522992685,-0.041491618995199,-0.0480011309809326,-0.040441422609023,-0.0458794652052953,-0.0373342821095321
0.43,0.43,38.58164675532078,-0.048353808282905,-0.0413609922083935,-0.0488985562919071,-0.0413659990552568,-0.047209813668914205,-0.039702707649041304
0.44,0.44,38.58164675532078,-0.0491508120558291,-0.044949396438264,-0.050032298463698,-0.0443035005312761,-0.0476392922695495,-0.0412436794726666
0.45,0.45,38.58164675532078,-0.050336671191000104,-0.045711062415068796,-0.0495353491646763,-0.044179946158176706,-0.048967088379667706,-0.0422662186641197
0.46,0.46,38.58164675532078,-0.0530614707118827,-0.0467055400232103,-0.0527753960701725,-0.046979953057750504,-0.0515197980753961,-0.0419848611373307
0.47,0.47,38.58164675532078,-0.053732397662290494,-0.0505517604549771,-0.0539223096351242,-0.046698973874727906,-0.052011859512991095,-0.045948287900327095
0.48,0.48,38.58164675532078,-0.0518823156168383,-0.046886649028322305,-0.051961348094229,-0.0444704475639006,-0.0507549143075326,-0.0431423866727243
0.49,0.49,38.58164675532078,-0.051622962730859,-0.0491348327871675,-0.051322147789000495,-0.0475294177573336,-0.0497600040341165,-0.042736311292333
0.5,0.5,38.58164675532078,-0.060231884133864995,-0.05710492033247049,-0.0598761660725197,-0.05371201790408949,-0.058379926971267794,-0.052757491746603796
0.51,0.51,38.58164675532078,-0.059151870025897,-0.0554033075909244,-0.0580535090336904,-0.051804460326303405,-0.05712983837386,-0.0512510601728411
0.52,0.52,38.58164675532078,-0.056733160753339194,-0.053927628449293594,-0.0575430865433675,-0.04996538598509159,-0.054851928038970196,-0.048632179111458895
0.53,0.53,38.58164675532078,-0.062809108343045,-0.056847638921827995,-0.061966991651815996,-0.0545872452078279,-0.060884316038901404,-0.05210448269700879
0.54,0.54,38.58164675532078,-0.058738180808198,-0.057342985246360306,-0.0583661900036024,-0.05393610673637571,-0.057292489409227,-0.052665606284423204
0.55,0.55,38.58164675532078,-0.0649368047803285,-0.059092434005720805,-0.0635805389778907,-0.0599401363539843,-0.06323307435917,-0.05321961360680501
0.56,0.56,38.58164675532078,-0.0654850271832252,-0.0627301095041132,-0.06459416625161579,-0.058185291668164295,-0.06330944139787051,-0.0573865664434879
0.57,0.57,38.58164675532078,-0.0652747147233271,-0.060791629125525506,-0.06523368518592951,-0.0584882652638902,-0.0630818045244083,-0.0558471177726259
0.58,0.58,38.58164675532078,-0.0654748626093706,-0.06207778429753261,-0.065960122963107,-0.060101645556265196,-0.0630476134851429,-0.055587158734620105
0.59,0.59,38.58164675532078,-0.06800559501563251,-0.0639895413672163,-0.0678745034295982,-0.0606045312079085,-0.0657330386821523,-0.0573441561222494
0.6,0.6,38.58164675532078,-0.07179108174747159,-0.06680079117405889,-0.0703135257618373,-0.067261199875523,-0.0691223799596175,-0.06038184390810869
0.61,0.61,38.58164675532078,-0.08025471428037931,-0.0781365834042772,-0.0797730968501025,-0.07346742768239001,-0.07754045125957651,-0.07058192539423369
0.62,0.62,38.58164675532078,-0.073218268126094,-0.0714443477890229,-0.07295458874785879,-0.0665291177528413,-0.0709473887132883,-0.0642794893778712
0.63,0.63,38.58164675532078,-0.0725282180066741,-0.07154308172308141,-0.0712097009076422,-0.0651107578238317,-0.0702152251754926,-0.0639043145047241
0.64,0.64,38.58164675532078,-0.07950544717117611,-0.080914711495755,-0.08085551880155781,-0.0749771878748897,-0.0768112633791818,-0.0745586126834774
0.65,0.65,38.58164675532078,-0.0735708729129806,-0.07536559292605151,-0.07413884589113799,-0.06905733111159451,-0.06989794418431791,-0.06862774389196091
0.66,0.66,38.58164675532078,-0.0749509608949736,-0.0776597451782518,-0.0760023911038959,-0.07219635043211091,-0.07222974474417511,-0.0695819898607115
0.67,0.67,38.58164675532078,-0.0820276985357127,-0.079513814813952,-0.08322645500850859,-0.077180110969697,-0.0779492242575165,-0.0711841834625615
0.68,0.68,38.58164675532078,-0.0810474995626613,-0.08270029275724891,-0.0802541310904602,-0.07593728159797081,-0.07820151644415041,-0.0737080873250162
0.69,0.69,38.58164675532078,-0.0875052387217556,-0.08695146575345661,-0.08519857141465201,-0.08241414233476069,-0.0840441426381878,-0.0751247597862977
