m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,9.432016056618942e-10,40.437455852092995,0.026507070273359433,0.06562289215735065
0.01,0.01,0.2477855577623473,9.337695896052754e-10,40.437455852092995,0.028086353941925806,0.06665758063468756
0.02,0.02,0.24556620088507244,9.243375735486561e-10,40.437455852092995,0.02868142675712538,0.07001713261171484
0.03,0.03,0.2433419075049566,9.14905557492037e-10,40.437455852092995,0.027316040121820904,0.07100584137923746
0.04,0.04,0.2411126556125652,9.054735414354184e-10,40.437455852092995,0.026798286637299298,0.07080075831560005
0.05,0.05,0.23887842305094018,8.960415253787996e-10,40.437455852092995,0.02956694894179502,0.07086607279941677
0.06,0.06,0.23663918751428026,8.866095093221806e-10,40.437455852092995,0.02996745957680693,0.06874832122866192
0.07,0.07,0.23439492654660346,8.771774932655613e-10,40.437455852092995,0.028094902805656716,0.07554066642738147
0.08,0.08,0.2321456175403962,8.677454772089426e-10,40.437455852092995,0.03050495390613189,0.07207962319063073
0.09,0.09,0.229891237735247,8.583134611523236e-10,40.437455852092995,0.030662576178202342,0.07454691389640829
0.1,0.1,0.2276317642164649,8.488814450957049e-10,40.437455852092995,0.027881421969372964,0.07450705088647504
0.11,0.11,0.22536717391368066,8.394494290390861e-10,40.437455852092995,0.03197643298420624,0.07008024684362105
0.12,0.12,0.22309744359943545,8.300174129824673e-10,40.437455852092995,0.032046730342445116,0.07691307972545576
0.13,0.13,0.22082254988774924,8.20585396925848e-10,40.437455852092995,0.031228779028175238,0.0725425220134388
0.14,0.14,0.21854246923267656,8.111533808692291e-10,40.437455852092995,0.030304423656554037,0.07961224478675032
0.15,0.15,0.216257177926844,8.017213648126102e-10,40.437455852092995,0.032012611604921845,0.07517045182390372
0.16,0.16,0.21396665209996982,7.922893487559912e-10,40.437455852092995,0.03413381571826018,0.0767775883414806
0.17,0.17,0.21167086771737015,7.828573326993724e-10,40.437455852092995,0.03274021048017428,0.07661321595991008
0.18,0.18,0.2093698005784441,7.734253166427533e-10,40.437455852092995,0.029818787483457853,0.08280982299898429
0.19,0.19,0.20706342631514338,7.639933005861343e-10,40.437455852092995,0.03312909380654777,0.07982296318289316
0.2,0.2,0.20475172039042486,7.545612845295155e-10,40.437455852092995,0.033762216606967245,0.08399135305327367
0.21,0.21,0.20243465809668282,7.451292684728968e-10,40.437455852092995,0.03582976208211482,0.0806355031682682
0.22,0.22,0.20011221455416608,7.356972524162776e-10,40.437455852092995,0.03428344944203114,0.08220946019826611
0.23,0.23,0.19778436470937377,7.262652363596585e-10,40.437455852092995,0.03390978789878201,0.08457345704119987
0.24,0.24,0.19545108333343392,7.168332203030395e-10,40.437455852092995,0.034977986092166756,0.08149818385383618
0.25,0.25,0.19311234502046387,7.074012042464206e-10,40.437455852092995,0.035066310347526185,0.08508958656683122
0.26,0.26,0.19076812418590924,6.979691881898017e-10,40.437455852092995,0.03846633191801219,0.08920156704613244
0.27,0.27,0.18841839506486482,6.885371721331829e-10,40.437455852092995,0.03549131779215644,0.08725634360108077
0.28,0.28,0.18606313171037664,6.791051560765638e-10,40.437455852092995,0.034929830573152146,0.08671332966799965
0.29,0.29,0.18370230799172074,6.696731400199447e-10,40.437455852092995,0.03724446618923965,0.08690551559896229
0.3,0.3,0.1813358975926658,6.602411239633259e-10,40.437455852092995,0.0363294002236551,0.09613898838420679
0.31,0.31,0.17896387400971187,6.508091079067069e-10,40.437455852092995,0.039298403683799735,0.09158063624924963
0.32,0.32,0.17658621055030907,6.413770918500882e-10,40.437455852092995,0.04170519915767805,0.08939347953217286
0.33,0.33,0.1742028803310564,6.319450757934689e-10,40.437455852092995,0.04028619700879031,0.09512996173434406
0.34,0.34,0.17181385627587667,6.225130597368502e-10,40.437455852092995,0.03995645411725127,0.09530805646370948
0.35,0.35,0.16941911111417207,6.130810436802313e-10,40.437455852092995,0.041754345016973386,0.09928613593364852
0.36,0.36,0.16701861737895565,6.036490276236126e-10,40.437455852092995,0.038538688956921176,0.09355797518261123
0.37,0.37,0.16461234740496086,5.942170115669934e-10,40.437455852092995,0.04418672816612356,0.09083723693275138
0.38,0.38,0.1622002733267292,5.847849955103744e-10,40.437455852092995,0.04178834284214641,0.09973782592164031
0.39,0.39,0.159782367076674,5.753529794537554e-10,40.437455852092995,0.0393078577930906,0.10176990959501955
0.4,0.4,0.1573586003831194,5.659209633971366e-10,40.437455852092995,0.04517090189722954,0.10467192680223272
0.41,0.41,0.1549289447683191,5.564889473405177e-10,40.437455852092995,0.044119134506297925,0.10625635556401239
0.42,0.42,0.15249337154644674,5.470569312838987e-10,40.437455852092995,0.04364273615157889,0.10947501227303778
0.43,0.43,0.15005185182156497,5.376249152272798e-10,40.437455852092995,0.04588002060044775,0.1069561346065454
0.44,0.44,0.14760435648556838,5.281928991706608e-10,40.437455852092995,0.04943889040383502,0.1054562719830677
0.45,0.45,0.14515085621610022,5.187608831140418e-10,40.437455852092995,0.04764872330678132,0.10371288061246044
0.46,0.46,0.14269132147444627,5.09328867057423e-10,40.437455852092995,0.04827695681494771,0.11274462056116881
0.47,0.47,0.14022572250339935,4.99896851000804e-10,40.437455852092995,0.04829689199071009,0.11378012255629322
0.48,0.48,0.13775402932510028,4.904648349441852e-10,40.437455852092995,0.05023463130098837,0.11195474707757337
0.49,0.49,0.13527621173885068,4.810328188875658e-10,40.437455852092995,0.05147084244221166,0.1098613363720367
