m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,9.432016056618942e-10,40.437455852093,0.027953908381432184,0.06777519135188273
0.01,0.01,0.25,9.432016056618942e-10,40.437455852093,0.02936515221181338,0.07213903048555403
0.02,0.02,0.25,9.432016056618942e-10,40.437455852093,0.02965490228392315,0.07046385452568603
0.03,0.03,0.25,9.432016056618942e-10,40.437455852093,0.028550296334974915,0.06633986619711453
0.04,0.04,0.25,9.432016056618942e-10,40.437455852093,0.03280830412785141,0.07476400531804633
0.05,0.05,0.25,9.432016056618942e-10,40.437455852093,0.03154203590259368,0.07077573174920945
0.06,0.06,0.25,9.432016056618942e-10,40.437455852093,0.03293043000708731,0.06932304721655808
0.07,0.07,0.25,9.432016056618942e-10,40.437455852093,0.0346066236983541,0.07457244704907073
0.08,0.08,0.25,9.432016056618942e-10,40.437455852093,0.03514745330596916,0.07613000334306273
0.09,0.09,0.25,9.432016056618942e-10,40.437455852093,0.034666432707601585,0.07448433171623275
0.1,0.1,0.25,9.432016056618942e-10,40.437455852093,0.03721776242373495,0.07334647698411977
0.11,0.11,0.25,9.432016056618942e-10,40.437455852093,0.03788526972726265,0.07406820646261117
0.12,0.12,0.25,9.432016056618942e-10,40.437455852093,0.038776435533225836,0.07996960537319979
0.13,0.13,0.25,9.432016056618942e-10,40.437455852093,0.039672160173760684,0.07895818414356827
0.14,0.14,0.25,9.432016056618942e-10,40.437455852093,0.039281436443015495,0.07801303389415594
0.15,0.15,0.25,9.432016056618942e-10,40.437455852093,0.04189431345075259,0.08197747512428345
0.16,0.16,0.25,9.432016056618942e-10,40.437455852093,0.04049738706286892,0.08813742663952946
0.17,0.17,0.25,9.432016056618942e-10,40.437455852093,0.041471815085876475,0.08685464843565188
0.18,0.18,0.25,9.432016056618942e-10,40.437455852093,0.04035982988134606,0.08307357523441057
0.19,0.19,0.25,9.432016056618942e-10,40.437455852093,0.042410869336826265,0.09278634436051397
0.2,0.2,0.25,9.432016056618942e-10,40.437455852093,0.04294165038907164,0.08727483440288772
0.21,0.21,0.25,9.432016056618942e-10,40.437455852093,0.04534597397808984,0.09550467419313273
0.22,0.22,0.25,9.432016056618942e-10,40.437455852093,0.048277073936819834,0.09509274384306535
0.23,0.23,0.25,9.432016056618942e-10,40.437455852093,0.04545906803069573,0.09394940933974326
0.24,0.24,0.25,9.432016056618942e-10,40.437455852093,0.04948198643688114,0.09485756402291372
0.25,0.25,0.25,9.432016056618942e-10,40.437455852093,0.05348865043683185,0.0896543322995779
0.26,0.26,0.25,9.432016056618942e-10,40.437455852093,0.048671995369850875,0.10217231641461877
0.27,0.27,0.25,9.432016056618942e-10,40.437455852093,0.05013855687618279,0.10065790320213505
0.28,0.28,0.25,9.432016056618942e-10,40.437455852093,0.048136893701657794,0.0999264467804612
0.29,0.29,0.25,9.432016056618942e-10,40.437455852093,0.052662860275387656,0.1003099525421037
0.3,0.3,0.25,9.432016056618942e-10,40.437455852093,0.055718048308676486,0.10394800025194753
0.31,0.31,0.25,9.432016056618942e-10,40.437455852093,0.0517086468762666,0.10948343597299746
0.32,0.32,0.25,9.432016056618942e-10,40.437455852093,0.05515633527368813,0.10453736613202456
0.33,0.33,0.25,9.432016056618942e-10,40.437455852093,0.05196755534502306,0.11277877366547145
0.34,0.34,0.25,9.432016056618942e-10,40.437455852093,0.05786026318724771,0.10972271575641443
0.35,0.35,0.25,9.432016056618942e-10,40.437455852093,0.05868015323731241,0.11326889665483048
0.36,0.36,0.25,9.432016056618942e-10,40.437455852093,0.06114178542806344,0.11783676551659684
0.37,0.37,0.25,9.432016056618942e-10,40.437455852093,0.0649877470205989,0.11636612406600438
0.38,0.38,0.25,9.432016056618942e-10,40.437455852093,0.0647691757330934,0.11343400903338259
0.39,0.39,0.25,9.432016056618942e-10,40.437455852093,0.06177288753080704,0.12001590603467693
0.4,0.4,0.25,9.432016056618942e-10,40.437455852093,0.06098677410646259,0.12346178630705959
0.41,0.41,0.25,9.432016056618942e-10,40.437455852093,0.06789398448646099,0.11509657273319256
0.42,0.42,0.25,9.432016056618942e-10,40.437455852093,0.07080830179422826,0.12426177645734073
0.43,0.43,0.25,9.432016056618942e-10,40.437455852093,0.06777076941758767,0.13328987265134726
0.44,0.44,0.25,9.432016056618942e-10,40.437455852093,0.0691556651292907,0.12557346388697968
0.45,0.45,0.25,9.432016056618942e-10,40.437455852093,0.06595378443884954,0.1328145562241549
0.46,0.46,0.25,9.432016056618942e-10,40.437455852093,0.07147016532599719,0.13654892940110006
0.47,0.47,0.25,9.432016056618942e-10,40.437455852093,0.0772581350588612,0.14442712359685198
0.48,0.48,0.25,9.432016056618942e-10,40.437455852093,0.07065784187530093,0.13678306402796528
0.49,0.49,0.25,9.432016056618942e-10,40.437455852093,0.08158903703647034,0.14646588525603874
0.5,0.5,0.25,9.432016056618942e-10,40.437455852093,0.07686664075942724,0.1474911713892338
0.51,0.51,0.25,9.432016056618942e-10,40.437455852093,0.07960173765433408,0.14829029210599207
0.52,0.52,0.25,9.432016056618942e-10,40.437455852093,0.08364515300278672,0.15633136145292167
0.53,0.53,0.25,9.432016056618942e-10,40.437455852093,0.08142715530661515,0.14810173131506857
0.54,0.54,0.25,9.432016056618942e-10,40.437455852093,0.0817976594950259,0.16301221772594596
0.55,0.55,0.25,9.432016056618942e-10,40.437455852093,0.09169468870020894,0.15032571580268944
0.56,0.56,0.25,9.432016056618942e-10,40.437455852093,0.09102849525354391,0.15906524641211933
0.57,0.57,0.25,9.432016056618942e-10,40.437455852093,0.09143157274874025,0.16854373828070474
0.58,0.58,0.25,9.432016056618942e-10,40.437455852093,0.09010611122228414,0.16491074590932886
0.59,0.59,0.25,9.432016056618942e-10,40.437455852093,0.09676723359470443,0.1751618925494293
0.6,0.6,0.25,9.432016056618942e-10,40.437455852093,0.10068174960522133,0.18780574233501654
0.61,0.61,0.25,9.432016056618942e-10,40.437455852093,0.10627270482464088,0.18487105986561153
0.62,0.62,0.25,9.432016056618942e-10,40.437455852093,0.11203111721668722,0.20681818121142012
0.63,0.63,0.25,9.432016056618942e-10,40.437455852093,0.1038225952928743,0.19620135960879964
0.64,0.64,0.25,9.432016056618942e-10,40.437455852093,0.10354098810460485,0.19246712598585264
0.65,0.65,0.25,9.432016056618942e-10,40.437455852093,0.11575611316636139,0.2115562458062471
0.66,0.66,0.25,9.432016056618942e-10,40.437455852093,0.1089904786044952,0.2106663595533597
0.67,0.67,0.25,9.432016056618942e-10,40.437455852093,0.11122999634214764,0.21313679268798486
0.68,0.68,0.25,9.432016056618942e-10,40.437455852093,0.12911887746300948,0.21603435251118144
0.69,0.69,0.25,9.432016056618942e-10,40.437455852093,0.12341892536677983,0.23475513071111373
0.7,0.7,0.25,9.432016056618942e-10,40.437455852093,0.13108774017792213,0.23990286708087719
0.71,0.71,0.25,9.432016056618942e-10,40.437455852093,0.13029806009841627,0.2486679355295898
0.72,0.72,0.25,9.432016056618942e-10,40.437455852093,0.13052466847927482,0.23349588592108864
0.73,0.73,0.25,9.432016056618942e-10,40.437455852093,0.13986484059968984,0.24634891233284958
0.74,0.74,0.25,9.432016056618942e-10,40.437455852093,0.14611961525770212,0.28288041388485236
0.75,0.75,0.25,9.432016056618942e-10,40.437455852093,0.16412905499042466,0.29926029392666137
0.76,0.76,0.25,9.432016056618942e-10,40.437455852093,0.1464458401673167,0.3184797363534136
0.77,0.77,0.25,9.432016056618942e-10,40.437455852093,0.16415208674009094,0.31817350809524136
0.78,0.78,0.25,9.432016056618942e-10,40.437455852093,0.17257201036115474,0.3299872091098342
0.79,0.79,0.25,9.432016056618942e-10,40.437455852093,0.18077578345928402,0.34805970917207935
0.8,0.8,0.25,9.432016056618942e-10,40.437455852093,0.18503045310903662,0.35159540327972555
0.81,0.81,0.25,9.432016056618942e-10,40.437455852093,0.18394809163194314,0.3771111161336047
0.82,0.82,0.25,9.432016056618942e-10,40.437455852093,0.19185413205405724,0.3704717471553889
0.83,0.83,0.25,9.432016056618942e-10,40.437455852093,0.2096605897710614,0.4016790563129343
0.84,0.84,0.25,9.432016056618942e-10,40.437455852093,0.22140300661597526,0.4578424398487017
0.85,0.85,0.25,9.432016056618942e-10,40.437455852093,0.24115447972847945,0.46200493225909023
0.86,0.86,0.25,9.432016056618942e-10,40.437455852093,0.23933316486026474,0.5206157779828539
0.87,0.87,0.25,9.432016056618942e-10,40.437455852093,0.24522138236558516,0.5438949053558351
0.88,0.88,0.25,9.432016056618942e-10,40.437455852093,0.28708376485121084,0.6190946887033237
0.89,0.89,0.25,9.432016056618942e-10,40.437455852093,0.3124468829613303,0.6458204569638047
0.9,0.9,0.25,9.432016056618942e-10,40.437455852093,0.31773113133322395,0.7002526845958378
0.91,0.91,0.25,9.432016056618942e-10,40.437455852093,0.3614513364141213,0.7603944356733022
0.92,0.92,0.25,9.432016056618942e-10,40.437455852093,0.4154738153271922,0.8752581687690265
0.93,0.93,0.25,9.432016056618942e-10,40.437455852093,0.4322535983918007,1.0009946559612373
0.94,0.94,0.25,9.432016056618942e-10,40.437455852093,0.5005985016232744,1.122471027037654
0.95,0.95,0.25,9.432016056618942e-10,40.437455852093,0.5626567291273289,1.335133340518077
0.96,0.96,0.25,9.432016056618942e-10,40.437455852093,0.7729989891105306,1.6885243827808767
0.97,0.97,0.25,9.432016056618942e-10,40.437455852093,0.9652656566811809,2.3109745432715907
0.98,0.98,0.25,9.432016056618942e-10,40.437455852093,1.5132367633150117,3.523760551343106
0.99,0.99,0.25,9.432016056618942e-10,40.437455852093,2.9192548539334138,6.959138603904329
0.1,0.2,0.25,9.432016056618942e-10,40.437455852093,0.03409142239517116,0.07585130592506378
0.1,0.3,0.25,9.432016056618942e-10,40.437455852093,0.04072926183777517,0.08111398568127808
0.1,0.4,0.25,9.432016056618942e-10,40.437455852093,0.04168986161563985,0.08426054422928508
0.1,0.5,0.25,9.432016056618942e-10,40.437455852093,0.04258020406647033,0.08729612179472072
0.1,0.6,0.25,9.432016056618942e-10,40.437455852093,0.04542111785519028,0.08496020112739448
0.1,0.7,0.25,9.432016056618942e-10,40.437455852093,0.0481059943956152,0.09156327449266036
