m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,40.437455852093,-0.0012231019307231,0.001086992385662497,-0.0003562630232561981,0.001087965090399795,-0.001446838108072699,-0.002152299194532095
0.01,0.01,40.437455852093,-0.002332200936061502,-0.008544861533331005,-0.0017461625313781003,0.001201545606022203,-0.0012787982698875024,-0.005481449850866502
0.02,0.02,40.437455852093,-0.002675952126555102,-0.00032333631456969714,-0.003144598396447703,0.0015536620834492032,-0.0009734755267978012,-0.0004467219139712014
0.03,0.03,40.437455852093,-0.0012731114010983008,0.001954901066929096,-0.001622359415218301,-3.731411818599928e-05,-0.001234256213154001,0.004665975182122903
0.04,0.04,40.437455852093,-0.005619114376182399,-0.009618744684785713,-0.0044999213607627014,0.0011364489473716932,-0.006010017490552199,-0.00396324700244631
0.05,0.05,40.437455852093,-0.004862878431947701,-0.006210261935367695,-0.0038315708586094017,-0.010248232908361604,-0.0019750869607986013,9.034105020730432e-05
0.06,0.06,40.437455852093,-0.0057242711144679,-0.004098402400645504,-0.0042038714221691,-0.006565750361918796,-0.0029629704302804004,-0.0005747259878961103
0.07,0.07,40.437455852093,-0.0067900479806496,-0.006268022843058801,-0.004074066317388204,-0.004246266447260491,-0.006511720892697401,0.0009682193783106946
0.08,0.08,40.437455852093,-0.0094369170000826,-0.004844052606040608,-0.005947368449374702,-0.0009935698416504019,-0.0046424993998373,-0.004050380152432004
0.09,0.09,40.437455852093,-0.007204613274267604,-0.004434253325344806,-0.005039992223279898,-0.003307019311936707,-0.004003856529399202,6.258218017550499e-05
0.1,0.1,40.437455852093,-0.010235735037907801,-0.0061789150933899,-0.009320891477486697,-0.004135993310131911,-0.009336340454362001,0.0011605739023552997
0.11,0.11,40.437455852093,-0.009339117650015098,-0.006133074133214303,-0.006439773981732504,-0.0024458312381017977,-0.005908836743056395,-0.0039879596189900945
0.12,0.12,40.437455852093,-0.011559189466942503,-0.01190071363356511,-0.0069538856046306025,-0.0075524263177186995,-0.006729705190780699,-0.0030565256477440017
0.13,0.13,40.437455852093,-0.012915302071608601,-0.014064604127708505,-0.0094942738238105,-0.012872089499064307,-0.008443381145585401,-0.006415662130129396
0.14,0.14,40.437455852093,-0.009174705957589697,-0.009155645786123698,-0.007708253653966001,-0.003952973342998198,-0.008977012786461399,0.0015992108925944049
0.15,0.15,40.437455852093,-0.0150156673668719,-0.0104489401216971,-0.0089387647684054,-0.004525462183682397,-0.009881701845830697,-0.006807023300379703
0.16,0.16,40.437455852093,-0.0123455077484271,-0.020369721117346806,-0.009345887730625797,-0.0053495928015065,-0.006363571344608798,-0.011359838298048805
0.17,0.17,40.437455852093,-0.0118062234076571,-0.019183234138184804,-0.007596436289039603,-0.0073998639598003985,-0.0087316046057022,-0.010241432475741802
0.18,0.18,40.437455852093,-0.013575299198531902,-0.013357474303073602,-0.010169258816929098,-0.0087253208883903,-0.010541042397888202,-0.00026375223542629556
0.19,0.19,40.437455852093,-0.016460250455244203,-0.02428973275127501,-0.013218076802209298,-0.007369585605039905,-0.0092817755302785,-0.012963381177620803
0.2,0.2,40.437455852093,-0.015082543865711,-0.014465313319069403,-0.0139458796384581,-0.0039033125447092004,-0.009179433782104396,-0.0032834813496141063
