m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,40.437455852093,-0.00021421957758069993,0.00034897952299119996,-0.00011356987192719993,0.00027120153462120017,-2.2727527826200012e-05,0.00023018180912469984
0.01,0.01,40.437455852093,-0.00010454161222879998,-0.0004204695803956002,-8.295789723739998e-05,-0.0003559065749446002,-0.00012861620395740003,-0.0005334402286908003
0.02,0.02,40.437455852093,1.5638409200002985e-07,-0.0007407214105684002,-0.00010974746376449999,-0.0008491690263620999,-4.1686663672799965e-05,-0.00011940293260139997
0.03,0.03,40.437455852093,-0.00017112230636569996,2.665549966650001e-05,-8.764732268339991e-05,-5.050064286019973e-05,-0.0002527076334723,-0.00021575236857730024
0.04,0.04,40.437455852093,-0.00019818771909780003,-0.0005719536533295997,-7.221825662180007e-05,-0.0006041518450857,-8.906141193589998e-05,-0.0002020566189985997
0.05,0.05,40.437455852093,-0.00011939985607190007,-0.0010890665188318,-5.899731275530004e-05,7.212124471609989e-05,-0.00010179206804450001,-0.0007805172822679999
0.06,0.06,40.437455852093,-5.307579203540002e-05,-0.0009228459146432,3.873031192940001e-05,-0.0009435905501697997,-7.158492381920004e-05,-3.9968846812300004e-05
0.07,0.07,40.437455852093,-9.654571222679996e-05,-0.00038671576444799984,0.00017676857800100003,-7.951570967699734e-06,-0.00010986290392170004,0.0004125729444773001
0.08,0.08,40.437455852093,-0.00010179769725730001,-0.0001553641393344002,-8.832011581980006e-05,0.00010939615371320004,-7.021261520010001e-05,-6.973963622600079e-06
0.09,0.09,40.437455852093,5.738989652150008e-05,-0.0005097619122356001,-3.94866110471e-05,0.00012360891158679985,1.3430387308100019e-05,-0.00024065019574599994
0.1,0.1,40.437455852093,-0.00017811572213289998,-0.0008512855529802998,-0.0003163341778194,-0.0004939515721573999,2.867401795749998e-05,-0.0006402283026675998
