m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,40.437455852092995,0.00015050476581875843,0.000743328853635907
0.01,0.01,0.49605754532553353,9.337695896052754e-10,40.437455852092995,0.0002155959366839027,0.0008604228751845326
0.02,0.02,0.4920994861619237,9.243375735486561e-10,40.437455852092995,0.0001871220412170437,0.0007728889940718423
0.03,0.03,0.48812569849099385,9.14905557492037e-10,40.437455852092995,0.0001455452799519212,0.0008762394412040559
0.04,0.04,0.4841360568101951,9.054735414354184e-10,40.437455852092995,0.00016244277532046362,0.0008438651710636437
0.05,0.05,0.48013043410882683,8.960415253787996e-10,40.437455852092995,0.00017254125801917597,0.0009156695462407626
0.06,0.06,0.4761087018437724,8.866095093221806e-10,40.437455852092995,0.00018372472089239858,0.0008624862768436673
0.07,0.07,0.4720707299147485,8.771774932655613e-10,40.437455852092995,0.00017003946714212812,0.0008567999851741828
0.08,0.08,0.4680163866390518,8.677454772089426e-10,40.437455852092995,0.00015791053605852692,0.0008651375962759974
0.09,0.09,0.46394553872579114,8.583134611523236e-10,40.437455852092995,0.0002011502872782823,0.0008990231524887817
0.1,0.1,0.45985805124959506,8.488814450957049e-10,40.437455852092995,0.00020593630532941641,0.0008260844838588044
0.11,0.11,0.45575378762377566,8.394494290390861e-10,40.437455852092995,0.00026306339883989786,0.0008312763134729334
0.12,0.12,0.45163260957294576,8.300174129824673e-10,40.437455852092995,0.00021322827096077716,0.0009304193529456265
0.13,0.13,0.44749437710506174,8.20585396925848e-10,40.437455852092995,0.00017138441405692656,0.0010508964525938979
0.14,0.14,0.44333894848289374,8.111533808692291e-10,40.437455852092995,0.00017787095312270866,0.0009741602131579726
0.15,0.15,0.43916618019489273,8.017213648126102e-10,40.437455852092995,0.0002860845410747229,0.0011295851589549451
0.16,0.16,0.43497592692545334,7.922893487559912e-10,40.437455852092995,0.0002129702745271596,0.0008638943614262035
0.17,0.17,0.43076804152454756,7.828573326993724e-10,40.437455852092995,0.00021645798769205277,0.0009682853834662924
0.18,0.18,0.4265423749767188,7.734253166427533e-10,40.437455852092995,0.00019663260982918937,0.0010664886978828166
0.19,0.19,0.4222987763694164,7.639933005861343e-10,40.437455852092995,0.00023404014476555507,0.0010481221449782229
0.2,0.2,0.4180370928606561,7.545612845295155e-10,40.437455852092995,0.00019315864091232787,0.0011675054154100517
0.21,0.21,0.4137571696459893,7.451292684728968e-10,40.437455852092995,0.00028944996615311953,0.0011528033958047715
0.22,0.22,0.4094588499247608,7.356972524162776e-10,40.437455852092995,0.0002560338484833956,0.0012008489393546258
0.23,0.23,0.40514197486564013,7.262652363596585e-10,40.437455852092995,0.00024263726787486064,0.0012703616020509042
0.24,0.24,0.40080638357140336,7.168332203030395e-10,40.437455852092995,0.00029188644564011616,0.001169290389188178
0.25,0.25,0.3964519130429505,7.074012042464206e-10,40.437455852092995,0.00029140181019237537,0.001074067887976937
0.26,0.26,0.3920783981425341,6.979691881898017e-10,40.437455852092995,0.0002506391690397745,0.001404252240191074
0.27,0.27,0.38768567155618155,6.885371721331829e-10,40.437455852092995,0.00031573228819943626,0.001366943553011405
0.28,0.28,0.3832735637552874,6.791051560765638e-10,40.437455852092995,0.00028006152113770993,0.0014800157215672843
0.29,0.29,0.3788419029573562,6.696731400199447e-10,40.437455852092995,0.0002588885169951815,0.0014463518979347953
0.3,0.3,0.37439051508586846,6.602411239633259e-10,40.437455852092995,0.00031288153173688303,0.00140582694001866
0.31,0.31,0.3699192237292539,6.508091079067069e-10,40.437455852092995,0.00034356810644768437,0.0012501234888996089
0.32,0.32,0.36542785009893863,6.413770918500882e-10,40.437455852092995,0.0002870991928304116,0.001543595345877477
0.33,0.33,0.36091621298644966,6.319450757934689e-10,40.437455852092995,0.00025721147089116143,0.001387406612725898
