m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,40.437455852092995,0.0001671618783049343,0.0008710650129549397
0.01,0.01,0.5,9.432016056618942e-10,40.437455852092995,0.0001907774406811311,0.0007495158420075109
0.02,0.02,0.5,9.432016056618942e-10,40.437455852092995,0.00013489046859902328,0.0008667576571394941
0.03,0.03,0.5,9.432016056618942e-10,40.437455852092995,0.00017140682337013686,0.0008336128168182202
0.04,0.04,0.5,9.432016056618942e-10,40.437455852092995,0.00013413069757690712,0.0008105807037493379
0.05,0.05,0.5,9.432016056618942e-10,40.437455852092995,0.00015908394656399493,0.0008775819296670147
0.06,0.06,0.5,9.432016056618942e-10,40.437455852092995,0.0001837986649008015,0.0007613525399329452
0.07,0.07,0.5,9.432016056618942e-10,40.437455852092995,0.00016937379570117114,0.0007840696044967862
0.08,0.08,0.5,9.432016056618942e-10,40.437455852092995,0.0001585022589012495,0.000816022328516007
0.09,0.09,0.5,9.432016056618942e-10,40.437455852092995,0.00018000672784427592,0.000759958455370295
0.1,0.1,0.5,9.432016056618942e-10,40.437455852092995,0.0001602313568733821,0.0008101724494379373
0.11,0.11,0.5,9.432016056618942e-10,40.437455852092995,0.00015721425023941082,0.0008374177200843501
0.12,0.12,0.5,9.432016056618942e-10,40.437455852092995,0.00016164982726766999,0.0008703343727535596
0.13,0.13,0.5,9.432016056618942e-10,40.437455852092995,0.00015377745859507895,0.0007761432298131571
0.14,0.14,0.5,9.432016056618942e-10,40.437455852092995,0.00015037787054431457,0.0007338736947137489
0.15,0.15,0.5,9.432016056618942e-10,40.437455852092995,0.00013060719114037358,0.0009477248681938481
0.16,0.16,0.5,9.432016056618942e-10,40.437455852092995,0.0001442862729874977,0.000774072621533911
0.17,0.17,0.5,9.432016056618942e-10,40.437455852092995,0.000134499926443707,0.0008148565362843423
0.18,0.18,0.5,9.432016056618942e-10,40.437455852092995,0.00017081115408409928,0.0008490960075859196
0.19,0.19,0.5,9.432016056618942e-10,40.437455852092995,0.00014556120978882536,0.0007758032927261486
0.2,0.2,0.5,9.432016056618942e-10,40.437455852092995,0.0001747597090793255,0.0007990033044354156
0.21,0.21,0.5,9.432016056618942e-10,40.437455852092995,0.00016459822972142644,0.0008453463599828332
0.22,0.22,0.5,9.432016056618942e-10,40.437455852092995,0.0001582236386466089,0.0008221512690114531
0.23,0.23,0.5,9.432016056618942e-10,40.437455852092995,0.00013046854950218368,0.0008031151576734642
0.24,0.24,0.5,9.432016056618942e-10,40.437455852092995,0.0001636671077881303,0.0008576328119029248
0.25,0.25,0.5,9.432016056618942e-10,40.437455852092995,0.00015345774516143225,0.0008736644707257286
0.26,0.26,0.5,9.432016056618942e-10,40.437455852092995,0.00016290398467186712,0.0007231120319168815
0.27,0.27,0.5,9.432016056618942e-10,40.437455852092995,0.00017015055119087359,0.0008499720434506566
0.28,0.28,0.5,9.432016056618942e-10,40.437455852092995,0.0001733622788029066,0.0007995567585788844
0.29,0.29,0.5,9.432016056618942e-10,40.437455852092995,0.00016554834787314374,0.0007177371191942574
0.3,0.3,0.5,9.432016056618942e-10,40.437455852092995,0.00013221967612845923,0.0007739663309628836
0.31,0.31,0.5,9.432016056618942e-10,40.437455852092995,0.00019120326521930036,0.0008089643601656814
0.32,0.32,0.5,9.432016056618942e-10,40.437455852092995,0.00017248623210278297,0.0006919806005334
