m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.452063714805064,40.389307446840476,0.014607862712061603,0.04814840525252606
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.3846273718348,40.441380824129716,0.052828480258199306,0.003924972036713825
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.45261308252763,40.454115200318085,0.01515723043462458,0.016659348225083193
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.46340980729202,40.45155782833991,0.025953955199014445,0.014101976246905679
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43282517842912,40.46355154532636,0.00463067366388259,0.026095693233358475
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43634273027679,40.44795273946447,0.0011131218162105938,0.010496887371466812
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.40675548688679,40.459270229966535,0.030700365206214997,0.021814377873532464
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.432032237365405,40.43393318992871,0.005423614727597226,0.003522662164293422
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.44450039492513,40.43478698738357,0.00704454283212641,0.002668864709434615
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.44458386836386,40.448007988374954,0.007128016270854687,0.010552136281951618
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.482763130177645,40.49413782837919,0.04530727808464263,0.05668197628618543
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.4409219433908,40.42184975670875,0.003466091297795515,0.01560609538424984
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.437820434385586,40.367965005752815,0.0003645822925832931,0.06949084634018732
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.425211312860625,40.470480668701754,0.012244539232376894,0.03302481660875145
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.443766817116426,40.440366888625576,0.006310965023423876,0.002911036532573519
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.42255242353227,40.41785589083128,0.014903428560735676,0.019599961261725696
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.452955804621,40.45989514558779,0.015499952527996186,0.02243929349478435
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.44415082128452,40.415811617472656,0.006694969191521238,0.02164423462034648
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.45945497769308,40.38961798840574,0.02199912560007533,0.04783786368726339
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.42583620291327,40.406452944162574,0.011619649179735347,0.03100290793042859
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.44208699426883,40.42560017541916,0.004631142175824721,0.011855676673839355
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.439795580438975,40.394051599298024,0.002339728345972958,0.043404252794978504
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.437400518984404,40.43874287538469,5.533310859817675e-05,0.0012870232916881719
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43855551479986,40.485531302140586,0.0010996627068564635,0.048075450047583956
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.44406494231939,40.4513979382188,0.00660909022639089,0.013942086125794617
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43707595486704,40.406799242240105,0.0003798972259616562,0.03065660985289753
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.425691762853745,40.36958480051247,0.011764089239257203,0.06787105158053208
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.41987500494704,40.41326843126062,0.01758084714596464,0.024187420832383566
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43299362238673,40.5310685759602,0.004462229706270193,0.09361272386719577
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.45633210862588,40.44550548360212,0.018876256532877278,0.00804963150911675
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43647468399696,40.46656007966398,0.000981168096039653,0.029104227570975638
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.442444070712625,40.48221994382792,0.004988218619622842,0.04476409173491902
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.43213588631712,40.409838132232174,0.0053199657758824515,0.02761771986082806
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.423036049663516,40.27652250954265,0.014419802429486595,0.16093334255035074
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.439452030013285,40.35588071330851,0.00199617792028306,0.08157513878449407
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.440221711162735,40.407779217664704,0.0027658590697328123,0.0296766344282986
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.44168907932498,40.45473120350868,0.004233227231978276,0.01727535141567671
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.42727891820371,40.43873015883855,0.010176933889290751,0.001274306745550291
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,0.5,9.432016056618942e-10,40.438342306671025,40.38159192141712,0.0008864545780227218,0.055863930675883466
