m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,40.437455852093,0.013111754942297054,0.03972427043294373
0.01,0.01,0.5039665605676084,9.527288946079735e-10,40.437455852093,0.015493266261600467,0.03922171089067551
0.02,0.02,0.5079979177547899,9.624506180223408e-10,40.437455852093,0.016249180295343606,0.03864222458125948
0.03,0.03,0.5120957059628882,9.723727893421588e-10,40.437455852093,0.016823488937113197,0.04032387803016667
0.04,0.04,0.5162616161383375,9.825016725644732e-10,40.437455852093,0.018410534040924232,0.03894239306214647
0.05,0.05,0.5204973982856399,9.92843795433573e-10,40.437455852093,0.01948290348309027,0.03915389426560992
0.06,0.06,0.524804864117896,1.0034059634701004e-09,40.437455852093,0.020230006941200612,0.04172898497301281
0.07,0.07,0.5291858898538833,1.0141952749052624e-09,40.437455852093,0.020432798803926417,0.04085704529126707
0.08,0.08,0.5336424191713875,1.0252191365890155e-09,40.437455852093,0.02157547369391176,0.04336182833623738
0.09,0.09,0.5381764663272126,1.0364852809471368e-09,40.437455852093,0.022105021192293593,0.03950662507022669
0.1,0.1,0.5427901194551419,1.0480017840687711e-09,40.437455852093,0.02285591525839466,0.040681339026799324
0.11,0.11,0.5474855440539914,1.0597770850133643e-09,40.437455852093,0.023261905715569783,0.04347867609802644
0.12,0.12,0.5522649866788762,1.071820006433971e-09,40.437455852093,0.025139313164777306,0.044151872745962106
0.13,0.13,0.5571307788498734,1.084139776622867e-09,40.437455852093,0.026360846727716308,0.04460690938058562
0.14,0.14,0.5620853411934147,1.096746053095226e-09,40.437455852093,0.026529813702463215,0.04514903966541739
0.15,0.15,0.5671311878330225,1.1096489478375227e-09,40.437455852093,0.027048477772110557,0.04518683769697229
0.16,0.16,0.5722709310473791,1.1228590543593976e-09,40.437455852093,0.029241271488835197,0.04740769838819183
0.17,0.17,0.5775072862152558,1.1363874767010773e-09,40.437455852093,0.028395703849596287,0.047953201723049316
0.18,0.18,0.5828430770684829,1.1502458605632856e-09,40.437455852093,0.030041157558152804,0.04503529653755767
0.19,0.19,0.5882812412759918,1.1644464267430794e-09,40.437455852093,0.030093342245853024,0.04975795913672495
0.2,0.2,0.5938248363839753,1.1790020070773678e-09,40.437455852093,0.03083097868731889,0.04972724517011619
0.21,0.21,0.5994770461394302,1.193926083116322e-09,40.437455852093,0.03432661919927719,0.05047947413244164
0.22,0.22,0.605241187226804,1.2092328277716591e-09,40.437455852093,0.03544705279736279,0.05401655574243381
0.23,0.23,0.6111207164501729,1.2249371502102522e-09,40.437455852093,0.03314992081174225,0.0509282415445056
0.24,0.24,0.6171192383963631,1.2410547442919664e-09,40.437455852093,0.034170453268781216,0.052343361653171626
0.25,0.25,0.623240513617734,1.2576021408825257e-09,40.437455852093,0.03514496663864574,0.05179409171054368
0.26,0.26,0.6294884673770176,1.274596764407965e-09,40.437455852093,0.037508865000407864,0.05179353454292159
