m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,40.437455852093,0.00018170081084145602,0.0008955523726369886
0.01,0.01,0.5,9.432016056618942e-10,40.437455852093,0.00014884314344108975,0.0007814213768987259
0.02,0.02,0.5,9.432016056618942e-10,40.437455852093,0.00019187356212723,0.000948543657542104
0.03,0.03,0.5,9.432016056618942e-10,40.437455852093,0.00021537499270935304,0.0008942913322354682
0.04,0.04,0.5,9.432016056618942e-10,40.437455852093,0.0002140420884726882,0.0009283203792501259
0.05,0.05,0.5,9.432016056618942e-10,40.437455852093,0.00023751594270410577,0.0009108238754797284
0.06,0.06,0.5,9.432016056618942e-10,40.437455852093,0.0002666535509891583,0.0010733355996003263
0.07,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00032170885086774825,0.0010426631181601762
0.08,0.08,0.5,9.432016056618942e-10,40.437455852093,0.0002875291845645032,0.0010299485630673741
0.09,0.09,0.5,9.432016056618942e-10,40.437455852093,0.0003679475970400376,0.0010688433946544793
0.1,0.1,0.5,9.432016056618942e-10,40.437455852093,0.00039250347329225846,0.001124450221648767
0.11,0.11,0.5,9.432016056618942e-10,40.437455852093,0.00040621498184168295,0.0011888816210147615
0.12,0.12,0.5,9.432016056618942e-10,40.437455852093,0.0004240265586240553,0.0012688568474680025
0.13,0.13,0.5,9.432016056618942e-10,40.437455852093,0.00038744492083192815,0.0015211946393968198
0.14,0.14,0.5,9.432016056618942e-10,40.437455852093,0.00045244639737448256,0.0014886321746161912
0.15,0.15,0.5,9.432016056618942e-10,40.437455852093,0.0004447235076536139,0.0013412174996570156
0.16,0.16,0.5,9.432016056618942e-10,40.437455852093,0.00045929759618833454,0.0014891042976089232
0.17,0.17,0.5,9.432016056618942e-10,40.437455852093,0.0004714536657202215,0.001515599600300637
0.18,0.18,0.5,9.432016056618942e-10,40.437455852093,0.000549656063720276,0.0014883998721876104
0.19,0.19,0.5,9.432016056618942e-10,40.437455852093,0.0005746430053263935,0.0016477193371174056
0.2,0.2,0.5,9.432016056618942e-10,40.437455852093,0.0006667540538625006,0.0017059451336060307
0.21,0.21,0.5,9.432016056618942e-10,40.437455852093,0.0006328810088330033,0.0016346284760491304
0.22,0.22,0.5,9.432016056618942e-10,40.437455852093,0.0007531686008406003,0.002060194447153421
0.23,0.23,0.5,9.432016056618942e-10,40.437455852093,0.000732989075606365,0.0019395070539585848
0.24,0.24,0.5,9.432016056618942e-10,40.437455852093,0.0007362047442624548,0.0019069492373031817
0.25,0.25,0.5,9.432016056618942e-10,40.437455852093,0.0007667051572536189,0.0017587217744375102
0.26,0.26,0.5,9.432016056618942e-10,40.437455852093,0.0008290177295494015,0.0019244755247328368
0.27,0.27,0.5,9.432016056618942e-10,40.437455852093,0.0009176568284646504,0.002138318523463036
0.28,0.28,0.5,9.432016056618942e-10,40.437455852093,0.0008232385578278078,0.0023997333398754
0.29,0.29,0.5,9.432016056618942e-10,40.437455852093,0.0010145537664663922,0.001875063363091185
0.3,0.3,0.5,9.432016056618942e-10,40.437455852093,0.000944482693640838,0.0023572864903927365
0.31,0.31,0.5,9.432016056618942e-10,40.437455852093,0.0010635977605608965,0.0026241715620830748
0.32,0.32,0.5,9.432016056618942e-10,40.437455852093,0.0012820919630726808,0.0025284223495847906
0.33,0.33,0.5,9.432016056618942e-10,40.437455852093,0.001081164396549264,0.0025387094077437894
0.34,0.34,0.5,9.432016056618942e-10,40.437455852093,0.0011834096840634936,0.0025445076068073267
0.35,0.35,0.5,9.432016056618942e-10,40.437455852093,0.001273801066971108,0.0026625686054688588
0.36,0.36,0.5,9.432016056618942e-10,40.437455852093,0.0014464851495573578,0.003168705197912448
0.37,0.37,0.5,9.432016056618942e-10,40.437455852093,0.0013503091859511465,0.0031069334895480285
0.38,0.38,0.5,9.432016056618942e-10,40.437455852093,0.001495160836311072,0.0031364597039473096
0.39,0.39,0.5,9.432016056618942e-10,40.437455852093,0.0013441133463444601,0.0028918558514017647
0.4,0.4,0.5,9.432016056618942e-10,40.437455852093,0.0012897614822831023,0.0033570938525569996
0.41,0.41,0.5,9.432016056618942e-10,40.437455852093,0.0016404203688396043,0.003500571255224146
0.42,0.42,0.5,9.432016056618942e-10,40.437455852093,0.0015060670745300523,0.0034497869179790958
0.43,0.43,0.5,9.432016056618942e-10,40.437455852093,0.0016209954032923022,0.003886012502164026
0.44,0.44,0.5,9.432016056618942e-10,40.437455852093,0.0018935744335462114,0.0036177377506946998
0.45,0.45,0.5,9.432016056618942e-10,40.437455852093,0.0018241526583534957,0.003897471069042627
0.46,0.46,0.5,9.432016056618942e-10,40.437455852093,0.0018935471849104491,0.004445676118485317
0.47,0.47,0.5,9.432016056618942e-10,40.437455852093,0.00230917786744741,0.004422264056093521
0.48,0.48,0.5,9.432016056618942e-10,40.437455852093,0.00187539831491042,0.005268185201933695
0.49,0.49,0.5,9.432016056618942e-10,40.437455852093,0.0021738321241244387,0.004981332080299137
0.5,0.5,0.5,9.432016056618942e-10,40.437455852093,0.0021113681986429014,0.004905967688737376
0.51,0.51,0.5,9.432016056618942e-10,40.437455852093,0.0026285688486943457,0.005269553785578315
0.52,0.52,0.5,9.432016056618942e-10,40.437455852093,0.0023864336438116935,0.005757141087460528
0.53,0.53,0.5,9.432016056618942e-10,40.437455852093,0.002742696428086524,0.005631015160430711
0.54,0.54,0.5,9.432016056618942e-10,40.437455852093,0.002671034427420997,0.005568135703344029
0.55,0.55,0.5,9.432016056618942e-10,40.437455852093,0.0027358158197983737,0.00600628248790015
0.56,0.56,0.5,9.432016056618942e-10,40.437455852093,0.0031764548521460646,0.006725537256411881
0.57,0.57,0.5,9.432016056618942e-10,40.437455852093,0.0028017894075687997,0.00654666577893371
0.58,0.58,0.5,9.432016056618942e-10,40.437455852093,0.0029257877897203716,0.005794687153075554
0.59,0.59,0.5,9.432016056618942e-10,40.437455852093,0.00411039482406396,0.007959468501820699
0.6,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0037687725880307414,0.008225450774980391
0.61,0.61,0.5,9.432016056618942e-10,40.437455852093,0.00343409304727625,0.008492373211611245
0.62,0.62,0.5,9.432016056618942e-10,40.437455852093,0.004433466331263262,0.008344221332157448
0.63,0.63,0.5,9.432016056618942e-10,40.437455852093,0.003907153910353019,0.008923482216429688
0.64,0.64,0.5,9.432016056618942e-10,40.437455852093,0.003867109975820498,0.009817380029004246
0.65,0.65,0.5,9.432016056618942e-10,40.437455852093,0.004205765469318503,0.010732744521132095
0.66,0.66,0.5,9.432016056618942e-10,40.437455852093,0.004844411652675731,0.009520755990904487
0.67,0.67,0.5,9.432016056618942e-10,40.437455852093,0.004312148952897071,0.011290839386486243
0.68,0.68,0.5,9.432016056618942e-10,40.437455852093,0.005073833662337199,0.011778483434334939
0.69,0.69,0.5,9.432016056618942e-10,40.437455852093,0.004807443548160756,0.01265197155911682
0.7,0.7,0.5,9.432016056618942e-10,40.437455852093,0.005722098605042986,0.012926816303620647
0.71,0.71,0.5,9.432016056618942e-10,40.437455852093,0.005616203454398562,0.014350036775337912
0.72,0.72,0.5,9.432016056618942e-10,40.437455852093,0.006466074052147514,0.013153808937873534
0.73,0.73,0.5,9.432016056618942e-10,40.437455852093,0.006905264596768705,0.016559227443137838
0.74,0.74,0.5,9.432016056618942e-10,40.437455852093,0.006824233314174802,0.01877771755020325
0.75,0.75,0.5,9.432016056618942e-10,40.437455852093,0.008390716957164358,0.02054617362244291
0.76,0.76,0.5,9.432016056618942e-10,40.437455852093,0.0069916265630614646,0.017990067897071124
0.77,0.77,0.5,9.432016056618942e-10,40.437455852093,0.00878551584435762,0.020117366479065934
0.78,0.78,0.5,9.432016056618942e-10,40.437455852093,0.010051465799187727,0.02339073548640435
0.79,0.79,0.5,9.432016056618942e-10,40.437455852093,0.00912183941567319,0.02428523631036042
0.8,0.8,0.5,9.432016056618942e-10,40.437455852093,0.009972135952177923,0.028374305318924695
0.81,0.81,0.5,9.432016056618942e-10,40.437455852093,0.009842856678576732,0.029467866579380313
0.82,0.82,0.5,9.432016056618942e-10,40.437455852093,0.012337394360554265,0.031228718400989817
0.83,0.83,0.5,9.432016056618942e-10,40.437455852093,0.012627575231199355,0.037958887504793384
0.84,0.84,0.5,9.432016056618942e-10,40.437455852093,0.012251201182171056,0.03658411422323131
0.85,0.85,0.5,9.432016056618942e-10,40.437455852093,0.017445090256516197,0.046315921466045476
0.86,0.86,0.5,9.432016056618942e-10,40.437455852093,0.01763525566317828,0.05550656803015383
0.87,0.87,0.5,9.432016056618942e-10,40.437455852093,0.017508208725760404,0.05831447617966283
0.88,0.88,0.5,9.432016056618942e-10,40.437455852093,0.02311301302942762,0.06972580145248644
0.89,0.89,0.5,9.432016056618942e-10,40.437455852093,0.02928991294516637,0.07402824002705244
0.9,0.9,0.5,9.432016056618942e-10,40.437455852093,0.027818326432026017,0.09275834658961872
0.91,0.91,0.5,9.432016056618942e-10,40.437455852093,0.032695545083467656,0.11573109104077967
0.92,0.92,0.5,9.432016056618942e-10,40.437455852093,0.046449598257035686,0.14308630192940217
0.93,0.93,0.5,9.432016056618942e-10,40.437455852093,0.04856025440529352,0.1817965744801251
0.94,0.94,0.5,9.432016056618942e-10,40.437455852093,0.07384087693384193,0.24129603739698166
0.95,0.95,0.5,9.432016056618942e-10,40.437455852093,0.07718111380024661,0.37491836317428223
0.96,0.96,0.5,9.432016056618942e-10,40.437455852093,0.11595314087139516,0.5944575963299404
0.97,0.97,0.5,9.432016056618942e-10,40.437455852093,0.2527758678934619,0.8925622182922838
0.98,0.98,0.5,9.432016056618942e-10,40.437455852093,0.49066852409018363,2.1231392801243114
0.99,0.99,0.5,9.432016056618942e-10,40.437455852093,1.552512156306869,7.667621767419283
0.1,0.2,0.5,9.432016056618942e-10,40.437455852093,0.00038450667612562376,0.0012171472639367676
0.1,0.3,0.5,9.432016056618942e-10,40.437455852093,0.0004396377231760881,0.0013335275625898113
0.1,0.4,0.5,9.432016056618942e-10,40.437455852093,0.0005472408786099019,0.0013234814796712585
0.1,0.5,0.5,9.432016056618942e-10,40.437455852093,0.0006428408350802799,0.0017449724730570326
0.1,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0006945511974831766,0.0016341795606298543
0.1,0.7,0.5,9.432016056618942e-10,40.437455852093,0.0008515364762254951,0.001964727538859519
0.1,0.8,0.5,9.432016056618942e-10,40.437455852093,0.0010361098114695805,0.0017632672307605448
0.1,0.9,0.5,9.432016056618942e-10,40.437455852093,0.001012340054669601,0.002208414679465048
0.2,0.3,0.5,9.432016056618942e-10,40.437455852093,0.0005878115173698007,0.0017738592848396543
0.2,0.4,0.5,9.432016056618942e-10,40.437455852093,0.0008210257013382034,0.0017394386078817558
0.2,0.5,0.5,9.432016056618942e-10,40.437455852093,0.0007745200726512543,0.001897367523259459
0.2,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0011207145108449626,0.00224595440482328
0.2,0.7,0.5,9.432016056618942e-10,40.437455852093,0.0010306035115050355,0.002252350372222768
0.2,0.8,0.5,9.432016056618942e-10,40.437455852093,0.001215211986166338,0.00276964626047787
0.2,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0013645323948687992,0.0026661480659241287
0.3,0.4,0.5,9.432016056618942e-10,40.437455852093,0.001140809077314438,0.002788577874951255
0.3,0.5,0.5,9.432016056618942e-10,40.437455852093,0.0012773491077287074,0.0023851524048944584
0.3,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0013078688608953633,0.0027116561751601613
0.3,0.7,0.5,9.432016056618942e-10,40.437455852093,0.001269709207198106,0.002974424002027364
0.3,0.8,0.5,9.432016056618942e-10,40.437455852093,0.0016028858719639573,0.002857056319850981
0.3,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0015697719563231456,0.003208230486279469
0.4,0.5,0.5,9.432016056618942e-10,40.437455852093,0.001546474725272965,0.0036616835849746466
0.4,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0017076383074266887,0.0038446629107543647
0.4,0.7,0.5,9.432016056618942e-10,40.437455852093,0.0017951743681282554,0.003507884570142104
0.4,0.8,0.5,9.432016056618942e-10,40.437455852093,0.0019687548423668023,0.003944409610801079
0.4,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0021783372884746064,0.004267721095470232
0.5,0.6,0.5,9.432016056618942e-10,40.437455852093,0.0023679618341505638,0.0052172821899541645
0.5,0.7,0.5,9.432016056618942e-10,40.437455852093,0.0025778811988969186,0.005971533412916645
0.5,0.8,0.5,9.432016056618942e-10,40.437455852093,0.002637956600720228,0.006837432996528395
0.5,0.9,0.5,9.432016056618942e-10,40.437455852093,0.00275559914724762,0.005279675996550478
0.6,0.7,0.5,9.432016056618942e-10,40.437455852093,0.004000313234809567,0.008564223292704514
0.6,0.8,0.5,9.432016056618942e-10,40.437455852093,0.0037089859507407432,0.009204160551105442
0.6,0.9,0.5,9.432016056618942e-10,40.437455852093,0.004122157298455349,0.008195873054367123
0.7,0.8,0.5,9.432016056618942e-10,40.437455852093,0.006002465629424229,0.013818638555201618
0.7,0.9,0.5,9.432016056618942e-10,40.437455852093,0.0056736028140427506,0.015723523599826723
0.8,0.9,0.5,9.432016056618942e-10,40.437455852093,0.011790374392797336,0.02826045945794828
0.01,0.02,0.5,9.432016056618942e-10,40.437455852093,0.00017731319135587796,0.0007386380762306462
0.01,0.03,0.5,9.432016056618942e-10,40.437455852093,0.00018532319241868593,0.0008031905911878603
0.01,0.04,0.5,9.432016056618942e-10,40.437455852093,0.00018482769980377681,0.0008270306390989787
0.01,0.05,0.5,9.432016056618942e-10,40.437455852093,0.00021670083984135928,0.0009093349676424724
0.01,0.06,0.5,9.432016056618942e-10,40.437455852093,0.00019496048394082024,0.0009283909071007481
0.01,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00020416159944789335,0.0009105949745525983
0.01,0.08,0.5,9.432016056618942e-10,40.437455852093,0.00020801764171290505,0.000999170433642402
0.01,0.09,0.5,9.432016056618942e-10,40.437455852093,0.00020345763367004164,0.0008694705262112269
0.02,0.03,0.5,9.432016056618942e-10,40.437455852093,0.00019241371922453453,0.0009002076888273087
0.02,0.04,0.5,9.432016056618942e-10,40.437455852093,0.00022036363273555327,0.0007618114983807571
0.02,0.05,0.5,9.432016056618942e-10,40.437455852093,0.00024290668363622682,0.0009374384486530778
0.02,0.06,0.5,9.432016056618942e-10,40.437455852093,0.00020165911490834386,0.0008402214373068052
0.02,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00029101298158279947,0.0008606553789947863
0.02,0.08,0.5,9.432016056618942e-10,40.437455852093,0.00018414154479759115,0.0009625544962683169
0.02,0.09,0.5,9.432016056618942e-10,40.437455852093,0.00019586948549229992,0.0010031922541768321
0.03,0.04,0.5,9.432016056618942e-10,40.437455852093,0.00017541934544015278,0.0008753051290110432
0.03,0.05,0.5,9.432016056618942e-10,40.437455852093,0.00019547441142721788,0.0009228918146202378
0.03,0.06,0.5,9.432016056618942e-10,40.437455852093,0.00023090516896586831,0.000992685218285599
0.03,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00025430865337100467,0.0008325212221323144
0.03,0.08,0.5,9.432016056618942e-10,40.437455852093,0.00022670757223399409,0.0009718283481264016
0.03,0.09,0.5,9.432016056618942e-10,40.437455852093,0.0002281390355336658,0.0010304174619506924
0.04,0.05,0.5,9.432016056618942e-10,40.437455852093,0.0002619735342144987,0.0008368988771638797
0.04,0.06,0.5,9.432016056618942e-10,40.437455852093,0.0001958580395186219,0.0010452657674389699
0.04,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00027081906524241195,0.0008705193038094902
0.04,0.08,0.5,9.432016056618942e-10,40.437455852093,0.00023336773657278627,0.0009760967032389037
0.04,0.09,0.5,9.432016056618942e-10,40.437455852093,0.0002638391068584626,0.0009874246468124161
0.05,0.06,0.5,9.432016056618942e-10,40.437455852093,0.00024154404610842573,0.0009594159312584666
0.05,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00025817793927025896,0.0009451866349002649
0.05,0.08,0.5,9.432016056618942e-10,40.437455852093,0.00025822989321517864,0.0009562953302509847
0.05,0.09,0.5,9.432016056618942e-10,40.437455852093,0.00025197544770957095,0.0009496013248514822
0.06,0.07,0.5,9.432016056618942e-10,40.437455852093,0.00027710029065623125,0.001071992081173359
0.06,0.08,0.5,9.432016056618942e-10,40.437455852093,0.0002745620485113041,0.0010096935373105481
0.06,0.09,0.5,9.432016056618942e-10,40.437455852093,0.0003027287571222751,0.001036334126227299
0.07,0.08,0.5,9.432016056618942e-10,40.437455852093,0.00028411317650539803,0.0009696142951144163
0.07,0.09,0.5,9.432016056618942e-10,40.437455852093,0.0002623621422407619,0.0011152168723640025
0.08,0.09,0.5,9.432016056618942e-10,40.437455852093,0.00032596164147891425,0.0010211458688450727
