m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44035579329773,40.358072126274294,0.002899941204731249,0.07938372581870112
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44310349696046,40.42984864778174,0.005647644867465829,0.007607204311256055
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.42436767516615,40.450186494728506,0.01308817692684272,0.012730642635510492
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.441520016028555,40.46037745476197,0.004064163935559861,0.022921602668972696
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.456674823708056,40.5096410139348,0.01921897161506081,0.07218516184180146
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43595776902727,40.38797417942241,0.0014980830657265187,0.049481672670587784
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.42309788800267,40.40335552333246,0.014357964090322639,0.03410032876053748
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.436986668067306,40.39476015160501,0.00046918402568962847,0.042695700487982435
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44039684418566,40.47068792376682,0.002940992092668182,0.03323207167382236
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.428952496156136,40.47691274164911,0.008503355936859691,0.039456889556113595
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.438157544028115,40.466246982058024,0.0007016919351201523,0.028791129965028972
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.41824654336886,40.41691215321555,0.019209308724136065,0.02054369887744656
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43976597476636,40.479409346424944,0.00231012267336439,0.04195349433194906
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43137225415686,40.4233882132255,0.00608359793613289,0.014067638867494736
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43095715378794,40.43662704838445,0.0064986983050516756,0.0008288037085435462
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.42636260715072,40.50444466100394,0.011093244942273373,0.06698880891094205
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43108401674581,40.452573083498315,0.006371835347188437,0.015117231405319842
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.436055782716934,40.485509697665755,0.0014000693760607419,0.04805384557275971
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43530044977482,40.42519723328106,0.0021554023181735715,0.012258618811934241
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43555745827461,40.472747952839164,0.0018983938183865234,0.03529210074616884
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.42627409286899,40.46084607630024,0.011181759224008658,0.023390224207247456
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44011525554678,40.412493002814145,0.002659403453783682,0.024962849278850285
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44157495689608,40.479287218993484,0.004119104803088192,0.04183136690048883
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.433275659047666,40.43017921555109,0.004180193045328906,0.007276636541902803
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43829071049538,40.45657710268699,0.0008348584023849526,0.019121250593997274
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43133386104456,40.415348719975825,0.006121991048438247,0.022107132117170636
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.4411231670938,40.402594013871024,0.0036673150008041944,0.0348618382219712
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44566282250604,40.40478205868087,0.008206970413041859,0.03267379341212262
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43474036745634,40.47665025891789,0.002715484636652832,0.0391944068248975
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.426981241373866,40.38993998231089,0.010474610719128918,0.04751586978210298
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.42202696718338,40.401747462709025,0.01542888490961758,0.03570838938397003
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.441607652144285,40.44270782566842,0.004151800051289456,0.00525197357542595
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.438922364684466,40.47443260928277,0.001466512591470348,0.03697675718977678
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43800083727734,40.451793198363575,0.0005449851843479792,0.014337346270579587
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.439829068175335,40.48705675640529,0.0023732160823399795,0.04960090431229247
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.431668334807235,40.40566992942078,0.005787517285760657,0.031785922672213474
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43947158726161,40.43032065829998,0.0020157351686123093,0.0071351937930117515
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43243496493228,40.3938194456738,0.005020887160718246,0.043636406419196305
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.437200684927674,40.49321016139432,0.0002551671653208132,0.055754309301327964
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.43787179583175,40.45247194018508,0.0004159437387514231,0.015016088092082214
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.433315063901794,40.41863779752425,0.004140788191200784,0.0188180545687473
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.41987373697025,40.43072896921126,0.017582115122742437,0.006726882881736174
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,40.44536318940222,40.38604368289869,0.007907337309227103,0.05141216919430747
