m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,0.006754990175093709,0.021757198646289496
0.01,0.01,0.9936587309970014,9.337695896052754e-10,40.437455852092995,0.0069647731937509,0.02022712661985649
0.02,0.02,0.9872769935436304,9.243375735486561e-10,40.437455852092995,0.0066694491477078234,0.021714974010722882
0.03,0.03,0.9808542678008313,9.14905557492037e-10,40.437455852092995,0.007063393392495641,0.020672702433764328
0.04,0.04,0.9743900238483449,9.054735414354184e-10,40.437455852092995,0.007132173134520599,0.021355061776187782
0.05,0.05,0.9678837214223395,8.960415253787996e-10,40.437455852092995,0.007392327809693427,0.02068534206330668
0.06,0.06,0.9613348096444502,8.866095093221806e-10,40.437455852092995,0.006622679777139524,0.021209982846328485
0.07,0.07,0.9547427267418882,8.771774932655613e-10,40.437455852092995,0.00710225180927192,0.02109545364047021
0.08,0.08,0.9481068997582622,8.677454772089426e-10,40.437455852092995,0.007298762756391767,0.02236192331281397
0.09,0.09,0.9414267442547409,8.583134611523236e-10,40.437455852092995,0.006843639724362305,0.021050783094793076
0.1,0.1,0.9347016640011662,8.488814450957049e-10,40.437455852092995,0.007392854439846559,0.02243288036770278
0.11,0.11,0.9279310506567138,8.394494290390861e-10,40.437455852092995,0.00725369286482416,0.02355466137465234
0.12,0.12,0.9211142834396617,8.300174129824673e-10,40.437455852092995,0.007371372389646794,0.02139854905609576
0.13,0.13,0.9142507287858314,8.20585396925848e-10,40.437455852092995,0.007725816708915503,0.022753642493408405
0.14,0.14,0.9073397399952268,8.111533808692291e-10,40.437455852092995,0.007149642402946597,0.023523787815884517
0.15,0.15,0.9003806568663714,8.017213648126102e-10,40.437455852092995,0.007392777586139189,0.02353741607753227
0.16,0.16,0.89337280531784,7.922893487559912e-10,40.437455852092995,0.0077626901432652174,0.02145635181104562
0.17,0.17,0.8863154969964301,7.828573326993724e-10,40.437455852092995,0.007426788669171316,0.02214470409721784
0.18,0.18,0.8792080288714119,7.734253166427533e-10,40.437455852092995,0.007754806259438553,0.021973783830758507
0.19,0.19,0.8720496828142519,7.639933005861343e-10,40.437455852092995,0.0077088937967705815,0.023472896433583343
0.2,0.2,0.86483972516319,7.545612845295155e-10,40.437455852092995,0.007737780401375588,0.023446524639702714
0.21,0.21,0.8575774062720013,7.451292684728968e-10,40.437455852092995,0.008226439713565754,0.022841684883174052
0.22,0.22,0.8502619600422529,7.356972524162776e-10,40.437455852092995,0.00809460257832228,0.023554681915225785
0.23,0.23,0.8428926034383277,7.262652363596585e-10,40.437455852092995,0.007914994905793974,0.023281208116846103
0.24,0.24,0.8354685359844455,7.168332203030395e-10,40.437455852092995,0.00811460472696612,0.02247001581571331
0.25,0.25,0.8279889392428699,7.074012042464206e-10,40.437455852092995,0.008847670046387762,0.023765606834014505
0.26,0.26,0.8204529762724546,6.979691881898017e-10,40.437455852092995,0.008209572358113633,0.02362203379776949
0.27,0.27,0.8128597910666385,6.885371721331829e-10,40.437455852092995,0.007915722869157805,0.02372250490724021
0.28,0.28,0.8052085079699279,6.791051560765638e-10,40.437455852092995,0.00841508424512351,0.024389300954011078
0.29,0.29,0.797498231071897,6.696731400199447e-10,40.437455852092995,0.00892164627856765,0.024611605323439107
0.3,0.3,0.7897280435776313,6.602411239633259e-10,40.437455852092995,0.008295864393441448,0.025534094916501816
0.31,0.31,0.7818970071535288,6.508091079067069e-10,40.437455852092995,0.008768682851446101,0.026441440144254386
0.32,0.32,0.77400416124728,6.413770918500882e-10,40.437455852092995,0.009302496798529588,0.025716743060463402
0.33,0.33,0.7660485223807948,6.319450757934689e-10,40.437455852092995,0.009823273772767522,0.026676922243057136
0.34,0.34,0.758029083414783,6.225130597368502e-10,40.437455852092995,0.008981717497339232,0.02596407917451201
0.35,0.35,0.7499448127836005,6.130810436802313e-10,40.437455852092995,0.009017795086474578,0.024833866372916433
0.36,0.36,0.7417946536989195,6.036490276236126e-10,40.437455852092995,0.008772436474265987,0.027065315929762038
0.37,0.37,0.7335775233206772,5.942170115669934e-10,40.437455852092995,0.009730335616380486,0.028013708292790825
0.38,0.38,0.7252923118936785,5.847849955103744e-10,40.437455852092995,0.009487090165996989,0.026880689405738435
0.39,0.39,0.7169378818481357,5.753529794537554e-10,40.437455852092995,0.009691327728155756,0.027709631605290212
0.4,0.4,0.7085130668623149,5.659209633971366e-10,40.437455852092995,0.009893483879667798,0.02769256552557323
0.41,0.41,0.7000166708853597,5.564889473405177e-10,40.437455852092995,0.00948776954082939,0.028089593350105788
0.42,0.42,0.6914474671182481,5.470569312838987e-10,40.437455852092995,0.00984836183782889,0.02835971979133876
0.43,0.43,0.6828041969507084,5.376249152272798e-10,40.437455852092995,0.009574242336847604,0.029760099257163816
0.44,0.44,0.6740855688517897,5.281928991706608e-10,40.437455852092995,0.010881017221175597,0.028967958986259843
0.45,0.45,0.6652902572116409,5.187608831140418e-10,40.437455852092995,0.010523661409103767,0.029020753074220862
0.46,0.46,0.6564169011319041,5.09328867057423e-10,40.437455852092995,0.010615584618073144,0.028976181923700578
0.47,0.47,0.6474641031619576,4.99896851000804e-10,40.437455852092995,0.009806043967940667,0.02976111378012881
0.48,0.48,0.6384304279780763,4.904648349441852e-10,40.437455852092995,0.011191115163614783,0.02990234198809887
0.49,0.49,0.6293144010023839,4.810328188875658e-10,40.437455852092995,0.010526143847750405,0.030730932845446816
0.5,0.5,0.6201145069582774,4.716008028309471e-10,40.437455852092995,0.01093122973403419,0.030897129142737585
0.51,0.51,0.6108291883587842,4.6216878677432804e-10,40.437455852092995,0.011043528741396514,0.03289005418982984
0.52,0.52,0.6014568439240734,4.527367707177092e-10,40.437455852092995,0.012148084248612164,0.032830011403979655
0.53,0.53,0.5919958269241085,4.433047546610903e-10,40.437455852092995,0.012192777386887286,0.03243147170359697
0.54,0.54,0.5824444434421473,4.3387273860447116e-10,40.437455852092995,0.011665930477694573,0.033136854869818676
0.55,0.55,0.5728009505545074,4.2444072254785245e-10,40.437455852092995,0.012049045191335707,0.0320017531371563
0.56,0.56,0.563063554421708,4.1500870649123337e-10,40.437455852092995,0.012093869502547377,0.03302952642371074
0.57,0.57,0.5532304082857555,4.0557669043461455e-10,40.437455852092995,0.01294247070111031,0.037052294592423735
0.58,0.58,0.5432996103679851,3.9614467437799573e-10,40.437455852092995,0.01286519078185988,0.03416569297203239
0.59,0.59,0.5332692016614697,3.8671265832137665e-10,40.437455852092995,0.01317838026408812,0.03608292407450972
0.6,0.6,0.5231371636115855,3.772806422647577e-10,40.437455852092995,0.013385942794037093,0.03637440484950389
0.61,0.61,0.5129014156778685,3.678486262081388e-10,40.437455852092995,0.013604884528567198,0.03547901282142146
0.62,0.62,0.5025598127697941,3.584166101515198e-10,40.437455852092995,0.014030701002968769,0.039486502422480696
0.63,0.63,0.49211014254857327,3.4898459409490085e-10,40.437455852092995,0.014201098661499387,0.037347311128477854
0.64,0.64,0.48155012258647906,3.395525780382819e-10,40.437455852092995,0.014034066513725307,0.039071389537476804
0.65,0.65,0.47087739737457307,3.3012056198166295e-10,40.437455852092995,0.014954737616323882,0.0383843586029507
0.66,0.66,0.46008953516903,3.206885459250441e-10,40.437455852092995,0.014263397656031827,0.04192989114398881
0.67,0.67,0.44918402466548485,3.112565298684251e-10,40.437455852092995,0.016277577876027294,0.04079248946113086
0.68,0.68,0.43815827149003633,3.0182451381180613e-10,40.437455852092995,0.015685839446372626,0.040503975611180056
0.69,0.69,0.4270095944946357,2.923924977551873e-10,40.437455852092995,0.015020410517612718,0.042012873653764986
0.7,0.7,0.4157352218436286,2.8296048169856833e-10,40.437455852092995,0.016847578090575382,0.04347070889813884
0.71,0.71,0.40433228687716244,2.7352846564194936e-10,40.437455852092995,0.017196832766387546,0.04646327134750894
0.72,0.72,0.3927978237360112,2.640964495853304e-10,40.437455852092995,0.017117780975179984,0.04568631019320115
0.73,0.73,0.3811287627311192,2.546644335287115e-10,40.437455852092995,0.01853279472483352,0.04898371949698506
0.74,0.74,0.3693219254397696,2.452324174720926e-10,40.437455852092995,0.020113964637137556,0.04737473515380488
0.75,0.75,0.35737401950878844,2.3580040141547356e-10,40.437455852092995,0.019425406268904426,0.05200062548421142
0.76,0.76,0.34528163314351795,2.263683853588546e-10,40.437455852092995,0.01859475052870296,0.04789315358435019
0.77,0.77,0.33304122925948504,2.1693636930223558e-10,40.437455852092995,0.019579131824960568,0.05088722872919472
0.78,0.78,0.32064913927168365,2.0750435324561668e-10,40.437455852092995,0.021202415521361984,0.05568319960743431
0.79,0.79,0.30810155649418186,1.980723371889978e-10,40.437455852092995,0.02293042646077366,0.05167922784173261
0.8,0.8,0.29539452912034764,1.8864032113237884e-10,40.437455852092995,0.023087503620010493,0.058145590667416
0.81,0.81,0.2825239527513005,1.7920830507575986e-10,40.437455852092995,0.02305768330328975,0.06491167855900723
0.82,0.82,0.2694855624372465,1.69776289019141e-10,40.437455852092995,0.025087932187485222,0.06736073472219013
0.83,0.83,0.25627492419307796,1.603442729625221e-10,40.437455852092995,0.026026562365822074,0.06640552007530774
0.84,0.84,0.24288742594601273,1.5091225690590314e-10,40.437455852092995,0.025995210030930124,0.07078899579111388
0.85,0.85,0.2293182678690199,1.4148024084928417e-10,40.437455852092995,0.030347660761417528,0.07104048359591801
0.86,0.86,0.21556245204933774,1.320482247926652e-10,40.437455852092995,0.031166543215896382,0.07723660911318796
0.87,0.87,0.20161477143643658,1.226162087360463e-10,40.437455852092995,0.03708398332572681,0.08404729074937607
0.88,0.88,0.1874697980082618,1.131841926794273e-10,40.437455852092995,0.033119610856558096,0.08606182452788809
0.89,0.89,0.17312187008846108,1.0375217662280834e-10,40.437455852092995,0.04140923093672123,0.09447125916998125
0.9,0.9,0.1585650787404291,9.432016056618942e-11,40.437455852092995,0.043138164499196135,0.10259278115293571
0.91,0.91,0.14379325315634003,8.488814450957043e-11,40.437455852092995,0.042616522217790075,0.10306738052964227
0.92,0.92,0.12879994495075114,7.545612845295152e-11,40.437455852092995,0.05484683857530538,0.124689060865337
0.93,0.93,0.11357841125871503,6.602411239633256e-11,40.437455852092995,0.06312323007171196,0.13140294459843968
0.94,0.94,0.09812159652752409,5.659209633971372e-11,40.437455852092995,0.06776688011346155,0.13504287431692893
0.95,0.95,0.08242211287901122,4.716008028309475e-11,40.437455852092995,0.08127378088356584,0.161095824046832
0.96,0.96,0.06647221890559728,3.7728064226475805e-11,40.437455852092995,0.10356385876996675,0.18753071162181503
0.97,0.97,0.05026379674774627,2.829604816985686e-11,40.437455852092995,0.1333676583948032,0.23788996471200693
0.98,0.98,0.033788327282916586,1.8864032113237902e-11,40.437455852092995,0.206094034676389,0.32319273019829337
0.99,0.99,0.017036863236176657,9.432016056618951e-12,40.437455852092995,0.4151099249598683,0.5249858790917087
0.1,0.2,1.8648397251631903,8.488814450957049e-10,40.437455852092995,0.0038145551640964472,0.011311446014998382
0.1,0.3,2.789728043577632,8.488814450957049e-10,40.437455852092995,0.0023317230759215446,0.008463230685320497
0.1,0.4,3.708513066862316,8.488814450957049e-10,40.437455852092995,0.001932366810043959,0.006504145309447978
0.1,0.5,4.620114506958276,8.488814450957049e-10,40.437455852092995,0.0015447700554099698,0.00500715049723064
0.1,0.6,5.523137163611585,8.488814450957049e-10,40.437455852092995,0.0013025302093663384,0.004737414220407643
0.1,0.7,6.415735221843628,8.488814450957049e-10,40.437455852092995,0.00107201928808432,0.0038054557939704663
0.1,0.8,7.295394529120346,8.488814450957049e-10,40.437455852092995,0.0008940747361842228,0.003429726187845432
0.1,0.9,8.195987029498752,8.488814450957049e-10,40.437455852092995,0.000846330474244482,0.003067950623173971
0.2,0.3,1.289728043577631,7.545612845295155e-10,40.437455852092995,0.005309692504513634,0.016740517470265417
0.2,0.4,1.7085130668623156,7.545612845295155e-10,40.437455852092995,0.004279047080500263,0.012630983440065293
0.2,0.5,2.1201145069582776,7.545612845295155e-10,40.437455852092995,0.0032381073166941974,0.010152834031197714
0.2,0.6,2.5231371636115854,7.545612845295155e-10,40.437455852092995,0.00270954666413283,0.008733688038103125
0.2,0.7,2.915735221843628,7.545612845295155e-10,40.437455852092995,0.0022908103026544496,0.008095153831322335
0.2,0.8,3.3359931249441237,7.545612845295155e-10,40.437455852092995,0.002146843496009879,0.007271181338182487
0.2,0.9,4.536418382828267,7.545612845295155e-10,40.437455852092995,0.0015439247282752718,0.005495391653662992
0.3,0.4,1.0418464001956487,6.602411239633259e-10,40.437455852092995,0.006053871179570919,0.01946462955628094
0.3,0.5,1.2867811736249446,6.602411239633259e-10,40.437455852092995,0.005464613384430166,0.016595132049206925
0.3,0.6,1.5238551221072782,6.602411239633259e-10,40.437455852092995,0.00454796341426379,0.014645751526966549
0.3,0.7,1.7804540248006582,6.602411239633259e-10,40.437455852092995,0.003867644698824421,0.01239411536131695
0.3,0.8,2.1802663867405028,6.602411239633259e-10,40.437455852092995,0.0030462973885896647,0.01061844551246044
0.3,0.9,3.555753648618441,6.602411239633259e-10,40.437455852092995,0.0019296757241537108,0.006780953579945006
0.4,0.5,0.8719887568651661,5.659209633971366e-10,40.437455852092995,0.007946410785062056,0.022837568632548867
0.4,0.6,1.040004453643959,5.659209633971366e-10,40.437455852092995,0.006406335507172656,0.01956829832521858
0.4,0.7,1.2474029062976228,5.659209633971366e-10,40.437455852092995,0.005466320169598902,0.016998012566881927
0.4,0.8,1.621924354411025,5.659209633971366e-10,40.437455852092995,0.004304137675737024,0.013416290971764014
0.4,0.9,2.970877397374573,5.659209633971366e-10,40.437455852092995,0.002291707076348118,0.0075431267289798425
0.5,0.6,0.7441312242084209,4.716008028309471e-10,40.437455852092995,0.009275697746148594,0.02800569481526179
0.5,0.7,0.9109181462991321,4.716008028309471e-10,40.437455852092995,0.006944101006786752,0.02262471154232702
0.5,0.8,1.24047842129593,4.716008028309471e-10,40.437455852092995,0.005167777058489648,0.01644687894181453
0.5,0.9,2.41573522184363,4.716008028309471e-10,40.437455852092995,0.0026455639774382008,0.008804279493471071
0.6,0.7,0.6491258279171362,3.772806422647577e-10,40.437455852092995,0.011567655966796892,0.030607857731057037
0.6,0.8,0.9168332207542781,3.772806422647577e-10,40.437455852092995,0.007810097280634779,0.022239264725041764
0.6,0.9,1.8573740195087889,3.772806422647577e-10,40.437455852092995,0.0036788664437182772,0.011765266790122525
0.7,0.8,0.6073740195087886,2.8296048169856833e-10,40.437455852092995,0.011275449286371626,0.03174853373129603
0.7,0.9,1.2953945291203475,2.8296048169856833e-10,40.437455852092995,0.005455065695710417,0.015472899211194928
0.8,0.9,0.7293182678690189,1.8864032113237884e-10,40.437455852092995,0.009777588978918004,0.027082751159566612
0.01,0.02,1.9872769935436303,9.337695896052754e-10,40.437455852092995,0.003364516611903312,0.011546178220501985
0.01,0.03,2.9808542678008307,9.337695896052754e-10,40.437455852092995,0.002302389962181792,0.008000385424264494
0.01,0.04,3.974390023848344,9.337695896052754e-10,40.437455852092995,0.0017358771166038594,0.005953850980746765
0.01,0.05,4.967883721422339,9.337695896052754e-10,40.437455852092995,0.0013761801144699178,0.005302384307821584
0.01,0.06,5.96133480964445,9.337695896052754e-10,40.437455852092995,0.0011227511179685195,0.004111295244807508
0.01,0.07,6.9547427267418875,9.337695896052754e-10,40.437455852092995,0.000979131751229005,0.003720804917064939
0.01,0.08,7.94810689975826,9.337695896052754e-10,40.437455852092995,0.0008036092815827089,0.0034444480692013427
0.01,0.09,8.941426744254743,9.337695896052754e-10,40.437455852092995,0.0007866390387179507,0.003021859293164496
0.02,0.03,1.480854267800831,9.243375735486561e-10,40.437455852092995,0.004792349012408039,0.015225889972164907
0.02,0.04,1.9743900238483445,9.243375735486561e-10,40.437455852092995,0.0036517141204917324,0.011578049559908436
0.02,0.05,2.4678837214223397,9.243375735486561e-10,40.437455852092995,0.002821364058667058,0.010011762644074296
0.02,0.06,2.96133480964445,9.243375735486561e-10,40.437455852092995,0.0022031521218986968,0.00837453460884501
0.02,0.07,3.4547427267418906,9.243375735486561e-10,40.437455852092995,0.002071049849428775,0.006924207197034974
0.02,0.08,3.9481068997582627,9.243375735486561e-10,40.437455852092995,0.00193230543889419,0.006432876708801317
0.02,0.09,4.4414267442547395,9.243375735486561e-10,40.437455852092995,0.0015877056272304913,0.005808368428574866
0.03,0.04,1.3077233571816786,9.14905557492037e-10,40.437455852092995,0.00534210646081425,0.016402548825786324
0.03,0.05,1.6345503880890069,9.14905557492037e-10,40.437455852092995,0.00430308310258836,0.013527158760687882
0.03,0.06,1.9613348096444505,9.14905557492037e-10,40.437455852092995,0.003388705018480593,0.01228989330367851
0.03,0.07,2.288076060075222,9.14905557492037e-10,40.437455852092995,0.003066488242372344,0.010091722037751083
0.03,0.08,2.614773566424929,9.14905557492037e-10,40.437455852092995,0.0025283334750571527,0.008917255000033335
0.03,0.09,2.941426744254741,9.14905557492037e-10,40.437455852092995,0.0023829399371508232,0.0082151613044894
0.04,0.05,1.2178837214223395,9.054735414354184e-10,40.437455852092995,0.006067664380783881,0.015846880061882316
0.04,0.06,1.4613348096444505,9.054735414354184e-10,40.437455852092995,0.004845465982760529,0.01431477935101907
0.04,0.07,1.7047427267418878,9.054735414354184e-10,40.437455852092995,0.00382678792760143,0.013697528849342376
0.04,0.08,1.948106899758262,9.054735414354184e-10,40.437455852092995,0.003472954106661959,0.01124448105313266
0.04,0.09,2.191426744254741,9.054735414354184e-10,40.437455852092995,0.0030839294710396244,0.01008425602147615
0.05,0.06,1.1613348096444507,8.960415253787996e-10,40.437455852092995,0.005533755857135901,0.017494386272651867
