m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,40.437455852092995,4.1729777154982715e-05,0.0002567184643461771
0.01,0.01,0.9936587309970014,9.337695896052754e-10,40.437455852092995,4.1916165078497147e-05,0.0002312757472467935
0.02,0.02,0.9872769935436304,9.243375735486561e-10,40.437455852092995,3.325408581435297e-05,0.000274107136306159
0.03,0.03,0.9808542678008313,9.14905557492037e-10,40.437455852092995,4.319808492741629e-05,0.00022724037264099404
0.04,0.04,0.9743900238483449,9.054735414354184e-10,40.437455852092995,4.7280790404356814e-05,0.00027231698471982254
0.05,0.05,0.9678837214223395,8.960415253787996e-10,40.437455852092995,4.948821076501893e-05,0.00025908641152230766
0.06,0.06,0.9613348096444502,8.866095093221806e-10,40.437455852092995,3.356565148082237e-05,0.000249584172492555
0.07,0.07,0.9547427267418882,8.771774932655613e-10,40.437455852092995,4.3467165394300024e-05,0.00022697145277206327
0.08,0.08,0.9481068997582622,8.677454772089426e-10,40.437455852092995,4.465014164130323e-05,0.0002493652707765508
0.09,0.09,0.9414267442547409,8.583134611523236e-10,40.437455852092995,3.209772328781157e-05,0.0002629962925198665
0.1,0.1,0.9347016640011662,8.488814450957049e-10,40.437455852092995,5.053783177284761e-05,0.00030032201110649534
0.11,0.11,0.9279310506567138,8.394494290390861e-10,40.437455852092995,4.2657504164218886e-05,0.000295021795591971
0.12,0.12,0.9211142834396617,8.300174129824673e-10,40.437455852092995,5.104777124926613e-05,0.00026076232012583697
0.13,0.13,0.9142507287858314,8.20585396925848e-10,40.437455852092995,5.8296554954358494e-05,0.000298685781946492
0.14,0.14,0.9073397399952268,8.111533808692291e-10,40.437455852092995,4.253214387735577e-05,0.0003174516697365447
0.15,0.15,0.9003806568663714,8.017213648126102e-10,40.437455852092995,4.201694915064601e-05,0.00028408730700772857
0.16,0.16,0.89337280531784,7.922893487559912e-10,40.437455852092995,4.744328853301991e-05,0.00027484873408956746
0.17,0.17,0.8863154969964301,7.828573326993724e-10,40.437455852092995,5.130304805602554e-05,0.00027633086485411896
0.18,0.18,0.8792080288714119,7.734253166427533e-10,40.437455852092995,5.186523342046588e-05,0.0002911437806756927
0.19,0.19,0.8720496828142519,7.639933005861343e-10,40.437455852092995,5.470098481359891e-05,0.00030404532380361307
0.2,0.2,0.86483972516319,7.545612845295155e-10,40.437455852092995,4.621113115340984e-05,0.00032800402057610046
0.21,0.21,0.8575774062720013,7.451292684728968e-10,40.437455852092995,5.343918515421225e-05,0.0002825713622117491
0.22,0.22,0.8502619600422529,7.356972524162776e-10,40.437455852092995,5.1768553984612466e-05,0.0003192880098762869
0.23,0.23,0.8428926034383277,7.262652363596585e-10,40.437455852092995,5.000549240516486e-05,0.0003146203674029235
0.24,0.24,0.8354685359844455,7.168332203030395e-10,40.437455852092995,6.454643516558564e-05,0.00033761457287936376
0.25,0.25,0.8279889392428699,7.074012042464206e-10,40.437455852092995,6.399124144098967e-05,0.0003114878481554706
0.26,0.26,0.8204529762724546,6.979691881898017e-10,40.437455852092995,5.60625917885894e-05,0.00030091449447475297
0.27,0.27,0.8128597910666385,6.885371721331829e-10,40.437455852092995,5.727285127744853e-05,0.00030900642526230244
0.28,0.28,0.8052085079699279,6.791051560765638e-10,40.437455852092995,6.333501797901753e-05,0.00032500101906696703
0.29,0.29,0.797498231071897,6.696731400199447e-10,40.437455852092995,6.57583887409979e-05,0.0003699863586770315
0.3,0.3,0.7897280435776313,6.602411239633259e-10,40.437455852092995,5.812529543833474e-05,0.0003544200262806099
0.31,0.31,0.7818970071535288,6.508091079067069e-10,40.437455852092995,7.167443581259315e-05,0.00036023440129078616
0.32,0.32,0.77400416124728,6.413770918500882e-10,40.437455852092995,8.58970442211721e-05,0.00038747596130717766
0.33,0.33,0.7660485223807948,6.319450757934689e-10,40.437455852092995,8.057143755119666e-05,0.0003723939120073331
0.34,0.34,0.758029083414783,6.225130597368502e-10,40.437455852092995,6.769394834529858e-05,0.00041450871563374346
0.35,0.35,0.7499448127836005,6.130810436802313e-10,40.437455852092995,6.97359885274905e-05,0.0003590437667159559
0.36,0.36,0.7417946536989195,6.036490276236126e-10,40.437455852092995,6.452812873062602e-05,0.0003963974479231146
0.37,0.37,0.7335775233206772,5.942170115669934e-10,40.437455852092995,0.00010518689254538446,0.00043053695930997475
0.38,0.38,0.7252923118936785,5.847849955103744e-10,40.437455852092995,7.255700817000687e-05,0.0004281578914291817
0.39,0.39,0.7169378818481357,5.753529794537554e-10,40.437455852092995,7.874933945456797e-05,0.00046183120571245115
0.4,0.4,0.7085130668623149,5.659209633971366e-10,40.437455852092995,8.072128680095643e-05,0.0004616283943696104
0.41,0.41,0.7000166708853597,5.564889473405177e-10,40.437455852092995,7.555240559358668e-05,0.00043161804923907044
0.42,0.42,0.6914474671182481,5.470569312838987e-10,40.437455852092995,6.79862480010163e-05,0.0004483463264509856
0.43,0.43,0.6828041969507084,5.376249152272798e-10,40.437455852092995,7.115195950102881e-05,0.0004571661234494229
0.44,0.44,0.6740855688517897,5.281928991706608e-10,40.437455852092995,0.00010476006237190965,0.00047267573212107295
0.45,0.45,0.6652902572116409,5.187608831140418e-10,40.437455852092995,8.77433198710775e-05,0.00045284658974755707
0.46,0.46,0.6564169011319041,5.09328867057423e-10,40.437455852092995,9.445899327938613e-05,0.0005146595614389158
0.47,0.47,0.6474641031619576,4.99896851000804e-10,40.437455852092995,8.873837887690801e-05,0.00048826101364718026
0.48,0.48,0.6384304279780763,4.904648349441852e-10,40.437455852092995,0.0001154236870392996,0.000521140215067873
0.49,0.49,0.6293144010023839,4.810328188875658e-10,40.437455852092995,9.467193235040595e-05,0.0005194202545094833
0.5,0.5,0.6201145069582774,4.716008028309471e-10,40.437455852092995,0.00010375519518959327,0.0005349861311442631
0.51,0.51,0.6108291883587842,4.6216878677432804e-10,40.437455852092995,0.0001041573132173267,0.000562240396618021
0.52,0.52,0.6014568439240734,4.527367707177092e-10,40.437455852092995,0.00013441332845548425,0.000562949755844722
0.53,0.53,0.5919958269241085,4.433047546610903e-10,40.437455852092995,0.00012908775382967325,0.0006102084842374838
0.54,0.54,0.5824444434421473,4.3387273860447116e-10,40.437455852092995,0.00011154374705767615,0.0006412050558341405
0.55,0.55,0.5728009505545074,4.2444072254785245e-10,40.437455852092995,0.00013264180113600226,0.0005966417503499585
0.56,0.56,0.563063554421708,4.1500870649123337e-10,40.437455852092995,0.00012473585442768402,0.0006460565016590809
0.57,0.57,0.5532304082857555,4.0557669043461455e-10,40.437455852092995,0.00014998013665124668,0.0007149384158046104
0.58,0.58,0.5432996103679851,3.9614467437799573e-10,40.437455852092995,0.0001462882068745336,0.0006911134776318738
0.59,0.59,0.5332692016614697,3.8671265832137665e-10,40.437455852092995,0.00013521435635232155,0.0006804624702289729
0.6,0.6,0.5231371636115855,3.772806422647577e-10,40.437455852092995,0.00016828535527918718,0.0007227218621441683
0.61,0.61,0.5129014156778685,3.678486262081388e-10,40.437455852092995,0.00017760732828658033,0.0006611747806852552
0.62,0.62,0.5025598127697941,3.584166101515198e-10,40.437455852092995,0.00016448714592523012,0.0008862108049498037
0.63,0.63,0.49211014254857327,3.4898459409490085e-10,40.437455852092995,0.0001817479053499662,0.0007742428086912825
0.64,0.64,0.48155012258647906,3.395525780382819e-10,40.437455852092995,0.0001966603885842886,0.0008594144337698248
0.65,0.65,0.47087739737457307,3.3012056198166295e-10,40.437455852092995,0.00019073927983978705,0.0008667196469469571
0.66,0.66,0.46008953516903,3.206885459250441e-10,40.437455852092995,0.00016124305183778053,0.0009604609257619471
0.67,0.67,0.44918402466548485,3.112565298684251e-10,40.437455852092995,0.00020880004068036428,0.0009397093273047832
0.68,0.68,0.43815827149003633,3.0182451381180613e-10,40.437455852092995,0.00021409990262625256,0.0009782092073468214
0.69,0.69,0.4270095944946357,2.923924977551873e-10,40.437455852092995,0.00022505110844872584,0.0010108607413276645
0.7,0.7,0.4157352218436286,2.8296048169856833e-10,40.437455852092995,0.00028231693419687016,0.0009650957048266988
0.71,0.71,0.40433228687716244,2.7352846564194936e-10,40.437455852092995,0.0002395720349773846,0.001197963687585079
0.72,0.72,0.3927978237360112,2.640964495853304e-10,40.437455852092995,0.0002564084338344432,0.0011946358636982161
0.73,0.73,0.3811287627311192,2.546644335287115e-10,40.437455852092995,0.00029742825905175783,0.0013893743836549514
0.74,0.74,0.3693219254397696,2.452324174720926e-10,40.437455852092995,0.00033973013530512615,0.0012485517490454469
0.75,0.75,0.35737401950878844,2.3580040141547356e-10,40.437455852092995,0.00030766488926517324,0.0014503202203839125
0.76,0.76,0.34528163314351795,2.263683853588546e-10,40.437455852092995,0.0003075446109786919,0.0013686700142684614
0.77,0.77,0.33304122925948504,2.1693636930223558e-10,40.437455852092995,0.00036849663353557394,0.001527520604345995
0.78,0.78,0.32064913927168365,2.0750435324561668e-10,40.437455852092995,0.00038760011303306776,0.001984508852033151
0.79,0.79,0.30810155649418186,1.980723371889978e-10,40.437455852092995,0.0004436805782216221,0.0016240577015878524
0.8,0.8,0.29539452912034764,1.8864032113237884e-10,40.437455852092995,0.00043600835752848944,0.0019162723918503756
0.81,0.81,0.2825239527513005,1.7920830507575986e-10,40.437455852092995,0.00046554441187020426,0.0022846669789591753
0.82,0.82,0.2694855624372465,1.69776289019141e-10,40.437455852092995,0.0005532394707402054,0.0025037504059914487
0.83,0.83,0.25627492419307796,1.603442729625221e-10,40.437455852092995,0.0005325992255007669,0.0023084425462933603
0.84,0.84,0.24288742594601273,1.5091225690590314e-10,40.437455852092995,0.0006877977578815745,0.0027622396432382106
0.85,0.85,0.2293182678690199,1.4148024084928417e-10,40.437455852092995,0.0008281431142080438,0.003079144908045485
0.86,0.86,0.21556245204933774,1.320482247926652e-10,40.437455852092995,0.0008480520292400218,0.0032389284255878287
0.87,0.87,0.20161477143643658,1.226162087360463e-10,40.437455852092995,0.0013064698527794503,0.004372406985182348
0.88,0.88,0.1874697980082618,1.131841926794273e-10,40.437455852092995,0.0009936059119996863,0.004263816024751945
0.89,0.89,0.17312187008846108,1.0375217662280834e-10,40.437455852092995,0.0013974253806325085,0.00539959527411548
0.9,0.9,0.1585650787404291,9.432016056618942e-11,40.437455852092995,0.0014430244175341537,0.006087485740287517
0.91,0.91,0.14379325315634003,8.488814450957043e-11,40.437455852092995,0.0016475850744722786,0.006919858377021942
