m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,40.437455852093,0.006885905531179361,0.02009189741351217
0.01,0.01,1.0,9.432016056618942e-10,40.437455852093,0.009345386827452827,0.022411714625272423
0.02,0.02,1.0,9.432016056618942e-10,40.437455852093,0.010337273492461961,0.021617544322371656
0.03,0.03,1.0,9.432016056618942e-10,40.437455852093,0.011816461927371378,0.02333216497625459
0.04,0.04,1.0,9.432016056618942e-10,40.437455852093,0.01372948353559886,0.025057083844988524
0.05,0.05,1.0,9.432016056618942e-10,40.437455852093,0.01483576197209588,0.0247489329541943
0.06,0.06,1.0,9.432016056618942e-10,40.437455852093,0.016012973081178473,0.02640893932894646
0.07,0.07,1.0,9.432016056618942e-10,40.437455852093,0.01668625704512476,0.024526968629968664
0.08,0.08,1.0,9.432016056618942e-10,40.437455852093,0.01737717825378695,0.02703151259980771
0.09,0.09,1.0,9.432016056618942e-10,40.437455852093,0.019017484014212556,0.02822175304978492
0.1,0.1,1.0,9.432016056618942e-10,40.437455852093,0.021497922988538976,0.030343612488391614
0.11,0.11,1.0,9.432016056618942e-10,40.437455852093,0.022446340518305675,0.030335702327551714
0.12,0.12,1.0,9.432016056618942e-10,40.437455852093,0.022326681341720004,0.03022481265750824
0.13,0.13,1.0,9.432016056618942e-10,40.437455852093,0.02250122078953167,0.03212222856485819
0.14,0.14,1.0,9.432016056618942e-10,40.437455852093,0.024715933605330292,0.03380942788000861
0.15,0.15,1.0,9.432016056618942e-10,40.437455852093,0.02304654883773857,0.03125920350198427
0.16,0.16,1.0,9.432016056618942e-10,40.437455852093,0.025335923811039933,0.03213880028335152
0.17,0.17,1.0,9.432016056618942e-10,40.437455852093,0.024459700902184012,0.0323826390858958
0.18,0.18,1.0,9.432016056618942e-10,40.437455852093,0.026015083151967856,0.03564330419428225
0.19,0.19,1.0,9.432016056618942e-10,40.437455852093,0.027693339742504323,0.035275927267453
0.2,0.2,1.0,9.432016056618942e-10,40.437455852093,0.028744225025942656,0.038913186882101075
0.21,0.21,1.0,9.432016056618942e-10,40.437455852093,0.031314224425096085,0.040818101644217536
0.22,0.22,1.0,9.432016056618942e-10,40.437455852093,0.03204147523389165,0.04266748940941618
0.23,0.23,1.0,9.432016056618942e-10,40.437455852093,0.03271733122053519,0.040260926025772664
0.24,0.24,1.0,9.432016056618942e-10,40.437455852093,0.03198611591762092,0.03908944731357913
0.25,0.25,1.0,9.432016056618942e-10,40.437455852093,0.03299404609153416,0.04076258430565154
0.26,0.26,1.0,9.432016056618942e-10,40.437455852093,0.03240812207504841,0.042726324227572346
0.27,0.27,1.0,9.432016056618942e-10,40.437455852093,0.03340995073670116,0.0419175902919274
0.28,0.28,1.0,9.432016056618942e-10,40.437455852093,0.03497597803244769,0.04436910216466001
0.29,0.29,1.0,9.432016056618942e-10,40.437455852093,0.03395001043680274,0.043229335896688995
0.3,0.3,1.0,9.432016056618942e-10,40.437455852093,0.0386240689086836,0.043645968504698644
0.31,0.31,1.0,9.432016056618942e-10,40.437455852093,0.037040020337048375,0.04470119957198615
0.32,0.32,1.0,9.432016056618942e-10,40.437455852093,0.0386080718785053,0.0476727435979486
0.33,0.33,1.0,9.432016056618942e-10,40.437455852093,0.03811793796857805,0.045462526458150125
0.34,0.34,1.0,9.432016056618942e-10,40.437455852093,0.041663480777868245,0.051113903314855366
0.35,0.35,1.0,9.432016056618942e-10,40.437455852093,0.04139050478950479,0.04890501782658926
0.36,0.36,1.0,9.432016056618942e-10,40.437455852093,0.041619383330948494,0.05141341149381212
0.37,0.37,1.0,9.432016056618942e-10,40.437455852093,0.041160869599426775,0.05404906462141331
0.38,0.38,1.0,9.432016056618942e-10,40.437455852093,0.046873153941067856,0.05608454953645989
0.39,0.39,1.0,9.432016056618942e-10,40.437455852093,0.043743808354329713,0.055348105777494806
