m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,40.437455852093,4.2332225409667705e-05,0.0002494457533691228
0.01,0.01,1.0,9.432016056618942e-10,40.437455852093,6.17355402555509e-05,0.0002709986785655493
0.02,0.02,1.0,9.432016056618942e-10,40.437455852093,7.658286731158416e-05,0.0003010796661455996
0.03,0.03,1.0,9.432016056618942e-10,40.437455852093,8.854080649666733e-05,0.0002885266050205397
0.04,0.04,1.0,9.432016056618942e-10,40.437455852093,0.00011717441475979963,0.00028617624806217737
0.05,0.05,1.0,9.432016056618942e-10,40.437455852093,0.00012244431655723218,0.00037322398315120335
0.06,0.06,1.0,9.432016056618942e-10,40.437455852093,0.00014706766711862168,0.00035664425332071454
0.07,0.07,1.0,9.432016056618942e-10,40.437455852093,0.0001618762192588355,0.00041805487660024075
0.08,0.08,1.0,9.432016056618942e-10,40.437455852093,0.0001893494174705635,0.00043974743530225387
0.09,0.09,1.0,9.432016056618942e-10,40.437455852093,0.00022448971788842636,0.00048797602375725077
0.1,0.1,1.0,9.432016056618942e-10,40.437455852093,0.00025143277596267086,0.00045726393477618264
0.11,0.11,1.0,9.432016056618942e-10,40.437455852093,0.00024808953614320053,0.0005382527497913432
0.12,0.12,1.0,9.432016056618942e-10,40.437455852093,0.0002375009013616196,0.0005128815367970362
0.13,0.13,1.0,9.432016056618942e-10,40.437455852093,0.00028909976794749283,0.000459292665671314
0.14,0.14,1.0,9.432016056618942e-10,40.437455852093,0.0003327709138345506,0.000602716982873209
0.15,0.15,1.0,9.432016056618942e-10,40.437455852093,0.0003092982196053571,0.0006324198937832647
0.16,0.16,1.0,9.432016056618942e-10,40.437455852093,0.0004121269127685885,0.0006936843787396562
0.17,0.17,1.0,9.432016056618942e-10,40.437455852093,0.00035756680350734326,0.0006666574932469833
0.18,0.18,1.0,9.432016056618942e-10,40.437455852093,0.00037889639137736583,0.0008392207931433846
0.19,0.19,1.0,9.432016056618942e-10,40.437455852093,0.00040723139508316327,0.0007584562158647897
0.2,0.2,1.0,9.432016056618942e-10,40.437455852093,0.0005028865129179138,0.0007870818776352798
0.21,0.21,1.0,9.432016056618942e-10,40.437455852093,0.00045166196200306164,0.0008561188304525922
0.22,0.22,1.0,9.432016056618942e-10,40.437455852093,0.0006148637680905712,0.0008431198601911576
0.23,0.23,1.0,9.432016056618942e-10,40.437455852093,0.0005430650375325645,0.000915762508572679
0.24,0.24,1.0,9.432016056618942e-10,40.437455852093,0.000663694356717033,0.0010400337909597243
0.25,0.25,1.0,9.432016056618942e-10,40.437455852093,0.000656638140733176,0.0009887418776897278
0.26,0.26,1.0,9.432016056618942e-10,40.437455852093,0.000699081343505485,0.00104721311473571
0.27,0.27,1.0,9.432016056618942e-10,40.437455852093,0.0006531183512250888,0.0010998323308048878
0.28,0.28,1.0,9.432016056618942e-10,40.437455852093,0.000666416967903738,0.0010914001820845351
0.29,0.29,1.0,9.432016056618942e-10,40.437455852093,0.0008052394096847193,0.0012352002525134445
0.3,0.3,1.0,9.432016056618942e-10,40.437455852093,0.0009504239590637538,0.0013071015832799991
0.31,0.31,1.0,9.432016056618942e-10,40.437455852093,0.0008533875441943858,0.0013666903708117449
0.32,0.32,1.0,9.432016056618942e-10,40.437455852093,0.0010011650011953518,0.001335676064858507
0.33,0.33,1.0,9.432016056618942e-10,40.437455852093,0.0007894978525302795,0.0014471154927845084
0.34,0.34,1.0,9.432016056618942e-10,40.437455852093,0.0010228817251937239,0.001382014316501748
0.35,0.35,1.0,9.432016056618942e-10,40.437455852093,0.0009717094174272757,0.0017693630997478575
0.36,0.36,1.0,9.432016056618942e-10,40.437455852093,0.0009415154049851761,0.0015326375480064092
0.37,0.37,1.0,9.432016056618942e-10,40.437455852093,0.0010917688365976945,0.0014819836981898931
0.38,0.38,1.0,9.432016056618942e-10,40.437455852093,0.0010800836241982982,0.0015218847498182648
0.39,0.39,1.0,9.432016056618942e-10,40.437455852093,0.0010645325416547306,0.0015211521388040319
0.4,0.4,1.0,9.432016056618942e-10,40.437455852093,0.001273734364314398,0.0019969105031288105
0.41,0.41,1.0,9.432016056618942e-10,40.437455852093,0.0013664721029957472,0.0019499353435156238
0.42,0.42,1.0,9.432016056618942e-10,40.437455852093,0.001183796294328979,0.001692284421742095
0.43,0.43,1.0,9.432016056618942e-10,40.437455852093,0.001513070942647109,0.0021836638222896216
0.44,0.44,1.0,9.432016056618942e-10,40.437455852093,0.0016920172047545365,0.0024420229076744246
0.45,0.45,1.0,9.432016056618942e-10,40.437455852093,0.0014670624506871767,0.0021835389203224012
0.46,0.46,1.0,9.432016056618942e-10,40.437455852093,0.0016178835881130002,0.0024264593664775585
