m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,40.437455852092995,0.003318355735918601,0.010540161696201736
0.01,0.01,2.0,9.432016056618942e-10,40.437455852092995,0.0035386500385149447,0.011120505226195192
0.02,0.02,2.0,9.432016056618942e-10,40.437455852092995,0.003488166751187762,0.010986233863343258
0.03,0.03,2.0,9.432016056618942e-10,40.437455852092995,0.0033523376327194965,0.011511234195266425
0.04,0.04,2.0,9.432016056618942e-10,40.437455852092995,0.003444198065526379,0.010914772879940983
0.05,0.05,2.0,9.432016056618942e-10,40.437455852092995,0.003512194926654061,0.011171471744040389
0.06,0.06,2.0,9.432016056618942e-10,40.437455852092995,0.0035502463768483637,0.011029134902582867
0.07,0.07,2.0,9.432016056618942e-10,40.437455852092995,0.0035228447890474682,0.011306534599239469
0.08,0.08,2.0,9.432016056618942e-10,40.437455852092995,0.0034584507481011002,0.010808461077128712
0.09,0.09,2.0,9.432016056618942e-10,40.437455852092995,0.003437725053612411,0.011458157480583153
0.1,0.1,2.0,9.432016056618942e-10,40.437455852092995,0.0032936570896378043,0.011899386140377687
0.11,0.11,2.0,9.432016056618942e-10,40.437455852092995,0.0035387731291947945,0.01106843020637119
0.12,0.12,2.0,9.432016056618942e-10,40.437455852092995,0.0034433971173617266,0.01070814494190212
0.13,0.13,2.0,9.432016056618942e-10,40.437455852092995,0.0035329999606198044,0.01211420508042555
0.14,0.14,2.0,9.432016056618942e-10,40.437455852092995,0.0035476131341758334,0.01142604450070023
0.15,0.15,2.0,9.432016056618942e-10,40.437455852092995,0.0031941826641088797,0.01071741329295456
0.16,0.16,2.0,9.432016056618942e-10,40.437455852092995,0.003139970805101882,0.011045320717775212
0.17,0.17,2.0,9.432016056618942e-10,40.437455852092995,0.0035169866633863196,0.011894529150544614
0.18,0.18,2.0,9.432016056618942e-10,40.437455852092995,0.0034983373179702823,0.011127658001752635
0.19,0.19,2.0,9.432016056618942e-10,40.437455852092995,0.0033453773879743524,0.011159274121546417
0.2,0.2,2.0,9.432016056618942e-10,40.437455852092995,0.003357327952895318,0.011219777208710098
0.21,0.21,2.0,9.432016056618942e-10,40.437455852092995,0.0037534611177466102,0.010949736618779099
0.22,0.22,2.0,9.432016056618942e-10,40.437455852092995,0.003289482678111412,0.011010763278531656
0.23,0.23,2.0,9.432016056618942e-10,40.437455852092995,0.0032864558420189526,0.011404543198964135
0.24,0.24,2.0,9.432016056618942e-10,40.437455852092995,0.0035415298055417564,0.011338570256899232
0.25,0.25,2.0,9.432016056618942e-10,40.437455852092995,0.003572761425502122,0.010968041791451328
0.26,0.26,2.0,9.432016056618942e-10,40.437455852092995,0.0033327861903882905,0.010955660751644274
0.27,0.27,2.0,9.432016056618942e-10,40.437455852092995,0.0033215573448414516,0.011273455289426422
0.28,0.28,2.0,9.432016056618942e-10,40.437455852092995,0.003464279230301287,0.010930329584032962
0.29,0.29,2.0,9.432016056618942e-10,40.437455852092995,0.0033407370129425688,0.01124039452011121
0.3,0.3,2.0,9.432016056618942e-10,40.437455852092995,0.003460441889673888,0.011509264386736901
0.31,0.31,2.0,9.432016056618942e-10,40.437455852092995,0.0031980497913773574,0.010888619548750242
0.32,0.32,2.0,9.432016056618942e-10,40.437455852092995,0.0033214696197157,0.01139672911633697
0.33,0.33,2.0,9.432016056618942e-10,40.437455852092995,0.003370830294187698,0.012158438377825135
0.34,0.34,2.0,9.432016056618942e-10,40.437455852092995,0.00323520061072378,0.011401078649614576
0.35,0.35,2.0,9.432016056618942e-10,40.437455852092995,0.0036214118304780385,0.011620268552733834
0.36,0.36,2.0,9.432016056618942e-10,40.437455852092995,0.0034688298645602915,0.010966743127901822
0.37,0.37,2.0,9.432016056618942e-10,40.437455852092995,0.0035459334455646284,0.011240098164736964
0.38,0.38,2.0,9.432016056618942e-10,40.437455852092995,0.0032336010615431404,0.010897860394710761
0.39,0.39,2.0,9.432016056618942e-10,40.437455852092995,0.003323139212040502,0.01126835548070558
0.4,0.4,2.0,9.432016056618942e-10,40.437455852092995,0.0035304367275087144,0.011338534015886765
0.41,0.41,2.0,9.432016056618942e-10,40.437455852092995,0.0033633491968824386,0.0110932457328677
0.42,0.42,2.0,9.432016056618942e-10,40.437455852092995,0.003244154460017114,0.01117351745247592
0.43,0.43,2.0,9.432016056618942e-10,40.437455852092995,0.0033341244286742865,0.011758675211400088
0.44,0.44,2.0,9.432016056618942e-10,40.437455852092995,0.003478355042890911,0.01143027969032046
0.45,0.45,2.0,9.432016056618942e-10,40.437455852092995,0.0033825690350986547,0.010813156666181215
0.46,0.46,2.0,9.432016056618942e-10,40.437455852092995,0.003580354466925101,0.011798637595138502
0.47,0.47,2.0,9.432016056618942e-10,40.437455852092995,0.003494059932081328,0.010457441715123096
0.48,0.48,2.0,9.432016056618942e-10,40.437455852092995,0.0036233915746149707,0.011146812959250525
0.49,0.49,2.0,9.432016056618942e-10,40.437455852092995,0.0032934238209465436,0.011524087556360073
0.5,0.5,2.0,9.432016056618942e-10,40.437455852092995,0.003385719970880629,0.011179375414701752
0.51,0.51,2.0,9.432016056618942e-10,40.437455852092995,0.0037665319585355947,0.011270332454339496
0.52,0.52,2.0,9.432016056618942e-10,40.437455852092995,0.0034040547511347227,0.011601713807427671
0.53,0.53,2.0,9.432016056618942e-10,40.437455852092995,0.002982929321581395,0.011036753076355382
0.54,0.54,2.0,9.432016056618942e-10,40.437455852092995,0.003605464409661309,0.010634404553030009
0.55,0.55,2.0,9.432016056618942e-10,40.437455852092995,0.003332225865041096,0.01134939892610521
0.56,0.56,2.0,9.432016056618942e-10,40.437455852092995,0.0035699227032329334,0.010502374273013317
0.57,0.57,2.0,9.432016056618942e-10,40.437455852092995,0.003442941654361576,0.011784494166953636
0.58,0.58,2.0,9.432016056618942e-10,40.437455852092995,0.003372381177061513,0.010749637011556672
0.59,0.59,2.0,9.432016056618942e-10,40.437455852092995,0.00342029058372097,0.010130567214547867
0.6,0.6,2.0,9.432016056618942e-10,40.437455852092995,0.003287227626275836,0.011264967490115168
0.61,0.61,2.0,9.432016056618942e-10,40.437455852092995,0.0034498429286412744,0.011386834149365355
0.62,0.62,2.0,9.432016056618942e-10,40.437455852092995,0.003159533701200971,0.010450689968156013
0.63,0.63,2.0,9.432016056618942e-10,40.437455852092995,0.003588578617832397,0.011174133076861877
0.64,0.64,2.0,9.432016056618942e-10,40.437455852092995,0.0035032530681719295,0.01164350938445628
0.65,0.65,2.0,9.432016056618942e-10,40.437455852092995,0.003429581761316328,0.011163904774801168
0.66,0.66,2.0,9.432016056618942e-10,40.437455852092995,0.0035907274871918417,0.011310276090566005
0.67,0.67,2.0,9.432016056618942e-10,40.437455852092995,0.00346582506977785,0.010990560691829458
0.68,0.68,2.0,9.432016056618942e-10,40.437455852092995,0.003372012259030427,0.011127661159305675
0.69,0.69,2.0,9.432016056618942e-10,40.437455852092995,0.003334836956275936,0.01148237295995024
0.7,0.7,2.0,9.432016056618942e-10,40.437455852092995,0.0035391054609441993,0.011305391330293603
0.71,0.71,2.0,9.432016056618942e-10,40.437455852092995,0.003536725670580395,0.011109032552291623
0.72,0.72,2.0,9.432016056618942e-10,40.437455852092995,0.003707082645602668,0.01124955347130782
0.73,0.73,2.0,9.432016056618942e-10,40.437455852092995,0.003102051611676501,0.011082552440241557
0.74,0.74,2.0,9.432016056618942e-10,40.437455852092995,0.0032643303272140967,0.011343916118693826
0.75,0.75,2.0,9.432016056618942e-10,40.437455852092995,0.003351731581880287,0.011671605206408699
0.76,0.76,2.0,9.432016056618942e-10,40.437455852092995,0.0034234881328840034,0.011410720066602521
0.77,0.77,2.0,9.432016056618942e-10,40.437455852092995,0.0033539237248651262,0.011039536129601615
0.78,0.78,2.0,9.432016056618942e-10,40.437455852092995,0.0035143218273677233,0.01148113555679049
0.79,0.79,2.0,9.432016056618942e-10,40.437455852092995,0.0033546031007141296,0.011117836253228305
0.8,0.8,2.0,9.432016056618942e-10,40.437455852092995,0.0033118077760127705,0.011107211651625903
0.81,0.81,2.0,9.432016056618942e-10,40.437455852092995,0.0031779986750979533,0.010813578786381712
0.82,0.82,2.0,9.432016056618942e-10,40.437455852092995,0.0034696772382456233,0.010967224692468719
0.83,0.83,2.0,9.432016056618942e-10,40.437455852092995,0.003319677782487659,0.01138471491617888
0.84,0.84,2.0,9.432016056618942e-10,40.437455852092995,0.0034077358085432222,0.01157772694307738
0.85,0.85,2.0,9.432016056618942e-10,40.437455852092995,0.0034380308909545505,0.010931306366114044
0.86,0.86,2.0,9.432016056618942e-10,40.437455852092995,0.003500032700185983,0.011143328404043714
0.87,0.87,2.0,9.432016056618942e-10,40.437455852092995,0.0033694982432949986,0.011721573908515949
0.88,0.88,2.0,9.432016056618942e-10,40.437455852092995,0.0034537220620639887,0.010734228452297727
0.89,0.89,2.0,9.432016056618942e-10,40.437455852092995,0.003408118053367204,0.011353480125108575
0.9,0.9,2.0,9.432016056618942e-10,40.437455852092995,0.0033053466177623394,0.011581871478923488
0.91,0.91,2.0,9.432016056618942e-10,40.437455852092995,0.003336610882749639,0.0110211693773783
0.92,0.92,2.0,9.432016056618942e-10,40.437455852092995,0.003257860460382943,0.010568502612999766
0.93,0.93,2.0,9.432016056618942e-10,40.437455852092995,0.0036175140456727066,0.010950385257192849
0.94,0.94,2.0,9.432016056618942e-10,40.437455852092995,0.003408420168432912,0.011231919899782086
0.95,0.95,2.0,9.432016056618942e-10,40.437455852092995,0.0032203252282809276,0.01079469521674585
0.96,0.96,2.0,9.432016056618942e-10,40.437455852092995,0.0032940921151338644,0.011168790113933695
0.97,0.97,2.0,9.432016056618942e-10,40.437455852092995,0.003501633008075871,0.011315409508608142
0.98,0.98,2.0,9.432016056618942e-10,40.437455852092995,0.0035218042924410327,0.011149174480431413
0.99,0.99,2.0,9.432016056618942e-10,40.437455852092995,0.0035122652877999485,0.011032660697137858
0.1,0.2,2.0,9.432016056618942e-10,40.437455852092995,0.0034965415352773447,0.011204009034708548
0.1,0.3,2.0,9.432016056618942e-10,40.437455852092995,0.003549644624631526,0.011767311359908106
0.1,0.4,2.0,9.432016056618942e-10,40.437455852092995,0.003285284799534864,0.011124972859624365
0.1,0.5,2.0,9.432016056618942e-10,40.437455852092995,0.0032875701943432603,0.010862407468861022
0.1,0.6,2.0,9.432016056618942e-10,40.437455852092995,0.0032908282896682126,0.011210168786277635
0.1,0.7,2.0,9.432016056618942e-10,40.437455852092995,0.0033508672209524235,0.01104653763928971
0.1,0.8,2.0,9.432016056618942e-10,40.437455852092995,0.0035145796866762422,0.011068183035994963
