m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,40.437455852092995,1.0709537688895124e-05,6.965590969150376e-05
0.01,0.01,2.0,9.432016056618942e-10,40.437455852092995,1.0540947116691795e-05,6.873141767925746e-05
0.02,0.02,2.0,9.432016056618942e-10,40.437455852092995,1.1501615545194555e-05,6.251068936639047e-05
0.03,0.03,2.0,9.432016056618942e-10,40.437455852092995,1.109259449385497e-05,7.401129401137584e-05
0.04,0.04,2.0,9.432016056618942e-10,40.437455852092995,1.0079396581770012e-05,7.321831166187398e-05
0.05,0.05,2.0,9.432016056618942e-10,40.437455852092995,1.107541577983378e-05,6.742726594674223e-05
0.06,0.06,2.0,9.432016056618942e-10,40.437455852092995,1.0663322282347056e-05,7.466259807427259e-05
0.07,0.07,2.0,9.432016056618942e-10,40.437455852092995,9.662848250093564e-06,7.441372815108429e-05
0.08,0.08,2.0,9.432016056618942e-10,40.437455852092995,1.0744623557240818e-05,7.106509175846445e-05
0.09,0.09,2.0,9.432016056618942e-10,40.437455852092995,9.512027693954612e-06,7.210416346175578e-05
0.1,0.1,2.0,9.432016056618942e-10,40.437455852092995,9.858587389457315e-06,7.536058622910238e-05
0.11,0.11,2.0,9.432016056618942e-10,40.437455852092995,1.0211281114537126e-05,7.644586531864302e-05
0.12,0.12,2.0,9.432016056618942e-10,40.437455852092995,9.049865232728129e-06,6.648832152740324e-05
0.13,0.13,2.0,9.432016056618942e-10,40.437455852092995,9.790508584960195e-06,7.300001763478058e-05
0.14,0.14,2.0,9.432016056618942e-10,40.437455852092995,9.671158310573663e-06,7.61080348824894e-05
0.15,0.15,2.0,9.432016056618942e-10,40.437455852092995,9.760660920898323e-06,7.519259648729845e-05
0.16,0.16,2.0,9.432016056618942e-10,40.437455852092995,9.483503421385062e-06,6.686098941693865e-05
0.17,0.17,2.0,9.432016056618942e-10,40.437455852092995,9.319045481186798e-06,7.169568048960562e-05
0.18,0.18,2.0,9.432016056618942e-10,40.437455852092995,9.828003790467382e-06,7.291689533547688e-05
0.19,0.19,2.0,9.432016056618942e-10,40.437455852092995,9.905895242249086e-06,6.29553395562724e-05
0.2,0.2,2.0,9.432016056618942e-10,40.437455852092995,1.0536900478517305e-05,7.578629283260905e-05
0.21,0.21,2.0,9.432016056618942e-10,40.437455852092995,9.766053817793498e-06,6.349402928959434e-05
0.22,0.22,2.0,9.432016056618942e-10,40.437455852092995,1.0043613940339686e-05,7.464288111727824e-05
0.23,0.23,2.0,9.432016056618942e-10,40.437455852092995,9.159995721411608e-06,6.525224877583205e-05
0.24,0.24,2.0,9.432016056618942e-10,40.437455852092995,9.892142298857814e-06,6.49627306466301e-05
0.25,0.25,2.0,9.432016056618942e-10,40.437455852092995,7.528737123964284e-06,7.022137567356434e-05
0.26,0.26,2.0,9.432016056618942e-10,40.437455852092995,1.0112330665972086e-05,6.539261686856668e-05
0.27,0.27,2.0,9.432016056618942e-10,40.437455852092995,9.839290831279312e-06,7.265886681124823e-05
0.28,0.28,2.0,9.432016056618942e-10,40.437455852092995,1.2040510336838713e-05,7.06102260728055e-05
0.29,0.29,2.0,9.432016056618942e-10,40.437455852092995,1.1422900762622387e-05,7.933700793055366e-05
0.3,0.3,2.0,9.432016056618942e-10,40.437455852092995,8.760978150863674e-06,8.213575508097222e-05
0.31,0.31,2.0,9.432016056618942e-10,40.437455852092995,1.1562848366641439e-05,7.331468160353647e-05
0.32,0.32,2.0,9.432016056618942e-10,40.437455852092995,1.1599859083070744e-05,7.297631141264551e-05
0.33,0.33,2.0,9.432016056618942e-10,40.437455852092995,1.0395529721013952e-05,8.594600848578887e-05
0.34,0.34,2.0,9.432016056618942e-10,40.437455852092995,1.0292780200199106e-05,6.903324722459673e-05
0.35,0.35,2.0,9.432016056618942e-10,40.437455852092995,1.1117504057282584e-05,7.135671448476435e-05
0.36,0.36,2.0,9.432016056618942e-10,40.437455852092995,1.0364600121331624e-05,7.210105705005222e-05
0.37,0.37,2.0,9.432016056618942e-10,40.437455852092995,9.721122455257698e-06,6.299217726203568e-05
0.38,0.38,2.0,9.432016056618942e-10,40.437455852092995,1.1313521656764072e-05,7.806061681277912e-05
0.39,0.39,2.0,9.432016056618942e-10,40.437455852092995,1.1671266346328641e-05,7.422039791297826e-05
