m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.435713822186706,40.406576533696246,0.0017420299062962386,0.030879318396756616
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.437590435431474,40.42849411749633,0.00013458333847182757,0.008961734596674376
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.44227075549993,40.42762814084941,0.004814903406931137,0.00982771124359516
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.43598019589286,40.44315347521526,0.001475656200142339,0.005697623122259188
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.43947514786234,40.45507372600986,0.002019295769336793,0.017617873916854876
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.439943537406585,40.41995688311852,0.002487685313582233,0.017498968974479112
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.4401043573392,40.419636651999994,0.0026485052461993064,0.017819200093008192
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.42994759329144,40.42768808392567,0.007508258801564693,0.009767768167328938
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.44174434848518,40.43916216668624,0.004288496392177876,0.0017063145932354473
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.43924906742264,40.42420778540262,0.001793215329634279,0.013248066690380256
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.440626095755405,40.464537350444225,0.0031702436624030383,0.02708149835122242
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2,9.432016056618942e-10,40.43633947144508,40.44059316792686,0.0011163806479217442,0.0031373158338610097
