m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.443523887723266,40.43073300015812,0.006068035630264035,0.006722851934881646
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.44918228288151,40.40513567705661,0.011726430788506548,0.03232017503638929
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.422879898565505,40.44519213769465,0.014575953527497632,0.0077362856016449655
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43060315173237,40.42927543848796,0.006852700360632014,0.008180413605039405
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.44564844804817,40.444797737189226,0.008192595955165416,0.007341885096224132
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43992794649232,40.44431883877221,0.0024720943993159494,0.006862986679209371
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.44410942251532,40.437365349829356,0.0066535704223156245,9.050226364593073e-05
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.4364850122455,40.411790293337276,0.0009708398475041236,0.02566555875572618
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.44522298675193,40.45765960449065,0.007767134658926977,0.0202037523976486
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.433220151284445,40.455967185634385,0.004235700808557397,0.018511333541383124
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.437145421130786,40.44395890814074,0.00031043096221594624,0.00650305604774104
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.440596625388245,40.44238843992998,0.0031407732952430933,0.004932587836975699
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43528971171505,40.4534189010483,0.0021661403779518196,0.01596304895529954
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43621737260428,40.433920104400784,0.0012384794887196904,0.0035357476922186493
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43188671965009,40.42515215273662,0.005569132442914793,0.012303699356380093
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43490223275419,40.45808487912009,0.002553619338812041,0.02062902702709124
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43756773434718,40.42836772094472,0.0001118822541812392,0.009088131148281775
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.440123260217014,40.454831365399414,0.002667408124011672,0.01737551330641196
0.0,0.0,40.437455852093,40.437455852093,1316684,32561,2.0,9.432016056618942e-10,40.43905048160866,40.45382659517196,0.0015946295156581414,0.016370743078958583
