m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,40.437455852093,9.943574517759585e-06,7.26544475046859e-05
0.01,0.01,2.0086960664121003,9.527288946079735e-10,40.437455852093,2.3239273082325882e-05,9.826781356032536e-05
0.02,0.02,2.0174923319015567,9.624506180223408e-10,40.437455852093,4.381138582963126e-05,0.00010506441115628206
0.03,0.03,2.0263908845731886,9.723727893421588e-10,40.437455852093,5.581299837684241e-05,0.00012082051622415821
0.04,0.04,2.035393877584003,9.825016725644732e-10,40.437455852093,7.423791503652301e-05,0.00013765452012128658
0.05,0.05,2.044503531868755,9.92843795433573e-10,40.437455852093,8.792638333153397e-05,0.00015270774308912926
0.06,0.06,2.0537221390097273,1.0034059634701004e-09,40.437455852093,0.0001220050074629851,0.00019036575658541182
0.07,0.07,2.0630520642599994,1.0141952749052624e-09,40.437455852093,0.00013353505110251035,0.0001922006283102672
0.08,0.08,2.0724957497301446,1.0252191365890155e-09,40.437455852093,0.00014868889390324614,0.0002238049069825771
0.09,0.09,2.0820557177490753,1.0364852809471368e-09,40.437455852093,0.00018078417402678386,0.000236911115057571
0.1,0.1,2.091734574410594,1.0480017840687711e-09,40.437455852093,0.00019728456492894937,0.0002812293644956535
0.11,0.11,2.101535013318088,1.0597770850133643e-09,40.437455852093,0.0002608341952705514,0.0003125840467856488
0.12,0.12,2.1114598195408156,1.071820006433971e-09,40.437455852093,0.00026283431606586715,0.00033983013914929707
0.13,0.13,2.121511873796272,1.084139776622867e-09,40.437455852093,0.00025227995011698205,0.0003088821455886186
0.14,0.14,2.1316941568743455,1.096746053095226e-09,40.437455852093,0.0003175801115740864,0.0003723316248773022
0.15,0.15,2.142009754320214,1.1096489478375227e-09,40.437455852093,0.0002438418063226189,0.00032786406969392346
0.16,0.16,2.152461861394364,1.1228590543593976e-09,40.437455852093,0.00033820585196195135,0.00043744446861339467
0.17,0.17,2.1630537883296337,1.1363874767010773e-09,40.437455852093,0.0003569992176724015,0.0004478043905764556
0.18,0.18,2.1737889659069087,1.1502458605632856e-09,40.437455852093,0.0003493315624881615,0.00047306635985467233
0.19,0.19,2.1846709513729072,1.1644464267430794e-09,40.437455852093,0.0004044996772856357,0.0004504384258416076
0.2,0.2,2.1957034347255657,1.1790020070773678e-09,40.437455852093,0.0004727099842810635,0.0005192382378566651
0.21,0.21,2.206890245394767,1.193926083116322e-09,40.437455852093,0.00047395418437655716,0.0005563847692449482
0.22,0.22,2.2182353593486406,1.2092328277716591e-09,40.437455852093,0.0005248364565975276,0.0006170815255491693
0.23,0.23,2.229742906658366,1.2249371502102522e-09,40.437455852093,0.0005471859288696864,0.0006147507843745661
0.24,0.24,2.24141717955747,1.2410547442919664e-09,40.437455852093,0.000561388057482737,0.0006777719429284378
0.25,0.25,2.253262641034891,1.2576021408825257e-09,40.437455852093,0.0005564593256861405,0.0006375309226216272
0.26,0.26,2.2652839340048287,1.274596764407965e-09,40.437455852093,0.0006147441235871237,0.0007065424471771288
0.27,0.27,2.277485891100447,1.2920569940573896e-09,40.437455852093,0.0005861833146727266,0.0007225030201101312
0.28,0.28,2.2898735451430854,1.3100022300859644e-09,40.437455852093,0.0006279508442069832,0.0006850603926751471
0.29,0.29,2.3024521403436493,1.328452965720978e-09,40.437455852093,0.000659133696476231,0.0007597748753887685
0.3,0.3,2.3152271442985195,1.3474308652312782e-09,40.437455852093,0.0007204227685523608,0.000830806065457026
0.31,0.31,2.3282042608485662,1.366958848785354e-09,40.437455852093,0.0006620418144996841,0.0007603310717414293
0.32,0.32,2.3413894438768876,1.3870611847969038e-09,40.437455852093,0.0008659751287321933,0.00090985235477127
0.33,0.33,2.3547889121287118,1.4077635905401406e-09,40.437455852093,0.0008264625970764094,0.0008955948956186584
0.34,0.34,2.368409165145718,1.4290933419119613e-09,40.437455852093,0.000998395661684687,0.0011333059561988534
0.35,0.35,2.382257000416858,1.4510793933259914e-09,40.437455852093,0.0008957446863591922,0.0009975090185626644
0.36,0.36,2.396339531858863,1.4737525088467094e-09,40.437455852093,0.0009455486128185331,0.0011026565466086252
0.37,0.37,2.410664209752091,1.4971454058125307e-09,40.437455852093,0.0010903107494934406,0.0011667579594406997
0.38,0.38,2.4252388422714533,1.521292912357894e-09,40.437455852093,0.001207585455596635,0.0013483591744634547
0.39,0.39,2.4400716187680507,1.5462321404293348e-09,40.437455852093,0.0010539488045115415,0.0010958607066931874
0.4,0.4,2.455171134975177,1.572002676103157e-09,40.437455852093,0.001008935567984975,0.0011661754240002238
0.41,0.41,2.4705464203327727,1.598646789257448e-09,40.437455852093,0.0012755744965939012,0.0014170939675052384
0.42,0.42,2.486206967647639,1.6262096649343005e-09,40.437455852093,0.0011570463160238658,0.0012722976787928491
0.43,0.43,2.5021627653331873,1.6547396590559546e-09,40.437455852093,0.0012745544568372935,0.0014449416731940553
0.44,0.44,2.5184243325027045,1.6842885815390964e-09,40.437455852093,0.0014024443123010373,0.0015701587015369124
0.45,0.45,2.5350027572246803,1.714912010294353e-09,40.437455852093,0.0013876016616827427,0.0016226330297842884
0.46,0.46,2.5519097382883658,1.7466696401146193e-09,40.437455852093,0.0014756407595783293,0.001471832947812723
0.47,0.47,2.5691576308733297,1.7796256710601779e-09,40.437455852093,0.0017572747085134379,0.001957753708829747
0.48,0.48,2.5867594965692633,1.8138492416574886e-09,40.437455852093,0.0014524929247781398,0.0015721201216472532
0.49,0.49,2.6047291582529537,1.8494149130625379e-09,40.437455852093,0.0017859791575676122,0.001865904245725737
0.5,0.5,2.6230812603996645,1.8864032113237885e-09,40.437455852093,0.0014978138151133936,0.00171211866649128
0.51,0.51,2.6418313354877627,1.9249012360446816e-09,40.437455852093,0.0016586467721102145,0.00181793116936087
0.52,0.52,2.6609958772505924,1.9650033451289463e-09,40.437455852093,0.0016576920083771422,0.0018565561777252459
0.53,0.53,2.68059242164071,2.0068119269402007e-09,40.437455852093,0.002138620276440652,0.002172213823861631
0.54,0.54,2.7006396365018737,2.050438273178031e-09,40.437455852093,0.0021733387229737364,0.0022524593837093235
0.55,0.55,2.7211574210973763,2.0960035681375435e-09,40.437455852093,0.0023417878825456265,0.0024570011213853955
0.56,0.56,2.7421670168240397,2.143640012867942e-09,40.437455852093,0.0022937145306411223,0.0025116566437208858
0.57,0.57,2.763691130655144,2.1934921061904513e-09,40.437455852093,0.0021033067834790456,0.0024711413645665628
0.58,0.58,2.7857540731098784,2.2457181087187953e-09,40.437455852093,0.0022896936604130153,0.0025410521375660885
0.59,0.59,2.8083819128502006,2.300491721126571e-09,40.437455852093,0.002978431966153646,0.003181595516873544
0.6,0.6,2.8316026503692244,2.3580040141547357e-09,40.437455852093,0.0025705467199742264,0.002551818062268951
0.61,0.61,2.855446413672155,2.4184656555433183e-09,40.437455852093,0.0028185623416802645,0.0033267592311490147
0.62,0.62,2.8799456793783946,2.4821094885839328e-09,40.437455852093,0.002963192170046606,0.0031455891098466004
0.63,0.63,2.905135523313814,2.54919352881593e-09,40.437455852093,0.0032256454465743704,0.0034991470302488167
0.64,0.64,2.931053905442829,2.6200044601719287e-09,40.437455852093,0.003041230634374433,0.0032017366487498357
0.65,0.65,2.95774199494668,2.6948617304625565e-09,40.437455852093,0.002983357864264787,0.003369421517880873
0.66,0.66,2.9852445424330374,2.7741223695938075e-09,40.437455852093,0.0035948234920419506,0.003682005389947613
