m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,40.437455852093,-0.00019793795533319973,-0.0003508783123166003,-0.0001918837785394997,-0.0008104010743766009,2.4946062289699956e-05,-0.00010423003861900065
0.01,0.01,40.437455852093,-0.0030536291808029004,-0.0009027208226131001,-0.002993499257306,-0.0021722793737890007,-0.0031114348716019,-0.0008700575291842004
0.02,0.02,40.437455852093,-0.005387159140911001,-0.002848709161913,-0.0053270745810546,-0.0027768630698096,-0.0054402575287995,-0.0029004392605294013
0.03,0.03,40.437455852093,-0.0067869955295879,-0.0027588403007042985,-0.006695789411467,-0.002997484501961299,-0.0066323199568585,-0.003999425407379999
0.04,0.04,40.437455852093,-0.0084734139815846,-0.0049423441460576,-0.0081529559672464,-0.004118270715207801,-0.0082892956268229,-0.004691562797276699
0.05,0.05,40.437455852093,-0.0089735657162268,-0.0060992376498234,-0.0089889138392582,-0.004663215488694798,-0.0091853854216546,-0.0066815891163734
0.06,0.06,40.437455852093,-0.011177402725870401,-0.006572128343280602,-0.0112461370906979,-0.007406670041043301,-0.011001484646627101,-0.006000041129670302
0.07,0.07,40.437455852093,-0.0110823137894299,-0.0084760873967613,-0.0113268376704336,-0.007038550448637602,-0.0108982581478311,-0.008628925711798598
0.08,0.08,40.437455852093,-0.012731247108182499,-0.008982513106937302,-0.012584565375764599,-0.008122558424579802,-0.012629577478282299,-0.008399017136427102
0.09,0.09,40.437455852093,-0.014542044702845,-0.010566008179475,-0.014542740773206301,-0.00933776925843,-0.0143104519009601,-0.0100732170860088
0.1,0.1,40.437455852093,-0.015486368547845401,-0.0098100370654244,-0.0152771130131245,-0.010517732082344602,-0.015195730351938101,-0.009467427598544399
0.11,0.11,40.437455852093,-0.0173580852717326,-0.0127842179493867,-0.0170836099546929,-0.0122514420346556,-0.017345933151011298,-0.011523260501393899
0.12,0.12,40.437455852093,-0.0175617090223286,-0.0126044504994006,-0.0177183875151689,-0.0133958428923041,-0.017353364547821,-0.011632463686906002
0.13,0.13,40.437455852093,-0.0179181900729483,-0.0120399493591952,-0.0177760265361894,-0.012165709230762599,-0.0180258951248736,-0.012437755696621002
0.14,0.14,40.437455852093,-0.0198222381780341,-0.0159546259441045,-0.0199471338650383,-0.0144929844846951,-0.0198619849606745,-0.015547173639660699
0.15,0.15,40.437455852093,-0.0188392394819634,-0.014307392786140401,-0.0188851775370373,-0.014624324587196702,-0.018289877609881,-0.0128432651091736
0.16,0.16,40.437455852093,-0.0204507548723335,-0.0148433502895005,-0.0202205442839436,-0.014650923562664701,-0.019909512003378,-0.0140419913696596
0.17,0.17,40.437455852093,-0.0201865530886243,-0.0136912703717366,-0.0201785871640404,-0.0147627007230659,-0.0199956526353843,-0.0133681541769525
0.18,0.18,40.437455852093,-0.021872345707673102,-0.016251244482636,-0.021348317706796502,-0.0164975802676973,-0.0215999464904838,-0.015392031268455798
0.19,0.19,40.437455852093,-0.0228059282520169,-0.018229461380651298,-0.0231237778772683,-0.018019483201681098,-0.022447573700577598,-0.0179138485047552
0.2,0.2,40.437455852093,-0.0244831361393602,-0.019549412721116502,-0.024552205553942198,-0.0203730502973729,-0.024028895622956,-0.0194659704657359
0.21,0.21,40.437455852093,-0.0264277712134214,-0.022256186636964596,-0.026640033953281298,-0.0212197557388022,-0.026381538653016703,-0.0209461497098613
0.22,0.22,40.437455852093,-0.0287047879485427,-0.022035288893089297,-0.028320126294352103,-0.0228766369548193,-0.028233890252962003,-0.019936042227167498
0.23,0.23,40.437455852093,-0.0271509483059055,-0.022307403870052,-0.027233053810347,-0.0218089641981112,-0.026488693603711,-0.020976699746478197
0.24,0.24,40.437455852093,-0.0270988230206404,-0.022330447423654295,-0.0275395391195935,-0.0209805904261456,-0.026873876189115,-0.020929121063757397
0.25,0.25,40.437455852093,-0.0281349124296454,-0.0230884102615935,-0.028171722064491297,-0.023732680252212,-0.0277048810811008,-0.0217571472167259
0.26,0.26,40.437455852093,-0.028411590098027,-0.0252565620483715,-0.028040860782449602,-0.022862348864490196,-0.027599615297026,-0.0236697219402585
0.27,0.27,40.437455852093,-0.0289953689987038,-0.024088779527678995,-0.0283520350316804,-0.0236335803091985,-0.028019759650037803,-0.022322665686599
0.28,0.28,40.437455852093,-0.0304233977171525,-0.025552451139170797,-0.0297640381409752,-0.024153855918582698,-0.029890510536626197,-0.023980106063343998
0.29,0.29,40.437455852093,-0.029858226747273498,-0.025000190720891602,-0.0298152419179049,-0.0244973854528083,-0.029402235259396,-0.0232964535876954
0.3,0.3,40.437455852093,-0.0332208212441001,-0.028203470936284704,-0.033648528065194895,-0.028181285212844902,-0.0327128581220243,-0.0266295055081894
0.31,0.31,40.437455852093,-0.0333088607992216,-0.026555989000503002,-0.0329186588335258,-0.028321767781458,-0.0323588306174808,-0.0241891723629866
0.32,0.32,40.437455852093,-0.0345668340533971,-0.029474483496314798,-0.0340931721500079,-0.0285737405554526,-0.0340057513739862,-0.028075522232593998
0.33,0.33,40.437455852093,-0.033485825285054595,-0.027899875630407002,-0.033342663164620596,-0.0268052406362934,-0.0328962148225272,-0.0275129309014348
0.34,0.34,40.437455852093,-0.0368537461168845,-0.03183787245992779,-0.0364793772798844,-0.031111000850933903,-0.035752138555269104,-0.029795141038526
0.35,0.35,40.437455852093,-0.036707330630148305,-0.0315962399638904,-0.0363078273521528,-0.031469819190953104,-0.0360681265639832,-0.0295490642591184
0.36,0.36,40.437455852093,-0.0371270296060241,-0.0323600448538953,-0.037065400603113696,-0.0315790244722962,-0.0361451074970705,-0.0299341590978809
0.37,0.37,40.437455852093,-0.0367720395331119,-0.032724034137983,-0.0374061078165481,-0.0330071675337449,-0.0360116319245638,-0.0304325103883004
0.38,0.38,40.437455852093,-0.0431091259769973,-0.037399740762841,-0.0427159001099806,-0.0378994096628886,-0.0420421720266321,-0.034407740527504505
0.39,0.39,40.437455852093,-0.0396738984379122,-0.0361705993245148,-0.0395921693585001,-0.0342303856929735,-0.038265575952464596,-0.0334748587428514
0.4,0.4,40.437455852093,-0.0384168784731706,-0.0351044317274625,-0.0390159929992877,-0.0339783016322375,-0.0376224080980839,-0.0333877947627647
0.41,0.41,40.437455852093,-0.0405145774923878,-0.0383205287649375,-0.0413697854033398,-0.0358548324582067,-0.0397261862301872,-0.0343841813939219
0.42,0.42,40.437455852093,-0.0430176004573555,-0.0381030595828573,-0.042727057923671,-0.037928713269759,-0.0417746059758478,-0.036070179719638995
0.43,0.43,40.437455852093,-0.044922604927916596,-0.0394716606104048,-0.0445211925890995,-0.038664417329,-0.0440323010998046,-0.0368351998716107
0.44,0.44,40.437455852093,-0.043641854173933396,-0.0384888804944518,-0.0430474588863161,-0.0358560956729879,-0.0424437847166743,-0.035110742272205606
0.45,0.45,40.437455852093,-0.0448360287180112,-0.042472073434227105,-0.0440868939478086,-0.0398739426644231,-0.0434598203140287,-0.0386663556130849
0.46,0.46,40.437455852093,-0.050000341687358896,-0.0452152148184425,-0.0496872227838573,-0.0445353152256353,-0.0491811052898011,-0.0425591176845635
0.47,0.47,40.437455852093,-0.0523930847073488,-0.0501891965062972,-0.0521540262316679,-0.0479503558549951,-0.051034640963305,-0.046204262259970395
0.48,0.48,40.437455852093,-0.0473735055045639,-0.0445155552314912,-0.0472763223139681,-0.043406809929260805,-0.0461057427541567,-0.04063724031518599
0.49,0.49,40.437455852093,-0.0533087403755365,-0.0486468632842279,-0.0533933061763288,-0.048261047220075196,-0.051723493423998804,-0.045972974936646
0.5,0.5,40.437455852093,-0.0519618881158341,-0.0499365107042929,-0.0512598274783248,-0.045988676592050096,-0.0505992481107891,-0.0453968961294416
0.51,0.51,40.437455852093,-0.051088394722577105,-0.0486461360032088,-0.050548810674504,-0.0477352640155362,-0.0498174585638074,-0.0460387732871064
0.52,0.52,40.437455852093,-0.0533839321799286,-0.048738658310182995,-0.0539860460565557,-0.0479718469691886,-0.0521064599149084,-0.0441485721382487
0.53,0.53,40.437455852093,-0.0548087911789537,-0.051363759788529,-0.054933697206912505,-0.0501384838346355,-0.052772527308412503,-0.0466351881197061
0.54,0.54,40.437455852093,-0.0567293319841533,-0.05544375070218681,-0.0562602920277488,-0.051440826767084,-0.054806361504207,-0.050694418548086206
0.55,0.55,40.437455852093,-0.0574656370163591,-0.0545434480318409,-0.0575154249812294,-0.05342748535952009,-0.0557247689883694,-0.049812688034359
0.56,0.56,40.437455852093,-0.0589174784037452,-0.05750911417568799,-0.059145101368160695,-0.056130460787257794,-0.0571350083925211,-0.05127573815903529
0.57,0.57,40.437455852093,-0.05964121227282419,-0.0550356407435585,-0.059345907134035494,-0.05339953059682731,-0.05814466948644739,-0.0508612396628801
0.58,0.58,40.437455852093,-0.0565376056176285,-0.05579352060106169,-0.0564999580792472,-0.050919175264813495,-0.0546196882468938,-0.05096189158600689
0.59,0.59,40.437455852093,-0.0654847312186333,-0.0640112219949065,-0.0651552887202454,-0.0621769328925971,-0.0634919217843616,-0.057794145674653005
0.6,0.6,40.437455852093,-0.0652262574479695,-0.0617156658368582,-0.0640863708223208,-0.0592901900442397,-0.0628588556991758,-0.056431761727892396
0.61,0.61,40.437455852093,-0.0668190740706914,-0.0661089686971489,-0.067521755199704,-0.0643342099225131,-0.0644928732249451,-0.0611192570207868
0.62,0.62,40.437455852093,-0.06709745278506081,-0.0664239546721041,-0.0674554572346152,-0.0628296258397474,-0.06465025520444681,-0.0588001276038146
0.63,0.63,40.437455852093,-0.06833646286911971,-0.0675400635265116,-0.0682774786322757,-0.0638969405469546,-0.0657368756062653,-0.061803514732166095
0.64,0.64,40.437455852093,-0.0678724564353836,-0.0683197745446051,-0.06777673730813151,-0.0623545440206139,-0.0658212678482064,-0.0627590796539068
0.65,0.65,40.437455852093,-0.07030091610871869,-0.07180875973227539,-0.069747564836682,-0.0668199055414122,-0.0676102204474216,-0.06441734247709209
0.66,0.66,40.437455852093,-0.07533220964163989,-0.07539459352426531,-0.0750105124500903,-0.06849806572236869,-0.07344684560266479,-0.0700459716910163
0.67,0.67,40.437455852093,-0.0744247975062726,-0.0747965819561736,-0.0748130786067825,-0.0670278050212128,-0.0718122140163518,-0.06683217701389389
0.68,0.68,40.437455852093,-0.0820803363203307,-0.08222470650714431,-0.0811558359137969,-0.07708264681508531,-0.0789902083060459,-0.0745450010355623
0.69,0.69,40.437455852093,-0.0816295110220607,-0.08039786979558289,-0.0801761291183295,-0.07686043794684991,-0.07864492661235051,-0.0735287203832027
0.7,0.7,40.437455852093,-0.0852409472095559,-0.08405920824279481,-0.0838171644990036,-0.080567178751439,-0.0821966173956962,-0.0755747950806526
0.71,0.71,40.437455852093,-0.0815427320910187,-0.08232299194429421,-0.08145598471627259,-0.07701947150432881,-0.0782267560703762,-0.0749553262422987
0.72,0.72,40.437455852093,-0.0839762221959849,-0.0848300923132344,-0.0830947390093974,-0.0794889901510834,-0.0805911370662768,-0.07550931499022451
