m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,40.437455852093,1.3403281820635517e-06,-1.1047082768760803e-05,1.4966880888659002e-06,-1.6614414301787295e-06,2.1390428035906747e-06,-6.672555128781329e-06
0.01,0.01,40.437455852093,-1.5584074209823293e-05,-1.3415064136455539e-05,-1.2114702325059447e-05,-2.5282750673382023e-05,-1.617033031171411e-05,-1.1311138342714346e-05
0.02,0.02,40.437455852093,-3.9154276531801674e-05,-6.061227431030953e-05,-4.157910383108312e-05,-5.042442333130953e-05,-4.2626564076384074e-05,-5.9311110974174825e-05
0.03,0.03,40.437455852093,-5.165174099988163e-05,-5.969539358992415e-05,-4.923887882527437e-05,-5.1171157720124154e-05,-5.449799252178334e-05,-6.476094249720202e-05
0.04,0.04,40.437455852093,-7.010872455557068e-05,-8.097307891462601e-05,-6.82428484268227e-05,-6.918653157222603e-05,-7.04616384795183e-05,-8.005530558447057e-05
0.05,0.05,40.437455852093,-0.00010233884147296623,-0.00011346459734085776,-9.534374635406622e-05,-0.00011027834350055778,-0.00010125010621488291,-0.00010361773235431408
0.06,0.06,40.437455852093,-0.00011668558822215295,-0.0001119961770906274,-0.00011868347305295294,-0.0001058138766543274,-0.00011728235328022436,-0.0001191718366107287
0.07,0.07,40.437455852093,-0.00011486737558280643,-0.00013691103862021573,-0.00012824105589230646,-0.00012010777689871572,-0.0001093462456241381,-0.00014082142025358802
0.08,0.08,40.437455852093,-0.0001558936307396592,-0.00014637984956103556,-0.00014564179910385918,-0.00015846572520633554,-0.00015541906172643715,-0.0001417993915108313
0.09,0.09,40.437455852093,-0.00019451130519684538,-0.0001872939258120442,-0.00018765137422214537,-0.00020640836330104424,-0.0001942131411604324,-0.000177508051005269
0.1,0.1,40.437455852093,-0.00018362126786724268,-0.00019712802043519762,-0.0001910970613955427,-0.00017236465568359763,-0.00018158960694167627,-0.0001977963882889423
0.11,0.11,40.437455852093,-0.00019147169542816286,-0.00021157436162365698,-0.00020711346284156288,-0.000181307413185057,-0.00018990716097994526,-0.00021007179864374637
0.12,0.12,40.437455852093,-0.0002311701829827719,-0.0002701547998831968,-0.00021905458458657188,-0.0002486844210680968,-0.00022869442948842035,-0.00026311557735605887
0.13,0.13,40.437455852093,-0.0002585615328700398,-0.0002893572633822194,-0.0002574873791453398,-0.00026707826879561946,-0.0002544881849797176,-0.0002798916920865598
0.14,0.14,40.437455852093,-0.0002861485938470263,-0.0002959233369310106,-0.0002819414927375263,-0.00028792369827791063,-0.00028313020627641287,-0.0002945317379134192
0.15,0.15,40.437455852093,-0.00025734071787180166,-0.0002998898348878016,-0.0002565111513808017,-0.00029308058459410157,-0.00025636826512156374,-0.00029999301381912507
0.16,0.16,40.437455852093,-0.00035310004140061494,-0.00037182553963386136,-0.00035274404921121496,-0.00036593780982606134,-0.00034943149466719656,-0.0003546309305960539
0.17,0.17,40.437455852093,-0.00032266732192961324,-0.00037477147005649436,-0.0003269552060139132,-0.00033188439687869436,-0.00032037864027648717,-0.000352005389869702
0.18,0.18,40.437455852093,-0.0003714154516951326,-0.0003834364138128231,-0.0003576546530939326,-0.0003998585751780231,-0.0003692521484368654,-0.00037857954719957
0.19,0.19,40.437455852093,-0.0003883425349814509,-0.00043853587306992765,-0.0003732349489355509,-0.0004100055018539276,-0.00038532547812658574,-0.00040487190698458304
0.2,0.2,40.437455852093,-0.0004070752591664827,-0.00046260146919869095,-0.0004101625251538827,-0.0004190595037066909,-0.00040482571624389084,-0.0004491270324026023
0.21,0.21,40.437455852093,-0.0004325381933572065,-0.0004482744214572057,-0.0004235075767901065,-0.0004651719785892057,-0.0004297322864949035,-0.0004355977930626468
0.22,0.22,40.437455852093,-0.0005434517479524603,-0.0005942917080464217,-0.0005379552094068604,-0.0005396495363249217,-0.0005374906664788315,-0.0005810038985987626
0.23,0.23,40.437455852093,-0.0004782221485830884,-0.0005495833724242679,-0.0004695010136524884,-0.0005304659295473679,-0.00047487514668276666,-0.0005224478737150972
0.24,0.24,40.437455852093,-0.0006348212523204422,-0.0006631670609756699,-0.0006145254593271423,-0.0006211370891896699,-0.000632753751770369,-0.000635784887641659
0.25,0.25,40.437455852093,-0.0005806723208829356,-0.0006207278507360356,-0.0005666589537622357,-0.0005587273126415357,-0.0005747391871165776,-0.0006047989373160337
0.26,0.26,40.437455852093,-0.0006105717629260279,-0.0005943898432966333,-0.0005858293680370279,-0.0006868823575891333,-0.0006065932523348698,-0.00057722465099743
0.27,0.27,40.437455852093,-0.0005957475640681208,-0.0006430544553517519,-0.0005677417467193207,-0.0006023005784182517,-0.0005912960754426341,-0.0006367306499650997
0.28,0.28,40.437455852093,-0.0005871250078761613,-0.0006804163035991945,-0.0006249187581188613,-0.0006629833057565945,-0.0005825411379228491,-0.0006687324831435905
0.29,0.29,40.437455852093,-0.0007708785584283777,-0.0008266149871702464,-0.0007648536103132777,-0.0007991629591948463,-0.0007696821885165361,-0.0008196428955573829
0.3,0.3,40.437455852093,-0.0008776367855109362,-0.0009412936901202278,-0.0008495103626583362,-0.0009316500426085278,-0.0008697078498348502,-0.0009229571370778001
0.31,0.31,40.437455852093,-0.0008519730502628586,-0.0009214201548165635,-0.0008420000918678586,-0.0007994044568741636,-0.0008471341864306985,-0.0008920925210603
0.32,0.32,40.437455852093,-0.0008524461350446292,-0.0009559939107545544,-0.0008497424004517292,-0.0008946061088733545,-0.0008509609443702798,-0.0009248175813006
0.33,0.33,40.437455852093,-0.000781914966195586,-0.0008582334319949112,-0.000751905306636486,-0.0007496868154047112,-0.0007749731395000598,-0.0008441030968085
0.34,0.34,40.437455852093,-0.0009402942160369009,-0.0010138043923515034,-0.0009285877843455009,-0.0009485299732541032,-0.0009359894736266203,-0.0009923890146345568
0.35,0.35,40.437455852093,-0.0009388677135858174,-0.0010569938881779357,-0.0009314111865499174,-0.0009914563483608356,-0.00093437727291249,-0.001028544461681058
0.36,0.36,40.437455852093,-0.0008880572343045683,-0.0009286132455279478,-0.0008923797724529683,-0.0010055121947612478,-0.0008815985916268253,-0.0008997221625115
0.37,0.37,40.437455852093,-0.0010411172026853423,-0.0011136850778245642,-0.0010405767194885424,-0.0010562270541388643,-0.001036666290137378,-0.001082824552977383
0.38,0.38,40.437455852093,-0.001037836476893936,-0.001187544077426521,-0.001002737183393336,-0.001129566304414121,-0.0010350933171949682,-0.0011628878804313
0.39,0.39,40.437455852093,-0.0009752858914763712,-0.0010790471276837217,-0.0009668495821892713,-0.0010393845458223218,-0.0009711776689898534,-0.0010477813435094
0.4,0.4,40.437455852093,-0.0011640654292195672,-0.001204022782196305,-0.0011495767291623672,-0.001230732096677305,-0.0011603849957934167,-0.0011683322875446999
0.41,0.41,40.437455852093,-0.001300946595909014,-0.0014068042137901366,-0.001251558892307814,-0.0012366348416017368,-0.0012978641890952342,-0.0013817789014729316
0.42,0.42,40.437455852093,-0.0011416639795677084,-0.0013421596123981334,-0.0011363918408009083,-0.0010772061450160335,-0.001140078783854289,-0.0012883947906351
0.43,0.43,40.437455852093,-0.0013972554089563241,-0.0016262092090500587,-0.0014647076112159242,-0.0014718129099364587,-0.0013854685907557938,-0.0015874769611071001
0.44,0.44,40.437455852093,-0.0015651693683058688,-0.0017945153289670285,-0.0015962660083978688,-0.0017188366517404286,-0.0015597488723385507,-0.0017503735692887
0.45,0.45,40.437455852093,-0.0014180085370186024,-0.0015930613895371124,-0.0013978962871524024,-0.0014465746694148124,-0.0014083844231502804,-0.0015292034163276
0.46,0.46,40.437455852093,-0.001561556055927042,-0.0017017626546320572,-0.0015896683260461422,-0.0016995721905885572,-0.0015478750915379198,-0.0016448881071828
0.47,0.47,40.437455852093,-0.0015539348396539972,-0.0017430810700008856,-0.0015141967760437971,-0.0016807974757206857,-0.0015473712751197602,-0.0016692708557791
0.48,0.48,40.437455852093,-0.0017069908126076147,-0.0017218296108892403,-0.0016386950468406148,-0.0017398344684313404,-0.0016961153946422158,-0.0016746393325889999
0.49,0.49,40.437455852093,-0.001758388437151981,-0.0019052567739574284,-0.001771397994404081,-0.0018903417308269285,-0.001751717938830378,-0.0018558221550016001
0.5,0.5,40.437455852093,-0.0017174247705929627,-0.0019403106930603025,-0.0016707398902969625,-0.0016875030896707024,-0.001705110837945455,-0.001890542683591
0.51,0.51,40.437455852093,-0.0017082821652272572,-0.0019365029632839857,-0.0016835139853356572,-0.0018877244466756855,-0.001693525947288382,-0.0018684694798168002
0.52,0.52,40.437455852093,-0.0017764378534542494,-0.0018706236473891133,-0.0017706435242028494,-0.001981522870140413,-0.001768806485228775,-0.0018002745579131
0.53,0.53,40.437455852093,-0.001621352034265594,-0.0018829438520525576,-0.001596315294954494,-0.0017802115217576576,-0.0016080563632916165,-0.0018027954854925
0.54,0.54,40.437455852093,-0.0020316449408086428,-0.0024038250568957685,-0.0020172435659599427,-0.0021231331073981686,-0.002014934114113799,-0.0023378887652632
0.55,0.55,40.437455852093,-0.002474543968103396,-0.002518082342320214,-0.0023899551358358964,-0.002602165821789914,-0.002462560674482529,-0.0024443645989041998
0.56,0.56,40.437455852093,-0.0024799032245075535,-0.002567639490920501,-0.002447868405449153,-0.002503981879495101,-0.002470368681720938,-0.0025006609637115997
0.57,0.57,40.437455852093,-0.0021459574068949413,-0.002387311457026283,-0.0022397240413799414,-0.002484245676521483,-0.002131182720968058,-0.0023263074044059004
0.58,0.58,40.437455852093,-0.0022746015903934,-0.00255126711245718,-0.0021883233725455004,-0.0023241957535979803,-0.0022645886285671134,-0.0024894770293095
0.59,0.59,40.437455852093,-0.0021321245931714555,-0.0025234143594671677,-0.0022003216296007555,-0.0022719821436184675,-0.0021172935433366566,-0.0024323932676582
0.6,0.6,40.437455852093,-0.002520992286988351,-0.00310475786684481,-0.002430783144466651,-0.00255380013346361,-0.002498706008674611,-0.0030105277577925998
0.61,0.61,40.437455852093,-0.002792388184299392,-0.0031690156659089715,-0.002699758480545992,-0.0028027844135526713,-0.0027761733404752633,-0.0030812563258308
0.62,0.62,40.437455852093,-0.002934480464253302,-0.00325823480238264,-0.0029046218611829024,-0.00275064460986694,-0.0029120159344005426,-0.0031649209072872
0.63,0.63,40.437455852093,-0.003148115142227422,-0.0035373395546642594,-0.003167005987638922,-0.0033162420982798596,-0.0031290304137253006,-0.0034337424431956
0.64,0.64,40.437455852093,-0.002476337410291082,-0.0032578732613807535,-0.0025132172861810818,-0.0029421443129971536,-0.0024512491662818697,-0.00315900308576
0.65,0.65,40.437455852093,-0.0035406955408551367,-0.004016667407233907,-0.0033648107888324366,-0.0035460190818038073,-0.0035264237757417524,-0.0039140198140907995
0.66,0.66,40.437455852093,-0.0031452158956876463,-0.004049776614035205,-0.003150118811970546,-0.0034148927789064043,-0.0031175574911440273,-0.0039457637776489
0.67,0.67,40.437455852093,-0.0032925763246449274,-0.0037664011262458774,-0.0032112589628528272,-0.0035287001313196774,-0.0032689031614049776,-0.0036503139010278
0.68,0.68,40.437455852093,-0.003994826630684259,-0.004821039459881125,-0.003964385349757859,-0.004176294689759025,-0.003975610392499801,-0.0047056018115562
0.69,0.69,40.437455852093,-0.004128133912051923,-0.004900118078090789,-0.0040052965081174225,-0.004162592791300089,-0.004100317609773919,-0.0047574296128057
0.7,0.7,40.437455852093,-0.004015235759363181,-0.004355827867923233,-0.0037726245297778804,-0.0039833788576915325,-0.003996303620667833,-0.0042399358630600004
