m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,7544.656481481482,231.51617840391637,603.1354977605633
0.01,0.01,0.25,8.573388203017834e-07,7544.656481481482,229.62686600812543,597.3723105355645
0.02,0.02,0.25,8.573388203017834e-07,7544.656481481482,235.72947823936073,645.7347893353466
0.03,0.03,0.25,8.573388203017834e-07,7544.656481481482,251.9263812145943,622.871323842695
0.04,0.04,0.25,8.573388203017834e-07,7544.656481481482,255.6693281098019,628.5914005195206
0.05,0.05,0.25,8.573388203017834e-07,7544.656481481482,231.72996649290195,620.0719887244918
0.06,0.06,0.25,8.573388203017834e-07,7544.656481481482,242.46756492507777,606.3344908503582
0.07,0.07,0.25,8.573388203017834e-07,7544.656481481482,236.0341570320759,621.5776698480628
0.08,0.08,0.25,8.573388203017834e-07,7544.656481481482,232.86467469994565,647.9421212772688
0.09,0.09,0.25,8.573388203017834e-07,7544.656481481482,264.42267332475467,626.561465777796
0.1,0.1,0.25,8.573388203017834e-07,7544.656481481482,236.0184668664773,601.4903431662235
0.11,0.11,0.25,8.573388203017834e-07,7544.656481481482,241.27360416278117,619.1302800583001
0.12,0.12,0.25,8.573388203017834e-07,7544.656481481482,259.2917040899421,625.7760240041234
0.13,0.13,0.25,8.573388203017834e-07,7544.656481481482,249.89219905348415,607.4853774250078
0.14,0.14,0.25,8.573388203017834e-07,7544.656481481482,246.0676784422456,604.4435373568496
0.15,0.15,0.25,8.573388203017834e-07,7544.656481481482,248.27267857513496,643.4684377133602
0.16,0.16,0.25,8.573388203017834e-07,7544.656481481482,271.9498591826385,613.3750460515436
0.17,0.17,0.25,8.573388203017834e-07,7544.656481481482,247.87749640329847,606.090817204613
0.18,0.18,0.25,8.573388203017834e-07,7544.656481481482,242.98530166830403,622.5727271579171
0.19,0.19,0.25,8.573388203017834e-07,7544.656481481482,246.3678015068217,632.5719837171023
0.2,0.2,0.25,8.573388203017834e-07,7544.656481481482,244.92359789641597,611.6111842092888
0.21,0.21,0.25,8.573388203017834e-07,7544.656481481482,244.92659063340616,608.7242147545295
0.22,0.22,0.25,8.573388203017834e-07,7544.656481481482,247.05151106245205,667.345221545516
0.23,0.23,0.25,8.573388203017834e-07,7544.656481481482,254.39188627941812,609.7575757091876
0.24,0.24,0.25,8.573388203017834e-07,7544.656481481482,228.5154321170074,563.3231352813764
0.25,0.25,0.25,8.573388203017834e-07,7544.656481481482,258.35849037865944,638.3997719794698
0.26,0.26,0.25,8.573388203017834e-07,7544.656481481482,244.16468892725436,622.9593919885278
0.27,0.27,0.25,8.573388203017834e-07,7544.656481481482,244.6041275009598,600.6557042993663
0.28,0.28,0.25,8.573388203017834e-07,7544.656481481482,251.07051437847596,642.9269563186095
0.29,0.29,0.25,8.573388203017834e-07,7544.656481481482,234.60168363076107,656.2467460017085
0.3,0.3,0.25,8.573388203017834e-07,7544.656481481482,250.74280194311666,639.9390497587597
0.31,0.31,0.25,8.573388203017834e-07,7544.656481481482,237.52935797597485,642.1998680298564
0.32,0.32,0.25,8.573388203017834e-07,7544.656481481482,248.19843682188554,617.2297757491754
0.33,0.33,0.25,8.573388203017834e-07,7544.656481481482,237.25138493896762,581.2370523162957
0.34,0.34,0.25,8.573388203017834e-07,7544.656481481482,238.65648429637926,587.7934302044989
0.35,0.35,0.25,8.573388203017834e-07,7544.656481481482,254.78123034825663,627.3855891088748
0.36,0.36,0.25,8.573388203017834e-07,7544.656481481482,235.47336479469874,631.0050543795409
0.37,0.37,0.25,8.573388203017834e-07,7544.656481481482,251.6081899209734,637.413365469149
0.38,0.38,0.25,8.573388203017834e-07,7544.656481481482,236.01463429486896,619.8712423417644
0.39,0.39,0.25,8.573388203017834e-07,7544.656481481482,273.3293693832018,606.5851896853621
0.4,0.4,0.25,8.573388203017834e-07,7544.656481481482,237.3245015865779,617.7914861953108
0.41,0.41,0.25,8.573388203017834e-07,7544.656481481482,254.38900423950656,567.0530060288932
0.42,0.42,0.25,8.573388203017834e-07,7544.656481481482,243.08306518019015,604.8891942614212
0.43,0.43,0.25,8.573388203017834e-07,7544.656481481482,230.40416450996432,624.3182538059057
0.44,0.44,0.25,8.573388203017834e-07,7544.656481481482,256.59118217762204,594.6942707184502
0.45,0.45,0.25,8.573388203017834e-07,7544.656481481482,234.3624988131927,580.4436491450297
0.46,0.46,0.25,8.573388203017834e-07,7544.656481481482,242.17832017947944,622.4957922188054
0.47,0.47,0.25,8.573388203017834e-07,7544.656481481482,260.45512395566226,600.9197572256562
0.48,0.48,0.25,8.573388203017834e-07,7544.656481481482,232.5758210419891,607.8308762436113
0.49,0.49,0.25,8.573388203017834e-07,7544.656481481482,253.78195783586526,620.4295455606122
0.5,0.5,0.25,8.573388203017834e-07,7544.656481481482,243.1232231561149,636.7231043961165
0.51,0.51,0.25,8.573388203017834e-07,7544.656481481482,217.2639098748968,630.7657804506505
0.52,0.52,0.25,8.573388203017834e-07,7544.656481481482,246.04272811546187,609.4702323073137
0.53,0.53,0.25,8.573388203017834e-07,7544.656481481482,240.93274763806474,641.9449066516489
0.54,0.54,0.25,8.573388203017834e-07,7544.656481481482,242.20569074667787,587.620295338161
0.55,0.55,0.25,8.573388203017834e-07,7544.656481481482,253.90759206260324,589.1573195605997
0.56,0.56,0.25,8.573388203017834e-07,7544.656481481482,237.1652762926205,633.1926692821881
0.57,0.57,0.25,8.573388203017834e-07,7544.656481481482,243.28802213658497,608.5188210416401
0.58,0.58,0.25,8.573388203017834e-07,7544.656481481482,233.56762808745967,575.9680701979911
0.59,0.59,0.25,8.573388203017834e-07,7544.656481481482,247.31871909356073,643.2243118556572
0.6,0.6,0.25,8.573388203017834e-07,7544.656481481482,236.8272895182109,617.8206912466283
0.61,0.61,0.25,8.573388203017834e-07,7544.656481481482,255.1917793118666,627.8362237763782
0.62,0.62,0.25,8.573388203017834e-07,7544.656481481482,235.80779553002137,649.4548862369043
0.63,0.63,0.25,8.573388203017834e-07,7544.656481481482,248.9537180624833,664.4702555818203
0.64,0.64,0.25,8.573388203017834e-07,7544.656481481482,250.96565176780146,644.6744534983548
0.65,0.65,0.25,8.573388203017834e-07,7544.656481481482,242.0575546060668,655.3665501999064
0.66,0.66,0.25,8.573388203017834e-07,7544.656481481482,248.50470326858235,651.3496759525939
0.67,0.67,0.25,8.573388203017834e-07,7544.656481481482,257.178745609087,636.253786021276
0.68,0.68,0.25,8.573388203017834e-07,7544.656481481482,264.3926517292856,650.8151800246562
0.69,0.69,0.25,8.573388203017834e-07,7544.656481481482,233.20323180936504,636.5538814317118
0.7,0.7,0.25,8.573388203017834e-07,7544.656481481482,246.34729396387317,642.5997824038662
0.71,0.71,0.25,8.573388203017834e-07,7544.656481481482,253.73730400380876,635.244843759658
0.72,0.72,0.25,8.573388203017834e-07,7544.656481481482,260.7848514358083,621.0742840063344
0.73,0.73,0.25,8.573388203017834e-07,7544.656481481482,239.40748227672128,666.1287512175749
0.74,0.74,0.25,8.573388203017834e-07,7544.656481481482,231.21860370621673,623.271991029805
0.75,0.75,0.25,8.573388203017834e-07,7544.656481481482,241.40230793597672,600.2295908698569
0.76,0.76,0.25,8.573388203017834e-07,7544.656481481482,246.8436914252594,627.3473723777344
0.77,0.77,0.25,8.573388203017834e-07,7544.656481481482,234.31259179253354,649.7905185528999
0.78,0.78,0.25,8.573388203017834e-07,7544.656481481482,246.37504534223484,649.4253956139167
0.79,0.79,0.25,8.573388203017834e-07,7544.656481481482,244.5355825015596,657.5811170581633
0.8,0.8,0.25,8.573388203017834e-07,7544.656481481482,256.56003542180457,628.718545697428
0.81,0.81,0.25,8.573388203017834e-07,7544.656481481482,261.0693674489715,596.666117646527
0.82,0.82,0.25,8.573388203017834e-07,7544.656481481482,253.34927437263337,622.416497893633
0.83,0.83,0.25,8.573388203017834e-07,7544.656481481482,259.69909303857133,629.6251011813923
0.84,0.84,0.25,8.573388203017834e-07,7544.656481481482,242.76574680727407,629.216691736423
0.85,0.85,0.25,8.573388203017834e-07,7544.656481481482,232.22137588343188,663.8269881300106
0.86,0.86,0.25,8.573388203017834e-07,7544.656481481482,251.09849193678477,619.2737385301085
0.87,0.87,0.25,8.573388203017834e-07,7544.656481481482,236.38227169281026,616.2491336776782
0.88,0.88,0.25,8.573388203017834e-07,7544.656481481482,244.44380680948095,585.1687190565983
0.89,0.89,0.25,8.573388203017834e-07,7544.656481481482,247.84128254423686,630.6218771305398
0.9,0.9,0.25,8.573388203017834e-07,7544.656481481482,237.1725030520294,634.8468600466664
0.91,0.91,0.25,8.573388203017834e-07,7544.656481481482,250.85769528424623,626.4940238660282
0.92,0.92,0.25,8.573388203017834e-07,7544.656481481482,233.74378380731162,637.4074571039846
0.93,0.93,0.25,8.573388203017834e-07,7544.656481481482,258.14078235468963,610.4795488773116
0.94,0.94,0.25,8.573388203017834e-07,7544.656481481482,237.8182490675951,636.6013529097445
0.95,0.95,0.25,8.573388203017834e-07,7544.656481481482,248.36958545887617,627.9259960200174
0.96,0.96,0.25,8.573388203017834e-07,7544.656481481482,254.8647597000966,640.1065260418437
0.97,0.97,0.25,8.573388203017834e-07,7544.656481481482,250.66053633166788,585.6987535620689
0.98,0.98,0.25,8.573388203017834e-07,7544.656481481482,256.54520658126825,628.8259567573175
0.99,0.99,0.25,8.573388203017834e-07,7544.656481481482,242.79923321802536,611.932154533575
0.1,0.2,0.25,8.573388203017834e-07,7544.656481481482,252.41256274064185,620.2005951191054
0.1,0.3,0.25,8.573388203017834e-07,7544.656481481482,250.805483381199,607.0330217777283
0.1,0.4,0.25,8.573388203017834e-07,7544.656481481482,227.38108573202086,611.1181807407681
0.1,0.5,0.25,8.573388203017834e-07,7544.656481481482,258.71583829306974,604.5794451011326
0.1,0.6,0.25,8.573388203017834e-07,7544.656481481482,244.2862865347851,634.1190651494157
0.1,0.7,0.25,8.573388203017834e-07,7544.656481481482,228.47992822029008,625.6012401455644
0.1,0.8,0.25,8.573388203017834e-07,7544.656481481482,263.83115457752973,603.0641166397837
0.1,0.9,0.25,8.573388203017834e-07,7544.656481481482,267.12227370048396,613.4146617609437
0.2,0.3,0.25,8.573388203017834e-07,7544.656481481482,245.88077579430768,627.3467703528069
0.2,0.4,0.25,8.573388203017834e-07,7544.656481481482,227.6716987702396,642.7047849326544
0.2,0.5,0.25,8.573388203017834e-07,7544.656481481482,257.39433792365264,603.6566430622248
0.2,0.6,0.25,8.573388203017834e-07,7544.656481481482,271.0366283192174,663.79901229616
0.2,0.7,0.25,8.573388203017834e-07,7544.656481481482,248.4483849202915,626.598968627233
0.2,0.8,0.25,8.573388203017834e-07,7544.656481481482,273.89318738051224,617.2925572187329
0.2,0.9,0.25,8.573388203017834e-07,7544.656481481482,251.23487415353125,627.2753871036412
0.3,0.4,0.25,8.573388203017834e-07,7544.656481481482,256.2768157397169,613.752861035294
0.3,0.5,0.25,8.573388203017834e-07,7544.656481481482,230.6982426474982,622.3009066597244
0.3,0.6,0.25,8.573388203017834e-07,7544.656481481482,241.36321411134676,636.6751414355119
0.3,0.7,0.25,8.573388203017834e-07,7544.656481481482,247.03099733501872,667.2356194670197
0.3,0.8,0.25,8.573388203017834e-07,7544.656481481482,254.11737308933206,613.0066184627372
0.3,0.9,0.25,8.573388203017834e-07,7544.656481481482,248.25717947384558,627.312699848864
