m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,8.573388203017834e-07,7544.656481481482,244.6745225292032,574.859794712425
0.01,0.01,0.2477855577623473,8.487654320987657e-07,7544.656481481482,241.54449251481128,639.8764243617994
0.02,0.02,0.24556620088507244,8.40192043895748e-07,7544.656481481482,233.31497160955095,631.0739241471018
0.03,0.03,0.2433419075049566,8.316186556927297e-07,7544.656481481482,252.54265290979964,636.0160065353267
0.04,0.04,0.2411126556125652,8.230452674897117e-07,7544.656481481482,237.0496096094085,643.5886041089357
0.05,0.05,0.23887842305094018,8.144718792866941e-07,7544.656481481482,244.60205659211175,669.5508811435418
0.06,0.06,0.23663918751428026,8.058984910836764e-07,7544.656481481482,261.74429014762427,632.5504447772021
0.07,0.07,0.23439492654660346,7.973251028806586e-07,7544.656481481482,254.8475366994005,639.3926101341515
0.08,0.08,0.2321456175403962,7.887517146776405e-07,7544.656481481482,269.7736274340482,662.2478045859185
0.09,0.09,0.229891237735247,7.801783264746228e-07,7544.656481481482,264.81922441760463,655.4782606066244
0.1,0.1,0.2276317642164649,7.716049382716049e-07,7544.656481481482,283.02098404071444,700.2266553686361
0.11,0.11,0.22536717391368066,7.630315500685872e-07,7544.656481481482,265.1011295413197,654.0618395635711
0.12,0.12,0.22309744359943545,7.544581618655695e-07,7544.656481481482,263.1811954797916,678.2927157088413
0.13,0.13,0.22082254988774924,7.458847736625516e-07,7544.656481481482,281.4310508894151,665.7701573471982
0.14,0.14,0.21854246923267656,7.373113854595336e-07,7544.656481481482,270.840292649221,678.4349623065589
0.15,0.15,0.216257177926844,7.287379972565157e-07,7544.656481481482,287.28533375209696,688.7783342796566
0.16,0.16,0.21396665209996982,7.201646090534981e-07,7544.656481481482,296.38041719290766,746.4247116383028
0.17,0.17,0.21167086771737015,7.115912208504803e-07,7544.656481481482,289.34320780267234,701.9506800413282
0.18,0.18,0.2093698005784441,7.030178326474626e-07,7544.656481481482,289.6648345120789,731.24732159216
0.19,0.19,0.20706342631514338,6.944444444444448e-07,7544.656481481482,295.93035826749775,728.7089774090883
0.2,0.2,0.20475172039042486,6.858710562414266e-07,7544.656481481482,303.8654468332536,759.6689749472272
0.21,0.21,0.20243465809668282,6.772976680384088e-07,7544.656481481482,299.9050316190545,817.7806533106891
0.22,0.22,0.20011221455416608,6.68724279835391e-07,7544.656481481482,308.00418520629904,762.6268447511871
0.23,0.23,0.19778436470937377,6.601508916323734e-07,7544.656481481482,313.67261212262616,739.5054565295695
0.24,0.24,0.19545108333343392,6.515775034293553e-07,7544.656481481482,316.5811123463605,728.4690801920016
