m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,7544.656481481482,56201.34379137166,203284.02308675772
0.01,0.01,0.25,8.573388203017834e-07,7544.656481481482,45724.1494833303,232940.19778595032
0.02,0.02,0.25,8.573388203017834e-07,7544.656481481482,55787.36786984467,226353.32790384645
0.03,0.03,0.25,8.573388203017834e-07,7544.656481481482,59028.60762787687,215377.65364735076
0.04,0.04,0.25,8.573388203017834e-07,7544.656481481482,69570.31397293006,209292.96517883346
0.05,0.05,0.25,8.573388203017834e-07,7544.656481481482,60265.77168192688,208124.93661631152
0.06,0.06,0.25,8.573388203017834e-07,7544.656481481482,47893.37026268706,227920.78342440608
0.07,0.07,0.25,8.573388203017834e-07,7544.656481481482,50689.60104551877,235664.04234418142
0.08,0.08,0.25,8.573388203017834e-07,7544.656481481482,48871.79158690205,213591.8739735412
0.09,0.09,0.25,8.573388203017834e-07,7544.656481481482,60583.71696406199,219549.6850862704
0.1,0.1,0.25,8.573388203017834e-07,7544.656481481482,57187.38279819596,227974.23433348598
0.11,0.11,0.25,8.573388203017834e-07,7544.656481481482,52348.10215462483,211544.30397859483
0.12,0.12,0.25,8.573388203017834e-07,7544.656481481482,67729.29219756844,231996.89243584292
0.13,0.13,0.25,8.573388203017834e-07,7544.656481481482,67696.74888755543,215380.82579878392
0.14,0.14,0.25,8.573388203017834e-07,7544.656481481482,60781.429465085144,197109.443832459
0.15,0.15,0.25,8.573388203017834e-07,7544.656481481482,45480.16455846202,262532.4320515865
0.16,0.16,0.25,8.573388203017834e-07,7544.656481481482,65862.11656883011,240140.76646362463
0.17,0.17,0.25,8.573388203017834e-07,7544.656481481482,59502.72411043018,209825.1159246365
0.18,0.18,0.25,8.573388203017834e-07,7544.656481481482,63319.0421372213,218882.7911679084
0.19,0.19,0.25,8.573388203017834e-07,7544.656481481482,60816.53515731817,238586.55898814564
0.2,0.2,0.25,8.573388203017834e-07,7544.656481481482,61460.687258361955,189814.7298395003
0.21,0.21,0.25,8.573388203017834e-07,7544.656481481482,54414.55895752233,220999.62132785504
0.22,0.22,0.25,8.573388203017834e-07,7544.656481481482,54681.77368694406,246610.31872368886
0.23,0.23,0.25,8.573388203017834e-07,7544.656481481482,62522.18286760695,220633.73571725845
0.24,0.24,0.25,8.573388203017834e-07,7544.656481481482,45445.854437427464,199503.0398364033
0.25,0.25,0.25,8.573388203017834e-07,7544.656481481482,58689.122408540105,237574.0999005876
0.26,0.26,0.25,8.573388203017834e-07,7544.656481481482,54810.978576081776,213648.4231353625
0.27,0.27,0.25,8.573388203017834e-07,7544.656481481482,59951.65664808313,225666.4804002791
0.28,0.28,0.25,8.573388203017834e-07,7544.656481481482,56970.55820048159,228827.54594483352
0.29,0.29,0.25,8.573388203017834e-07,7544.656481481482,50367.139355864456,246915.12220002842
0.3,0.3,0.25,8.573388203017834e-07,7544.656481481482,62827.343532565006,219499.33423151844
0.31,0.31,0.25,8.573388203017834e-07,7544.656481481482,50294.48606023722,217218.19664113066
0.32,0.32,0.25,8.573388203017834e-07,7544.656481481482,68175.1192023455,226678.28139738904
0.33,0.33,0.25,8.573388203017834e-07,7544.656481481482,51525.34574304232,192125.33486095097
