m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,8.573388203017834e-07,7544.656481481482,267.34611421806335,581.8829580971735
0.01,0.01,0.252231843108818,8.659988083856399e-07,7544.656481481482,239.84634053349137,657.7673387898046
0.02,0.02,0.2545041109790552,8.748355309201871e-07,7544.656481481482,246.8573580530744,633.6686855180359
0.03,0.03,0.2568179179810562,8.838544539193642e-07,7544.656481481482,256.310597393204,628.452200503709
0.04,0.04,0.2591744200495381,8.930612711476911e-07,7544.656481481482,244.47119876320974,616.7869988399476
0.05,0.05,0.26157481665031834,9.024619161071406e-07,7544.656481481482,247.72561115125515,654.8181240048602
0.06,0.06,0.2640203528603893,9.120625747891314e-07,7544.656481481482,246.88471582502305,646.6612662571595
0.07,0.07,0.26651232156907717,9.218696992492294e-07,7544.656481481482,249.82185010674507,621.897891053674
0.08,0.08,0.2690520658086282,9.318900220671559e-07,7544.656481481482,256.7988092126978,626.8152398449732
0.09,0.09,0.27164098122324504,9.421305717602017e-07,7544.656481481482,261.4156051055492,647.0149155790101
0.1,0.1,0.27428051868631076,9.525986892242036e-07,7544.656481481482,261.1883130410866,666.6092121129058
0.11,0.11,0.2769721870763485,9.63302045282903e-07,7544.656481481482,266.27802450785873,653.7806543587229
0.12,0.12,0.2797175562231261,9.742486594338447e-07,7544.656481481482,248.16400515325722,649.8517201419135
0.13,0.13,0.2825182600362664,9.85446919887107e-07,7544.656481481482,262.3928790199997,683.3841024586302
0.14,0.14,0.28537599982977657,9.969056050020738e-07,7544.656481481482,253.81852725700486,694.1880979841499
0.15,0.15,0.2882925478570475,1.0086339062373921e-06,7544.656481481482,251.1944259265093,686.1104514279547
0.16,0.16,0.2912697510721274,1.0206414527402187e-06,7544.656481481482,253.27643451506324,683.6393292738627
0.17,0.17,0.29430953513446373,1.032938337712992e-06,7544.656481481482,264.9296129242889,692.527015855966
0.18,0.18,0.29741390867581596,1.045535146709492e-06,7544.656481481482,268.7059766935366,662.1403373966491
0.19,0.19,0.3005849678497158,1.0584429880268933e-06,7544.656481481482,254.82889557078101,643.400162644198
0.2,0.2,0.30382490118569716,1.0716735253772291e-06,7544.656481481482,259.03686779851506,662.1887118990396
0.21,0.21,0.30713599477254494,1.0852390130402323e-06,7544.656481481482,248.05248020285916,681.3965239054261
0.22,0.22,0.31052063779706046,1.099152333720235e-06,7544.656481481482,268.53439943162715,607.5831777677712
0.23,0.23,0.3139813284673266,1.1134270393529656e-06,7544.656481481482,261.6148336497303,705.1464282240536
0.24,0.24,0.3175206803522031,1.1280773951339255e-06,7544.656481481482,275.00856144984425,697.75158173816
0.25,0.25,0.3211414291718321,1.1431184270690443e-06,7544.656481481482,264.4897550279648,667.1875493164669
