m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,8.573388203017834e-07,7544.656481481482,57772.561090812414,203272.35585490585
0.01,0.01,0.252231843108818,8.659988083856399e-07,7544.656481481482,46149.84989301369,214208.6993845124
0.02,0.02,0.2545041109790552,8.748355309201871e-07,7544.656481481482,51485.8911002181,209222.13527504308
0.03,0.03,0.2568179179810562,8.838544539193642e-07,7544.656481481482,62519.117869247784,246774.48159325882
0.04,0.04,0.2591744200495381,8.930612711476911e-07,7544.656481481482,57539.81551109874,227288.9985382068
0.05,0.05,0.26157481665031834,9.024619161071406e-07,7544.656481481482,54174.31643436561,236247.80834980943
0.06,0.06,0.2640203528603893,9.120625747891314e-07,7544.656481481482,59086.37175087565,244617.07666151086
0.07,0.07,0.26651232156907717,9.218696992492294e-07,7544.656481481482,49843.29939757635,233268.38066671373
0.08,0.08,0.2690520658086282,9.318900220671559e-07,7544.656481481482,61748.44328406138,211384.2517891504
0.09,0.09,0.27164098122324504,9.421305717602017e-07,7544.656481481482,54520.59275426138,225889.91900513376
0.1,0.1,0.27428051868631076,9.525986892242036e-07,7544.656481481482,57938.03932654534,239486.43751176962
0.11,0.11,0.2769721870763485,9.63302045282903e-07,7544.656481481482,67171.25115351992,242319.4949829823
0.12,0.12,0.2797175562231261,9.742486594338447e-07,7544.656481481482,59255.61672867167,258245.43029718514
0.13,0.13,0.2825182600362664,9.85446919887107e-07,7544.656481481482,58153.571715842736,274730.4172737646
0.14,0.14,0.28537599982977657,9.969056050020738e-07,7544.656481481482,55604.914130929676,246365.89189029127
0.15,0.15,0.2882925478570475,1.0086339062373921e-06,7544.656481481482,60376.77852456379,238401.59033820624
0.16,0.16,0.2912697510721274,1.0206414527402187e-06,7544.656481481482,49042.98657301137,274554.07670240855
0.17,0.17,0.29430953513446373,1.032938337712992e-06,7544.656481481482,64156.189894324394,273775.51929617126
0.18,0.18,0.29741390867581596,1.045535146709492e-06,7544.656481481482,68163.19575214406,278452.7121652906
0.19,0.19,0.3005849678497158,1.0584429880268933e-06,7544.656481481482,56255.885406069625,253217.04959002018
0.2,0.2,0.30382490118569716,1.0716735253772291e-06,7544.656481481482,66241.80396497126,275435.71108776267
0.21,0.21,0.30713599477254494,1.0852390130402323e-06,7544.656481481482,57844.58009941958,255907.26970347454
0.22,0.22,0.31052063779706046,1.099152333720235e-06,7544.656481481482,69287.41044415544,229021.87430538717
0.23,0.23,0.3139813284673266,1.1134270393529656e-06,7544.656481481482,65337.16169854207,246881.47016719705
0.24,0.24,0.3175206803522031,1.1280773951339255e-06,7544.656481481482,71537.2991898273,279758.77327099064
0.25,0.25,0.3211414291718321,1.1431184270690443e-06,7544.656481481482,69954.97504188104,238510.47963799385
0.26,0.26,0.3248464400773246,1.1585659733807882e-06,7544.656481481482,56480.03285565444,236874.23076860062
0.27,0.27,0.3286387154615538,1.174436740139429e-06,7544.656481481482,65162.85907530553,262931.4657684264
0.28,0.28,0.33252140334718094,1.190748361530255e-06,7544.656481481482,57997.27897473053,256719.16791152052
0.29,0.29,0.336497806402695,1.2075194652137793e-06,7544.656481481482,68311.21270722525,281952.5754531219
0.3,0.3,0.34057139164247785,1.2247697432882618e-06,7544.656481481482,55829.70858030473,267518.18860906415
0.31,0.31,0.34474580087270945,1.2425200294228743e-06,7544.656481481482,67916.34261499024,274641.61748557334
0.32,0.32,0.349024861951473,1.2607923827967401e-06,7544.656481481482,53728.57534823445,263514.07577848807
0.33,0.33,0.35341260093871385,1.2796101795549006e-06,7544.656481481482,78977.05496662721,335740.2474912465
0.34,0.34,0.357913255219926,1.2989982125784598e-06,7544.656481481482,77749.7301528914,292371.8000430393
0.35,0.35,0.36253128769667475,1.3189828004642817e-06,7544.656481481482,67501.38060777234,271028.45285397134
0.36,0.36,0.36727140214746473,1.3395919067215363e-06,7544.656481481482,57035.492045903855,311942.3899582445
0.37,0.37,0.3721385598742083,1.3608552703202914e-06,7544.656481481482,65593.76266324305,275416.1618065452
0.38,0.38,0.377137997762821,1.382804548873844e-06,7544.656481481482,62941.406227404106,265707.14594236034
0.39,0.39,0.38227524790151096,1.405473475904563e-06,7544.656481481482,75138.46448647609,303354.84227004217
0.4,0.4,0.38755615891737866,1.4288980338363059e-06,7544.656481481482,66628.40744175795,294459.2456472158
0.41,0.41,0.39298691921135254,1.4531166445792938e-06,7544.656481481482,74652.1950313852,289901.6758791154
0.42,0.42,0.39857408229356917,1.4781703798306612e-06,7544.656481481482,67438.57447348637,336033.10005232156
0.43,0.43,0.40432459444653623,1.5041031935119003e-06,7544.656481481482,69807.32090811896,345807.7565658103
0.44,0.44,0.41024582497226336,1.5309621791103266e-06,7544.656481481482,63165.027173989176,311946.6267412122
0.45,0.45,0.416345599312631,1.558797855094151e-06,7544.656481481482,65850.54421815209,273789.71799888136
0.46,0.46,0.4226322353702709,1.587664482040339e-06,7544.656481481482,62338.43321113227,285848.161958033
0.47,0.47,0.4291145834010149,1.6176204156637414e-06,7544.656481481482,83505.39024507432,304183.66621690104
0.48,0.48,0.43580206989951775,1.6487285005803523e-06,7544.656481481482,64811.997804654144,327103.51112019626
0.49,0.49,0.44270474595816484,1.6810565103956534e-06,7544.656481481482,84067.37989091036,340912.8483115456
0.5,0.5,0.44983334064729175,1.7146776406035667e-06,7544.656481481482,76607.68844473673,347919.15326211235
0.51,0.51,0.45719932004375335,1.7496710618403741e-06,7544.656481481482,72307.76598218713,323395.5144198574
0.52,0.52,0.464814952627111,1.7861225422953822e-06,7544.656481481482,82951.90323489982,325521.5482899731
0.53,0.53,0.4726933818706474,1.8241251495782627e-06,7544.656481481482,70275.60277820927,365071.8674064929
0.54,0.54,0.48084870698114207,1.8637800441343118e-06,7544.656481481482,71632.97417292594,319071.3222034026
0.55,0.55,0.48929607289060173,1.9051973784484072e-06,7544.656481481482,99269.5695167994,366114.0538103344
0.56,0.56,0.49805177077950596,1.94849731886769e-06,7544.656481481482,84474.83445296247,416521.2518528694
0.57,0.57,0.5071333506202754,1.9938112100041476e-06,7544.656481481482,83689.39414565358,324894.6422904611
0.58,0.58,0.5165597474785545,2.0412829054804366e-06,7544.656481481482,76879.85936369293,406663.62149560894
0.59,0.59,0.5263514236071962,2.091070293418984e-06,7544.656481481482,73354.65913391787,373382.1282530524
0.6,0.6,0.5365305287244002,2.1433470507544583e-06,7544.656481481482,96661.22622791646,394439.1946653168
0.61,0.61,0.5471210812968035,2.19830466744047e-06,7544.656481481482,85384.05327412685,447566.1957150958
0.62,0.62,0.5581491741676017,2.256154790267851e-06,7544.656481481482,80994.30411518841,396505.98221025785
0.63,0.63,0.5696432085006782,2.3171319467615765e-06,7544.656481481482,87367.9257141938,390911.65505043336
0.64,0.64,0.5816341607818309,2.38149672306051e-06,7544.656481481482,84596.9293285723,456719.7220876726
0.65,0.65,0.5941558885630488,2.4495394865765235e-06,7544.656481481482,89422.68849540417,442418.63991684903
0.66,0.66,0.607245481801081,2.5215847655934802e-06,7544.656481481482,88985.799806563,512306.5537306561
0.67,0.67,0.6209436680867643,2.5979964251569196e-06,7544.656481481482,87319.15580719631,447426.363998513
0.68,0.68,0.6352952818645222,2.6791838134430738e-06,7544.656481481482,84611.20908820331,515247.38925687404
0.69,0.69,0.65034981000463,2.765609097747688e-06,7544.656481481482,117298.98256587045,374481.8148780496
0.7,0.7,0.6661620289505679,2.8577960676726117e-06,7544.656481481482,85262.2497191245,466656.1496848751
0.71,0.71,0.6827927523025192,2.9563407596613224e-06,7544.656481481482,78160.61589996023,522384.90518556186
0.72,0.72,0.7003097123625974,3.0619243582206533e-06,7544.656481481482,123921.41166266086,534413.0741707834
0.73,0.73,0.7187886051942509,3.175328964080678e-06,7544.656481481482,111869.91142667554,479034.31073334155
0.74,0.74,0.7383143366014491,3.2974570011607046e-06,7544.656481481482,106861.7743354719,698000.919756242
0.75,0.75,0.75898251675878,3.4293552812071335e-06,7544.656481481482,116482.83301074631,572435.828995136
0.76,0.76,0.7809012649319927,3.5722450845907643e-06,7544.656481481482,97824.15991752273,583760.7068510333
0.77,0.77,0.804193404118253,3.7275600882686235e-06,7544.656481481482,163938.82135555556,627427.1957642244
0.78,0.78,0.8289991503834556,3.89699463773538e-06,7544.656481481482,143196.01069170216,562261.3003036896
0.79,0.79,0.8554794359318093,4.082565810960875e-06,7544.656481481482,123740.9251524494,619552.1792958683
0.8,0.8,0.8838200526074405,4.2866941015089165e-06,7544.656481481482,132177.02254258114,655968.2287604309
0.81,0.81,0.9142368698010942,4.512309580535702e-06,7544.656481481482,137511.81169889955,725265.5163916892
0.82,0.82,0.9469824771800911,4.762993446121016e-06,7544.656481481482,161181.96485866935,728614.5293848481
0.83,0.83,0.9823547433177496,5.043169531186959e-06,7544.656481481482,199924.06372823234,722656.7493225866
0.84,0.84,1.0207079903521874,5.358367626886144e-06,7544.656481481482,145466.0356791579,703079.3000088602
0.85,0.85,1.062467802085996,5.7155921353452234e-06,7544.656481481482,211909.171242637,890622.8562082719
0.86,0.86,1.1081509758442802,6.1238487164413065e-06,7544.656481481482,211410.72627807196,841306.8271865956
0.87,0.87,1.1583929144508198,6.594914002321409e-06,7544.656481481482,179783.16702193397,1072709.9990917437
0.88,0.88,1.2139860457936091,7.144490169181529e-06,7544.656481481482,242371.80957531862,1114975.4716195292
0.89,0.89,1.275935050784628,7.79398927547076e-06,7544.656481481482,275259.8070795816,1141003.128458534
0.9,0.9,1.3455385537002145,8.573388203017833e-06,7544.656481481482,304155.7699154896,1446100.103459469
0.91,0.91,1.424514083833287,9.52598689224204e-06,7544.656481481482,318262.23768136353,1399249.6602492935
0.92,0.92,1.5151970565903565,1.0716735253772297e-05,7544.656481481482,353367.86211136845,1820556.8420453835
0.93,0.93,1.6208734670599652,1.2247697432882632e-05,7544.656481481482,336343.00840146566,2037804.4384573838
0.94,0.94,1.7463709781420602,1.4288980338363045e-05,7544.656481481482,389676.76428760315,2540674.6277887872
0.95,0.95,1.8991940825207472,1.7146776406035653e-05,7544.656481481482,523619.9442039282,2881259.3068724424
0.96,0.96,2.091942505168724,2.143347050754456e-05,7544.656481481482,622709.6345709648,4339388.7989697
0.97,0.97,2.3482765458356565,2.857796067672609e-05,7544.656481481482,950531.4990204246,5748321.55052511
