m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,7544.656481481482,46114.17658392232,236992.22503243515
0.01,0.01,0.25,8.573388203017834e-07,7544.656481481482,54072.289725073264,249145.8517423331
0.02,0.02,0.25,8.573388203017834e-07,7544.656481481482,57733.8037005963,217389.640909678
0.03,0.03,0.25,8.573388203017834e-07,7544.656481481482,60066.86344188266,231699.84571688334
0.04,0.04,0.25,8.573388203017834e-07,7544.656481481482,65532.004300842855,259479.82480301536
0.05,0.05,0.25,8.573388203017834e-07,7544.656481481482,58135.37526842246,268581.0585251597
0.06,0.06,0.25,8.573388203017834e-07,7544.656481481482,63557.6583631615,220515.58510966264
0.07,0.07,0.25,8.573388203017834e-07,7544.656481481482,77717.56200136885,247965.8988983117
0.08,0.08,0.25,8.573388203017834e-07,7544.656481481482,51901.22444282728,248680.7893362562
0.09,0.09,0.25,8.573388203017834e-07,7544.656481481482,67291.8841140392,276330.6684002905
0.1,0.1,0.25,8.573388203017834e-07,7544.656481481482,71294.51625123515,254687.65255578616
0.11,0.11,0.25,8.573388203017834e-07,7544.656481481482,80141.76358710419,287762.32665174676
0.12,0.12,0.25,8.573388203017834e-07,7544.656481481482,70995.04892037346,312902.2491125014
0.13,0.13,0.25,8.573388203017834e-07,7544.656481481482,91590.86431134031,304815.6687902404
0.14,0.14,0.25,8.573388203017834e-07,7544.656481481482,84553.21488198443,307423.0219867451
0.15,0.15,0.25,8.573388203017834e-07,7544.656481481482,89648.76814037313,296220.73334841273
0.16,0.16,0.25,8.573388203017834e-07,7544.656481481482,87126.67098394292,341878.51756531757
0.17,0.17,0.25,8.573388203017834e-07,7544.656481481482,86426.05744322966,307119.80955777713
0.18,0.18,0.25,8.573388203017834e-07,7544.656481481482,79615.7886450069,369423.83518180234
0.19,0.19,0.25,8.573388203017834e-07,7544.656481481482,86661.65173417167,353433.58966684376
0.2,0.2,0.25,8.573388203017834e-07,7544.656481481482,105069.9126974689,358782.6218854415
0.21,0.21,0.25,8.573388203017834e-07,7544.656481481482,75907.65268469721,352463.57792297547
0.22,0.22,0.25,8.573388203017834e-07,7544.656481481482,71502.64594770514,367931.93380120926
0.23,0.23,0.25,8.573388203017834e-07,7544.656481481482,107872.26834079104,374855.5785098889
0.24,0.24,0.25,8.573388203017834e-07,7544.656481481482,97075.78023706544,409405.6816177339
0.25,0.25,0.25,8.573388203017834e-07,7544.656481481482,109213.36172989655,416375.38835657714
0.26,0.26,0.25,8.573388203017834e-07,7544.656481481482,107649.38157805643,381600.5823786364
0.27,0.27,0.25,8.573388203017834e-07,7544.656481481482,97426.16053136278,407748.33572663245
0.28,0.28,0.25,8.573388203017834e-07,7544.656481481482,100977.21407762151,454002.51457009214
0.29,0.29,0.25,8.573388203017834e-07,7544.656481481482,153106.7089226338,474212.0281277496
0.3,0.3,0.25,8.573388203017834e-07,7544.656481481482,115431.53418202292,424830.12120953004
0.31,0.31,0.25,8.573388203017834e-07,7544.656481481482,85810.73158023717,467197.1517619507
0.32,0.32,0.25,8.573388203017834e-07,7544.656481481482,127796.75270782938,510181.00270823506
0.33,0.33,0.25,8.573388203017834e-07,7544.656481481482,125983.50665046638,487062.98969500983
