m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,7544.656481481482,23.40969188086558,22.194208949945846,11.664952348171312,54.26686622319721,12.789111464370393,-40.92380452067664
0.01,0.01,7544.656481481482,-9.480258713431937,-16.74557394905105,-2.8088323735541394,-17.17418707894535,3.209918857287704,-51.148247144241736
0.02,0.02,7544.656481481482,1.84889622271578,-33.845126440053605,17.46386378665713,14.109542841793996,-2.383762914442798,3.626762402001532
0.03,0.03,7544.656481481482,-7.347616974128982,20.241137320835037,15.28836942822818,-11.688543259612743,1.8699924125621692,34.02429847076951
0.04,0.04,7544.656481481482,-24.737268038677797,-33.43453984007874,-12.86081196050597,-9.07314868690412,6.8771035396862885,-32.609896666468444
0.05,0.05,7544.656481481482,-17.786913041529402,-24.438003926633087,-12.289126139656332,10.0332005305454,-8.071869142538873,-9.499871567251034
0.06,0.06,7544.656481481482,-39.53184488278424,6.17773417506487,-13.420254060951777,7.420845199718201,-15.348256148335338,39.94349269298175
0.07,0.07,7544.656481481482,-33.143030201190186,-76.24739875117348,-17.511166942200077,-35.00485821293955,-5.645716278917291,-26.8780931329743
0.08,0.08,7544.656481481482,-5.715203458690041,-40.53213098562014,-11.183911765441394,-34.27247102648073,16.558218559868692,12.25436951604695
0.09,0.09,7544.656481481482,-26.880044556302295,-51.51574228558559,1.6574825252294545,-53.651749845990935,12.331097299526277,51.89374400315569
0.1,0.1,7544.656481481482,-33.75793041774395,-91.84239482715907,11.645218787066483,-20.513581757718384,-4.6335290346019065,1.6107533836784569
0.11,0.11,7544.656481481482,-55.67747894543848,-99.86047041893607,-1.388934854784452,-50.78550083489574,-36.42830636905893,-37.16774291662921
0.12,0.12,7544.656481481482,-28.471386120823723,-104.06784327051093,-0.7315962121075188,-47.602827149260634,31.08768787917637,-84.9070079429033
0.13,0.13,7544.656481481482,-44.26554308561643,-86.22214369236178,9.938264157590169,-12.982579531797342,-4.745798164170935,-27.99628783840228
0.14,0.14,7544.656481481482,-35.049231949593064,-106.31976209767049,-9.063950606114815,-32.742542157001935,0.8179772427997136,12.585212003010497
0.15,0.15,7544.656481481482,-51.60738617738377,-152.6231378843661,4.511549599209559,-45.22331593801414,-26.666276330293897,-57.139827216843514
0.16,0.16,7544.656481481482,-26.446462463498506,-167.00384640200423,32.90960723864583,-7.963046792436785,-9.365490697791643,-73.25732281096373
0.17,0.17,7544.656481481482,-82.80784637925788,-115.72046344739556,-38.19700178562218,-57.45569279423171,0.843935387592694,3.10394727125788
0.18,0.18,7544.656481481482,-49.091531245097826,-167.9082259048556,-14.334077580657379,-40.98912303009024,-17.430678390145317,-44.62935502640323
0.19,0.19,7544.656481481482,-65.11648206750769,-164.87365090689207,-9.48420559586836,-95.92908690685385,-23.49369731279404,-34.147946070724856
0.2,0.2,7544.656481481482,-92.0402882017296,-186.21858632005024,-51.87485900627411,-72.28576515449322,-7.2623795434741965,-24.76278163643815
0.21,0.21,7544.656481481482,-51.40575869540237,-118.24105573798101,-6.253716317035526,-32.31833686849052,-22.265523786680944,15.915915148101021
0.22,0.22,7544.656481481482,-60.092459483303486,-129.7082664642336,-38.07248193371586,-47.08828351143359,13.624009970298175,1.6320204053693033
0.23,0.23,7544.656481481482,-90.91665423581361,-194.3965610420886,1.4565847647184,-20.245509391900555,-44.81391437281644,-59.362113211176165
0.24,0.24,7544.656481481482,-94.07101845953397,-222.91289495114802,-45.38901503615884,-36.57517899164907,-24.663056224451054,-96.1178546331389
0.25,0.25,7544.656481481482,-86.71533050656052,-196.7732587955976,-29.563785286123846,-76.35264781819956,-28.422923284974047,-40.06491212936305
0.26,0.26,7544.656481481482,-108.16230416239864,-179.45504010007903,-28.320316318026926,-29.6795451818914,-31.77082623582038,-28.841995713059305
0.27,0.27,7544.656481481482,-84.69188349939577,-215.07964941932585,-22.40928142861526,-11.168096528183469,2.9115114887628124,-76.315404727118
0.28,0.28,7544.656481481482,-90.80578877129949,-256.71680045262565,3.0127692506425774,-2.4432771913958504,0.19515994029228523,-98.5455257119288
0.29,0.29,7544.656481481482,-100.37245969219833,-207.25484440290313,9.996104745724864,-14.06352338672059,-53.500397708048524,-86.29553442140787
0.3,0.3,7544.656481481482,-100.58231431281746,-283.5908153071463,-5.807793992648669,-70.68845051175276,-24.28170728541062,-12.231957404873015
0.31,0.31,7544.656481481482,-67.48298518523285,-272.5488620116745,14.68241187489366,-6.8408097508563515,-15.742544649303625,-118.95474485063949
0.32,0.32,7544.656481481482,-149.40885321357678,-310.950271012434,-10.175350513651097,-148.96701869856236,-32.9403838123751,-107.79630270859343
0.33,0.33,7544.656481481482,-125.37758082233353,-319.7907797519996,-4.9256710769370216,-70.28006714792946,-56.1988837399831,-75.24675199976059
0.34,0.34,7544.656481481482,-130.93097411960528,-338.29356318603107,-23.417146988168696,-91.21344527705673,-29.465716189833586,-99.94902340121598
0.35,0.35,7544.656481481482,-133.1433148100116,-318.0074174679519,-20.106689124120294,-49.67116039829898,-21.88254426105675,-112.31436836788248
0.36,0.36,7544.656481481482,-131.329837551916,-330.6283287071011,-23.691969433542965,-68.54830887568266,-18.2695231516675,-77.76303624311265
0.37,0.37,7544.656481481482,-150.4878446254928,-390.5272128659427,-41.05307504971472,-28.187438956248343,-56.971452719461126,-182.94522429074823
0.38,0.38,7544.656481481482,-198.64030354803356,-393.99542174893736,-54.90146348142173,-104.13669944456319,-43.24979780543072,-139.40308216530707
0.39,0.39,7544.656481481482,-190.6377393676138,-444.43662782205183,-21.92796186287842,-118.37920280808521,-75.76295545304828,-158.08832978515625
0.4,0.4,7544.656481481482,-178.68476236461507,-438.6223249508978,-21.399080632983413,-107.72695636636035,-47.45390104580582,-133.73352683419603
0.41,0.41,7544.656481481482,-187.29492341005607,-385.29279845883525,-34.64622181459259,-49.8284191553189,-40.71641629997447,-97.11434985081769
0.42,0.42,7544.656481481482,-217.18848728717995,-472.28640974890743,-40.48820316285213,-106.33078318667515,-45.39333650633063,-153.25727495472313
0.43,0.43,7544.656481481482,-172.95149412786097,-509.8011539623741,-51.41937359344283,-121.14348081514333,-23.714948214622382,-124.11947554773826
0.44,0.44,7544.656481481482,-195.13471221763098,-532.0925252778759,-29.86730398995263,-131.28034041310707,-25.26180229362069,-116.63516645814525
0.45,0.45,7544.656481481482,-220.787386841851,-486.3546086976596,-71.65080792730254,-152.09189751251358,-32.63029619945888,-104.1128262396461
0.46,0.46,7544.656481481482,-219.83075306887585,-613.0434993874667,-42.72208911227554,-140.09628204353783,-59.16049589262792,-271.29333374406133
0.47,0.47,7544.656481481482,-192.6605614790489,-536.4152361272438,-27.859437757988644,-129.56060819840525,-18.3905138104692,-138.5357715748047
0.48,0.48,7544.656481481482,-274.17280308950944,-664.5613807962212,-55.56710503623421,-133.26262574877046,-56.72695138128296,-248.91822699025283
0.49,0.49,7544.656481481482,-262.36163860939746,-606.6010704677078,-40.18044165720178,-104.37114397064693,-44.181111116076465,-228.39377863539823
0.5,0.5,7544.656481481482,-254.0548839539758,-683.415286986338,-80.34339397080757,-124.61364032898541,-12.62960663042253,-197.863161300789
0.51,0.51,7544.656481481482,-301.88090762514,-708.099264687357,-98.53350580505972,-171.327460507801,-59.36422113208204,-202.4358874786226
0.52,0.52,7544.656481481482,-264.4353383520977,-694.7231899144934,-48.26455395081399,-135.94231541394038,-56.853737783620886,-168.39943654999593
0.53,0.53,7544.656481481482,-295.8676208260066,-658.0299292603838,-59.90795570445741,-93.8709788366939,-47.30394152789074,-239.54021457995373
0.54,0.54,7544.656481481482,-333.92843206117595,-709.25660386891,-85.59718589952374,-207.82346770956565,-83.19778883675662,-193.06686097967713
0.55,0.55,7544.656481481482,-336.7913543966503,-835.783476960659,-61.156920216332594,-129.66360758366022,-79.46458715372563,-342.4404016471715
0.56,0.56,7544.656481481482,-357.0914589002614,-801.9317889666405,-38.3015597456193,-123.82817905419586,-109.07709343433999,-262.61415279713265
0.57,0.57,7544.656481481482,-393.87946986400584,-737.0641700356956,-88.12948816815512,-256.16660166454665,-63.68418083165284,-134.10464208751273
0.58,0.58,7544.656481481482,-296.3622061355313,-991.2536059082074,-76.87745061991257,-226.78119032393033,-14.02206916696025,-419.8047171985788
