m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,8.573388203017834e-07,7544.656481481482,16102.176651394268,70741.46461497806
0.01,0.01,0.49605754532553353,8.487654320987657e-07,7544.656481481482,16330.174750962296,74318.1452328584
0.02,0.02,0.4920994861619237,8.40192043895748e-07,7544.656481481482,13430.834380361388,70973.34805700189
0.03,0.03,0.48812569849099385,8.316186556927297e-07,7544.656481481482,13901.584040332482,78831.30075628516
0.04,0.04,0.4841360568101951,8.230452674897117e-07,7544.656481481482,14712.794065845357,69622.29061968927
0.05,0.05,0.48013043410882683,8.144718792866941e-07,7544.656481481482,16452.958907180942,66404.342823392
0.06,0.06,0.4761087018437724,8.058984910836764e-07,7544.656481481482,15052.954094215727,74999.0249372423
0.07,0.07,0.4720707299147485,7.973251028806586e-07,7544.656481481482,16819.58556538222,72212.00408299381
0.08,0.08,0.4680163866390518,7.887517146776405e-07,7544.656481481482,19805.009068528678,75172.1021529159
0.09,0.09,0.46394553872579114,7.801783264746228e-07,7544.656481481482,13279.185821756273,79725.47409095467
0.1,0.1,0.45985805124959506,7.716049382716049e-07,7544.656481481482,17504.263713823115,83319.36500100663
0.11,0.11,0.45575378762377566,7.630315500685872e-07,7544.656481481482,14290.278698581904,72563.78508237533
0.12,0.12,0.45163260957294576,7.544581618655695e-07,7544.656481481482,21610.75683126753,75121.09922074722
0.13,0.13,0.44749437710506174,7.458847736625516e-07,7544.656481481482,17906.299876368066,79896.4140080462
0.14,0.14,0.44333894848289374,7.373113854595336e-07,7544.656481481482,19811.906906967844,83368.57677198546
0.15,0.15,0.43916618019489273,7.287379972565157e-07,7544.656481481482,21079.806049882372,90874.36233491475
0.16,0.16,0.43497592692545334,7.201646090534981e-07,7544.656481481482,20679.28435609712,83254.3671455016
0.17,0.17,0.43076804152454756,7.115912208504803e-07,7544.656481481482,19113.036589091807,81762.35907778265
0.18,0.18,0.4265423749767188,7.030178326474626e-07,7544.656481481482,21581.752212008156,96055.57008229617
0.19,0.19,0.4222987763694164,6.944444444444448e-07,7544.656481481482,26615.415080197694,83570.58406430048
0.2,0.2,0.4180370928606561,6.858710562414266e-07,7544.656481481482,19715.663128707118,91382.32302123075
0.21,0.21,0.4137571696459893,6.772976680384088e-07,7544.656481481482,24495.03124273961,86523.25955293165
0.22,0.22,0.4094588499247608,6.68724279835391e-07,7544.656481481482,17892.91392179863,102864.11668980433
0.23,0.23,0.40514197486564013,6.601508916323734e-07,7544.656481481482,21734.75419478161,105295.26971236893
0.24,0.24,0.40080638357140336,6.515775034293553e-07,7544.656481481482,16448.128978616278,117419.30123711316
0.25,0.25,0.3964519130429505,6.430041152263374e-07,7544.656481481482,21760.414980014237,100403.73204057163
0.26,0.26,0.3920783981425341,6.344307270233195e-07,7544.656481481482,24498.04351174246,85486.95246507351
0.27,0.27,0.38768567155618155,6.258573388203017e-07,7544.656481481482,22276.23252808418,104921.11764117876
0.28,0.28,0.3832735637552874,6.172839506172841e-07,7544.656481481482,22065.032032194234,103985.91838270647
0.29,0.29,0.3788419029573562,6.08710562414266e-07,7544.656481481482,25517.261370097127,100350.50837808337
0.3,0.3,0.37439051508586846,6.001371742112485e-07,7544.656481481482,24666.176987932482,100913.6635603918
0.31,0.31,0.3699192237292539,5.915637860082305e-07,7544.656481481482,26442.98311134069,118806.2686731487
0.32,0.32,0.36542785009893863,5.829903978052127e-07,7544.656481481482,26887.313103171407,113207.7863707372
0.33,0.33,0.36091621298644966,5.744170096021948e-07,7544.656481481482,24458.282063858253,121745.93777010488
0.34,0.34,0.35638412871954467,5.65843621399177e-07,7544.656481481482,20418.112702874514,123746.2282587925
0.35,0.35,0.35183141111734534,5.572702331961592e-07,7544.656481481482,28906.224590959813,134481.9171294433
0.36,0.36,0.3472578714444431,5.486968449931414e-07,7544.656481481482,27470.700249533307,112458.11226053943
0.37,0.37,0.3426633183639511,5.401234567901236e-07,7544.656481481482,29813.108011223118,136101.23355397396
0.38,0.38,0.3380475578894727,5.315500685871056e-07,7544.656481481482,27558.28358656996,136564.98432258275
