m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,8.573388203017834e-07,7544.656481481482,118.81235845327674,351.79685597229366
0.01,0.01,0.5,8.573388203017834e-07,7544.656481481482,118.3042734871566,351.31125421541606
0.02,0.02,0.5,8.573388203017834e-07,7544.656481481482,122.95258220752432,329.0940271998503
0.03,0.03,0.5,8.573388203017834e-07,7544.656481481482,141.06010074599038,377.73171697611724
0.04,0.04,0.5,8.573388203017834e-07,7544.656481481482,126.89597925299691,347.23876033616847
0.05,0.05,0.5,8.573388203017834e-07,7544.656481481482,135.01296197552858,359.54717625478366
0.06,0.06,0.5,8.573388203017834e-07,7544.656481481482,141.32762954695627,374.8085244737368
0.07,0.07,0.5,8.573388203017834e-07,7544.656481481482,135.45509629055624,383.5173991456106
0.08,0.08,0.5,8.573388203017834e-07,7544.656481481482,148.45530550874352,382.3251039099907
0.09,0.09,0.5,8.573388203017834e-07,7544.656481481482,142.38625204099162,384.8939290472889
0.1,0.1,0.5,8.573388203017834e-07,7544.656481481482,143.5259406142399,405.31503287142306
0.11,0.11,0.5,8.573388203017834e-07,7544.656481481482,141.10019805659942,392.67662087253694
0.12,0.12,0.5,8.573388203017834e-07,7544.656481481482,141.94437872286292,414.24974140446375
0.13,0.13,0.5,8.573388203017834e-07,7544.656481481482,150.9185684419911,408.7294382395862
0.14,0.14,0.5,8.573388203017834e-07,7544.656481481482,151.5340457388469,397.60850440193644
0.15,0.15,0.5,8.573388203017834e-07,7544.656481481482,151.83965243382636,406.80564714171544
0.16,0.16,0.5,8.573388203017834e-07,7544.656481481482,161.41430596929368,412.3712683585305
0.17,0.17,0.5,8.573388203017834e-07,7544.656481481482,160.45986607713374,407.75732756338505
0.18,0.18,0.5,8.573388203017834e-07,7544.656481481482,163.00107219178457,411.0517661731795
0.19,0.19,0.5,8.573388203017834e-07,7544.656481481482,155.1679281375729,454.1158676984934
0.2,0.2,0.5,8.573388203017834e-07,7544.656481481482,171.9382474367815,440.8468240786601
0.21,0.21,0.5,8.573388203017834e-07,7544.656481481482,163.78140886436256,449.3263518555687
0.22,0.22,0.5,8.573388203017834e-07,7544.656481481482,170.2214570359674,450.8158888202384
0.23,0.23,0.5,8.573388203017834e-07,7544.656481481482,177.2124385620784,450.8286467253893
0.24,0.24,0.5,8.573388203017834e-07,7544.656481481482,197.25072067143924,446.7443294640002
0.25,0.25,0.5,8.573388203017834e-07,7544.656481481482,178.00500661457554,483.4790006964313
0.26,0.26,0.5,8.573388203017834e-07,7544.656481481482,178.68902223104058,479.66587767613095
0.27,0.27,0.5,8.573388203017834e-07,7544.656481481482,206.04755427291988,458.0539061998103
0.28,0.28,0.5,8.573388203017834e-07,7544.656481481482,188.63169364851368,468.7286045093931
0.29,0.29,0.5,8.573388203017834e-07,7544.656481481482,193.2463154138535,482.57196504442214
0.3,0.3,0.5,8.573388203017834e-07,7544.656481481482,191.8471093620192,485.1990953808504
0.31,0.31,0.5,8.573388203017834e-07,7544.656481481482,197.40393377819368,508.93775623779743
0.32,0.32,0.5,8.573388203017834e-07,7544.656481481482,216.3491306665024,499.7621446601735
0.33,0.33,0.5,8.573388203017834e-07,7544.656481481482,199.42094242791515,504.1238315358588
0.34,0.34,0.5,8.573388203017834e-07,7544.656481481482,212.34529871675383,544.5007403778263
0.35,0.35,0.5,8.573388203017834e-07,7544.656481481482,215.86489045749278,551.208204530593
0.36,0.36,0.5,8.573388203017834e-07,7544.656481481482,215.16600560857262,584.4547979372521
0.37,0.37,0.5,8.573388203017834e-07,7544.656481481482,232.7149609133337,544.6571040061109
0.38,0.38,0.5,8.573388203017834e-07,7544.656481481482,227.60425461943217,595.2752403677108
0.39,0.39,0.5,8.573388203017834e-07,7544.656481481482,214.0147986129805,570.8937105841771
0.4,0.4,0.5,8.573388203017834e-07,7544.656481481482,232.92549040861672,604.2847827131933
0.41,0.41,0.5,8.573388203017834e-07,7544.656481481482,227.32205829807015,565.7100699838106
0.42,0.42,0.5,8.573388203017834e-07,7544.656481481482,268.9759233070226,586.4513289475482
0.43,0.43,0.5,8.573388203017834e-07,7544.656481481482,260.6910777319721,614.6045750406358
0.44,0.44,0.5,8.573388203017834e-07,7544.656481481482,237.30551717140276,604.201717152615
0.45,0.45,0.5,8.573388203017834e-07,7544.656481481482,252.40376413668676,642.9893669035819
0.46,0.46,0.5,8.573388203017834e-07,7544.656481481482,276.39937868408254,655.548127840675
0.47,0.47,0.5,8.573388203017834e-07,7544.656481481482,279.17960748420006,638.4130473839566
0.48,0.48,0.5,8.573388203017834e-07,7544.656481481482,273.9941428798006,687.5951460864662
0.49,0.49,0.5,8.573388203017834e-07,7544.656481481482,277.48098558416063,682.404813322551
0.5,0.5,0.5,8.573388203017834e-07,7544.656481481482,287.50264041669175,727.8855355173913
0.51,0.51,0.5,8.573388203017834e-07,7544.656481481482,284.7797649711899,708.7827420022604
0.52,0.52,0.5,8.573388203017834e-07,7544.656481481482,280.3450068289215,715.0851181472179
0.53,0.53,0.5,8.573388203017834e-07,7544.656481481482,301.9855468283631,782.7103863099506
0.54,0.54,0.5,8.573388203017834e-07,7544.656481481482,304.66454850018874,810.1964620418157
0.55,0.55,0.5,8.573388203017834e-07,7544.656481481482,313.22627072579877,766.3982691688487
0.56,0.56,0.5,8.573388203017834e-07,7544.656481481482,314.7065103394358,777.8583344897924
0.57,0.57,0.5,8.573388203017834e-07,7544.656481481482,352.625894292383,838.3184672460048
0.58,0.58,0.5,8.573388203017834e-07,7544.656481481482,338.16157023703045,810.9136991169262
0.59,0.59,0.5,8.573388203017834e-07,7544.656481481482,337.71995217194313,867.2919067950924
0.6,0.6,0.5,8.573388203017834e-07,7544.656481481482,317.554539395151,872.3466134086719
0.61,0.61,0.5,8.573388203017834e-07,7544.656481481482,353.63638929035693,882.6347526357358
0.62,0.62,0.5,8.573388203017834e-07,7544.656481481482,351.3767755387878,897.9725236276639
0.63,0.63,0.5,8.573388203017834e-07,7544.656481481482,375.1840063384515,931.1008594349518
0.64,0.64,0.5,8.573388203017834e-07,7544.656481481482,389.2141410716222,987.2464205448262
0.65,0.65,0.5,8.573388203017834e-07,7544.656481481482,403.0027646522216,990.7018518566113
