m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,7544.656481481482,268.25840913624234,-907.5201974621159,912.7011795541439,2305.7666692938365,2899.9781213056012,5401.611499845538
0.01,0.01,7544.656481481482,915.2399867917484,-2955.3000380175945,-739.9408446065518,-1088.2009560977895,4408.311609388949,6336.881055050908
0.02,0.02,7544.656481481482,2554.4036595788257,-1396.2974962133012,3622.617565054583,2868.4236985977477,-692.5104923708968,-322.3312057012372
0.03,0.03,7544.656481481482,-9601.466873334675,7654.823586200597,-4960.293186782348,5408.822602459884,-5528.1487705806485,6780.982029610954
0.04,0.04,7544.656481481482,-980.0599531439038,-6535.499561076183,454.3088042380914,-5322.516664700335,602.2351098656472,-8214.66150901695
0.05,0.05,7544.656481481482,-1272.315553537086,-4377.389428269802,-3145.0233441467717,-7722.658976561943,-337.1464224272204,-6075.248832377372
0.06,0.06,7544.656481481482,-1829.7859890331802,-3969.648569351979,2497.631090300436,-3171.051849155512,-2872.7569201088827,-1481.8799370087072
0.07,0.07,7544.656481481482,175.92749841124896,-15517.323498377329,-1842.2105810335288,-4116.477472893443,2324.172226014236,-10532.07545630858
0.08,0.08,7544.656481481482,-245.3890356162592,-8520.543371993845,264.25674530941615,-1736.7493962037115,2884.463080527079,-921.6725005963381
0.09,0.09,7544.656481481482,-2169.2898927753904,-14278.54224986257,-2888.3825135211428,9382.623291527227,-3144.4266583662156,-7992.7868980018975
0.1,0.1,7544.656481481482,-4720.290922363092,-19864.591643653228,-1789.8949560269411,-4315.773988887275,434.45173267443533,-4451.099979275154
0.11,0.11,7544.656481481482,-6087.908999674053,-23171.115495835315,-9343.701616254593,-10730.573148697717,-3088.1754002030575,-14547.50349361333
0.12,0.12,7544.656481481482,-1150.2450491745494,-36247.01412020026,-737.6568471905375,-13543.299237208652,7085.12871442745,-19888.10779460607
0.13,0.13,7544.656481481482,-3569.3175356401152,-24052.065398352905,-225.88479101513622,-14101.612600884517,-1230.4068379274322,-9910.388470597172
0.14,0.14,7544.656481481482,-5058.45012482186,-22560.76071340288,-717.1307132409038,3814.1431010270317,54.54336699319174,-12504.404011167251
0.15,0.15,7544.656481481482,-6802.0743706096655,-20812.870251261455,-5017.747446327903,7689.4135333858285,294.92099735880765,-8858.668624236612
0.16,0.16,7544.656481481482,-6256.257356365133,-18726.936435374737,1290.8583166888711,-7455.777323561502,-924.8626689211342,-5956.61235160951
0.17,0.17,7544.656481481482,-3093.8018546008752,-16171.596856192336,-239.61461140492975,5560.025765331797,-1022.7402626853618,-11381.67375569715
0.18,0.18,7544.656481481482,-10765.50866644456,-37244.36567190799,-6344.644272796993,-12824.294466821419,-2052.600450657621,-2182.1394522394403
0.19,0.19,7544.656481481482,-11349.418159814031,-41432.33369265143,-7332.475380203272,-19092.410461855587,3231.5378128129996,-24515.779392254437
0.2,0.2,7544.656481481482,-12885.85419948156,-19606.790350419935,-1188.7186990868286,-10351.541621770739,-8961.68494316237,-1316.0646054337267
0.21,0.21,7544.656481481482,-10987.173608349407,-48483.13353330533,-3106.989926004555,-15025.685003734907,507.25624778131896,-28070.68576640365
0.22,0.22,7544.656481481482,-11019.341184693361,-47539.19225678034,-5260.711388085225,-7448.749727184055,-6961.706395657129,-10846.804015603251
0.23,0.23,7544.656481481482,-11086.947467362792,-55145.81228984178,-6494.925908290967,-25028.963389868863,-3046.2780233203666,-9432.185695119682
0.24,0.24,7544.656481481482,-17208.60821983277,-57571.63949008584,-3570.209780230176,-22063.0793797597,-15483.398581024881,1585.0165826844022
0.25,0.25,7544.656481481482,-9531.309589170349,-65794.13045640834,-2539.1511021483675,-31315.93160171526,-4807.366327073563,-29636.54313008739
0.26,0.26,7544.656481481482,-12308.424511751864,-72303.17925641239,-2693.275999483745,-1489.119907913584,-3577.9065291555708,-54547.48464890836
0.27,0.27,7544.656481481482,-22516.095795091518,-47537.2956786213,-3836.920708767424,-16732.463982931004,-14380.793832242092,-8689.339647413697
0.28,0.28,7544.656481481482,-15740.009093944149,-60898.24395951013,-4139.487615081309,-34723.48700658584,-6470.159176868448,-21271.5209876562
0.29,0.29,7544.656481481482,-15124.00049999712,-47150.084330719765,-4631.8275346420705,-21249.693665531115,-3666.7852694372814,-21069.16976921192
0.3,0.3,7544.656481481482,-14228.714407706668,-68902.42990979887,-8169.490085116495,-17663.52032133854,-1383.1567138896498,-38804.019214900836
0.31,0.31,7544.656481481482,-13265.33122632914,-86765.52515950926,-2282.96881731364,-28715.91436317291,-1446.9489823750519,-31524.922629954817
0.32,0.32,7544.656481481482,-27583.323708416494,-89109.2930453089,-7950.97787194575,-16633.656094936807,-11813.76541572647,-41134.29174754069
0.33,0.33,7544.656481481482,-16117.084674502607,-76320.81517047604,-3530.257363082994,-18591.401425913107,-5528.2818551873825,-22922.194273202447
0.34,0.34,7544.656481481482,-21804.688840971692,-116218.03199392726,-11562.459144418828,-43523.71637274146,-15094.40034376672,-56503.40030284434
0.35,0.35,7544.656481481482,-25676.050519636923,-92855.3177777172,-6633.042741301753,-29905.701395254968,-9165.454991217928,-23160.34289683221
0.36,0.36,7544.656481481482,-17760.72641695835,-110071.78202450863,-7166.125116292293,-14144.720140407648,-3281.4577054520996,-75180.31956771165
0.37,0.37,7544.656481481482,-25713.250899173087,-99557.8590764817,-6519.710134969131,-25440.93175276462,-11935.67773013623,-26519.531084140704
0.38,0.38,7544.656481481482,-26484.736370465514,-119403.94384069397,-16449.99536672516,-40596.332616736334,-9561.19067286305,-45899.84481240486
0.39,0.39,7544.656481481482,-19797.9879924384,-94288.52763951788,-13318.483381727061,-37648.74955814404,-628.7245823002559,-25625.153331010137
