m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,7544.656481481482,62.63071485724408,180.60220808277438
0.01,0.01,0.9936587309970014,8.487654320987657e-07,7544.656481481482,68.28356453436982,193.70274999183306
0.02,0.02,0.9872769935436304,8.40192043895748e-07,7544.656481481482,57.067320845379605,183.17727100050038
0.03,0.03,0.9808542678008313,8.316186556927297e-07,7544.656481481482,63.92245005656126,187.42145228630687
0.04,0.04,0.9743900238483449,8.230452674897117e-07,7544.656481481482,66.72394852833983,187.01354456416897
0.05,0.05,0.9678837214223395,8.144718792866941e-07,7544.656481481482,66.27514206176923,191.51456815926002
0.06,0.06,0.9613348096444502,8.058984910836764e-07,7544.656481481482,59.375306875668144,190.43058679145489
0.07,0.07,0.9547427267418882,7.973251028806586e-07,7544.656481481482,65.16935875147489,196.57139027521842
0.08,0.08,0.9481068997582622,7.887517146776405e-07,7544.656481481482,62.1611187127861,196.48568065178878
0.09,0.09,0.9414267442547409,7.801783264746228e-07,7544.656481481482,64.67988797112434,200.47419562589738
0.1,0.1,0.9347016640011662,7.716049382716049e-07,7544.656481481482,60.803607249942445,203.41246173894748
0.11,0.11,0.9279310506567138,7.630315500685872e-07,7544.656481481482,62.96651833713037,202.2146769871929
0.12,0.12,0.9211142834396617,7.544581618655695e-07,7544.656481481482,70.18127977092928,203.37018281241288
0.13,0.13,0.9142507287858314,7.458847736625516e-07,7544.656481481482,65.47899240618445,191.95915666431077
0.14,0.14,0.9073397399952268,7.373113854595336e-07,7544.656481481482,70.01830998515443,195.92141408465648
0.15,0.15,0.9003806568663714,7.287379972565157e-07,7544.656481481482,69.23059262654412,199.7482370092
0.16,0.16,0.89337280531784,7.201646090534981e-07,7544.656481481482,66.1194228127844,208.68584729636424
0.17,0.17,0.8863154969964301,7.115912208504803e-07,7544.656481481482,72.13785924902855,207.18854011679878
0.18,0.18,0.8792080288714119,7.030178326474626e-07,7544.656481481482,74.11216855057913,210.89343084891124
0.19,0.19,0.8720496828142519,6.944444444444448e-07,7544.656481481482,77.73924297573892,217.26207405148702
0.2,0.2,0.86483972516319,6.858710562414266e-07,7544.656481481482,72.88963874859573,223.11841893874404
0.21,0.21,0.8575774062720013,6.772976680384088e-07,7544.656481481482,69.6862102932659,203.74887473624628
0.22,0.22,0.8502619600422529,6.68724279835391e-07,7544.656481481482,71.06259541087049,214.8618815243005
0.23,0.23,0.8428926034383277,6.601508916323734e-07,7544.656481481482,75.15315199753255,209.37440719923603
0.24,0.24,0.8354685359844455,6.515775034293553e-07,7544.656481481482,76.7550455081047,219.56423529146903
0.25,0.25,0.8279889392428699,6.430041152263374e-07,7544.656481481482,68.4243066791569,230.84404653782812
0.26,0.26,0.8204529762724546,6.344307270233195e-07,7544.656481481482,74.52338269768104,229.64997614923533
0.27,0.27,0.8128597910666385,6.258573388203017e-07,7544.656481481482,75.64774147413432,213.17729148082327
0.28,0.28,0.8052085079699279,6.172839506172841e-07,7544.656481481482,76.56290038971542,221.1316763100457
0.29,0.29,0.797498231071897,6.08710562414266e-07,7544.656481481482,74.22857402553666,238.51192514116264
0.3,0.3,0.7897280435776313,6.001371742112485e-07,7544.656481481482,76.41329535718322,241.82017059676733
0.31,0.31,0.7818970071535288,5.915637860082305e-07,7544.656481481482,81.69297548215953,242.01039209652947
0.32,0.32,0.77400416124728,5.829903978052127e-07,7544.656481481482,79.35104267597673,239.33296205983987
0.33,0.33,0.7660485223807948,5.744170096021948e-07,7544.656481481482,82.68818156804497,223.67088256588124
0.34,0.34,0.758029083414783,5.65843621399177e-07,7544.656481481482,73.99372026433453,241.79004769247564
0.35,0.35,0.7499448127836005,5.572702331961592e-07,7544.656481481482,88.52125707788251,250.6856907829453
0.36,0.36,0.7417946536989195,5.486968449931414e-07,7544.656481481482,85.8322055992458,247.79505025169493
0.37,0.37,0.7335775233206772,5.401234567901236e-07,7544.656481481482,76.64076939084521,261.9487959609646
0.38,0.38,0.7252923118936785,5.315500685871056e-07,7544.656481481482,82.22001768291153,255.23508555529912
0.39,0.39,0.7169378818481357,5.22976680384088e-07,7544.656481481482,88.51609599684136,250.19671167740236
0.4,0.4,0.7085130668623149,5.144032921810701e-07,7544.656481481482,92.60320461887595,256.5388966577264
0.41,0.41,0.7000166708853597,5.058299039780522e-07,7544.656481481482,93.42288526647424,269.0437852039879
0.42,0.42,0.6914474671182481,4.972565157750344e-07,7544.656481481482,98.96111054243607,264.6232503327823
0.43,0.43,0.6828041969507084,4.886831275720165e-07,7544.656481481482,88.13999126963702,254.41762655577
0.44,0.44,0.6740855688517897,4.801097393689987e-07,7544.656481481482,95.56990181765578,256.54778141936913
0.45,0.45,0.6652902572116409,4.71536351165981e-07,7544.656481481482,90.1948262698894,265.259842440844
0.46,0.46,0.6564169011319041,4.629629629629629e-07,7544.656481481482,86.84195961198996,262.9901504755275
0.47,0.47,0.6474641031619576,4.543895747599452e-07,7544.656481481482,93.8801806310729,266.3494052117102
0.48,0.48,0.6384304279780763,4.458161865569275e-07,7544.656481481482,94.90060039618085,272.64359861885174
0.49,0.49,0.6293144010023839,4.372427983539095e-07,7544.656481481482,94.8745940329074,274.6282283706359
0.5,0.5,0.6201145069582774,4.286694101508917e-07,7544.656481481482,94.23841219971419,286.8237607936822
