m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7540.919004993776,7562.93669883671,3.7374764877058624,18.28021735522816
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7531.66611717011,7416.986751275421,12.990364311372105,127.6697302060611
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7631.312734345922,7593.214055667584,86.65625286443992,48.5575741861021
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7490.363611078962,7800.0680507064,54.29287040251984,255.4115692249179
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7446.628680209843,7252.921481533427,98.02780127163896,291.7349999480548
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7622.65851023618,7726.49391584594,78.00202875469768,181.8374343644582
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7517.916042662242,7576.945096470895,26.7404388192399,32.28861498941296
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7494.025142163781,7169.075303218607,50.63133931770062,375.58117826287526
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7575.719815158762,7267.444837619459,31.063333677279843,277.21164386202327
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7546.968271929758,7295.00814397072,2.3117904482760423,249.64833751076185
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7626.48750172883,7343.099383400229,81.83102024734762,201.55709808125266
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7668.019811572882,7565.843972862676,123.3633300913998,21.187491381194377
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7403.163174247588,7342.03834504538,141.49330723389357,202.61813643610185
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7440.830019498134,7478.557939858529,103.82646198334805,66.09854162295323
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7462.644069088467,7548.099896682225,82.01241239301453,3.4434152007434022
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7669.722396278904,7571.0528679150175,125.06591479742201,26.396386433535554
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7544.710409386012,7789.567488370649,0.053927904529700754,244.91100688916686
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7556.104434382086,7281.057611690381,11.447952900603923,263.5988697911007
0.0,0.0,7544.656481481482,7544.656481481482,8148229,1080,1,8.573388203017834e-07,7548.34379189219,7761.177093319519,3.6873104107080508,216.52061183803744
