m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,7544.656481481482,61.74596046870507,185.13115908852708
0.01,0.01,1.0,8.573388203017834e-07,7544.656481481482,64.35160042337544,173.17156272943984
0.02,0.02,1.0,8.573388203017834e-07,7544.656481481482,61.33725800115375,190.6568510160841
0.03,0.03,1.0,8.573388203017834e-07,7544.656481481482,70.64462033968007,185.11931391213648
0.04,0.04,1.0,8.573388203017834e-07,7544.656481481482,73.27281532101291,197.38800566019293
0.05,0.05,1.0,8.573388203017834e-07,7544.656481481482,71.60043443963824,189.7045121121125
0.06,0.06,1.0,8.573388203017834e-07,7544.656481481482,71.62585886789681,210.62011456724653
0.07,0.07,1.0,8.573388203017834e-07,7544.656481481482,73.36417516457395,205.59418741699724
0.08,0.08,1.0,8.573388203017834e-07,7544.656481481482,81.47700441534357,217.46783669947308
0.09,0.09,1.0,8.573388203017834e-07,7544.656481481482,82.12166019160385,216.85453593658553
0.1,0.1,1.0,8.573388203017834e-07,7544.656481481482,74.31992280449549,218.18313407593325
0.11,0.11,1.0,8.573388203017834e-07,7544.656481481482,78.35182860558766,221.98011045976529
0.12,0.12,1.0,8.573388203017834e-07,7544.656481481482,87.05409324788134,223.79797819719028
0.13,0.13,1.0,8.573388203017834e-07,7544.656481481482,87.41248774891538,219.36611506189016
0.14,0.14,1.0,8.573388203017834e-07,7544.656481481482,90.7581191758489,217.51752351269153
0.15,0.15,1.0,8.573388203017834e-07,7544.656481481482,85.60357117938442,235.5551077553878
0.16,0.16,1.0,8.573388203017834e-07,7544.656481481482,89.7784187064467,229.7163099887873
0.17,0.17,1.0,8.573388203017834e-07,7544.656481481482,87.85743906676467,232.01688272062947
0.18,0.18,1.0,8.573388203017834e-07,7544.656481481482,97.39693022994298,237.33772315325203
0.19,0.19,1.0,8.573388203017834e-07,7544.656481481482,99.91208832437995,235.95963693492075
0.2,0.2,1.0,8.573388203017834e-07,7544.656481481482,100.74599383966279,245.3851518684961
0.21,0.21,1.0,8.573388203017834e-07,7544.656481481482,95.55635867227552,250.3205177249827
0.22,0.22,1.0,8.573388203017834e-07,7544.656481481482,104.85245676921113,233.67401524825377
0.23,0.23,1.0,8.573388203017834e-07,7544.656481481482,109.12157472917033,245.75009857355104
0.24,0.24,1.0,8.573388203017834e-07,7544.656481481482,108.64142349422269,255.97203012303993
0.25,0.25,1.0,8.573388203017834e-07,7544.656481481482,107.34266500554206,259.48232550467316
0.26,0.26,1.0,8.573388203017834e-07,7544.656481481482,107.98531684970773,261.33186197436635
0.27,0.27,1.0,8.573388203017834e-07,7544.656481481482,115.77650426504069,251.13815097176712
0.28,0.28,1.0,8.573388203017834e-07,7544.656481481482,121.0497923783279,266.3071727171041
0.29,0.29,1.0,8.573388203017834e-07,7544.656481481482,120.13356555040166,265.12546488162803
0.3,0.3,1.0,8.573388203017834e-07,7544.656481481482,127.95531253713919,279.4670550950209
0.31,0.31,1.0,8.573388203017834e-07,7544.656481481482,119.5997182493156,270.914750659456
0.32,0.32,1.0,8.573388203017834e-07,7544.656481481482,121.57354841953344,303.04170060583266
0.33,0.33,1.0,8.573388203017834e-07,7544.656481481482,128.33679316818242,309.91059815516587
0.34,0.34,1.0,8.573388203017834e-07,7544.656481481482,120.85043727274257,290.11342902891124
0.35,0.35,1.0,8.573388203017834e-07,7544.656481481482,137.45375980664747,318.79419602911827
0.36,0.36,1.0,8.573388203017834e-07,7544.656481481482,132.38360966916255,308.73465882742994
0.37,0.37,1.0,8.573388203017834e-07,7544.656481481482,134.27027595199934,300.0826167133494
0.38,0.38,1.0,8.573388203017834e-07,7544.656481481482,140.22435193627234,315.29994319751404
0.39,0.39,1.0,8.573388203017834e-07,7544.656481481482,149.00193108867492,325.1596394156783
0.4,0.4,1.0,8.573388203017834e-07,7544.656481481482,142.85056230695716,328.70588787091356
0.41,0.41,1.0,8.573388203017834e-07,7544.656481481482,147.39002432389802,326.61493309511565
0.42,0.42,1.0,8.573388203017834e-07,7544.656481481482,156.88132059933216,340.4172351329143
0.43,0.43,1.0,8.573388203017834e-07,7544.656481481482,156.85105016971963,355.4247303253643
0.44,0.44,1.0,8.573388203017834e-07,7544.656481481482,152.78372089292534,346.3978957468585
