m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,7544.656481481482,3919.7039345096664,19215.400597228912
0.01,0.01,1.0,8.573388203017834e-07,7544.656481481482,3268.8989353967877,22648.89450618682
0.02,0.02,1.0,8.573388203017834e-07,7544.656481481482,3842.911361321112,19657.302132660086
0.03,0.03,1.0,8.573388203017834e-07,7544.656481481482,4928.3650139965775,20206.23361465259
0.04,0.04,1.0,8.573388203017834e-07,7544.656481481482,3847.603947838113,24496.609378452446
0.05,0.05,1.0,8.573388203017834e-07,7544.656481481482,3657.779107640094,21406.924521765068
0.06,0.06,1.0,8.573388203017834e-07,7544.656481481482,3910.75751597018,24905.262281108455
0.07,0.07,1.0,8.573388203017834e-07,7544.656481481482,4378.3029256875325,22560.260330312136
0.08,0.08,1.0,8.573388203017834e-07,7544.656481481482,4984.959426270092,21267.342736218634
0.09,0.09,1.0,8.573388203017834e-07,7544.656481481482,5223.226292696128,24240.21763609829
0.1,0.1,1.0,8.573388203017834e-07,7544.656481481482,4299.017098161703,24805.875139624754
0.11,0.11,1.0,8.573388203017834e-07,7544.656481481482,4929.749496035701,28682.8761486257
0.12,0.12,1.0,8.573388203017834e-07,7544.656481481482,4773.436364768227,23107.65992297545
0.13,0.13,1.0,8.573388203017834e-07,7544.656481481482,6686.88254928365,29020.565339883877
0.14,0.14,1.0,8.573388203017834e-07,7544.656481481482,5498.030836512173,29246.25261495287
0.15,0.15,1.0,8.573388203017834e-07,7544.656481481482,5906.7396519375525,28441.89478785753
0.16,0.16,1.0,8.573388203017834e-07,7544.656481481482,6186.577859570735,26322.993266355075
0.17,0.17,1.0,8.573388203017834e-07,7544.656481481482,6624.991891516398,28323.663399442015
0.18,0.18,1.0,8.573388203017834e-07,7544.656481481482,6546.170478568855,31886.309248546768
0.19,0.19,1.0,8.573388203017834e-07,7544.656481481482,6604.218480561152,34890.28476664618
0.2,0.2,1.0,8.573388203017834e-07,7544.656481481482,6084.3423348825545,33485.315535337475
0.21,0.21,1.0,8.573388203017834e-07,7544.656481481482,6240.209221783251,36405.647533564596
0.22,0.22,1.0,8.573388203017834e-07,7544.656481481482,9039.582816397868,31068.557032332268
0.23,0.23,1.0,8.573388203017834e-07,7544.656481481482,8649.573587681904,37870.27041822645
0.24,0.24,1.0,8.573388203017834e-07,7544.656481481482,8288.880820427605,38341.14592674719
0.25,0.25,1.0,8.573388203017834e-07,7544.656481481482,8322.498477377692,39335.07759856238
0.26,0.26,1.0,8.573388203017834e-07,7544.656481481482,10148.25623086558,41926.81322165622
0.27,0.27,1.0,8.573388203017834e-07,7544.656481481482,9848.589706613408,43186.76663763143
