m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,7544.656481481482,1007.0657172402989,-588.33948893462,553.9668542560862,-931.1120284162462,573.9514898457655,2897.2119194415827
0.01,0.01,7544.656481481482,-720.2073362193087,4709.765939925637,-347.8203220006744,2508.747987327217,-549.597494801641,-693.0870287300932
0.02,0.02,7544.656481481482,270.2008428502704,1842.406436173198,-990.8240272325938,2460.8182312152567,1206.8980108459027,3720.366184534938
0.03,0.03,7544.656481481482,327.4247016158497,-3581.1577175517305,958.6826480858545,-1313.9358031339034,-361.1630440950353,-2944.5459107684474
0.04,0.04,7544.656481481482,-603.0291821420105,-2880.5598584778927,530.8331556473881,1005.7425149315968,-652.8817256136322,-3726.84406317522
0.05,0.05,7544.656481481482,-369.98435533915654,-4342.550637819619,-119.0444010247561,-1879.4451442544705,-670.1624758000326,-3558.650092111824
0.06,0.06,7544.656481481482,-641.3222419737413,-5359.3919847010475,-1142.4304816992062,-6337.498342774619,-242.34371837107392,-1827.4411811277168
0.07,0.07,7544.656481481482,-956.710583986925,-1895.589527541968,-1425.284683329312,-52.6000984137645,-157.8551804572262,-29.634387718047947
0.08,0.08,7544.656481481482,-538.2087430599722,-7051.672903170511,-821.1864030501765,-1390.6154225780374,-570.1381692301638,-3722.723816721049
0.09,0.09,7544.656481481482,-1967.436104344802,-4725.049874135009,-1571.5401414738312,-2930.104880203795,-629.768809244657,-2489.6183300518023
0.1,0.1,7544.656481481482,-612.6672807953773,-4431.204995645301,-1826.602051273534,-2863.5755361478186,-127.22959090898212,-2334.8995747303416
0.11,0.11,7544.656481481482,-1090.7012134998517,-10057.58323560832,-1149.1922506179521,-4126.630475863847,-318.5356393793036,-6399.779280285893
0.12,0.12,7544.656481481482,-1282.2006884860248,-12424.575317333572,-266.03299397778756,-6009.606193582647,-808.1449284236669,-6982.560679214705
0.13,0.13,7544.656481481482,-2896.408316499362,-4750.404874500509,-2118.187092836241,-6557.633351910492,-2245.0491213314917,-1566.957981385156
0.14,0.14,7544.656481481482,-2258.4034153294688,-8760.541366965379,-2406.4810890910057,-3455.7690579736627,48.94247187180008,-459.9438906237956
0.15,0.15,7544.656481481482,-2802.3039476864483,-12609.308586053714,-2137.8469906582545,-5486.285590109135,-995.6987492430562,-6954.879705089428
0.16,0.16,7544.656481481482,-3588.5751213413687,-13582.24730539765,-1603.831401766306,-7078.422446463785,-1230.44884361413,-8228.293916552102
0.17,0.17,7544.656481481482,-1661.762935499762,-7731.745817798626,-1942.133805156302,-902.891219358422,-1060.3907632295877,-2266.4767143275494
0.18,0.18,7544.656481481482,-1997.05698829654,-13287.254857369364,-1414.2859758964269,-8320.255565953448,-1326.0442102512907,-9058.826570605583
0.19,0.19,7544.656481481482,-4127.971067787429,-12171.568591733932,-1500.3042402517594,-3500.7614073178484,-3036.002711922396,-10196.035309191244
0.2,0.2,7544.656481481482,-3047.8093745910237,-11658.10234447334,-1211.5521423124728,-6285.195105500257,-3277.3541937901164,-5334.959939797354
0.21,0.21,7544.656481481482,-3075.5321340017654,-16094.67293492852,-2627.9245586411453,-3495.589159609488,-2189.0173913954472,-7835.284803537099
0.22,0.22,7544.656481481482,-5169.473824731927,-14976.359684709554,-1587.5305259000265,-4111.487863712206,-2947.509358817766,-6850.117702800522
0.23,0.23,7544.656481481482,-5897.740209064882,-13276.93818083538,-3411.5804739941696,-7866.271699122626,-2588.2626415167224,-5266.650583019913
0.24,0.24,7544.656481481482,-3741.918081895835,-13551.151855575452,-2246.1961346089165,-4581.007086126272,-2220.014836123066,-9445.665925863454
0.25,0.25,7544.656481481482,-3234.4954116705776,-17311.111675873468,-2066.0167709116567,-5873.252775395773,-3545.386189662163,-10335.820859524567
0.26,0.26,7544.656481481482,-4824.672530257012,-17542.649731571382,-2996.388496241576,-4399.945918995036,-2810.7684276019418,-13610.990683671753
0.27,0.27,7544.656481481482,-5797.734853162429,-15475.426914265052,-3305.610177579335,-10990.442572125266,-3306.405183202529,-9202.341301193428
0.28,0.28,7544.656481481482,-5291.637959621348,-16667.648191762717,-3958.707898700544,-9008.600581615221,-4059.1042437116976,-11146.074892699737
0.29,0.29,7544.656481481482,-6505.130454226046,-22353.661068449357,-2052.8359000723635,-9623.599758813947,-4115.170354011723,-12635.654931811267
0.3,0.3,7544.656481481482,-6715.329492525267,-25593.04383154713,-3521.597756861755,-11643.47531931744,-5231.90829379416,-15175.790638910188
0.31,0.31,7544.656481481482,-4884.456558546656,-23395.49079373319,-4200.29616674435,-12554.07841516157,-4277.60754233801,-11011.547909858957
0.32,0.32,7544.656481481482,-8522.812013128409,-39318.05742563361,-6497.66570005296,-13544.208237892311,-5479.607860429379,-26795.397063240634
0.33,0.33,7544.656481481482,-7186.323432746715,-30657.597380139643,-5720.593639938616,-12807.592030139233,-3782.1281971086937,-18673.507455354793
0.34,0.34,7544.656481481482,-6052.224804112271,-27314.071122721816,-6574.419280049398,-20390.419079002208,-4126.4643082734665,-12970.405863289317
0.35,0.35,7544.656481481482,-7370.541298211358,-41099.87062138253,-6227.151777457366,-13977.522832252158,-3993.494365995436,-23375.024912646782
0.36,0.36,7544.656481481482,-8074.860231385615,-41840.88574929486,-6034.490813476452,-11787.50932839208,-6518.316680717279,-27100.278926525505
0.37,0.37,7544.656481481482,-10659.950598546018,-30472.162576522085,-5023.956697159891,-16417.061096331312,-6657.11329725756,-16083.408849467582
0.38,0.38,7544.656481481482,-8501.56755003509,-36124.773943650674,-5819.109373832707,-14677.718137673553,-4996.317383305251,-19665.16337420098
0.39,0.39,7544.656481481482,-12584.086525267325,-38178.87081167825,-7198.797436268566,-18415.630996656237,-9673.971960873863,-21934.995708197785
0.4,0.4,7544.656481481482,-9141.304540701865,-40042.884732514496,-6798.716643343116,-19401.0171758761,-6568.373438372365,-22838.35759332651
0.41,0.41,7544.656481481482,-12538.035919812106,-43776.83747817141,-5689.910868462934,-16428.28990659484,-10008.966740562013,-27486.284887584603
0.42,0.42,7544.656481481482,-10248.811178761764,-47729.25648198667,-8196.880809916478,-12219.266779537364,-6612.3532023125545,-27014.191986831356
0.43,0.43,7544.656481481482,-11403.195884312621,-42255.62222348356,-7690.27838886453,-26262.137841638727,-7971.1298885985725,-22256.96154539795
0.44,0.44,7544.656481481482,-12181.233827656897,-47219.40824776543,-8709.290913441791,-20393.06234337367,-5683.2685116603625,-27729.21250859979
0.45,0.45,7544.656481481482,-13284.841374609747,-54291.98778074585,-7660.609319610072,-25818.44940435976,-7848.363893075795,-27774.639679948334
0.46,0.46,7544.656481481482,-11942.372306508827,-50160.2892692856,-10370.630114613166,-28000.98703628148,-6670.639380107226,-26670.22902491493
0.47,0.47,7544.656481481482,-13031.091399192534,-58256.9066639603,-10439.091124142293,-25084.17710260285,-8435.980750459612,-31936.745583393495
0.48,0.48,7544.656481481482,-15567.837816240419,-64368.420005055086,-9412.343157178142,-23647.5969038909,-9319.579329355618,-42183.9674984058
0.49,0.49,7544.656481481482,-17464.49526963044,-61033.102475442036,-10332.698431031198,-20311.29149467082,-12452.68951697402,-37001.42022084588
