m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7523.890182602486,7432.47491963074,20.766298878996167,112.18156185074167
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7525.4492375307245,7540.555269875007,19.2072439507574,4.1012116064748625
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7583.55298733101,7324.865033044264,38.896505849527784,219.7914484372177
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7558.159488050499,7497.306430634598,13.503006569017089,47.35005084688419
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7610.303629947733,7667.991409989308,65.64714846625066,123.33492850782568
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7561.055521020001,7452.520719471294,16.39903953851899,92.13576201018805
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7535.576359869662,7463.384458257722,9.080121611819777,81.27202322375979
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7613.826952200122,7498.739006067148,69.17047071863999,45.91747541433415
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7553.998563754861,7625.315543229996,9.342082273378765,80.65906174851443
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7600.448432728085,7369.4960334966145,55.791951246603276,175.16044798486746
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7550.128698383131,7373.3916859144265,5.472216901649517,171.26479556705544
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7510.648335298359,7568.539627295781,34.008146183123245,23.883145814299496
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7566.704556248186,7625.004591922775,22.048074766704303,80.3481104412931
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7555.041061630387,7528.700126946917,10.384580148905115,15.956354534564525
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7596.2804724719745,7359.493618517172,51.62399099049253,185.16286296431008
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7521.658682200859,7395.07507758948,22.99779928062253,149.58140389200162
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7533.734481504579,7516.281590133506,10.921999976902953,28.37489134797579
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7557.240784815421,7520.077644714195,12.584303333938806,24.578836767286703
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7543.003820567161,7574.257813526724,1.6526609143211317,29.60133204524209
0.0,0.0,2,8.573388203017834e-07,7544.656481481482,7455.027930098591,7400.70754643998,89.62855138289069,143.9489350415015
