m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,28.781266380719966,98.76073528933173
0.01,0.01,2.0,8.573388203017834e-07,7544.656481481482,31.097769693855234,106.5231060435617
0.02,0.02,2.0,8.573388203017834e-07,7544.656481481482,28.945341465212877,96.1530459092286
0.03,0.03,2.0,8.573388203017834e-07,7544.656481481482,31.495483299092847,108.09780617714644
0.04,0.04,2.0,8.573388203017834e-07,7544.656481481482,31.24917570275278,101.09806791572535
0.05,0.05,2.0,8.573388203017834e-07,7544.656481481482,30.427676532283183,102.3037902462222
0.06,0.06,2.0,8.573388203017834e-07,7544.656481481482,30.715139944376332,102.38287585451917
0.07,0.07,2.0,8.573388203017834e-07,7544.656481481482,32.38716563146516,102.21905688943481
0.08,0.08,2.0,8.573388203017834e-07,7544.656481481482,30.71258312859168,90.74772397731878
0.09,0.09,2.0,8.573388203017834e-07,7544.656481481482,28.60999808132725,99.2575864528153
0.1,0.1,2.0,8.573388203017834e-07,7544.656481481482,31.634461144112098,103.72663782894655
0.11,0.11,2.0,8.573388203017834e-07,7544.656481481482,28.955355310880098,95.3197908545479
0.12,0.12,2.0,8.573388203017834e-07,7544.656481481482,30.788874129760423,96.0185606133587
0.13,0.13,2.0,8.573388203017834e-07,7544.656481481482,29.703994263864036,99.98826371788327
0.14,0.14,2.0,8.573388203017834e-07,7544.656481481482,29.63500385027432,97.90754274819638
0.15,0.15,2.0,8.573388203017834e-07,7544.656481481482,32.75064839793429,103.66652233126027
0.16,0.16,2.0,8.573388203017834e-07,7544.656481481482,30.290036180837546,104.997963852712
0.17,0.17,2.0,8.573388203017834e-07,7544.656481481482,30.036960832063073,101.95166547715449
0.18,0.18,2.0,8.573388203017834e-07,7544.656481481482,30.686169606594994,101.86214473437013
0.19,0.19,2.0,8.573388203017834e-07,7544.656481481482,30.786861715319365,107.03537384986059
0.2,0.2,2.0,8.573388203017834e-07,7544.656481481482,30.84185885527068,103.13855603662962
0.21,0.21,2.0,8.573388203017834e-07,7544.656481481482,29.266220438203252,101.12640045877924
0.22,0.22,2.0,8.573388203017834e-07,7544.656481481482,31.476341024085553,107.99184699515523
0.23,0.23,2.0,8.573388203017834e-07,7544.656481481482,30.985027098043858,102.29125254800473
0.24,0.24,2.0,8.573388203017834e-07,7544.656481481482,30.428617414570095,99.46463369559578
0.25,0.25,2.0,8.573388203017834e-07,7544.656481481482,30.510393411322084,97.21087258352749
0.26,0.26,2.0,8.573388203017834e-07,7544.656481481482,30.60881519576526,103.74367673542223
0.27,0.27,2.0,8.573388203017834e-07,7544.656481481482,32.93678026269181,97.8443606060694
0.28,0.28,2.0,8.573388203017834e-07,7544.656481481482,30.74004779698175,105.46609148899384
0.29,0.29,2.0,8.573388203017834e-07,7544.656481481482,29.998682821828428,105.91870088474414
0.3,0.3,2.0,8.573388203017834e-07,7544.656481481482,30.396759653981814,109.21149854602456
0.31,0.31,2.0,8.573388203017834e-07,7544.656481481482,30.115546358067363,101.2392910797006
0.32,0.32,2.0,8.573388203017834e-07,7544.656481481482,31.17779013721072,95.26848912967834
0.33,0.33,2.0,8.573388203017834e-07,7544.656481481482,28.78106609974213,101.63642945762253
0.34,0.34,2.0,8.573388203017834e-07,7544.656481481482,31.662045740458947,103.7392101393999
0.35,0.35,2.0,8.573388203017834e-07,7544.656481481482,28.89082881915188,103.65345230922001
0.36,0.36,2.0,8.573388203017834e-07,7544.656481481482,29.57292566833773,95.46871074389215
0.37,0.37,2.0,8.573388203017834e-07,7544.656481481482,30.736458957553744,96.27302464930719
0.38,0.38,2.0,8.573388203017834e-07,7544.656481481482,31.936071435002447,105.53277744702207
0.39,0.39,2.0,8.573388203017834e-07,7544.656481481482,31.537735266739137,106.24324014236647
0.4,0.4,2.0,8.573388203017834e-07,7544.656481481482,32.00421664722047,107.24484420721954
0.41,0.41,2.0,8.573388203017834e-07,7544.656481481482,30.640877644993008,100.53348142925272
0.42,0.42,2.0,8.573388203017834e-07,7544.656481481482,32.26533980838567,108.24378553447862
0.43,0.43,2.0,8.573388203017834e-07,7544.656481481482,30.512769738877914,97.75081692862065
0.44,0.44,2.0,8.573388203017834e-07,7544.656481481482,32.3258682266355,104.29166936828678
0.45,0.45,2.0,8.573388203017834e-07,7544.656481481482,31.681107329898875,109.6795774758955
0.46,0.46,2.0,8.573388203017834e-07,7544.656481481482,30.058390195295573,106.73555568519275
0.47,0.47,2.0,8.573388203017834e-07,7544.656481481482,31.263847984565494,103.45778215628194
0.48,0.48,2.0,8.573388203017834e-07,7544.656481481482,32.08612196510068,97.87740709301607
0.49,0.49,2.0,8.573388203017834e-07,7544.656481481482,30.644664593005064,98.14497739030534
0.5,0.5,2.0,8.573388203017834e-07,7544.656481481482,30.02189698524448,94.95006865692088
0.51,0.51,2.0,8.573388203017834e-07,7544.656481481482,31.831169344586915,98.80198864909582
0.52,0.52,2.0,8.573388203017834e-07,7544.656481481482,30.927146100205945,101.36238783911924
0.53,0.53,2.0,8.573388203017834e-07,7544.656481481482,31.332498404254423,102.17988214554128
0.54,0.54,2.0,8.573388203017834e-07,7544.656481481482,29.288998305851514,106.10618546863238
0.55,0.55,2.0,8.573388203017834e-07,7544.656481481482,31.834202741201793,94.18502061268956
0.56,0.56,2.0,8.573388203017834e-07,7544.656481481482,30.183815010088853,103.05988609484906
0.57,0.57,2.0,8.573388203017834e-07,7544.656481481482,29.871189470923195,97.22484172537378
0.58,0.58,2.0,8.573388203017834e-07,7544.656481481482,33.17894142147858,105.51366119105619
0.59,0.59,2.0,8.573388203017834e-07,7544.656481481482,28.114301260574845,99.52586490932948
0.6,0.6,2.0,8.573388203017834e-07,7544.656481481482,32.122433568803764,104.28504779867953
0.61,0.61,2.0,8.573388203017834e-07,7544.656481481482,31.225054610357294,96.72472186841394
0.62,0.62,2.0,8.573388203017834e-07,7544.656481481482,30.810950482666275,96.60192363903701
0.63,0.63,2.0,8.573388203017834e-07,7544.656481481482,28.85448725233151,102.8035099572519
0.64,0.64,2.0,8.573388203017834e-07,7544.656481481482,30.882569071746722,101.29595165876681
0.65,0.65,2.0,8.573388203017834e-07,7544.656481481482,33.78245417405525,99.75780903263373
0.66,0.66,2.0,8.573388203017834e-07,7544.656481481482,30.49205966897065,100.52592606692951
0.67,0.67,2.0,8.573388203017834e-07,7544.656481481482,31.891632775120875,103.16357436316534
0.68,0.68,2.0,8.573388203017834e-07,7544.656481481482,31.207898559406043,98.23439194829963
0.69,0.69,2.0,8.573388203017834e-07,7544.656481481482,31.487525313579273,102.6959475884253
0.7,0.7,2.0,8.573388203017834e-07,7544.656481481482,31.309138354592623,104.08145281565913
0.71,0.71,2.0,8.573388203017834e-07,7544.656481481482,31.134883903325957,99.28538494819816
0.72,0.72,2.0,8.573388203017834e-07,7544.656481481482,32.17274754366692,97.60367854109106
0.73,0.73,2.0,8.573388203017834e-07,7544.656481481482,31.77387137526121,106.26225109653171
0.74,0.74,2.0,8.573388203017834e-07,7544.656481481482,30.36050448761273,100.12520165598028
0.75,0.75,2.0,8.573388203017834e-07,7544.656481481482,29.736485678627,99.47554522268625
0.76,0.76,2.0,8.573388203017834e-07,7544.656481481482,32.215766274763595,103.92693256828242
0.77,0.77,2.0,8.573388203017834e-07,7544.656481481482,32.39721191534853,104.55244826145272
0.78,0.78,2.0,8.573388203017834e-07,7544.656481481482,28.918907843572732,103.8201896113632
0.79,0.79,2.0,8.573388203017834e-07,7544.656481481482,33.058692194675416,104.29533737033752
0.8,0.8,2.0,8.573388203017834e-07,7544.656481481482,29.87442772780395,103.24853752901139
0.81,0.81,2.0,8.573388203017834e-07,7544.656481481482,30.87155200754659,103.06469255705795
0.82,0.82,2.0,8.573388203017834e-07,7544.656481481482,30.159094351574655,107.98637247074605
0.83,0.83,2.0,8.573388203017834e-07,7544.656481481482,29.531424330946596,99.9943361094991
0.84,0.84,2.0,8.573388203017834e-07,7544.656481481482,30.27632641021105,92.99092543311417
0.85,0.85,2.0,8.573388203017834e-07,7544.656481481482,29.02830900718485,99.74003995951588
0.86,0.86,2.0,8.573388203017834e-07,7544.656481481482,32.612590517754775,106.62691870896846
0.87,0.87,2.0,8.573388203017834e-07,7544.656481481482,30.990835313736703,101.04978334365639
0.88,0.88,2.0,8.573388203017834e-07,7544.656481481482,31.940877916527803,100.96317507204681
0.89,0.89,2.0,8.573388203017834e-07,7544.656481481482,31.441698392119058,104.1105459667705
0.9,0.9,2.0,8.573388203017834e-07,7544.656481481482,29.60093779918468,102.79425758785898
0.91,0.91,2.0,8.573388203017834e-07,7544.656481481482,30.03442736334421,101.35057030430747
0.92,0.92,2.0,8.573388203017834e-07,7544.656481481482,31.99772380475032,104.07700203531631
0.93,0.93,2.0,8.573388203017834e-07,7544.656481481482,29.82612994719869,107.6144402355396
0.94,0.94,2.0,8.573388203017834e-07,7544.656481481482,29.22028495638969,108.13716763897934
0.95,0.95,2.0,8.573388203017834e-07,7544.656481481482,33.23064284478165,98.19241844635718
0.96,0.96,2.0,8.573388203017834e-07,7544.656481481482,28.319569500548315,103.54995564313812
0.97,0.97,2.0,8.573388203017834e-07,7544.656481481482,34.55902933083671,98.85657356807066
0.98,0.98,2.0,8.573388203017834e-07,7544.656481481482,28.31646900511492,103.29928450609374
0.99,0.99,2.0,8.573388203017834e-07,7544.656481481482,29.309599939622174,98.35054174174726
0.1,0.2,2.0,8.573388203017834e-07,7544.656481481482,30.37423670943456,102.92112921619062
0.1,0.3,2.0,8.573388203017834e-07,7544.656481481482,32.70686400280008,98.70086378681263
0.1,0.4,2.0,8.573388203017834e-07,7544.656481481482,32.652513734817106,101.56046071802791
0.1,0.5,2.0,8.573388203017834e-07,7544.656481481482,31.358052384166008,103.44752359371074
0.1,0.6,2.0,8.573388203017834e-07,7544.656481481482,29.65472694604716,100.92372623026039
0.1,0.7,2.0,8.573388203017834e-07,7544.656481481482,30.102721708619153,102.40093629228275
0.1,0.8,2.0,8.573388203017834e-07,7544.656481481482,29.120101141295606,106.52150274257211
0.1,0.9,2.0,8.573388203017834e-07,7544.656481481482,31.60907424474114,104.50484109391334
0.2,0.3,2.0,8.573388203017834e-07,7544.656481481482,30.365268470995805,106.6538135499511
0.2,0.4,2.0,8.573388203017834e-07,7544.656481481482,29.37570996825558,99.60960323041293
0.2,0.5,2.0,8.573388203017834e-07,7544.656481481482,31.424485657734333,101.23693043014713
0.2,0.6,2.0,8.573388203017834e-07,7544.656481481482,28.976061386864668,96.64815030492787
0.2,0.7,2.0,8.573388203017834e-07,7544.656481481482,29.14660532706843,95.93869824918377
0.2,0.8,2.0,8.573388203017834e-07,7544.656481481482,31.248152460069395,99.12382308595902
0.2,0.9,2.0,8.573388203017834e-07,7544.656481481482,26.32576861973343,96.06692338642839
0.3,0.4,2.0,8.573388203017834e-07,7544.656481481482,29.82664925694975,101.63022173090944
0.3,0.5,2.0,8.573388203017834e-07,7544.656481481482,32.257238053858856,100.00941046448581
0.3,0.6,2.0,8.573388203017834e-07,7544.656481481482,33.408185935808575,100.32004154705201
0.3,0.7,2.0,8.573388203017834e-07,7544.656481481482,31.009374329181387,103.39115343941852
0.3,0.8,2.0,8.573388203017834e-07,7544.656481481482,31.655631586597426,104.2318941429799
0.3,0.9,2.0,8.573388203017834e-07,7544.656481481482,29.824807452450813,106.47433154173596
0.4,0.5,2.0,8.573388203017834e-07,7544.656481481482,27.862355935024606,105.36787529587312
0.4,0.6,2.0,8.573388203017834e-07,7544.656481481482,33.33699093805862,99.87640021074576
0.4,0.7,2.0,8.573388203017834e-07,7544.656481481482,28.87096807286598,99.79643890849653
0.4,0.8,2.0,8.573388203017834e-07,7544.656481481482,29.02604967067951,96.46941705471606
0.4,0.9,2.0,8.573388203017834e-07,7544.656481481482,30.264413624663014,108.60991973191136
0.5,0.6,2.0,8.573388203017834e-07,7544.656481481482,29.538062002414147,101.74766993945029
0.5,0.7,2.0,8.573388203017834e-07,7544.656481481482,32.96615647330633,105.67629576065822
0.5,0.8,2.0,8.573388203017834e-07,7544.656481481482,30.696417867295263,106.76226606943602
0.5,0.9,2.0,8.573388203017834e-07,7544.656481481482,31.7232738764525,105.42576021340142
0.6,0.7,2.0,8.573388203017834e-07,7544.656481481482,29.427383796295764,103.03502432425839
0.6,0.8,2.0,8.573388203017834e-07,7544.656481481482,33.558812879972,109.41355942065267
0.6,0.9,2.0,8.573388203017834e-07,7544.656481481482,29.292559161625817,104.58111121047625
0.7,0.8,2.0,8.573388203017834e-07,7544.656481481482,32.84404336937843,103.61485936067433
0.7,0.9,2.0,8.573388203017834e-07,7544.656481481482,33.50196373950251,105.03453175956902
0.8,0.9,2.0,8.573388203017834e-07,7544.656481481482,32.697704991717465,104.0692879312163
0.01,0.02,2.0,8.573388203017834e-07,7544.656481481482,30.597817464699393,107.67829404011961
0.01,0.03,2.0,8.573388203017834e-07,7544.656481481482,30.459100418978263,100.97765228744665
0.01,0.04,2.0,8.573388203017834e-07,7544.656481481482,30.083131804499175,98.8903842376941
0.01,0.05,2.0,8.573388203017834e-07,7544.656481481482,31.23964230401531,99.54944029259225
0.01,0.06,2.0,8.573388203017834e-07,7544.656481481482,30.623481800286633,101.47612624496914
0.01,0.07,2.0,8.573388203017834e-07,7544.656481481482,30.148416039586916,100.74518327878513
0.01,0.08,2.0,8.573388203017834e-07,7544.656481481482,30.284733351541046,102.78229647837958
0.01,0.09,2.0,8.573388203017834e-07,7544.656481481482,30.350950914702548,101.88071229740534
0.02,0.03,2.0,8.573388203017834e-07,7544.656481481482,30.407667742557088,99.29911081477938
0.02,0.04,2.0,8.573388203017834e-07,7544.656481481482,30.237248436967967,103.50127885257032
0.02,0.05,2.0,8.573388203017834e-07,7544.656481481482,30.74921153517075,105.90207291936208
0.02,0.06,2.0,8.573388203017834e-07,7544.656481481482,29.63366434060635,103.43628439663361
0.02,0.07,2.0,8.573388203017834e-07,7544.656481481482,33.07017964753384,105.71159816580084
0.02,0.08,2.0,8.573388203017834e-07,7544.656481481482,31.859435103330163,105.16503524541004
0.02,0.09,2.0,8.573388203017834e-07,7544.656481481482,32.444162034072,103.04490394479711
