m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7548.576396616816,7437.858073130234,3.919915135334122,106.79840835124833
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7552.408824394815,7813.181918525091,7.75234291333345,268.5254370436087
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7537.103921743154,7300.392978415199,7.552559738327545,244.2635030662832
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7518.50383776581,7310.538338246815,26.15264371567173,234.1181432346666
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7601.223915399972,7393.183799187427,56.56743391848977,151.47268229405472
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7544.275477889919,7542.325308516343,0.38100359156305785,2.3311729651386486
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7594.860742230273,7428.274546899523,50.20426074879106,116.38193458195929
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7452.389276020802,7679.275816455,92.26720546068009,134.61933497351765
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7511.294562609956,7517.652683798658,33.36191887152563,27.00379768282437
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7538.406397397258,7633.670340956776,6.2500840842239995,89.01385947529434
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7576.2687650444095,7493.69112189886,31.612283562927587,50.96535958262211
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7556.554259828493,7549.569004138867,11.897778347010899,4.912522657385125
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7535.253579002834,7569.064296109261,9.402902478647775,24.407814627778862
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7556.941931431677,7516.993426977822,12.28544995019547,27.663054503659623
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7535.028617639285,7436.272287840811,9.627863842197257,108.38419364067067
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7554.7852702636155,7722.493148608428,10.128788782133597,177.83666712694594
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7481.872948010564,7349.267923731033,62.78353347091797,195.38855775044885
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7555.734531463061,7536.577330315691,11.07804998157917,8.07915116579079
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7568.089996430809,7468.751882494183,23.43351494932722,75.90459898729932
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7541.7674706669,7846.219969731696,2.8890108145815248,301.5634882502145
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7598.848864895609,7453.016266716162,54.19238341412711,91.6402147653198
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7536.935118962083,7487.260692311746,7.721362519399008,57.39578916973551
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7512.731655077768,7484.05080105451,31.924826403714178,60.60568042697196
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7601.831278313389,7452.087406704372,57.17479683190686,92.56907477710956
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7545.6900982307525,7457.49178988294,1.03361674927055,87.16469159854205
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7571.121775617047,7721.370611047196,26.465294135565273,176.71412956571385
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7593.90995009063,7638.828487621915,49.25346860914851,94.17200614043304
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7560.357848283891,7656.398096550428,15.701366802409211,111.74161506894598
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7552.724728199859,7472.865004162845,8.06824671837694,71.79147731863668
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7518.280035358674,7815.264594892462,26.376446122808375,270.60811341097997
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7530.651659244614,7562.88531834394,14.004822236867767,18.228836862457683
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7547.74044321305,7815.224157086714,3.083961731567797,270.56767560523167
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7547.24034915928,7472.417200122274,2.58386767779848,72.23928135920778
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7565.301340063032,7531.669890635924,20.64485858154967,12.986590845557657
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7544.389603624089,7475.763830472608,0.26687785739250103,68.89265100887405
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7543.120489032685,7565.622721668629,1.5359924487966055,20.966240187147378
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7515.31572718563,7582.154758385546,29.340754295852093,37.49827690406437
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7582.424207852472,7569.100729213494,37.767726370990204,24.444247732011718
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7590.713980172079,7456.688311888097,46.05749869059673,87.96816959338503
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7446.8833908804,7793.953845551359,97.773090601082,249.2973640698774
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7622.245381689968,7635.520388559996,77.58890020848594,90.86390707851388
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7524.139507374154,7500.994642867653,20.51697410732777,43.66183861382888
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7523.9266402197745,7696.722844187559,20.729841261707406,152.0663627060767
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7575.290100318667,7501.960300280031,30.633618837185168,42.6961812014506
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7533.500128411225,7573.690943145238,11.156353070256955,29.034461663755792
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7530.89929865494,7596.441129208261,13.757182826541793,51.78464772677944
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7571.443088196093,7628.47101341477,26.78660671461148,83.81453193328798
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,7619.715581812925,7519.367281326649,75.059100331443,25.289200154832542
