m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,935.9803123761432,5469.066576299587
0.01,0.01,1.9913157536841377,8.487654320987657e-07,7544.656481481482,779.8481565197162,6242.256163635449
0.02,0.02,1.9825554300779649,8.40192043895748e-07,7544.656481481482,912.9174375541041,6021.611854355126
0.03,0.03,1.9737176844607265,8.316186556927297e-07,7544.656481481482,1058.740226607015,6041.80662335384
0.04,0.04,1.964801136140164,8.230452674897117e-07,7544.656481481482,883.9618236455077,6589.06050416421
0.05,0.05,1.95580436715797,8.144718792866941e-07,7544.656481481482,856.4598065807412,7044.0749077500495
0.06,0.06,1.9467259209364776,8.058984910836764e-07,7544.656481481482,950.764199584185,6530.253817625287
0.07,0.07,1.9375643008633656,7.973251028806586e-07,7544.656481481482,924.1218860135635,5572.940071321598
0.08,0.08,1.9283179688109167,7.887517146776405e-07,7544.656481481482,893.5288537495155,6975.027909101354
0.09,0.09,1.918985343586183,7.801783264746228e-07,7544.656481481482,1023.3775422020838,6109.368827157065
0.1,0.1,1.9095647993081502,7.716049382716049e-07,7544.656481481482,1334.218208631896,5664.599155857284
0.11,0.11,1.9000546637077282,7.630315500685872e-07,7544.656481481482,1061.9721890247404,6881.881698672468
0.12,0.12,1.8904532163461254,7.544581618655695e-07,7544.656481481482,1084.1797159808907,6708.577063163841
0.13,0.13,1.8807586867468644,7.458847736625516e-07,7544.656481481482,1045.753872761283,6913.109798204995
0.14,0.14,1.870969252436353,7.373113854595336e-07,7544.656481481482,845.8798350766982,7064.006378434604
0.15,0.15,1.8610830368876068,7.287379972565157e-07,7544.656481481482,987.6809891756124,6556.381990025223
0.16,0.16,1.8510981073612989,7.201646090534981e-07,7544.656481481482,1069.7368258601289,7408.271944260855
0.17,0.17,1.8410124726379327,7.115912208504803e-07,7544.656481481482,863.0065699900348,7186.688929335544
0.18,0.18,1.8308240806344924,7.030178326474626e-07,7544.656481481482,1101.3839252292196,7566.332672710832
0.19,0.19,1.820530815898414,6.944444444444448e-07,7544.656481481482,921.0398555396553,7115.02298990401
0.2,0.2,1.8101304969712413,6.858710562414266e-07,7544.656481481482,1121.7978450881583,9145.554499586804
0.21,0.21,1.7996208736137405,6.772976680384088e-07,7544.656481481482,1239.8641868287973,7292.983371395868
0.22,0.22,1.7889996238836343,6.68724279835391e-07,7544.656481481482,1136.3298168615274,7339.739271595276
0.23,0.23,1.7782643510564888,6.601508916323734e-07,7544.656481481482,1095.9088479245595,7581.261234372419
0.24,0.24,1.7674125803795062,6.515775034293553e-07,7544.656481481482,1213.0025751769556,7281.187901815431
0.25,0.25,1.7564417556472545,6.430041152263374e-07,7544.656481481482,1176.4908425320325,7957.053193646479
0.26,0.26,1.7453492355874618,6.344307270233195e-07,7544.656481481482,1085.3962589166574,7866.005251131011
0.27,0.27,1.7341322900441,6.258573388203017e-07,7544.656481481482,1355.2385421468352,7907.2513786970685
0.28,0.28,1.722788095943956,6.172839506172841e-07,7544.656481481482,902.1258620371359,7516.336743487357
0.29,0.29,1.711313733031793,6.08710562414266e-07,7544.656481481482,1610.5944111528163,8471.878375145703
0.3,0.3,1.699706179357965,6.001371742112485e-07,7544.656481481482,1293.1674643084089,8194.740481725865
0.31,0.31,1.6879623065010638,5.915637860082305e-07,7544.656481481482,940.8146449589537,7820.960524756096
0.32,0.32,1.6760788745066837,5.829903978052127e-07,7544.656481481482,1320.3182486678238,8886.20764252765
0.33,0.33,1.6640525265218362,5.744170096021948e-07,7544.656481481482,1401.9071393554227,9408.458476410178
0.34,0.34,1.6518797831027674,5.65843621399177e-07,7544.656481481482,1292.268218301241,7878.854129704584
0.35,0.35,1.639557036172042,5.572702331961592e-07,7544.656481481482,1116.6441480996184,7961.959068892749
0.36,0.36,1.6270805425986328,5.486968449931414e-07,7544.656481481482,1099.4822208625844,7394.70269712628
