m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,783.9303199181168,5174.938969840006
0.01,0.01,2.0,8.573388203017834e-07,7544.656481481482,843.900944280426,6727.060352866858
0.02,0.02,2.0,8.573388203017834e-07,7544.656481481482,712.8193262832008,5833.854653328491
0.03,0.03,2.0,8.573388203017834e-07,7544.656481481482,889.5897219550567,5783.870960330136
0.04,0.04,2.0,8.573388203017834e-07,7544.656481481482,897.9234840771767,6069.566581121832
0.05,0.05,2.0,8.573388203017834e-07,7544.656481481482,972.845460376583,6165.553804493756
0.06,0.06,2.0,8.573388203017834e-07,7544.656481481482,1042.95563973397,5936.403509112548
0.07,0.07,2.0,8.573388203017834e-07,7544.656481481482,966.6325320836216,6521.872875210402
0.08,0.08,2.0,8.573388203017834e-07,7544.656481481482,973.3989973758074,4862.045015422734
0.09,0.09,2.0,8.573388203017834e-07,7544.656481481482,648.8816468782198,5150.716957347311
0.1,0.1,2.0,8.573388203017834e-07,7544.656481481482,918.9357656108338,6261.573936236119
0.11,0.11,2.0,8.573388203017834e-07,7544.656481481482,851.1459513691558,4963.046553072477
0.12,0.12,2.0,8.573388203017834e-07,7544.656481481482,872.5199786890654,5229.345671404884
0.13,0.13,2.0,8.573388203017834e-07,7544.656481481482,763.0508878520809,5646.195239310104
0.14,0.14,2.0,8.573388203017834e-07,7544.656481481482,879.2736483928335,5456.674531391322
0.15,0.15,2.0,8.573388203017834e-07,7544.656481481482,1000.4491336004219,6059.49546743102
0.16,0.16,2.0,8.573388203017834e-07,7544.656481481482,865.3337924420382,5928.9760518615585
0.17,0.17,2.0,8.573388203017834e-07,7544.656481481482,795.2579700037388,6368.671792848481
0.18,0.18,2.0,8.573388203017834e-07,7544.656481481482,883.3531441384966,6738.070122849943
0.19,0.19,2.0,8.573388203017834e-07,7544.656481481482,833.1816025894299,6878.647057538957
0.2,0.2,2.0,8.573388203017834e-07,7544.656481481482,888.6527034059336,6443.332352502318
0.21,0.21,2.0,8.573388203017834e-07,7544.656481481482,763.7074267404874,6177.54517555076
0.22,0.22,2.0,8.573388203017834e-07,7544.656481481482,889.3511022785756,6559.388668055991
0.23,0.23,2.0,8.573388203017834e-07,7544.656481481482,824.5070349468875,6142.330280426726
0.24,0.24,2.0,8.573388203017834e-07,7544.656481481482,763.137947942232,5303.242269627837
0.25,0.25,2.0,8.573388203017834e-07,7544.656481481482,803.0572205409854,5142.623783964647
0.26,0.26,2.0,8.573388203017834e-07,7544.656481481482,768.8798673940139,5802.550344640563
0.27,0.27,2.0,8.573388203017834e-07,7544.656481481482,882.2756178242553,5752.824171194858
0.28,0.28,2.0,8.573388203017834e-07,7544.656481481482,785.1105401202991,5766.112557928011
0.29,0.29,2.0,8.573388203017834e-07,7544.656481481482,813.4250459019353,5738.9625029542485
0.3,0.3,2.0,8.573388203017834e-07,7544.656481481482,779.3713273045015,6717.858239563852
