m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,32.37386167494529,104.74157320042904
0.01,0.01,2.0086960664121003,8.659988083856399e-07,7544.656481481482,34.43451687950711,103.55416732515418
0.02,0.02,2.0174923319015567,8.748355309201871e-07,7544.656481481482,36.86425081568268,111.88201375516272
0.03,0.03,2.0263908845731886,8.838544539193642e-07,7544.656481481482,40.245576091997705,102.60106280631965
0.04,0.04,2.035393877584003,8.930612711476911e-07,7544.656481481482,39.96012493657824,105.05505298168941
0.05,0.05,2.044503531868755,9.024619161071406e-07,7544.656481481482,40.9833205151998,110.47143680169809
0.06,0.06,2.0537221390097273,9.120625747891314e-07,7544.656481481482,46.628646032028975,112.77300835222869
0.07,0.07,2.0630520642599994,9.218696992492294e-07,7544.656481481482,45.45417414488479,113.94763675752719
0.08,0.08,2.0724957497301446,9.318900220671559e-07,7544.656481481482,50.563289294875126,108.47874949032725
0.09,0.09,2.0820557177490753,9.421305717602017e-07,7544.656481481482,52.29129629266088,117.15177481548882
0.1,0.1,2.091734574410594,9.525986892242036e-07,7544.656481481482,54.84993906240239,111.91727755621264
0.11,0.11,2.101535013318088,9.63302045282903e-07,7544.656481481482,57.01667726665353,118.15991695790129
0.12,0.12,2.1114598195408156,9.742486594338447e-07,7544.656481481482,57.915270785760626,122.86493872526692
0.13,0.13,2.121511873796272,9.85446919887107e-07,7544.656481481482,59.40201905592987,125.21219648968204
0.14,0.14,2.1316941568743455,9.969056050020738e-07,7544.656481481482,59.408510531036185,113.75499691769585
0.15,0.15,2.142009754320214,1.0086339062373921e-06,7544.656481481482,61.72073529582301,122.12050208416814
0.16,0.16,2.152461861394364,1.0206414527402187e-06,7544.656481481482,66.40819193941847,129.0488813902625
0.17,0.17,2.1630537883296337,1.032938337712992e-06,7544.656481481482,63.26104081523685,123.79283575518616
0.18,0.18,2.1737889659069087,1.045535146709492e-06,7544.656481481482,68.87685882556156,122.27713041007341
0.19,0.19,2.1846709513729072,1.0584429880268933e-06,7544.656481481482,67.77878443505577,129.28096466798272
0.2,0.2,2.1957034347255657,1.0716735253772291e-06,7544.656481481482,67.47631690320135,125.50372738687109
0.21,0.21,2.206890245394767,1.0852390130402323e-06,7544.656481481482,66.67171585946468,128.7966316208565
0.22,0.22,2.2182353593486406,1.099152333720235e-06,7544.656481481482,74.4596273206351,133.72749840121372
0.23,0.23,2.229742906658366,1.1134270393529656e-06,7544.656481481482,78.48172581949218,142.1289076409536
0.24,0.24,2.24141717955747,1.1280773951339255e-06,7544.656481481482,78.77485843777974,140.23803200377512
0.25,0.25,2.253262641034891,1.1431184270690443e-06,7544.656481481482,79.58284533448672,133.27660669207813
0.26,0.26,2.2652839340048287,1.1585659733807882e-06,7544.656481481482,86.91119288492631,147.95041784931266
0.27,0.27,2.277485891100447,1.174436740139429e-06,7544.656481481482,85.53114166488011,146.50516865118985
0.28,0.28,2.2898735451430854,1.190748361530255e-06,7544.656481481482,86.15314463272652,144.04717990911792
0.29,0.29,2.3024521403436493,1.2075194652137793e-06,7544.656481481482,88.0773731925154,150.23914643575904
0.3,0.3,2.3152271442985195,1.2247697432882618e-06,7544.656481481482,86.59366916035512,145.72265694981039
0.31,0.31,2.3282042608485662,1.2425200294228743e-06,7544.656481481482,90.99802694475217,145.12675204607356
0.32,0.32,2.3413894438768876,1.2607923827967401e-06,7544.656481481482,92.28291564269153,154.59701389502285
0.33,0.33,2.3547889121287118,1.2796101795549006e-06,7544.656481481482,98.19509040362219,158.71090081335302
0.34,0.34,2.368409165145718,1.2989982125784598e-06,7544.656481481482,99.09592591173708,163.96991945792243
0.35,0.35,2.382257000416858,1.3189828004642817e-06,7544.656481481482,98.65222127294507,162.7504114084381
0.36,0.36,2.396339531858863,1.3395919067215363e-06,7544.656481481482,100.70868094339845,153.7140157953269
0.37,0.37,2.410664209752091,1.3608552703202914e-06,7544.656481481482,101.26459271703062,161.54449282773408
0.38,0.38,2.4252388422714533,1.382804548873844e-06,7544.656481481482,108.05262945950865,168.45398406372357
0.39,0.39,2.4400716187680507,1.405473475904563e-06,7544.656481481482,106.28151890849855,176.01190823049262
0.4,0.4,2.455171134975177,1.4288980338363059e-06,7544.656481481482,110.23597840294221,177.4833115670848
0.41,0.41,2.4705464203327727,1.4531166445792938e-06,7544.656481481482,103.89247834764183,171.9971620297066
0.42,0.42,2.486206967647639,1.4781703798306612e-06,7544.656481481482,110.40862144590838,184.30123512572254
0.43,0.43,2.5021627653331873,1.5041031935119003e-06,7544.656481481482,115.6120830187451,171.14858740446925
0.44,0.44,2.5184243325027045,1.5309621791103266e-06,7544.656481481482,125.49770015841484,194.63495053260948
0.45,0.45,2.5350027572246803,1.558797855094151e-06,7544.656481481482,118.64657301980505,178.20472741441674
0.46,0.46,2.5519097382883658,1.587664482040339e-06,7544.656481481482,120.35477168775095,187.64285568574934
0.47,0.47,2.5691576308733297,1.6176204156637414e-06,7544.656481481482,123.34871596813879,195.81599356472393
0.48,0.48,2.5867594965692633,1.6487285005803523e-06,7544.656481481482,125.52695121466648,186.97422594092845
0.49,0.49,2.6047291582529537,1.6810565103956534e-06,7544.656481481482,127.90113503216669,194.09358867834268
0.5,0.5,2.6230812603996645,1.7146776406035667e-06,7544.656481481482,129.30752259882897,203.01859546045696
0.51,0.51,2.6418313354877627,1.7496710618403741e-06,7544.656481481482,127.73576186822582,189.9784370626412
0.52,0.52,2.6609958772505924,1.7861225422953822e-06,7544.656481481482,127.42700401062977,212.76399546297728
0.53,0.53,2.68059242164071,1.8241251495782627e-06,7544.656481481482,125.0535750975656,219.0641385171091
0.54,0.54,2.7006396365018737,1.8637800441343118e-06,7544.656481481482,138.28968768621078,206.52138836760923
0.55,0.55,2.7211574210973763,1.9051973784484072e-06,7544.656481481482,143.4798532180226,223.48392200047087
0.56,0.56,2.7421670168240397,1.94849731886769e-06,7544.656481481482,145.7709496655222,212.18058638188856
0.57,0.57,2.763691130655144,1.9938112100041476e-06,7544.656481481482,141.43661311174137,212.72143390453994
0.58,0.58,2.7857540731098784,2.0412829054804366e-06,7544.656481481482,148.997594874553,235.6271586461239
0.59,0.59,2.8083819128502006,2.091070293418984e-06,7544.656481481482,165.12153502720753,233.31509959733282
0.6,0.6,2.8316026503692244,2.1433470507544583e-06,7544.656481481482,148.2779259684764,236.6745603432485
0.61,0.61,2.855446413672155,2.19830466744047e-06,7544.656481481482,158.1440038169683,249.80951619624514
0.62,0.62,2.8799456793783946,2.256154790267851e-06,7544.656481481482,158.1654254243303,243.87631756756804
0.63,0.63,2.905135523313814,2.3171319467615765e-06,7544.656481481482,167.45672562823466,254.01082768038927
0.64,0.64,2.931053905442829,2.38149672306051e-06,7544.656481481482,170.44990506085378,251.29581597536657
0.65,0.65,2.95774199494668,2.4495394865765235e-06,7544.656481481482,173.2337378434412,259.7929115589615
0.66,0.66,2.9852445424330374,2.5215847655934802e-06,7544.656481481482,174.50233243957908,263.83576853065074
0.67,0.67,3.013610307722381,2.5979964251569196e-06,7544.656481481482,185.83214892611207,279.85411689516377
0.68,0.68,3.04289255347669,2.6791838134430738e-06,7544.656481481482,188.03334388213983,287.03645596129485
0.69,0.69,3.0731496172186197,2.765609097747688e-06,7544.656481481482,184.21853838776016,286.0911246474439
0.7,0.7,3.1044455771710426,2.8577960676726117e-06,7544.656481481482,205.7833443162444,308.1613425926559
0.71,0.71,3.136851031010733,2.9563407596613224e-06,7544.656481481482,196.41708511510885,280.9061467499492
0.72,0.72,3.1704440113231107,3.0619243582206533e-06,7544.656481481482,208.65428981684195,318.28557907670864
0.73,0.73,3.2053110676045673,3.175328964080678e-06,7544.656481481482,213.54742134859018,316.8808090210063
0.74,0.74,3.241548552549508,3.2974570011607046e-06,7544.656481481482,207.74353522814897,325.2917188784859
0.75,0.75,3.2792641607279225,3.4293552812071335e-06,7544.656481481482,205.36702249633592,345.88356114613725
0.76,0.76,3.3185787815171826,3.5722450845907643e-06,7544.656481481482,236.97134976971017,352.8496980301548
0.77,0.77,3.359628746598796,3.7275600882686235e-06,7544.656481481482,237.99079928930715,336.8543599296138
0.78,0.78,3.402568577345139,3.89699463773538e-06,7544.656481481482,239.18203969912616,343.2365507201299
0.79,0.79,3.4475743717558465,4.082565810960875e-06,7544.656481481482,253.89522643860784,396.3132968666312
0.8,0.8,3.4948480183575636,4.2866941015089165e-06,7544.656481481482,261.42374555914654,385.30728755058493
0.81,0.81,3.5446224918584,4.512309580535702e-06,7544.656481481482,270.1983833960883,406.7081233459601
0.82,0.82,3.59716858191566,4.762993446121016e-06,7544.656481481482,281.2430827287095,407.26380325816825
0.83,0.83,3.6528035471769607,5.043169531186959e-06,7544.656481481482,283.61009829875576,435.3656226906198
0.84,0.84,3.711902395977567,5.358367626886144e-06,7544.656481481482,288.6593638126753,450.74305736967364
0.85,0.85,3.774912812558156,5.7155921353452234e-06,7544.656481481482,310.75878704109937,500.1935252253221
0.86,0.86,3.8423752408103886,6.1238487164413065e-06,7544.656481481482,329.6645299483187,498.0774549850626
0.87,0.87,3.914950423882253,6.594914002321409e-06,7544.656481481482,334.785176072715,542.6846327013179
0.88,0.88,3.9934579894243716,7.144490169181529e-06,7544.656481481482,349.34133159662264,574.9951066724271
0.89,0.89,4.078931863997383,7.79398927547076e-06,7544.656481481482,347.78637658883207,627.220667038847
0.9,0.9,4.172702173830821,8.573388203017833e-06,7544.656481481482,404.6728503129671,621.5760806918028
0.91,0.91,4.276520444660791,9.52598689224204e-06,7544.656481481482,421.93865006293,706.6142625242742
0.92,0.92,4.392758853295811,1.0716735253772297e-05,7544.656481481482,468.93531206475046,781.4629586564516
0.93,0.93,4.5247432293348755,1.2247697432882632e-05,7544.656481481482,481.6506959568728,867.4033655492938
0.94,0.94,4.677344495607727,1.4288980338363045e-05,7544.656481481482,534.1441162271593,944.0913279143828
0.95,0.95,4.858114234439014,1.7146776406035653e-05,7544.656481481482,589.4904677421769,1059.8691679666163
0.96,0.96,5.079703555908276,2.143347050754456e-05,7544.656481481482,682.3028721127022,1339.7537404251734
0.97,0.97,5.365828979123919,2.857796067672609e-05,7544.656481481482,870.1923313003967,1718.320931393748
0.98,0.98,5.7697350110607255,4.286694101508912e-05,7544.656481481482,1018.7483044008818,2275.409839418593
0.99,0.99,6.461320680934717,8.573388203017824e-05,7544.656481481482,1709.9721555680255,4400.83315982702
0.1,0.2,1.1467204006373655,9.525986892242036e-07,7544.656481481482,77.312160629232,197.21226855444948
0.1,0.3,0.0,9.525986892242036e-07,7544.656481481482,,
0.1,0.4,,9.525986892242036e-07,7544.656481481482,,
0.1,0.5,,9.525986892242036e-07,7544.656481481482,,
0.1,0.6,,9.525986892242036e-07,7544.656481481482,,
0.1,0.7,,9.525986892242036e-07,7544.656481481482,,
0.1,0.8,,9.525986892242036e-07,7544.656481481482,,
0.1,0.9,,9.525986892242036e-07,7544.656481481482,,
0.2,0.3,1.7873901856317849,1.0716735253772291e-06,7544.656481481482,76.68086702937275,159.72984393681622
0.2,0.4,1.351651942392443,1.0716735253772291e-06,7544.656481481482,93.07468741644689,209.52099817143025
0.2,0.5,0.8317965641677488,1.0716735253772291e-06,7544.656481481482,124.07847523299326,306.98836277958725
0.2,0.6,0.0,1.0716735253772291e-06,7544.656481481482,,
0.2,0.7,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.8,,1.0716735253772291e-06,7544.656481481482,,
0.2,0.9,,1.0716735253772291e-06,7544.656481481482,,
0.3,0.4,2.098935712798195,1.2247697432882618e-06,7544.656481481482,87.58974527775125,160.53695051860402
0.3,0.5,1.8847752157086266,1.2247697432882618e-06,7544.656481481482,107.35819602577838,187.19670604615237
0.3,0.6,1.6538596199166304,1.2247697432882618e-06,7544.656481481482,118.56657325213673,208.59319434601053
0.3,0.7,1.3417092459390996,1.2247697432882618e-06,7544.656481481482,133.71983738239825,249.95948468207746
0.3,0.8,0.6555876770041492,1.2247697432882618e-06,7544.656481481482,210.35095191951322,437.23062983862116
0.3,0.9,,1.2247697432882618e-06,7544.656481481482,,
0.4,0.5,2.337355079671674,1.4288980338363059e-06,7544.656481481482,107.46423451361586,194.39319672936193
0.4,0.6,2.2143565033183177,1.4288980338363059e-06,7544.656481481482,118.69470800803796,205.4237751964894
0.4,0.7,2.0253591891370695,1.4288980338363059e-06,7544.656481481482,126.91875255714623,224.58011650255094
0.4,0.8,1.5736412697537372,1.4288980338363059e-06,7544.656481481482,143.93211575937966,266.0144992460416
0.4,0.9,,1.4288980338363059e-06,7544.656481481482,,
0.5,0.6,2.5512438364419507,1.7146776406035667e-06,7544.656481481482,138.80302232419996,216.09608381121637
0.5,0.7,2.433763081857055,1.7146776406035667e-06,7544.656481481482,149.39075974837394,239.49726278089346
0.5,0.8,2.0882727424955005,1.7146776406035667e-06,7544.656481481482,158.0936565831875,256.4791543184359
0.5,0.9,,1.7146776406035667e-06,7544.656481481482,,
0.6,0.7,2.7715112802169353,2.1433470507544583e-06,7544.656481481482,163.3120449376208,242.05240784909418
0.6,0.8,2.5341435514937785,2.1433470507544583e-06,7544.656481481482,179.35433205087284,266.99107659917223
0.6,0.9,1.279512022868854,2.1433470507544583e-06,7544.656481481482,221.4932507870989,500.67890520697586
0.7,0.8,2.9966523786733648,2.8577960676726117e-06,7544.656481481482,207.24022785730338,316.2227997408862
0.7,0.9,2.260867813191561,2.8577960676726117e-06,7544.656481481482,238.7447961898719,394.0307931203301
0.8,0.9,3.1868178261226445,4.2866941015089165e-06,7544.656481481482,283.3769421789298,433.68623306357944
0.01,0.02,1.012817910484383,8.659988083856399e-07,7544.656481481482,60.78300013053717,183.55899202519805
0.01,0.03,0.0,8.659988083856399e-07,7544.656481481482,,
0.01,0.04,,8.659988083856399e-07,7544.656481481482,,
0.01,0.05,,8.659988083856399e-07,7544.656481481482,,
0.01,0.06,,8.659988083856399e-07,7544.656481481482,,
0.01,0.07,,8.659988083856399e-07,7544.656481481482,,
0.01,0.08,,8.659988083856399e-07,7544.656481481482,,
0.01,0.09,,8.659988083856399e-07,7544.656481481482,,
0.02,0.03,1.5237427937005599,8.748355309201871e-07,7544.656481481482,48.30908625478107,127.27121520989702
0.02,0.04,1.0259974685366282,8.748355309201871e-07,7544.656481481482,67.18126587810767,184.49366191010714
0.02,0.05,0.5204973909530104,8.748355309201871e-07,7544.656481481482,124.95010839963308,334.17396808539456
0.02,0.06,0.0,8.748355309201871e-07,7544.656481481482,,
0.02,0.07,,8.748355309201871e-07,7544.656481481482,,
0.02,0.08,,8.748355309201871e-07,7544.656481481482,,
0.02,0.09,,8.748355309201871e-07,7544.656481481482,,
0.03,0.04,1.6999049458658522,8.838544539193642e-07,7544.656481481482,43.78249816514731,124.0425717571362
