m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,7544.656481481482,1024.291259550445,5722.189527066585
0.01,0.01,2.0086960664121003,8.659988083856399e-07,7544.656481481482,957.1736156470726,6336.356717223059
0.02,0.02,2.0174923319015567,8.748355309201871e-07,7544.656481481482,857.4647186406908,5718.470779497951
0.03,0.03,2.0263908845731886,8.838544539193642e-07,7544.656481481482,1116.4733286410756,5668.180183585356
0.04,0.04,2.035393877584003,8.930612711476911e-07,7544.656481481482,1051.2622754554827,6549.690355401973
0.05,0.05,2.044503531868755,9.024619161071406e-07,7544.656481481482,965.848478017968,6170.026738613122
0.06,0.06,2.0537221390097273,9.120625747891314e-07,7544.656481481482,1540.3047171215603,7786.654968981495
0.07,0.07,2.0630520642599994,9.218696992492294e-07,7544.656481481482,1555.4244369286716,6622.934336012433
0.08,0.08,2.0724957497301446,9.318900220671559e-07,7544.656481481482,1853.5448687826533,7094.311694666495
0.09,0.09,2.0820557177490753,9.421305717602017e-07,7544.656481481482,1655.848559715932,6815.576011435577
0.1,0.1,2.091734574410594,9.525986892242036e-07,7544.656481481482,1819.7082525660487,8126.387596692414
0.11,0.11,2.101535013318088,9.63302045282903e-07,7544.656481481482,1680.6419342310592,8636.077582054248
0.12,0.12,2.1114598195408156,9.742486594338447e-07,7544.656481481482,2091.3086002207515,7674.557153784103
0.13,0.13,2.121511873796272,9.85446919887107e-07,7544.656481481482,2110.084367077825,8751.317924467623
0.14,0.14,2.1316941568743455,9.969056050020738e-07,7544.656481481482,2025.6882435449365,8954.279375571497
0.15,0.15,2.142009754320214,1.0086339062373921e-06,7544.656481481482,2271.669996842241,8771.57076604491
0.16,0.16,2.152461861394364,1.0206414527402187e-06,7544.656481481482,2116.238228101287,8059.297793618034
0.17,0.17,2.1630537883296337,1.032938337712992e-06,7544.656481481482,2310.283595888666,8273.43157485947
0.18,0.18,2.1737889659069087,1.045535146709492e-06,7544.656481481482,2737.2549015400564,9402.816215190342
0.19,0.19,2.1846709513729072,1.0584429880268933e-06,7544.656481481482,2490.598420251789,8993.739449462415
0.2,0.2,2.1957034347255657,1.0716735253772291e-06,7544.656481481482,2932.4522960705194,9868.135776682788
0.21,0.21,2.206890245394767,1.0852390130402323e-06,7544.656481481482,3265.911066998248,11008.944009136849
0.22,0.22,2.2182353593486406,1.099152333720235e-06,7544.656481481482,3118.1484459971575,8819.408137725713
0.23,0.23,2.229742906658366,1.1134270393529656e-06,7544.656481481482,3268.11169730497,12091.037901312868
0.24,0.24,2.24141717955747,1.1280773951339255e-06,7544.656481481482,3638.423462861605,11104.045764688748
0.25,0.25,2.253262641034891,1.1431184270690443e-06,7544.656481481482,3754.183093263969,11865.895629432482
0.26,0.26,2.2652839340048287,1.1585659733807882e-06,7544.656481481482,3778.7757901193163,10809.383598089484
0.27,0.27,2.277485891100447,1.174436740139429e-06,7544.656481481482,3830.3142154413104,12700.954383538861
0.28,0.28,2.2898735451430854,1.190748361530255e-06,7544.656481481482,3863.206368892463,11973.906493795446
0.29,0.29,2.3024521403436493,1.2075194652137793e-06,7544.656481481482,3630.600357236407,11118.418116591654
0.3,0.3,2.3152271442985195,1.2247697432882618e-06,7544.656481481482,4676.6938402494325,12046.519593935287
0.31,0.31,2.3282042608485662,1.2425200294228743e-06,7544.656481481482,4950.462504642944,12922.477550416423
0.32,0.32,2.3413894438768876,1.2607923827967401e-06,7544.656481481482,6081.694910803789,13914.589744813482
0.33,0.33,2.3547889121287118,1.2796101795549006e-06,7544.656481481482,5095.292085967024,12183.01042380478
0.34,0.34,2.368409165145718,1.2989982125784598e-06,7544.656481481482,5318.3240606476475,13739.430609901949
0.35,0.35,2.382257000416858,1.3189828004642817e-06,7544.656481481482,5262.3215190919545,14501.59662192905
0.36,0.36,2.396339531858863,1.3395919067215363e-06,7544.656481481482,5934.778579483727,14553.434451919768
0.37,0.37,2.410664209752091,1.3608552703202914e-06,7544.656481481482,5821.985271749219,15726.159269361233
0.38,0.38,2.4252388422714533,1.382804548873844e-06,7544.656481481482,7608.94019778087,15631.40681791147
0.39,0.39,2.4400716187680507,1.405473475904563e-06,7544.656481481482,6108.358178383619,16665.624297443443
0.4,0.4,2.455171134975177,1.4288980338363059e-06,7544.656481481482,7203.666543020192,19358.271120739286
0.41,0.41,2.4705464203327727,1.4531166445792938e-06,7544.656481481482,6648.4440361761835,18492.916522202264
0.42,0.42,2.486206967647639,1.4781703798306612e-06,7544.656481481482,7401.109375584969,17818.19152883106
0.43,0.43,2.5021627653331873,1.5041031935119003e-06,7544.656481481482,8362.24068132831,19014.86675704251
0.44,0.44,2.5184243325027045,1.5309621791103266e-06,7544.656481481482,7412.425040218953,20992.43101718275
0.45,0.45,2.5350027572246803,1.558797855094151e-06,7544.656481481482,7727.77276137879,18506.648750951652
0.46,0.46,2.5519097382883658,1.587664482040339e-06,7544.656481481482,8514.735849934614,19945.44708369672
0.47,0.47,2.5691576308733297,1.6176204156637414e-06,7544.656481481482,9151.860424148508,24134.76902302627
0.48,0.48,2.5867594965692633,1.6487285005803523e-06,7544.656481481482,8355.094620414518,20728.423495459494
0.49,0.49,2.6047291582529537,1.6810565103956534e-06,7544.656481481482,9116.171643432022,22862.23305339564
0.5,0.5,2.6230812603996645,1.7146776406035667e-06,7544.656481481482,9782.69258974485,23117.95488419007
0.51,0.51,2.6418313354877627,1.7496710618403741e-06,7544.656481481482,9978.521765419324,24526.729173181226
0.52,0.52,2.6609958772505924,1.7861225422953822e-06,7544.656481481482,9987.234092900388,21284.83252573979
0.53,0.53,2.68059242164071,1.8241251495782627e-06,7544.656481481482,11238.566972745037,26046.680648765974
0.54,0.54,2.7006396365018737,1.8637800441343118e-06,7544.656481481482,11891.34075056373,26464.123558870822
0.55,0.55,2.7211574210973763,1.9051973784484072e-06,7544.656481481482,11682.11875965887,27400.31476997072
0.56,0.56,2.7421670168240397,1.94849731886769e-06,7544.656481481482,13257.491366063847,28744.836861607033
0.57,0.57,2.763691130655144,1.9938112100041476e-06,7544.656481481482,13722.374536698102,32703.033208528523
0.58,0.58,2.7857540731098784,2.0412829054804366e-06,7544.656481481482,14736.798162309995,28848.472073638954
0.59,0.59,2.8083819128502006,2.091070293418984e-06,7544.656481481482,13728.882070688505,31788.201129514055
0.6,0.6,2.8316026503692244,2.1433470507544583e-06,7544.656481481482,11824.661205749346,32520.672414852324
0.61,0.61,2.855446413672155,2.19830466744047e-06,7544.656481481482,16711.011573215605,33265.79938500758
0.62,0.62,2.8799456793783946,2.256154790267851e-06,7544.656481481482,15537.430685019477,40439.92933948257
0.63,0.63,2.905135523313814,2.3171319467615765e-06,7544.656481481482,18794.10403389256,41223.154100229745
0.64,0.64,2.931053905442829,2.38149672306051e-06,7544.656481481482,15995.208335025265,37330.6659001072
0.65,0.65,2.95774199494668,2.4495394865765235e-06,7544.656481481482,19056.46752782852,38155.084703809094
0.66,0.66,2.9852445424330374,2.5215847655934802e-06,7544.656481481482,20607.595794965648,45888.36423947015
0.67,0.67,3.013610307722381,2.5979964251569196e-06,7544.656481481482,21286.829617519015,44405.90165875888
0.68,0.68,3.04289255347669,2.6791838134430738e-06,7544.656481481482,20885.018058312206,48698.209605845426
0.69,0.69,3.0731496172186197,2.765609097747688e-06,7544.656481481482,20501.810240392897,50251.838230862435
0.7,0.7,3.1044455771710426,2.8577960676726117e-06,7544.656481481482,22561.74871720801,50764.0148442603
