m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,7544.656481481482,-3.4807234773759426,-4.718628892354303,-3.5925952942253225,-5.980837911097325,-1.786230379460605,-2.2506163134757173
0.01,0.01,7544.656481481482,-2.713850067804831,5.0805769247046015,-3.33674718565187,2.9689387184075144,-3.6407305202939924,3.887737993939467
0.02,0.02,7544.656481481482,-8.287165197846267,-14.752091925989319,-7.9189093504698,-15.728967845934122,-5.916087015377485,-6.355474972294715
0.03,0.03,7544.656481481482,-4.901629147010482,5.338320285194484,-8.750092792904859,5.496743370826792,-2.7936409167757574,-0.998163743420136
0.04,0.04,7544.656481481482,-9.121438546438654,-13.22084687351169,-8.71094923382546,-3.9569850659640338,-9.52213259669962,-6.819827225123362
0.05,0.05,7544.656481481482,-14.274924502734944,-9.216046871248892,-10.555643982916617,-8.16764655547587,-13.140914120077696,4.46915793994954
0.06,0.06,7544.656481481482,-14.423309804354954,-3.7481080689584445,-15.913506087652646,-10.39013249770953,-10.58965815071955,-6.0412503689042865
0.07,0.07,7544.656481481482,-14.124827664000946,-17.957338437767163,-13.06700851341963,-11.72857986809241,-14.595198332491261,-9.243282716317083
0.08,0.08,7544.656481481482,-20.425417521639552,-26.31969379964798,-19.850706166283445,-17.73102551300846,-19.102835511716783,-6.902522008966159
0.09,0.09,7544.656481481482,-24.166238471398113,-19.183443737306334,-23.68129821133363,-17.894188362673518,-20.46005639494507,-16.540848821808794
0.1,0.1,7544.656481481482,-25.801991408651077,-15.171242968808329,-23.215477918290297,-8.190639727266074,-22.539241274028008,-18.09557450784186
0.11,0.11,7544.656481481482,-28.164985592692314,-34.83247383410509,-28.061321955773433,-22.84012610335337,-24.859434851958547,-20.57722590242375
0.12,0.12,7544.656481481482,-26.329611435331266,-30.157842312219955,-27.12639665600021,-26.846378111908223,-22.223377668089817,-15.407998377082876
0.13,0.13,7544.656481481482,-34.405925807747174,-29.203552103492967,-29.69802479206583,-25.223932771798758,-30.668009114142485,-20.790616057867496
0.14,0.14,7544.656481481482,-36.07428791631439,-35.3294900100811,-29.773506680761866,-15.847454169499457,-34.91587653507143,-18.332995004121855
0.15,0.15,7544.656481481482,-33.59940826148941,-25.55594403935332,-28.97008689788872,-18.453979752907856,-34.380732791200245,-20.26808143588272
0.16,0.16,7544.656481481482,-37.30701065038467,-28.033827004841115,-36.118155758580926,-24.05091753755049,-33.09433338167001,-21.187693065259566
0.17,0.17,7544.656481481482,-35.6665670655986,-28.644723456732663,-33.22407998317378,-21.841170278031683,-34.10618086500863,-15.359595308688597
0.18,0.18,7544.656481481482,-39.77912905890785,-34.58645580429406,-38.19068921896656,-20.414985675703278,-34.650600315691385,-24.106837160671887
0.19,0.19,7544.656481481482,-43.40988149216224,-35.90421470965097,-36.99192271973641,-22.24559081812211,-41.25909827818373,-33.16864297665708
0.2,0.2,7544.656481481482,-40.720136786914885,-41.29443198719066,-36.63445804793067,-22.365171350241454,-37.52383345814008,-24.650150982812363
0.21,0.21,7544.656481481482,-41.21828612344312,-40.169756202017965,-37.405495421261435,-27.670231162077243,-34.93985461790842,-28.72830675561697
0.22,0.22,7544.656481481482,-41.01770783640997,-38.05128435934253,-42.98328629654954,-25.73565140605848,-37.447802337208714,-35.30883070877914
0.23,0.23,7544.656481481482,-49.6911779300394,-43.01051056574455,-47.496698721448325,-39.83765509294888,-46.998487820591386,-30.65361849467709
0.24,0.24,7544.656481481482,-51.51536930476522,-52.80253839534387,-48.34624102320965,-40.77339830817934,-44.85094823673799,-36.80926444173143
0.25,0.25,7544.656481481482,-49.18014184644372,-64.35740016033574,-49.072451923164635,-36.06573410855066,-44.062863092437254,-42.31438084940966
0.26,0.26,7544.656481481482,-55.46741487028318,-60.68009380882117,-56.30237768916105,-44.206741113890416,-51.1521995604318,-50.69983678314286
0.27,0.27,7544.656481481482,-53.71846204779962,-64.28423995081472,-52.5943614021883,-48.66080804512045,-49.1210448261267,-44.186106552070285
0.28,0.28,7544.656481481482,-56.64653022166066,-65.8225535122726,-55.413096835744774,-38.581088420124075,-54.485050464244146,-53.69007668529109
0.29,0.29,7544.656481481482,-61.99256191937137,-58.92794395833104,-58.07869037068697,-44.3204455510149,-54.56393886638782,-45.12792433201626
0.3,0.3,7544.656481481482,-62.495702759494115,-51.50966258882852,-56.19690950637331,-36.511158403785856,-54.927772763437275,-42.876283228183254
0.31,0.31,7544.656481481482,-61.90065073012764,-64.5522573748322,-60.88248058668479,-43.887460966372956,-57.085872372453274,-43.026358722290425
0.32,0.32,7544.656481481482,-64.63283071572867,-90.42329633475926,-61.1051255054808,-59.32852476534448,-58.678612492265835,-61.14706699580978
0.33,0.33,7544.656481481482,-70.22339278065182,-76.11512336384054,-69.41402430388007,-57.074471355730495,-59.10099428792218,-52.72116095731083
0.34,0.34,7544.656481481482,-69.79192703992973,-80.81262181615041,-67.43388017127813,-60.23070931852253,-61.99028407868406,-55.67604341211643
0.35,0.35,7544.656481481482,-71.82872100591868,-95.50403877886879,-69.7613924537932,-59.09695909921811,-64.82206755622559,-80.10841263197537
0.36,0.36,7544.656481481482,-70.23007101714633,-86.78292896310091,-71.1357552750607,-58.24530505143474,-65.29178734719265,-64.08981045458083
0.37,0.37,7544.656481481482,-74.9952976494805,-90.1055099205126,-70.52813375947687,-65.27146817842687,-69.0863039252784,-68.52710122014405
0.38,0.38,7544.656481481482,-74.44329906441368,-86.23871315166147,-76.11655802450619,-62.92120661670148,-68.13406712771169,-64.33665549892882
0.39,0.39,7544.656481481482,-73.0500408942113,-83.62941245168058,-74.74378364175942,-69.76866808812615,-67.09354863611685,-65.56455248894409
0.4,0.4,7544.656481481482,-83.4141703604891,-87.21180429148525,-78.23176175572172,-70.23846735986525,-75.33555176486212,-65.25420839481197
0.41,0.41,7544.656481481482,-81.4112622107001,-98.94412651229301,-73.25160070264883,-71.46368060045388,-73.41646308769904,-64.70390262477963
0.42,0.42,7544.656481481482,-84.4276009201358,-101.01863190017137,-78.1432816375227,-76.0574495912439,-74.92525578199027,-84.51238288550167
0.43,0.43,7544.656481481482,-90.79523195531483,-103.84384178413471,-85.09931327986718,-73.39777047584862,-79.96629684839002,-67.33484594055929
0.44,0.44,7544.656481481482,-98.55046299014265,-100.63463888101323,-93.17183193177934,-90.3432811643227,-89.85184074725419,-76.74425652017669
0.45,0.45,7544.656481481482,-93.80745529577486,-104.47733241474809,-86.96546568990617,-68.52514993852124,-85.20747256746785,-86.04028718697651
0.46,0.46,7544.656481481482,-91.77813016878407,-105.00811526937508,-90.29638149245538,-80.90730000055655,-80.23696641462473,-88.73089049307575
0.47,0.47,7544.656481481482,-98.91618289765465,-114.0281302614137,-92.08486798357332,-92.35821140844202,-89.52035751346823,-85.3142130048819
0.48,0.48,7544.656481481482,-98.87657659655662,-128.33140847011728,-93.44082924956581,-89.09681884791237,-87.8082714644321,-75.56339340938757
0.49,0.49,7544.656481481482,-108.3339326398973,-140.61521559832624,-97.25647043916162,-95.94861128803734,-99.6542971482566,-107.9921090539174
0.5,0.5,7544.656481481482,-113.45775630895368,-128.45985055783217,-99.28562561358449,-108.06852680353609,-99.04997307648557,-87.94146949925374
0.51,0.51,7544.656481481482,-105.25549348568465,-152.06666023563537,-95.90459252363891,-91.17644841354539,-89.8625027169704,-113.31087402206742
