m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,2962.6453703703705,97.61042306006112,238.18585120815428
0.01,0.01,0.25,8.573388203017834e-07,2962.6453703703705,91.68790515518643,238.0409727458569
0.02,0.02,0.25,8.573388203017834e-07,2962.6453703703705,94.16627742851493,222.705198663368
0.03,0.03,0.25,8.573388203017834e-07,2962.6453703703705,88.4883540276655,212.33020898969318
0.04,0.04,0.25,8.573388203017834e-07,2962.6453703703705,92.32649201199501,237.87458560729925
0.05,0.05,0.25,8.573388203017834e-07,2962.6453703703705,92.14481942302241,232.0197129428445
0.06,0.06,0.25,8.573388203017834e-07,2962.6453703703705,90.84667418178087,221.22537728156894
0.07,0.07,0.25,8.573388203017834e-07,2962.6453703703705,93.27683313014873,229.44045371058797
0.08,0.08,0.25,8.573388203017834e-07,2962.6453703703705,89.56591207602426,237.5785757307114
0.09,0.09,0.25,8.573388203017834e-07,2962.6453703703705,94.31190873436279,240.08646173994563
0.1,0.1,0.25,8.573388203017834e-07,2962.6453703703705,96.65323293315654,232.28392286815165
0.11,0.11,0.25,8.573388203017834e-07,2962.6453703703705,99.22951619263094,230.8249038675411
0.12,0.12,0.25,8.573388203017834e-07,2962.6453703703705,84.68145338386992,241.66025959390797
0.13,0.13,0.25,8.573388203017834e-07,2962.6453703703705,92.6670262111811,246.325810283265
0.14,0.14,0.25,8.573388203017834e-07,2962.6453703703705,93.5604841875714,225.60375282326393
0.15,0.15,0.25,8.573388203017834e-07,2962.6453703703705,90.70697053494825,242.1093867780658
0.16,0.16,0.25,8.573388203017834e-07,2962.6453703703705,93.26103920470888,242.97000257270676
0.17,0.17,0.25,8.573388203017834e-07,2962.6453703703705,99.05196122962137,222.25193725642467
0.18,0.18,0.25,8.573388203017834e-07,2962.6453703703705,101.61533687935807,225.25478851884102
0.19,0.19,0.25,8.573388203017834e-07,2962.6453703703705,88.17715866376022,228.9195131827244
0.2,0.2,0.25,8.573388203017834e-07,2962.6453703703705,94.78005468926064,248.62129120316274
0.21,0.21,0.25,8.573388203017834e-07,2962.6453703703705,86.10969375096626,227.14046229774254
0.22,0.22,0.25,8.573388203017834e-07,2962.6453703703705,89.32651873587758,229.98578402125742
0.23,0.23,0.25,8.573388203017834e-07,2962.6453703703705,95.65266340155736,237.41988202355563
