m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,8.573388203017834e-07,2962.6453703703705,6954.561601972131,30589.709182741935
0.01,0.01,0.2477855577623473,8.487654320987657e-07,2962.6453703703705,6788.95408219806,31873.811048241816
0.02,0.02,0.24556620088507244,8.40192043895748e-07,2962.6453703703705,7574.287707707474,36561.416385232435
0.03,0.03,0.2433419075049566,8.316186556927297e-07,2962.6453703703705,9083.336374913255,32446.932754078833
0.04,0.04,0.2411126556125652,8.230452674897117e-07,2962.6453703703705,8070.795252076567,33354.37396374439
0.05,0.05,0.23887842305094018,8.144718792866941e-07,2962.6453703703705,6857.779753188727,34038.65448203247
0.06,0.06,0.23663918751428026,8.058984910836764e-07,2962.6453703703705,9059.81233701087,34698.26217014826
0.07,0.07,0.23439492654660346,7.973251028806586e-07,2962.6453703703705,9462.931782906757,37689.34440397349
0.08,0.08,0.2321456175403962,7.887517146776405e-07,2962.6453703703705,7134.644401688655,36530.97410408038
0.09,0.09,0.229891237735247,7.801783264746228e-07,2962.6453703703705,8315.418601217523,33860.79626654257
0.1,0.1,0.2276317642164649,7.716049382716049e-07,2962.6453703703705,8243.596820793877,32850.64427380244
0.11,0.11,0.22536717391368066,7.630315500685872e-07,2962.6453703703705,10405.299176475439,36117.04619090265
0.12,0.12,0.22309744359943545,7.544581618655695e-07,2962.6453703703705,10598.378636287493,36596.05816748032
0.13,0.13,0.22082254988774924,7.458847736625516e-07,2962.6453703703705,10540.970403668043,38270.315028538054
0.14,0.14,0.21854246923267656,7.373113854595336e-07,2962.6453703703705,9929.802458666854,42737.51564411281
0.15,0.15,0.216257177926844,7.287379972565157e-07,2962.6453703703705,10002.90200462017,43180.70720186849
0.16,0.16,0.21396665209996982,7.201646090534981e-07,2962.6453703703705,9761.645402732547,41799.19946076487
0.17,0.17,0.21167086771737015,7.115912208504803e-07,2962.6453703703705,10269.551984871501,42780.707559981216
0.18,0.18,0.2093698005784441,7.030178326474626e-07,2962.6453703703705,10611.2819872276,42988.041530908406
0.19,0.19,0.20706342631514338,6.944444444444448e-07,2962.6453703703705,9414.929652206256,40738.987706670974
0.2,0.2,0.20475172039042486,6.858710562414266e-07,2962.6453703703705,9784.470018374754,43388.019662434
0.21,0.21,0.20243465809668282,6.772976680384088e-07,2962.6453703703705,12561.801531778572,41165.217286057705
0.22,0.22,0.20011221455416608,6.68724279835391e-07,2962.6453703703705,12671.156210454763,43657.62802440476
0.23,0.23,0.19778436470937377,6.601508916323734e-07,2962.6453703703705,10767.371029483334,50891.59070071823
0.24,0.24,0.19545108333343392,6.515775034293553e-07,2962.6453703703705,15499.32841395639,44242.651855806056
0.25,0.25,0.19311234502046387,6.430041152263374e-07,2962.6453703703705,11280.584024875288,51822.86719152071
0.26,0.26,0.19076812418590924,6.344307270233195e-07,2962.6453703703705,13416.023200490583,51751.58899189021
0.27,0.27,0.18841839506486482,6.258573388203017e-07,2962.6453703703705,12814.980155154013,51440.13690506386
0.28,0.28,0.18606313171037664,6.172839506172841e-07,2962.6453703703705,14770.995198797094,49396.009570521266
0.29,0.29,0.18370230799172074,6.08710562414266e-07,2962.6453703703705,16581.439907298227,54141.481181861986
0.3,0.3,0.1813358975926658,6.001371742112485e-07,2962.6453703703705,14726.104304074666,52513.200427726246
0.31,0.31,0.17896387400971187,5.915637860082305e-07,2962.6453703703705,15096.345113532241,51486.100378901065
0.32,0.32,0.17658621055030907,5.829903978052127e-07,2962.6453703703705,15323.66936646263,65974.42366293988
0.33,0.33,0.1742028803310564,5.744170096021948e-07,2962.6453703703705,13478.047745992057,61762.06611570442
0.34,0.34,0.17181385627587667,5.65843621399177e-07,2962.6453703703705,12873.396089390733,57973.7135340603
0.35,0.35,0.16941911111417207,5.572702331961592e-07,2962.6453703703705,19129.117928821794,67771.57788169575
0.36,0.36,0.16701861737895565,5.486968449931414e-07,2962.6453703703705,20343.5989676637,59115.18090186277
0.37,0.37,0.16461234740496086,5.401234567901236e-07,2962.6453703703705,15580.819553255596,53384.49402515408
0.38,0.38,0.1622002733267292,5.315500685871056e-07,2962.6453703703705,20084.395112308754,67339.85077257997
0.39,0.39,0.159782367076674,5.22976680384088e-07,2962.6453703703705,20839.574882845438,67877.74759622704
0.4,0.4,0.1573586003831194,5.144032921810701e-07,2962.6453703703705,20866.542873592087,59882.99775534327
0.41,0.41,0.1549289447683191,5.058299039780522e-07,2962.6453703703705,19229.71040097436,71192.01380986636
0.42,0.42,0.15249337154644674,4.972565157750344e-07,2962.6453703703705,20516.103098756103,66602.90679349632
0.43,0.43,0.15005185182156497,4.886831275720165e-07,2962.6453703703705,20559.66019678678,73862.99359313158
0.44,0.44,0.14760435648556838,4.801097393689987e-07,2962.6453703703705,18400.682588676766,80393.85130957885
0.45,0.45,0.14515085621610022,4.71536351165981e-07,2962.6453703703705,18674.19487766046,78202.1521394982
0.46,0.46,0.14269132147444627,4.629629629629629e-07,2962.6453703703705,25357.470822923042,83203.30076656399
0.47,0.47,0.14022572250339935,4.543895747599452e-07,2962.6453703703705,21398.396522303843,81290.46334908948
0.48,0.48,0.13775402932510028,4.458161865569275e-07,2962.6453703703705,27428.77434978752,93300.02428771056
0.49,0.49,0.13527621173885068,4.372427983539095e-07,2962.6453703703705,26204.786715674727,87980.28822938626
0.5,0.5,0.13279223931889822,4.286694101508917e-07,2962.6453703703705,31534.05863271011,90457.94991352578
0.51,0.51,0.1303020814121958,4.20096021947874e-07,2962.6453703703705,31928.65749549296,80253.79087427625
0.52,0.52,0.12780570713613162,4.1152263374485583e-07,2962.6453703703705,30422.383214264424,100864.39123517853
0.53,0.53,0.12530308537623064,4.029492455418382e-07,2962.6453703703705,30876.25886934199,100847.34459015915
0.54,0.54,0.12279418478382828,3.943758573388202e-07,2962.6453703703705,30354.353393501624,101018.4975656586
0.55,0.55,0.12027897377371442,3.8580246913580245e-07,2962.6453703703705,35398.856133595364,117830.691573862
0.56,0.56,0.11775742052174641,3.7722908093278476e-07,2962.6453703703705,33224.00063677498,104989.9657449485
0.57,0.57,0.11522949296243468,3.6865569272976696e-07,2962.6453703703705,28327.493880063957,110733.41792223888
0.58,0.58,0.11269515878649454,3.6008230452674906e-07,2962.6453703703705,33671.371834689344,95157.81005854976
0.59,0.59,0.11015438543836982,3.515089163237313e-07,2962.6453703703705,39904.06904765805,132344.52802743277
0.6,0.6,0.10760714011372241,3.429355281207133e-07,2962.6453703703705,40641.78992840137,142793.02748405718
0.61,0.61,0.10505338975689196,3.343621399176955e-07,2962.6453703703705,33644.42127161888,142255.87595451105
0.62,0.62,0.10249310105832164,3.2578875171467767e-07,2962.6453703703705,39850.47926786709,100014.67212115292
0.63,0.63,0.09992624045195068,3.1721536351165977e-07,2962.6453703703705,46624.89252362202,151095.54338442525
0.64,0.64,0.09735277411257505,3.0864197530864203e-07,2962.6453703703705,60909.44159227,126365.48162153989
0.65,0.65,0.09477266795317243,3.0006858710562424e-07,2962.6453703703705,66041.26021842645,148042.70017811633
0.66,0.66,0.09218588762219261,2.9149519890260634e-07,2962.6453703703705,45410.68324687539,141452.59158239615
0.67,0.67,0.08959239850081431,2.829218106995885e-07,2962.6453703703705,78014.96078069753,157751.58870939945
0.68,0.68,0.08699216570016496,2.743484224965706e-07,2962.6453703703705,59413.140796105035,160419.02804280043
0.69,0.69,0.08438515405850369,2.6577503429355285e-07,2962.6453703703705,67742.47443736071,176242.43813301245
0.7,0.7,0.08177132813837003,2.572016460905351e-07,2962.6453703703705,62333.37689253022,154594.48199737282
0.71,0.71,0.07915065222369187,2.486282578875172e-07,2962.6453703703705,65275.51037046052,190213.9015885973
0.72,0.72,0.07652309031685876,2.4005486968449936e-07,2962.6453703703705,76354.34608101289,180410.84870992147
0.73,0.73,0.0738886061357543,2.3148148148148146e-07,2962.6453703703705,101113.25075281196,227917.16086810446
0.74,0.74,0.07124716311074951,2.2290809327846374e-07,2962.6453703703705,95860.3352505997,225129.6839055348
0.75,0.75,0.06859872438165848,2.1433470507544584e-07,2962.6453703703705,90787.47872450783,229827.30530525016
0.76,0.76,0.0659432527946505,2.0576131687242791e-07,2962.6453703703705,131807.83788410042,243233.89150452553
0.77,0.77,0.0632807108991239,1.971879286694101e-07,2962.6453703703705,139932.36041927288,269778.7039439067
0.78,0.78,0.060611060944536714,1.8861454046639238e-07,2962.6453703703705,150364.3328513301,303827.9009075519
0.79,0.79,0.057934264877194094,1.8004115226337448e-07,2962.6453703703705,125043.41845847726,294941.1752463462
0.8,0.8,0.055250284336995255,1.714677640603566e-07,2962.6453703703705,191559.5791159538,326793.5575836672
0.81,0.81,0.05255908065413429,1.628943758573388e-07,2962.6453703703705,175311.97083240963,387295.3309448863
0.82,0.82,0.04986061484575672,1.5432098765432104e-07,2962.6453703703705,202440.92325225487,414254.8072935871
0.83,0.83,0.0471548476125726,1.4574759945130317e-07,2962.6453703703705,316855.0688009682,408043.25387839257
0.84,0.84,0.04444173933542095,1.3717421124828537e-07,2962.6453703703705,233510.09239181931,466811.6462009575
0.85,0.85,0.04172125007179035,1.2860082304526755e-07,2962.6453703703705,298299.4202957013,480070.92191992304
0.86,0.86,0.03899333955228991,1.2002743484224968e-07,2962.6453703703705,413825.16887693806,639447.8162718377
0.87,0.87,0.03625796717707224,1.1145404663923187e-07,2962.6453703703705,326299.11231291504,565656.7842159015
0.88,0.88,0.03351509201220893,1.0288065843621396e-07,2962.6453703703705,382424.17312022584,820790.9710196893
0.89,0.89,0.03076467278601463,9.430727023319619e-08,2962.6453703703705,462098.1738261176,829500.9277162261
0.9,0.9,0.028006667885320094,8.57338820301783e-08,2962.6453703703705,673943.5928096456,933686.8332338007
0.91,0.91,0.025241035351696132,7.71604938271605e-08,2962.6453703703705,757639.1031728828,1259759.237223836
0.92,0.92,0.022467732877621736,6.858710562414263e-08,2962.6453703703705,1333948.3440731764,1357978.6144716851
0.93,0.93,0.019686717802602345,6.001371742112481e-08,2962.6453703703705,1411247.34602439,1783540.9856436807
0.94,0.94,0.016897947109231676,5.144032921810705e-08,2962.6453703703705,2790455.6090941695,1910769.8455064867
0.95,0.95,0.014101377419198561,4.286694101508921e-08,2962.6453703703705,3334311.3858108483,3143173.856670309
0.96,0.96,0.011296964989239763,3.429355281207137e-08,2962.6453703703705,31416628.361386936,4649046.211453758
0.97,0.97,0.008484665707033866,2.5720164609053526e-08,2962.6453703703705,55044943.55093731,24852578.431380864
0.98,0.98,0.005664435087037312,1.7146776406035685e-08,2962.6453703703705,173798816.50437167,55692885.08583772
0.99,0.99,0.002836228266263706,8.573388203017842e-09,2962.6453703703705,31377875484.063683,12224036275839.842
0.1,0.2,1.204751720390425,7.716049382716049e-07,2962.6453703703705,308.21469607033606,2152.682635097594
0.1,0.3,2.181335897592665,7.716049382716049e-07,2962.6453703703705,102.46069508434262,759.707396391265
0.1,0.4,3.1573586003831196,7.716049382716049e-07,2962.6453703703705,57.37495712147327,371.166709599627
0.1,0.5,4.132792239318897,7.716049382716049e-07,2962.6453703703705,28.132789164442684,233.38834907283243
