m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,2962.6453703703705,10150.034928267936,31629.905023745006
0.01,0.01,0.25,8.573388203017834e-07,2962.6453703703705,7415.948550860593,31741.432422099162
0.02,0.02,0.25,8.573388203017834e-07,2962.6453703703705,7571.795818514581,27359.124920223385
0.03,0.03,0.25,8.573388203017834e-07,2962.6453703703705,8761.551702963425,29202.46927500832
0.04,0.04,0.25,8.573388203017834e-07,2962.6453703703705,6837.595953533746,30483.80421758867
0.05,0.05,0.25,8.573388203017834e-07,2962.6453703703705,8515.428830041868,28896.79759241227
0.06,0.06,0.25,8.573388203017834e-07,2962.6453703703705,8101.445474835069,28369.10491797646
0.07,0.07,0.25,8.573388203017834e-07,2962.6453703703705,7197.32978852186,30598.55491570648
0.08,0.08,0.25,8.573388203017834e-07,2962.6453703703705,6426.846867514714,30812.582297435623
0.09,0.09,0.25,8.573388203017834e-07,2962.6453703703705,9401.919921316374,29345.942812072124
0.1,0.1,0.25,8.573388203017834e-07,2962.6453703703705,8582.248690951837,32106.53799513682
0.11,0.11,0.25,8.573388203017834e-07,2962.6453703703705,7290.496301281352,27986.757106956313
0.12,0.12,0.25,8.573388203017834e-07,2962.6453703703705,6267.001796575769,33559.51700641321
0.13,0.13,0.25,8.573388203017834e-07,2962.6453703703705,7350.373529578923,31758.72895658106
0.14,0.14,0.25,8.573388203017834e-07,2962.6453703703705,7696.383934785409,29542.92483436085
0.15,0.15,0.25,8.573388203017834e-07,2962.6453703703705,7750.924209884495,33217.26914714316
0.16,0.16,0.25,8.573388203017834e-07,2962.6453703703705,8473.018082478167,30732.922394210014
0.17,0.17,0.25,8.573388203017834e-07,2962.6453703703705,9604.395706904088,28800.409939611753
0.18,0.18,0.25,8.573388203017834e-07,2962.6453703703705,9428.789003846614,30501.602659647237
0.19,0.19,0.25,8.573388203017834e-07,2962.6453703703705,7932.179706515495,29469.091948637335
0.2,0.2,0.25,8.573388203017834e-07,2962.6453703703705,8656.85195558132,32673.197167256458
0.21,0.21,0.25,8.573388203017834e-07,2962.6453703703705,5754.079080628099,27342.508642734494
0.22,0.22,0.25,8.573388203017834e-07,2962.6453703703705,7021.874227199338,28469.410267379324
0.23,0.23,0.25,8.573388203017834e-07,2962.6453703703705,8222.715213789621,31089.884086648522
0.24,0.24,0.25,8.573388203017834e-07,2962.6453703703705,7821.32398614072,30998.03832251662
0.25,0.25,0.25,8.573388203017834e-07,2962.6453703703705,6881.103746170045,33513.52766909442
0.26,0.26,0.25,8.573388203017834e-07,2962.6453703703705,7621.826011692711,30866.99620394176
0.27,0.27,0.25,8.573388203017834e-07,2962.6453703703705,7627.293195845575,31166.865979733917
0.28,0.28,0.25,8.573388203017834e-07,2962.6453703703705,7086.558055564513,31543.925450038263
0.29,0.29,0.25,8.573388203017834e-07,2962.6453703703705,7936.486811309504,30936.778120822546
0.3,0.3,0.25,8.573388203017834e-07,2962.6453703703705,7696.63049113187,30336.470430696798
0.31,0.31,0.25,8.573388203017834e-07,2962.6453703703705,8002.695976962304,32346.921358132466
0.32,0.32,0.25,8.573388203017834e-07,2962.6453703703705,8009.24457767162,34617.19619980834
0.33,0.33,0.25,8.573388203017834e-07,2962.6453703703705,10398.947110457004,32233.914843958843
0.34,0.34,0.25,8.573388203017834e-07,2962.6453703703705,7803.2995758743555,30727.491763159887
0.35,0.35,0.25,8.573388203017834e-07,2962.6453703703705,8037.8272293701875,31445.67874612277
0.36,0.36,0.25,8.573388203017834e-07,2962.6453703703705,8909.556700173842,30131.675994734884
0.37,0.37,0.25,8.573388203017834e-07,2962.6453703703705,8008.91426147914,28454.147370394287
0.38,0.38,0.25,8.573388203017834e-07,2962.6453703703705,7441.554997436482,33240.05720484533
0.39,0.39,0.25,8.573388203017834e-07,2962.6453703703705,7604.711863298439,30401.550971101904
0.4,0.4,0.25,8.573388203017834e-07,2962.6453703703705,7667.906301460628,27860.999952195456
0.41,0.41,0.25,8.573388203017834e-07,2962.6453703703705,8331.084687790839,31878.371133610155
0.42,0.42,0.25,8.573388203017834e-07,2962.6453703703705,8888.765212440132,28789.91857708493
0.43,0.43,0.25,8.573388203017834e-07,2962.6453703703705,7949.405616861585,28634.064064327187
0.44,0.44,0.25,8.573388203017834e-07,2962.6453703703705,6991.833832411521,30414.741809675645
0.45,0.45,0.25,8.573388203017834e-07,2962.6453703703705,7307.365521325577,31081.071924249827
0.46,0.46,0.25,8.573388203017834e-07,2962.6453703703705,8251.026820344885,31743.355051569983
0.47,0.47,0.25,8.573388203017834e-07,2962.6453703703705,8155.770662286371,31082.393803999392
0.48,0.48,0.25,8.573388203017834e-07,2962.6453703703705,8995.086093474807,28138.778492648828
0.49,0.49,0.25,8.573388203017834e-07,2962.6453703703705,7422.749908965869,32020.042511298707
0.5,0.5,0.25,8.573388203017834e-07,2962.6453703703705,6356.712410587539,33899.408551197885
0.51,0.51,0.25,8.573388203017834e-07,2962.6453703703705,7471.266175865252,31894.513857790436
0.52,0.52,0.25,8.573388203017834e-07,2962.6453703703705,8681.392609563263,36702.74717879586
0.53,0.53,0.25,8.573388203017834e-07,2962.6453703703705,6660.177492132952,32068.226830534943
0.54,0.54,0.25,8.573388203017834e-07,2962.6453703703705,8010.640850743656,30292.670224371137
0.55,0.55,0.25,8.573388203017834e-07,2962.6453703703705,7771.709508490034,30053.617975831297
0.56,0.56,0.25,8.573388203017834e-07,2962.6453703703705,6092.548588504091,28549.419124559696
0.57,0.57,0.25,8.573388203017834e-07,2962.6453703703705,9396.167267785455,30442.393499860762
0.58,0.58,0.25,8.573388203017834e-07,2962.6453703703705,7493.828277149534,29646.46127432157
0.59,0.59,0.25,8.573388203017834e-07,2962.6453703703705,7522.403577165345,31374.040163285663
0.6,0.6,0.25,8.573388203017834e-07,2962.6453703703705,6862.268330092632,27410.56445750791
0.61,0.61,0.25,8.573388203017834e-07,2962.6453703703705,7921.36135870288,30428.792736257612
0.62,0.62,0.25,8.573388203017834e-07,2962.6453703703705,8211.170919063405,28886.921746734977
0.63,0.63,0.25,8.573388203017834e-07,2962.6453703703705,6820.332336377652,33325.04003305152
0.64,0.64,0.25,8.573388203017834e-07,2962.6453703703705,7307.693618881023,35321.14275813998
0.65,0.65,0.25,8.573388203017834e-07,2962.6453703703705,6901.367030327666,34454.094292188005
0.66,0.66,0.25,8.573388203017834e-07,2962.6453703703705,8463.683111985014,29148.698185986657
0.67,0.67,0.25,8.573388203017834e-07,2962.6453703703705,6258.35557891557,29862.345521336327
0.68,0.68,0.25,8.573388203017834e-07,2962.6453703703705,7944.002285063913,35638.4522474255
0.69,0.69,0.25,8.573388203017834e-07,2962.6453703703705,7523.198984932934,29536.37352102132
0.7,0.7,0.25,8.573388203017834e-07,2962.6453703703705,6975.28792571291,31138.282918115918
0.71,0.71,0.25,8.573388203017834e-07,2962.6453703703705,6923.692069183661,28689.67271082742
0.72,0.72,0.25,8.573388203017834e-07,2962.6453703703705,8074.058574724774,31429.031649431046
0.73,0.73,0.25,8.573388203017834e-07,2962.6453703703705,9815.54121703435,29483.149588539523
0.74,0.74,0.25,8.573388203017834e-07,2962.6453703703705,7905.428572545855,34267.064152694955
0.75,0.75,0.25,8.573388203017834e-07,2962.6453703703705,7069.739634271135,31812.362413506664
0.76,0.76,0.25,8.573388203017834e-07,2962.6453703703705,7531.312447291406,31714.512989618557
0.77,0.77,0.25,8.573388203017834e-07,2962.6453703703705,7758.394673664813,27558.682796791636
0.78,0.78,0.25,8.573388203017834e-07,2962.6453703703705,7679.794311049578,31346.853261661076
0.79,0.79,0.25,8.573388203017834e-07,2962.6453703703705,6039.995556171231,32676.148882581954
0.8,0.8,0.25,8.573388203017834e-07,2962.6453703703705,6992.076088817641,30944.63697706325
0.81,0.81,0.25,8.573388203017834e-07,2962.6453703703705,8611.849438563488,28522.814865053035
0.82,0.82,0.25,8.573388203017834e-07,2962.6453703703705,6770.683392797162,29474.481349797832
0.83,0.83,0.25,8.573388203017834e-07,2962.6453703703705,6623.447025203768,24808.520432629404
0.84,0.84,0.25,8.573388203017834e-07,2962.6453703703705,8068.817032242004,30814.184958759106
0.85,0.85,0.25,8.573388203017834e-07,2962.6453703703705,10151.477790091429,32317.084787747215
0.86,0.86,0.25,8.573388203017834e-07,2962.6453703703705,7483.46117222016,30287.178840017346
0.87,0.87,0.25,8.573388203017834e-07,2962.6453703703705,8196.843252369605,31384.42478138563
0.88,0.88,0.25,8.573388203017834e-07,2962.6453703703705,7071.518232258211,28877.88943227008
0.89,0.89,0.25,8.573388203017834e-07,2962.6453703703705,8285.52279936199,30546.5577012126
0.9,0.9,0.25,8.573388203017834e-07,2962.6453703703705,9174.786780956003,31606.174289547966
0.91,0.91,0.25,8.573388203017834e-07,2962.6453703703705,10235.368728629379,36379.151704429896
0.92,0.92,0.25,8.573388203017834e-07,2962.6453703703705,7104.394547058449,33106.08803378552
0.93,0.93,0.25,8.573388203017834e-07,2962.6453703703705,8395.164424869257,28767.676730436073
0.94,0.94,0.25,8.573388203017834e-07,2962.6453703703705,6747.198738164331,31380.336534551843
0.95,0.95,0.25,8.573388203017834e-07,2962.6453703703705,6755.956529393081,33029.5219712811
0.96,0.96,0.25,8.573388203017834e-07,2962.6453703703705,6883.083790873498,30652.791464970094
0.97,0.97,0.25,8.573388203017834e-07,2962.6453703703705,8376.993321272294,32642.345400047132
0.98,0.98,0.25,8.573388203017834e-07,2962.6453703703705,9303.514075820605,27219.290709524776
0.99,0.99,0.25,8.573388203017834e-07,2962.6453703703705,7949.840596582565,33154.22536706995
0.1,0.2,0.25,8.573388203017834e-07,2962.6453703703705,9140.130293507831,33851.14685249776
0.1,0.3,0.25,8.573388203017834e-07,2962.6453703703705,8001.680226089807,29684.467858688575
0.1,0.4,0.25,8.573388203017834e-07,2962.6453703703705,6874.12314946774,33745.40058428641
0.1,0.5,0.25,8.573388203017834e-07,2962.6453703703705,8314.405171109618,32934.9201405245
0.1,0.6,0.25,8.573388203017834e-07,2962.6453703703705,8985.6030823556,32094.62835979246
0.1,0.7,0.25,8.573388203017834e-07,2962.6453703703705,8022.994558624375,36874.2849162766
0.1,0.8,0.25,8.573388203017834e-07,2962.6453703703705,8519.822870725911,28528.092020590728
0.1,0.9,0.25,8.573388203017834e-07,2962.6453703703705,9585.473315868954,28914.47868720028
0.2,0.3,0.25,8.573388203017834e-07,2962.6453703703705,9027.504738954327,31856.720810434883
0.2,0.4,0.25,8.573388203017834e-07,2962.6453703703705,8215.146357791931,26207.730717618415
0.2,0.5,0.25,8.573388203017834e-07,2962.6453703703705,6645.224563709021,30003.088023125663
0.2,0.6,0.25,8.573388203017834e-07,2962.6453703703705,6976.3870440013,33258.85276635303
0.2,0.7,0.25,8.573388203017834e-07,2962.6453703703705,8660.070767502295,31205.59038610618
0.2,0.8,0.25,8.573388203017834e-07,2962.6453703703705,7355.524651599566,30340.950705308383
0.2,0.9,0.25,8.573388203017834e-07,2962.6453703703705,6809.551401620704,31838.468739320964
0.3,0.4,0.25,8.573388203017834e-07,2962.6453703703705,7826.349935846377,29536.42663636099
0.3,0.5,0.25,8.573388203017834e-07,2962.6453703703705,8477.2886357871,30915.14552164005
0.3,0.6,0.25,8.573388203017834e-07,2962.6453703703705,7838.149241691243,35549.211282621494
0.3,0.7,0.25,8.573388203017834e-07,2962.6453703703705,8159.258559636994,34352.26908245896
0.3,0.8,0.25,8.573388203017834e-07,2962.6453703703705,7400.589821299799,27579.205309216777
0.3,0.9,0.25,8.573388203017834e-07,2962.6453703703705,11088.581537817923,33984.21963281888
0.4,0.5,0.25,8.573388203017834e-07,2962.6453703703705,7085.801586577745,29869.038086924418
0.4,0.6,0.25,8.573388203017834e-07,2962.6453703703705,7126.485905863445,30956.836593432985
0.4,0.7,0.25,8.573388203017834e-07,2962.6453703703705,8949.782666919158,32196.248890287792
0.4,0.8,0.25,8.573388203017834e-07,2962.6453703703705,8937.255100412234,32170.034817381176
0.4,0.9,0.25,8.573388203017834e-07,2962.6453703703705,6459.580916298081,30503.373767702615
0.5,0.6,0.25,8.573388203017834e-07,2962.6453703703705,9085.496322191573,33317.378388163896
0.5,0.7,0.25,8.573388203017834e-07,2962.6453703703705,7024.392650471565,30411.53853285273
0.5,0.8,0.25,8.573388203017834e-07,2962.6453703703705,6988.715517567944,33333.69180024204
0.5,0.9,0.25,8.573388203017834e-07,2962.6453703703705,7296.44383789256,31587.619702444154
0.6,0.7,0.25,8.573388203017834e-07,2962.6453703703705,8111.707235131118,33703.82432909607
0.6,0.8,0.25,8.573388203017834e-07,2962.6453703703705,7648.336795621733,27930.878150592463
0.6,0.9,0.25,8.573388203017834e-07,2962.6453703703705,8275.140809524455,29881.469761322696
0.7,0.8,0.25,8.573388203017834e-07,2962.6453703703705,8423.067932775542,32465.916418393826
0.7,0.9,0.25,8.573388203017834e-07,2962.6453703703705,6796.111333607204,29118.377640130577
0.8,0.9,0.25,8.573388203017834e-07,2962.6453703703705,6115.45372772228,29319.614045220296
