m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,2962.6453703703705,98.40247518170186,227.1749353765816
0.01,0.01,0.25,8.573388203017834e-07,2962.6453703703705,90.8217141585325,234.1982375200084
0.02,0.02,0.25,8.573388203017834e-07,2962.6453703703705,91.61118740783175,241.91989592924995
0.03,0.03,0.25,8.573388203017834e-07,2962.6453703703705,91.5892553860105,240.861127286424
0.04,0.04,0.25,8.573388203017834e-07,2962.6453703703705,97.39848473056354,229.56231634390687
0.05,0.05,0.25,8.573388203017834e-07,2962.6453703703705,95.61820959874292,248.66313644902453
0.06,0.06,0.25,8.573388203017834e-07,2962.6453703703705,99.25877232877619,252.3408707047601
0.07,0.07,0.25,8.573388203017834e-07,2962.6453703703705,102.09625131870035,252.24631559209246
0.08,0.08,0.25,8.573388203017834e-07,2962.6453703703705,91.49054126331473,250.0149353595272
0.09,0.09,0.25,8.573388203017834e-07,2962.6453703703705,107.8605692839507,270.8980497046501
0.1,0.1,0.25,8.573388203017834e-07,2962.6453703703705,104.09310841918223,273.9408972272313
0.11,0.11,0.25,8.573388203017834e-07,2962.6453703703705,109.08338397228974,282.1091140917646
0.12,0.12,0.25,8.573388203017834e-07,2962.6453703703705,107.01171298648073,273.64676227267586
0.13,0.13,0.25,8.573388203017834e-07,2962.6453703703705,106.66377330814778,260.9826065652051
0.14,0.14,0.25,8.573388203017834e-07,2962.6453703703705,108.47741103356789,263.66568828654937
0.15,0.15,0.25,8.573388203017834e-07,2962.6453703703705,110.66210549783624,276.4311230130446
0.16,0.16,0.25,8.573388203017834e-07,2962.6453703703705,105.02892553645829,284.97948942171735
0.17,0.17,0.25,8.573388203017834e-07,2962.6453703703705,114.379542249451,282.4954619235747
0.18,0.18,0.25,8.573388203017834e-07,2962.6453703703705,110.58458062773671,292.23067793158896
0.19,0.19,0.25,8.573388203017834e-07,2962.6453703703705,118.23991943358004,301.9201208858237
