m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,8.573388203017834e-07,2962.6453703703705,8065.062849579015,35099.963624976255
0.01,0.01,0.252231843108818,8.659988083856399e-07,2962.6453703703705,5212.629296163214,31369.755571550104
0.02,0.02,0.2545041109790552,8.748355309201871e-07,2962.6453703703705,10159.159432082586,29121.705385053163
0.03,0.03,0.2568179179810562,8.838544539193642e-07,2962.6453703703705,9604.200883842668,31398.52208816969
0.04,0.04,0.2591744200495381,8.930612711476911e-07,2962.6453703703705,7301.620878394201,35394.57758064692
0.05,0.05,0.26157481665031834,9.024619161071406e-07,2962.6453703703705,8582.580762804142,29883.943702165696
0.06,0.06,0.2640203528603893,9.120625747891314e-07,2962.6453703703705,8653.856299418065,32953.22899276527
0.07,0.07,0.26651232156907717,9.218696992492294e-07,2962.6453703703705,7216.437781066417,34004.615927454004
0.08,0.08,0.2690520658086282,9.318900220671559e-07,2962.6453703703705,9256.754226194882,31172.978253612906
0.09,0.09,0.27164098122324504,9.421305717602017e-07,2962.6453703703705,6859.230310894196,27914.52051719251
0.1,0.1,0.27428051868631076,9.525986892242036e-07,2962.6453703703705,8083.707222668986,32260.27692545436
0.11,0.11,0.2769721870763485,9.63302045282903e-07,2962.6453703703705,7562.585790578503,32802.61819898216
0.12,0.12,0.2797175562231261,9.742486594338447e-07,2962.6453703703705,7725.933733647235,33429.709047239914
0.13,0.13,0.2825182600362664,9.85446919887107e-07,2962.6453703703705,8212.566570456138,31720.356692699443
0.14,0.14,0.28537599982977657,9.969056050020738e-07,2962.6453703703705,7738.04543050394,37053.98331205469
0.15,0.15,0.2882925478570475,1.0086339062373921e-06,2962.6453703703705,8100.017913840871,36152.7951583041
0.16,0.16,0.2912697510721274,1.0206414527402187e-06,2962.6453703703705,9833.777699021175,34952.801588885115
0.17,0.17,0.29430953513446373,1.032938337712992e-06,2962.6453703703705,9708.722372323498,36322.608272797515
0.18,0.18,0.29741390867581596,1.045535146709492e-06,2962.6453703703705,8642.084357401685,30464.86247668139
0.19,0.19,0.3005849678497158,1.0584429880268933e-06,2962.6453703703705,8124.2246705367825,30859.612925061527
0.2,0.2,0.30382490118569716,1.0716735253772291e-06,2962.6453703703705,6946.3549213059205,36032.58100266877
0.21,0.21,0.30713599477254494,1.0852390130402323e-06,2962.6453703703705,8646.329940561474,37603.90164301435
0.22,0.22,0.31052063779706046,1.099152333720235e-06,2962.6453703703705,8529.828135810758,32838.502654039636
0.23,0.23,0.3139813284673266,1.1134270393529656e-06,2962.6453703703705,8100.288602585322,41638.164429395125
0.24,0.24,0.3175206803522031,1.1280773951339255e-06,2962.6453703703705,7138.1800620369295,34670.15467199503
0.25,0.25,0.3211414291718321,1.1431184270690443e-06,2962.6453703703705,7432.078873961523,37417.82943002404
0.26,0.26,0.3248464400773246,1.1585659733807882e-06,2962.6453703703705,10002.765889929879,33697.353586966194
0.27,0.27,0.3286387154615538,1.174436740139429e-06,2962.6453703703705,8674.17344063923,36147.526628183965
0.28,0.28,0.33252140334718094,1.190748361530255e-06,2962.6453703703705,7494.839242685736,33174.56047594526
0.29,0.29,0.336497806402695,1.2075194652137793e-06,2962.6453703703705,8724.540237284184,34053.816095476795
0.3,0.3,0.34057139164247785,1.2247697432882618e-06,2962.6453703703705,9387.87920806302,35886.976455753036
0.31,0.31,0.34474580087270945,1.2425200294228743e-06,2962.6453703703705,11740.443211659998,39864.70751864526
0.32,0.32,0.349024861951473,1.2607923827967401e-06,2962.6453703703705,7684.87716878814,37057.548891743536
0.33,0.33,0.35341260093871385,1.2796101795549006e-06,2962.6453703703705,9674.058979628473,38203.745609475925
0.34,0.34,0.357913255219926,1.2989982125784598e-06,2962.6453703703705,9390.12418023233,39682.97571977422
0.35,0.35,0.36253128769667475,1.3189828004642817e-06,2962.6453703703705,8829.979077991946,36791.362211569256
0.36,0.36,0.36727140214746473,1.3395919067215363e-06,2962.6453703703705,8195.52896412839,36392.459250264976
0.37,0.37,0.3721385598742083,1.3608552703202914e-06,2962.6453703703705,11511.51315750982,45381.39799587404
0.38,0.38,0.377137997762821,1.382804548873844e-06,2962.6453703703705,12220.266337659277,44472.56264702536
