m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,8.573388203017834e-07,2962.6453703703705,7740.829877786393,31141.101259060346
0.01,0.01,0.25,8.573388203017834e-07,2962.6453703703705,8645.557901728202,31848.782845295573
0.02,0.02,0.25,8.573388203017834e-07,2962.6453703703705,8482.02223825105,34992.78097555269
0.03,0.03,0.25,8.573388203017834e-07,2962.6453703703705,8871.965601814109,33690.622167945905
0.04,0.04,0.25,8.573388203017834e-07,2962.6453703703705,9131.813075454585,37414.76593506258
0.05,0.05,0.25,8.573388203017834e-07,2962.6453703703705,9458.786988014288,34276.38806489495
0.06,0.06,0.25,8.573388203017834e-07,2962.6453703703705,8967.385893550807,34356.99158819577
0.07,0.07,0.25,8.573388203017834e-07,2962.6453703703705,8870.95603072192,37675.18966580195
0.08,0.08,0.25,8.573388203017834e-07,2962.6453703703705,8169.331762225459,36304.75530743578
0.09,0.09,0.25,8.573388203017834e-07,2962.6453703703705,9744.548766985532,39676.70716826609
0.1,0.1,0.25,8.573388203017834e-07,2962.6453703703705,9790.474848176947,41893.75614756029
0.11,0.11,0.25,8.573388203017834e-07,2962.6453703703705,9452.93905649214,38724.17779151383
0.12,0.12,0.25,8.573388203017834e-07,2962.6453703703705,11431.504625677326,38362.163420287325
0.13,0.13,0.25,8.573388203017834e-07,2962.6453703703705,11328.53477518524,42406.27298668376
0.14,0.14,0.25,8.573388203017834e-07,2962.6453703703705,10044.038828650875,41924.178441248194
0.15,0.15,0.25,8.573388203017834e-07,2962.6453703703705,10135.930265723227,41800.728790308516
0.16,0.16,0.25,8.573388203017834e-07,2962.6453703703705,8957.104113676633,44353.311049297365
0.17,0.17,0.25,8.573388203017834e-07,2962.6453703703705,11808.616682027296,44748.25735144825
0.18,0.18,0.25,8.573388203017834e-07,2962.6453703703705,11898.947967596047,48446.77696873191
0.19,0.19,0.25,8.573388203017834e-07,2962.6453703703705,12046.309764719448,50198.81058134469
0.2,0.2,0.25,8.573388203017834e-07,2962.6453703703705,9744.481747006668,47766.97895064008
0.21,0.21,0.25,8.573388203017834e-07,2962.6453703703705,11988.461956809859,53556.87458954324
0.22,0.22,0.25,8.573388203017834e-07,2962.6453703703705,14059.018300945556,51754.874538787604
0.23,0.23,0.25,8.573388203017834e-07,2962.6453703703705,14889.24551261341,56628.77388105229
0.24,0.24,0.25,8.573388203017834e-07,2962.6453703703705,13044.452598295686,57565.35523313097
0.25,0.25,0.25,8.573388203017834e-07,2962.6453703703705,14181.315827190529,56027.52766033178
0.26,0.26,0.25,8.573388203017834e-07,2962.6453703703705,11170.857016747867,57175.86337427262
0.27,0.27,0.25,8.573388203017834e-07,2962.6453703703705,15097.727351850444,66413.29423285708
0.28,0.28,0.25,8.573388203017834e-07,2962.6453703703705,13601.886711950816,59431.7330985933
0.29,0.29,0.25,8.573388203017834e-07,2962.6453703703705,16223.194384760973,51308.69754233032
0.3,0.3,0.25,8.573388203017834e-07,2962.6453703703705,13842.593917581691,64023.012117478545
0.31,0.31,0.25,8.573388203017834e-07,2962.6453703703705,15813.5059726922,67925.89829939096
0.32,0.32,0.25,8.573388203017834e-07,2962.6453703703705,21944.544009773042,70412.06041107581
0.33,0.33,0.25,8.573388203017834e-07,2962.6453703703705,20828.30436214836,72206.11277187904
0.34,0.34,0.25,8.573388203017834e-07,2962.6453703703705,18949.49545412101,70781.96256934294
0.35,0.35,0.25,8.573388203017834e-07,2962.6453703703705,17012.22257100956,69858.59074676421
0.36,0.36,0.25,8.573388203017834e-07,2962.6453703703705,17107.630741094024,82566.91184402758
0.37,0.37,0.25,8.573388203017834e-07,2962.6453703703705,19463.44803478936,68511.40634517168
0.38,0.38,0.25,8.573388203017834e-07,2962.6453703703705,17825.654582474872,93546.73082983115
0.39,0.39,0.25,8.573388203017834e-07,2962.6453703703705,22489.851836695238,87234.03656816583
0.4,0.4,0.25,8.573388203017834e-07,2962.6453703703705,20118.01402683828,83051.27464571655
0.41,0.41,0.25,8.573388203017834e-07,2962.6453703703705,27279.660754267923,102060.16797606832
0.42,0.42,0.25,8.573388203017834e-07,2962.6453703703705,19116.140509541226,86413.04023476584
0.43,0.43,0.25,8.573388203017834e-07,2962.6453703703705,26615.63598541855,99224.89519087764
0.44,0.44,0.25,8.573388203017834e-07,2962.6453703703705,23581.979355532763,97815.81349803809
0.45,0.45,0.25,8.573388203017834e-07,2962.6453703703705,26951.72371575352,118427.07062401726
0.46,0.46,0.25,8.573388203017834e-07,2962.6453703703705,29514.959233751906,98022.06433206765
0.47,0.47,0.25,8.573388203017834e-07,2962.6453703703705,27139.813652802713,112455.61780893715
0.48,0.48,0.25,8.573388203017834e-07,2962.6453703703705,24950.524256410925,116581.82977267815
0.49,0.49,0.25,8.573388203017834e-07,2962.6453703703705,33512.22403884064,130508.67050262468
0.5,0.5,0.25,8.573388203017834e-07,2962.6453703703705,30125.57562552846,132133.969490055
0.51,0.51,0.25,8.573388203017834e-07,2962.6453703703705,29917.6555953432,131066.79812851199
0.52,0.52,0.25,8.573388203017834e-07,2962.6453703703705,38449.926826211,137037.00613346876
0.53,0.53,0.25,8.573388203017834e-07,2962.6453703703705,36425.74198079271,135845.76797956545
0.54,0.54,0.25,8.573388203017834e-07,2962.6453703703705,37968.925821936515,170263.50997808317
0.55,0.55,0.25,8.573388203017834e-07,2962.6453703703705,36540.20020486363,159965.9330737052
0.56,0.56,0.25,8.573388203017834e-07,2962.6453703703705,44281.673361555295,172313.16698287346
0.57,0.57,0.25,8.573388203017834e-07,2962.6453703703705,38562.84888191801,193699.1290925084
0.58,0.58,0.25,8.573388203017834e-07,2962.6453703703705,35481.419370364434,185256.73879506282
0.59,0.59,0.25,8.573388203017834e-07,2962.6453703703705,52781.01092506217,193894.87392128457
0.6,0.6,0.25,8.573388203017834e-07,2962.6453703703705,51593.893052843894,183842.3650873414
0.61,0.61,0.25,8.573388203017834e-07,2962.6453703703705,69848.91744911854,197725.90153393178
0.62,0.62,0.25,8.573388203017834e-07,2962.6453703703705,57388.02660789835,232995.84474166308
0.63,0.63,0.25,8.573388203017834e-07,2962.6453703703705,53827.938726767505,242751.4794190283
0.64,0.64,0.25,8.573388203017834e-07,2962.6453703703705,64374.78274649559,233128.56040632384
0.65,0.65,0.25,8.573388203017834e-07,2962.6453703703705,59996.93947347577,261340.04392272438
0.66,0.66,0.25,8.573388203017834e-07,2962.6453703703705,68199.83650546767,255757.0645973189
0.67,0.67,0.25,8.573388203017834e-07,2962.6453703703705,79932.42772616977,283915.48637646186
0.68,0.68,0.25,8.573388203017834e-07,2962.6453703703705,76502.3057652837,318654.3613115954
0.69,0.69,0.25,8.573388203017834e-07,2962.6453703703705,87592.71508690497,342898.2771237755
0.7,0.7,0.25,8.573388203017834e-07,2962.6453703703705,88706.99092003511,360055.1549583487
0.71,0.71,0.25,8.573388203017834e-07,2962.6453703703705,102950.64012505478,403853.6623412952
0.72,0.72,0.25,8.573388203017834e-07,2962.6453703703705,106298.41575029596,416927.86226258235
0.73,0.73,0.25,8.573388203017834e-07,2962.6453703703705,120702.10755747183,479117.1099077386
0.74,0.74,0.25,8.573388203017834e-07,2962.6453703703705,149386.73281645984,463792.4699243759
0.75,0.75,0.25,8.573388203017834e-07,2962.6453703703705,151496.43560889835,527196.6577448995
0.76,0.76,0.25,8.573388203017834e-07,2962.6453703703705,126162.94937975101,508629.8678127323
0.77,0.77,0.25,8.573388203017834e-07,2962.6453703703705,146483.23095149588,540861.201960863
0.78,0.78,0.25,8.573388203017834e-07,2962.6453703703705,154789.26488556666,719118.9089056444
0.79,0.79,0.25,8.573388203017834e-07,2962.6453703703705,171562.72836230835,991257.5497176915
0.8,0.8,0.25,8.573388203017834e-07,2962.6453703703705,213192.81597719024,803772.2116406438
0.81,0.81,0.25,8.573388203017834e-07,2962.6453703703705,257904.6268156622,1165779.92871551
0.82,0.82,0.25,8.573388203017834e-07,2962.6453703703705,285481.3377253427,1063926.351877276
0.83,0.83,0.25,8.573388203017834e-07,2962.6453703703705,255695.98370344733,1375790.7383375652
