m,M,epsilon_of_M,delta_of_M,original_average,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2981.861072451483,3299.7790025726904,19.21570208111234,337.13363220231986
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2970.692758827094,2765.542921575472,8.047388456723638,197.10244879489846
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3013.641592346621,2858.507652005576,50.99622197625058,104.13771836479464
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2967.1353856848227,3210.4576158614923,4.490015314452194,247.81224549112176
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2981.95634041342,3121.1947709400824,19.310970043049565,158.5494005697119
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2948.9961486864677,2903.257235555368,13.649221683902852,59.38813481500256
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3049.050859037113,2698.889284581837,86.40548866674226,263.7560857885337
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2996.2368556953575,3024.452402487667,33.591485324986934,61.80703211729633
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2995.1115069658554,2949.158867299238,32.46613659548484,13.486503071132574
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2963.4969176140307,3004.734892191834,0.8515472436602067,42.08952182146368
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2935.56621986243,2669.791225644401,27.07915050794054,292.8541447259695
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3004.2745134309826,3087.5882393336196,41.62914306061202,124.94286896324911
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2956.3483965521727,2627.8234659466157,6.296973818197785,334.82190442375486
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2964.266074209534,2813.9117698399077,1.6207038391635251,148.7336005304628
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2859.2286285766936,2932.9931334988128,103.41674179367692,29.65223687155776
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2943.1076379061724,2927.9407297184325,19.537732464198143,34.70464065193801
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2960.531066620251,2998.1371527284987,2.1143037501196886,35.49178235812815
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3077.970092156167,3234.2052727086702,115.32472178579656,271.5599023382997
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2930.705978366909,3077.658749632961,31.939392003461307,115.01337926259066
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2872.763901365338,2871.5171830055046,89.88146900503261,91.12818736486588
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3012.167509088774,2898.1338520954414,49.52213871840331,64.51151827492913
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3031.302563149428,3005.9244335232756,68.65719277905737,43.27906315290511
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2936.175585956374,2773.9949341819397,26.469784413996422,188.65043618843083
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2989.6727978152867,3225.81494082315,27.027427444916157,263.1695704527797
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2954.1492309433743,2902.382696113747,8.496139426996251,60.26267425662354
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2891.607535550241,2883.2197584965643,71.03783482012932,79.42561187380625
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3073.6943580083403,2721.5921169362805,111.04898763796973,241.05325343409004
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2895.337036849073,3109.671781969981,67.30833352129775,147.02641159961058
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2985.279798868449,2968.4581015149147,22.63442849807825,5.812731144544159
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2993.722647126211,3099.922053929557,31.077276755840558,137.2766835591865
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2953.943582441445,3098.6609568868307,8.701787928925569,136.0155865164602
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2932.9362776698135,2990.740781702152,29.709092700556994,28.095411331781634
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2904.547628244831,3077.124154285008,58.09774212553975,114.47878391463746
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2979.82670632162,3194.127914617363,17.181335951249366,231.48254424699235
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,3076.6888675454484,2827.8644060601705,114.04349717507785,134.78096431020003
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2993.7668706643735,2994.4369482342945,31.121500294003,31.791577863923976
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2828.7840332405513,2829.298021451461,133.86133712981928,133.34734891890957
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2958.0085148506246,3027.6648230813994,4.63685551974595,65.01945271102886
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,2867.531829167292,3051.1235440014,95.11354120307851,88.47817363102968
