m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,8.573388203017834e-07,2962.6453703703705,46.81958087485522,130.94056331053582
0.01,0.01,0.49605754532553353,8.487654320987657e-07,2962.6453703703705,47.485907115358856,125.01586512896962
0.02,0.02,0.4920994861619237,8.40192043895748e-07,2962.6453703703705,46.78795948742014,136.14054694357793
0.03,0.03,0.48812569849099385,8.316186556927297e-07,2962.6453703703705,46.29791987714656,134.70774178343498
0.04,0.04,0.4841360568101951,8.230452674897117e-07,2962.6453703703705,50.37302395283325,134.84218302612857
0.05,0.05,0.48013043410882683,8.144718792866941e-07,2962.6453703703705,48.705799560459766,142.932446145638
0.06,0.06,0.4761087018437724,8.058984910836764e-07,2962.6453703703705,46.35447481670087,139.00058639938462
0.07,0.07,0.4720707299147485,7.973251028806586e-07,2962.6453703703705,52.83354940989056,134.6159826167837
0.08,0.08,0.4680163866390518,7.887517146776405e-07,2962.6453703703705,51.74715089299044,141.09654010608241
0.09,0.09,0.46394553872579114,7.801783264746228e-07,2962.6453703703705,46.34655094334045,134.84290810121283
0.1,0.1,0.45985805124959506,7.716049382716049e-07,2962.6453703703705,47.64472647167265,141.79227251828823
0.11,0.11,0.45575378762377566,7.630315500685872e-07,2962.6453703703705,48.29438534339465,141.6298271137239
0.12,0.12,0.45163260957294576,7.544581618655695e-07,2962.6453703703705,51.08854029643746,141.62159142722322
0.13,0.13,0.44749437710506174,7.458847736625516e-07,2962.6453703703705,51.7422004007998,144.68377061377467
0.14,0.14,0.44333894848289374,7.373113854595336e-07,2962.6453703703705,52.317132936795225,148.2091611702154
0.15,0.15,0.43916618019489273,7.287379972565157e-07,2962.6453703703705,52.98011791324907,142.70534866223775
0.16,0.16,0.43497592692545334,7.201646090534981e-07,2962.6453703703705,52.888550773638585,140.3180456313236
0.17,0.17,0.43076804152454756,7.115912208504803e-07,2962.6453703703705,55.82635721597589,147.25201519847337
0.18,0.18,0.4265423749767188,7.030178326474626e-07,2962.6453703703705,54.09434549951379,149.13039030071278
0.19,0.19,0.4222987763694164,6.944444444444448e-07,2962.6453703703705,54.66334994537671,152.59103693579144
0.2,0.2,0.4180370928606561,6.858710562414266e-07,2962.6453703703705,51.55464287186111,148.2392729398075
0.21,0.21,0.4137571696459893,6.772976680384088e-07,2962.6453703703705,57.97888499208125,151.4132432711611
0.22,0.22,0.4094588499247608,6.68724279835391e-07,2962.6453703703705,52.839812517022956,147.47281378104347
0.23,0.23,0.40514197486564013,6.601508916323734e-07,2962.6453703703705,55.80915716587912,145.58097272947433
0.24,0.24,0.40080638357140336,6.515775034293553e-07,2962.6453703703705,60.723582766254694,156.132383864054
0.25,0.25,0.3964519130429505,6.430041152263374e-07,2962.6453703703705,60.70539877344789,150.3960805332344
0.26,0.26,0.3920783981425341,6.344307270233195e-07,2962.6453703703705,56.27608708263337,159.2108644598636
0.27,0.27,0.38768567155618155,6.258573388203017e-07,2962.6453703703705,61.265802919045576,151.18850892839677
0.28,0.28,0.3832735637552874,6.172839506172841e-07,2962.6453703703705,58.69829746171513,167.536595188409
0.29,0.29,0.3788419029573562,6.08710562414266e-07,2962.6453703703705,58.30192363597415,164.70958190549865
0.3,0.3,0.37439051508586846,6.001371742112485e-07,2962.6453703703705,64.3177645993387,163.28646136001916
0.31,0.31,0.3699192237292539,5.915637860082305e-07,2962.6453703703705,60.27785325662304,163.30830475527375
0.32,0.32,0.36542785009893863,5.829903978052127e-07,2962.6453703703705,65.443696234006,168.24613149867804
0.33,0.33,0.36091621298644966,5.744170096021948e-07,2962.6453703703705,66.68693071263613,175.409844119275
0.34,0.34,0.35638412871954467,5.65843621399177e-07,2962.6453703703705,61.33544719910518,181.05897657814606
0.35,0.35,0.35183141111734534,5.572702331961592e-07,2962.6453703703705,60.482037849400875,172.9517397028098
0.36,0.36,0.3472578714444431,5.486968449931414e-07,2962.6453703703705,66.0451213702971,168.44896990807035
0.37,0.37,0.3426633183639511,5.401234567901236e-07,2962.6453703703705,72.90620978616565,170.08574036337862
0.38,0.38,0.3380475578894727,5.315500685871056e-07,2962.6453703703705,69.36497754468691,187.3164207610328
0.39,0.39,0.33341039333595685,5.22976680384088e-07,2962.6453703703705,67.0891815944023,187.08469116903018
0.4,0.4,0.3287516252694073,5.144032921810701e-07,2962.6453703703705,68.52217648967314,186.52831563389375
0.41,0.41,0.324071051455416,5.058299039780522e-07,2962.6453703703705,68.75816954389674,181.2106638004544
0.42,0.42,0.3193684668064857,4.972565157750344e-07,2962.6453703703705,75.80714286073501,198.00192786246046
0.43,0.43,0.3146436633281093,4.886831275720165e-07,2962.6453703703705,78.68421298425714,193.94604587477627
0.44,0.44,0.30989643006356743,4.801097393689987e-07,2962.6453703703705,71.3033169977656,193.66461837075434
0.45,0.45,0.30512655303741093,4.71536351165981e-07,2962.6453703703705,79.12206160116502,192.69496003654248
0.46,0.46,0.3003338151975887,4.629629629629629e-07,2962.6453703703705,80.41969714624985,200.59300375746304
0.47,0.47,0.29551799635618126,4.543895747599452e-07,2962.6453703703705,81.61866659181503,209.70067908432674
0.48,0.48,0.2906788731287013,4.458161865569275e-07,2962.6453703703705,82.32336281768185,206.46154625591603
0.49,0.49,0.2858162188719178,4.372427983539095e-07,2962.6453703703705,84.61558568670598,195.1409274614685
0.5,0.5,0.28092980362016146,4.286694101508917e-07,2962.6453703703705,78.4183234977311,220.77556933917646
0.51,0.51,0.2760193940200654,4.20096021947874e-07,2962.6453703703705,89.5008313359755,209.8504017821164
0.52,0.52,0.27108475326369763,4.1152263374485583e-07,2962.6453703703705,84.6452944975082,211.28409322093557
0.53,0.53,0.2661256410200323,4.029492455418382e-07,2962.6453703703705,82.50520295982112,229.5056860956045
0.54,0.54,0.26114181336471715,3.943758573388202e-07,2962.6453703703705,85.80096622916777,226.0001682383126
0.55,0.55,0.2561330227080783,3.8580246913580245e-07,2962.6453703703705,90.78758724218956,215.1324083685322
0.56,0.56,0.2510990177213167,3.7722908093278476e-07,2962.6453703703705,98.25017918042839,233.1505084554914
0.57,0.57,0.24603954326083285,3.6865569272976696e-07,2962.6453703703705,92.0788869854117,227.3422076937303
0.58,0.58,0.24095434029063204,3.6008230452674906e-07,2962.6453703703705,101.8554774850488,241.86399017476978
0.59,0.59,0.23584314580274376,3.515089163237313e-07,2962.6453703703705,105.2823277823212,252.4257163348098
0.6,0.6,0.2307056927355977,3.429355281207133e-07,2962.6453703703705,98.98163091976518,253.12261324906305
0.61,0.61,0.22554170989029212,3.343621399176955e-07,2962.6453703703705,101.22541653810684,247.61029917093146
0.62,0.62,0.22035092184468896,3.2578875171467767e-07,2962.6453703703705,104.2624627717793,262.7000724932304
0.63,0.63,0.2151330488652684,3.1721536351165977e-07,2962.6453703703705,108.69980272613034,253.66244094179442
0.64,0.64,0.20988780681666974,3.0864197530864203e-07,2962.6453703703705,118.15412061634709,271.4272632918721
0.65,0.65,0.20461490706885055,3.0006858710562424e-07,2962.6453703703705,108.67921165135762,279.17029687789557
0.66,0.66,0.19931405640178138,2.9149519890260634e-07,2962.6453703703705,117.5879043867935,277.5259519188952
0.67,0.67,0.19398495690760423,2.829218106995885e-07,2962.6453703703705,123.2087777402406,309.7765507617489
0.68,0.68,0.1886273058901679,2.743484224965706e-07,2962.6453703703705,119.21666330732296,309.404258880422
0.69,0.69,0.18324079576185842,2.6577503429355285e-07,2962.6453703703705,126.28365200546509,305.18553318378235
0.7,0.7,0.1778251139376357,2.572016460905351e-07,2962.6453703703705,125.71855406500015,324.6566203818064
0.71,0.71,0.17237994272618495,2.486282578875172e-07,2962.6453703703705,135.4569065300079,318.25498782156103
0.72,0.72,0.16690495921808865,2.4005486968449936e-07,2962.6453703703705,143.74183183694686,336.7704791781952
0.73,0.73,0.16139983517091985,2.3148148148148146e-07,2962.6453703703705,138.4471754406526,351.60598228510037
0.74,0.74,0.15586423689115622,2.2290809327846374e-07,2962.6453703703705,147.18124064301298,334.25495194216677
0.75,0.75,0.1502978251128056,2.1433470507544584e-07,2962.6453703703705,149.28894417595725,365.2897202792808
0.76,0.76,0.14470025487263616,2.0576131687242791e-07,2962.6453703703705,177.3112454604563,377.3846107237887
0.77,0.77,0.13907117538189404,1.971879286694101e-07,2962.6453703703705,168.08911221136933,365.0164869338911
0.78,0.78,0.13341022989439,1.8861454046639238e-07,2962.6453703703705,170.78809564094803,405.0184012916138
0.79,0.79,0.12771705557083193,1.8004115226337448e-07,2962.6453703703705,180.19779095643534,409.3875463044675
0.8,0.8,0.12199128333927091,1.714677640603566e-07,2962.6453703703705,179.61837671034067,412.4392082608674
0.81,0.81,0.11623253775153193,1.628943758573388e-07,2962.6453703703705,209.3515068658341,444.70092332159203
0.82,0.82,0.11044043683548455,1.5432098765432104e-07,2962.6453703703705,215.6004220560919,439.14509541337213
0.83,0.83,0.1046145919430111,1.4574759945130317e-07,2962.6453703703705,220.32901406963623,478.45375952508
0.84,0.84,0.09875460759352044,1.3717421124828537e-07,2962.6453703703705,260.0582604513209,483.53226383675633
0.85,0.85,0.09286008131284908,1.2860082304526755e-07,2962.6453703703705,246.00981524321116,520.2668137989293
0.86,0.86,0.08693060346738647,1.2002743484224968e-07,2962.6453703703705,277.2713483744472,547.1936636762945
0.87,0.87,0.08096575709325296,1.1145404663923187e-07,2962.6453703703705,280.47100966898097,538.3528695537237
0.88,0.88,0.0749651177203525,1.0288065843621396e-07,2962.6453703703705,313.1044964941058,548.8978275445593
0.89,0.89,0.0689282531911143,9.430727023319619e-08,2962.6453703703705,322.85062257561935,633.8948954516637
0.9,0.9,0.06285472347373035,8.57338820301783e-08,2962.6453703703705,370.8170695533102,683.224336250056
0.91,0.91,0.05674408046968678,7.71604938271605e-08,2962.6453703703705,402.0608469873807,770.3692666299673
0.92,0.92,0.050595867815377144,6.858710562414263e-08,2962.6453703703705,435.63036674604706,813.7147459823677
0.93,0.93,0.0444096206775808,6.001371742112481e-08,2962.6453703703705,510.7199762720521,885.558682325974
0.94,0.94,0.038184865542575934,5.144032921810705e-08,2962.6453703703705,574.9124016309421,1062.0535834016086
0.95,0.95,0.031921119998644706,4.286694101508921e-08,2962.6453703703705,689.3463155821593,1133.536353722586
0.96,0.96,0.02561789251172882,3.429355281207137e-08,2962.6453703703705,949.6456004910805,1341.00429942987
0.97,0.97,0.019274682193964544,2.5720164609053526e-08,2962.6453703703705,1160.8882802378637,1803.6725667398257
0.98,0.98,0.012890978564832786,1.7146776406035685e-08,2962.6453703703705,1822.3564983994243,2362.901713846335
0.99,0.99,0.00646626130463523,8.573388203017842e-09,2962.6453703703705,6094.932888960699,4213.451931412007
0.1,0.2,1.4180370928606563,7.716049382716049e-07,2962.6453703703705,15.545136375057922,56.714184334621606
0.1,0.3,2.374390515085868,7.716049382716049e-07,2962.6453703703705,10.019206251789228,34.209008383774474
0.1,0.4,3.328751625269407,7.716049382716049e-07,2962.6453703703705,6.567313990901771,24.961729498147086
0.1,0.5,4.280929803620162,7.716049382716049e-07,2962.6453703703705,5.5132119371181405,20.35467857596149
0.1,0.6,5.230705692735597,7.716049382716049e-07,2962.6453703703705,4.3738863357626,17.80503375448953
0.1,0.7,6.177825113937635,7.716049382716049e-07,2962.6453703703705,3.3697113168510375,13.345018402389618
0.1,0.8,7.121991283339271,7.716049382716049e-07,2962.6453703703705,3.2660857024229326,12.084200759813772
