m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2915.8194537943173,3048.6258752845083,46.82591657605326,85.98050491413778
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2975.229220444374,2912.5215172933486,12.583850074003294,50.12385307702198
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2968.1591973511117,2733.6747485244614,5.513826980741214,228.97062184590914
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2935.5598087971825,3024.8161614150026,27.085561573187988,62.1707910446321
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3032.7671624107124,3053.959558487822,70.12179204034192,91.31418811745152
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2923.1410119783723,2985.6750658946057,39.50435839199827,23.029695524235194
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2916.9656737122687,3227.65500641192,45.679696658101875,265.0096360415496
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2761.2645341766934,2740.1879330287575,201.38083619367717,222.45743734161306
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2875.5492262538687,2814.6540443567237,87.09614411650182,147.9913260136468
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2944.0986462903,3172.6822271417595,18.546724080070362,210.036856771389
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2867.7165980136706,2900.3822419461467,94.92877235669994,62.26312842422385
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2986.2589876839743,2772.162977769469,23.613617313603754,190.48239260090168
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2942.4784220363526,2742.32212814574,20.16694833401789,220.32324222463058
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3050.730184876575,2984.3956263620344,88.08481450620457,21.750255991663835
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3029.982922424653,2907.8756086792932,67.3375520542827,54.76976169107729
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3005.610471514677,2847.943403960678,42.96510114430657,114.70196640969243
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2901.3428705512088,2804.9408985303667,61.30249981916177,157.70447184000386
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2900.6270934739337,3048.447784072947,62.01827689643687,85.80241370257636
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2896.454762637826,3135.341313297513,66.19060773254432,172.69594292714237
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2971.148259319731,3093.690399368424,8.502888949360567,131.04502899805357
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2918.579161887956,3117.1643550683684,44.06620848241437,154.5189846979979
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2930.4482442365243,2925.7666635372707,32.19712613384627,36.87870683309984
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3000.7952376721296,3047.94190993431,38.14986730175906,85.2965395639394
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2955.9169344663283,3101.3161768536306,6.728435904042271,138.6708064832601
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2964.6918659433545,2923.0939735881693,2.0464955729839858,39.55139678220121
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2942.1688240359044,2882.491790944239,20.476546334466093,80.15357942613173
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2959.8924191351643,2958.496996654579,2.752951235206183,4.148373715791422
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3032.518244909946,2777.081781351126,69.8728745395756,185.56358901924432
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2975.7088864815887,3096.31099005632,13.063516111218178,133.66561968594942
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3017.722733589229,2905.7763852438634,55.07736321885841,56.86898512650714
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2962.216362669119,2911.6536462992576,0.4290077012515212,50.99172407111291
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3028.085386765029,2895.5982469595942,65.44001639465841,67.0471234107763
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2855.424846246377,2943.411597244113,107.22052412399353,19.233773126257347
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3098.400182926832,2941.9290889152385,135.75481255646127,20.716281455132048
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2815.4971887842926,2663.0490884444657,147.14818158607795,299.5962819259048
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2879.9638062991166,3012.003014031994,82.68156407125389,49.35764366162357
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2961.0714011699642,2889.8570820809095,1.5739692004062817,72.78828828946098
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2973.2454707209067,2699.74869277244,10.600100350536195,262.89667759793065
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2908.774591433672,3186.629535804476,53.87077893669857,223.9841654341053
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2997.533990957695,2670.664243545271,34.88862058732457,291.98112682509964
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2960.7913291660125,3120.188782022066,1.8540412043580545,157.54341165169535
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2956.7380709559898,3186.679278195349,5.907299414380759,224.03390782497854
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2966.0699459224393,2866.749654461378,3.4245755520687453,95.89571590899232
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2994.12877695224,2972.8493327721358,31.48340658186953,10.203962401765239
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2998.265830933189,2940.3823582854234,35.62046056281861,22.26301208494715
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2999.112429886185,3235.276515174937,36.467059515814526,272.63114480456625
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2936.3708297807225,3078.393550091164,26.27454058964804,115.74817972079336
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2927.837144524289,3108.7469316345646,34.808225846081314,146.10156126419406
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2950.7110062769257,2908.83085252637,11.934364093444856,53.81451784400042
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2934.018269505841,3347.835923488586,28.62710086452944,385.1905531182156
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2955.5701864061107,2841.9104555039457,7.07518396425985,120.73491486642479
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2952.0132697125932,3113.9973023220555,10.6321006577773,151.35193195168495
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3043.0542231914837,3127.534224428027,80.40885282111321,164.88885405765632
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2991.7113623796004,3286.0383672223356,29.06599200922983,323.3929968519651
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2941.391288241851,2956.0761967712456,21.254082128519713,6.569173599124952
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2967.196385850678,3173.1457140850907,4.551015480307342,210.5003437147202
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2892.0490383228107,2546.0635755424964,70.59633204755983,416.5817948278741
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2966.1028652520486,2658.616894060866,3.4574948816780307,304.02847630950464
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3034.987924559919,2892.0106311913282,72.34255418954854,70.6347391790423
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3082.4618895884078,2869.6233783238476,119.81651921803723,93.02199204652288
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3023.080422632659,3010.897290465008,60.435052262288536,48.251920094637626
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2947.46994405084,2937.88344298746,15.175426319530743,24.76192738291047
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2974.062114814453,2749.020069593902,11.41674444408227,213.62530077646852
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3015.7331719649646,3223.1934158545027,53.08780159459411,260.5480454841322
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2937.8118253274574,3017.202496870713,24.8335450429131,54.55712650034229
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3292.9598376689373,2899.825342458321,330.3144672985668,62.82002791204968
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3058.6631065791034,3102.7632442485437,96.01773620873291,140.1178738781732
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,3011.056944984171,3156.301265114756,48.41157461380044,193.65589474438548
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2923.6876594353553,2913.7105759447136,38.95771093501526,48.934794425656946
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2972.6158289448335,2882.2570250313233,9.97045857446301,80.38834533904719
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,0.5,8.573388203017834e-07,2930.4362361758895,3185.064762107305,32.20913419448107,222.41939173693436
