m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,2962.6453703703705,0.8706174951511514,0.47844056919751665,2.614221174953613,-2.2913438174943224,4.391205868110561,-3.357235948126373
0.01,0.01,2962.6453703703705,-7.730773665056148,-2.740157320282961,-3.321809297214351,-12.445897384150086,-6.695193071658657,1.8053311159980012
0.02,0.02,2962.6453703703705,-0.9523634963803573,-7.72025931962267,-0.8449318114428692,4.3101098070736015,2.5825328273208044,-10.458314562868466
0.03,0.03,2962.6453703703705,-3.980139350824544,-3.103256530730647,-0.13586848294723808,9.37434950397919,-3.8357911361581074,-1.6294467238208483
0.04,0.04,2962.6453703703705,0.8270688901690519,-27.98117809871593,1.7430299825761963,-18.161377734650443,4.189505957649125,-18.989828363720818
0.05,0.05,2962.6453703703705,2.601328924277553,-10.42467053576631,2.9205192411911014,-10.43150214253599,-0.05734514739465624,1.4919295561991532
0.06,0.06,2962.6453703703705,-5.0824948839405195,-3.6977157608308744,-0.4240210170481191,7.227993024202178,-6.169015549192451,-6.08367284806684
0.07,0.07,2962.6453703703705,-3.4119819651554124,-6.918118621939897,1.2261437218241227,-7.8022510001519265,-2.039648907726864,4.9361109516665636
0.08,0.08,2962.6453703703705,-2.4682104939764145,-6.1054765361352,-1.4479513224139282,3.721313391325097,-0.3139728669550692,-5.488000096512366
0.09,0.09,2962.6453703703705,-6.644630957234611,-9.291307512323584,1.0063681361636867,-2.369577022952683,0.5051023057273412,10.280516821610206
0.1,0.1,2962.6453703703705,-0.06165938207762167,-22.91812741819099,-1.8660182604623543,-7.739059374467516,-1.2422328055677738,-10.822054041928112
0.11,0.11,2962.6453703703705,-9.206749405237872,-17.503042738191283,-12.327106981582745,-5.406130484733836,-0.04822067528118623,-10.803429964348084
0.12,0.12,2962.6453703703705,-4.707224385919801,-19.243079113278483,-6.624723977160116,-2.433920606080207,-6.5875025349098735,-7.7408432829739695
0.13,0.13,2962.6453703703705,-8.429875315182208,-25.999172362773677,-0.9260478432061205,0.9153416945293031,-5.169425132550067,-3.3058298892242703
0.14,0.14,2962.6453703703705,-6.611204270870488,-30.470159557068,0.5437246883697782,-8.268201610097151,-3.3032155722397434,-14.439243558363017
0.15,0.15,2962.6453703703705,-12.212437912483303,-21.82305238297721,-10.458299880163807,-15.509227169968653,-2.6919697741757673,-10.060125997062926
0.16,0.16,2962.6453703703705,-14.813530099032157,-19.470112203245066,-5.877084456156766,1.985586223070186,-3.4379488789627715,-8.489468998525496
0.17,0.17,2962.6453703703705,-13.059341205226367,-30.37127794559248,-8.41563512774848,-3.148795827614151,-7.265419443875658,-17.596471278385508
0.18,0.18,2962.6453703703705,-10.617364239776244,-36.33553716960037,-6.652388691646294,-16.26469307192872,-4.484744321366172,-12.637513234900553
0.19,0.19,2962.6453703703705,-12.841830906744853,-29.70282520521924,-9.844669847085342,-10.839359810621872,-4.807378142961028,-8.870007357316013
0.2,0.2,2962.6453703703705,-9.930887383021599,-38.214372181010006,-2.7504278253507337,-13.25404079574811,-5.010092866314714,-6.681010384600768
0.21,0.21,2962.6453703703705,-12.717454048156114,-34.437104213320396,-7.131743761346257,-11.095063865930001,-8.32437477675505,-20.018751095038056
0.22,0.22,2962.6453703703705,-14.508976090213586,-28.77320942053956,-7.81568126780094,-10.11805857907649,-4.627765605683585,-0.7714412952389011
0.23,0.23,2962.6453703703705,-21.304257414004795,-40.848835549798196,-10.88650790344721,-2.924305234190655,-8.481174485638576,-28.575240980069424
0.24,0.24,2962.6453703703705,-17.643621553029348,-37.565834669487515,-9.059777025046117,-9.312899127935822,-10.094139756838779,-15.963742333442042
0.25,0.25,2962.6453703703705,-17.307734485135903,-44.068004596960805,-10.920602919447688,-6.9740753306844,-6.506340050681608,-23.063705128277036
0.26,0.26,2962.6453703703705,-13.93229568065378,-55.64229052220867,-5.2659033230531165,-18.46527471701745,-5.120234153952353,-20.467463445542023
0.27,0.27,2962.6453703703705,-17.617857413916703,-41.96389629452571,-4.3507054353832615,-20.4354761663173,-4.1545564665498205,-11.500157884564942
0.28,0.28,2962.6453703703705,-21.573431297745323,-58.67258042177998,-10.934691105811986,-21.42563156088356,-5.517404792239887,-22.018031676550123
0.29,0.29,2962.6453703703705,-24.965857225800477,-51.4338375128134,-8.628800124244947,-21.289104571863533,-11.925901832657551,-17.79654588803703
0.3,0.3,2962.6453703703705,-24.682091026832587,-48.68481249386744,-9.792208151734613,-23.07495026376057,-8.29388739575844,-9.24368117276913
0.31,0.31,2962.6453703703705,-29.12446717254462,-61.39539451320405,-3.443091393611809,-15.274284746438639,-17.192088190786755,-33.779934189907465
