m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,2962.6453703703705,-16.30122858788809,97.52442077255,108.45472893115698,-1482.1908638827535,150.02476136621726,134.8555884059133
0.01,0.01,2962.6453703703705,-1008.301525004299,242.6891487683315,-43.38370531083001,-489.55970905294635,-629.0188826758585,-300.41699228984
0.02,0.02,2962.6453703703705,223.2454187365031,-718.3243065839106,85.84672128995794,295.37775758849784,575.128301375915,-56.382307247560675
0.03,0.03,2962.6453703703705,-294.27817176347594,238.92170125481607,-128.16246399357738,891.0631426085547,233.18256398309222,12.12728488162793
0.04,0.04,2962.6453703703705,-452.4444829392262,-4015.6995745552285,-96.08592223801224,-1179.4454546359812,29.13416788665063,-3473.8536858036678
0.05,0.05,2962.6453703703705,490.50424125301606,-681.2484285166774,544.7847264920299,-18.17469327803883,277.6696495022811,-722.8765942006539
0.06,0.06,2962.6453703703705,-515.6990362074969,-2083.108870288752,-128.0911489443704,102.14579716548542,-602.2036282545557,1055.465364859676
0.07,0.07,2962.6453703703705,-315.71951618244384,-2465.636236176848,69.67112946990437,-410.64192031879793,-198.05565900425427,-1852.0414048529583
0.08,0.08,2962.6453703703705,-423.6262086576976,-66.97214912195886,266.210443073531,608.3767908186892,-394.2724268460174,-1457.3256075145491
0.09,0.09,2962.6453703703705,-647.4313022371323,-1103.3035639192858,-1.832364083540142,724.1283046737299,94.83178549957347,538.2166432099384
0.1,0.1,2962.6453703703705,387.3378748568075,-2857.919087645494,-393.1127589200323,-830.5313027061275,283.5371118065864,-1362.8533857009206
0.11,0.11,2962.6453703703705,-588.4034985354942,-5818.699107784705,-926.7242743861061,-1749.7648797202437,461.8153876138563,-3695.01069914642
0.12,0.12,2962.6453703703705,-119.20678870728716,-1691.1021354323584,-516.631129860511,-210.66386758240333,-647.9115539329332,-470.08145499610873
0.13,0.13,2962.6453703703705,-715.821745419455,-2466.152646316041,-71.68876460535603,-1164.957206132356,-317.2316706901929,-1416.7545342273952
0.14,0.14,2962.6453703703705,-216.65129539838426,-5268.349781527737,447.68097630861575,-1568.6083904628013,240.92379274262248,-3639.8009735066316
0.15,0.15,2962.6453703703705,-1326.2673058756338,-5263.666465699433,-743.9595885194014,-3120.4304197531746,-560.974590817546,-3735.9208584937023
0.16,0.16,2962.6453703703705,-1067.982197126655,-2632.8385603409224,-316.82381596157666,-503.2233740560732,288.52306302850775,-810.3816467982142
0.17,0.17,2962.6453703703705,-863.7868409806733,-4297.625065575017,-473.57594473847803,181.1602419605988,-121.9921826597365,-1647.7245710378138
0.18,0.18,2962.6453703703705,-906.2530196515781,-6518.655264297759,-398.3007700244757,-2269.537487822987,-255.29458573968122,-5340.045735762673
0.19,0.19,2962.6453703703705,-1101.3927898238917,-5690.553887091477,-822.5528624094441,-3200.262066203495,-171.41453848169704,-1803.1299276026166
0.2,0.2,2962.6453703703705,-521.4124126078241,-5472.247797228918,-0.918243525273283,-4700.858808941823,-129.29486669371727,-1237.701256893697
0.21,0.21,2962.6453703703705,-1250.9959902813766,-4779.415793058188,-308.11595818986825,-1093.4510293391559,-640.5176689148884,-3819.1050172096548
0.22,0.22,2962.6453703703705,-833.1305611038742,-4086.699493431677,-364.9051561940073,-42.10752938935184,670.611464935615,-507.4746088464017
0.23,0.23,2962.6453703703705,-1231.071150322852,-5693.246870480294,-663.5493133548732,-403.0688236369806,304.1967840271059,-2194.486962730485
0.24,0.24,2962.6453703703705,-1903.9892054218649,-6682.212419905627,-765.634992999343,-1286.395856970188,-763.36929062529,-4497.021950125065
0.25,0.25,2962.6453703703705,-739.4673652623133,-6000.254618770385,-319.5228496999853,-1525.967493049453,239.99947662743398,-2188.6100926248237
0.26,0.26,2962.6453703703705,-766.1413993503593,-8302.727226096638,-1.1898509415568697,-1278.7792745114566,-324.9396159421053,-3851.5192741703777
0.27,0.27,2962.6453703703705,-1584.7678449364198,-6802.729154949182,-430.8631134863422,-3060.4375668307457,-252.27421048181213,-2937.4992464677925
0.28,0.28,2962.6453703703705,-1454.4448413833163,-8053.365220215637,-269.7340378343663,-3090.5280225068163,-48.97609353950975,-3296.0203643538316
0.29,0.29,2962.6453703703705,-2409.5399732756905,-11412.083946229479,-545.5901495896067,-4804.735909681591,-1216.7499372544453,-5247.8341942706775
0.3,0.3,2962.6453703703705,-2067.1987297624128,-7316.761800492068,-871.1238048207485,-2776.631149483339,-305.86522618856543,-514.6509310666097
0.31,0.31,2962.6453703703705,-3880.937958904424,-11718.297542517479,221.02864332366585,-1031.631661741725,-2765.611064471872,-7101.9420852904805
0.32,0.32,2962.6453703703705,-2153.267552956295,-10161.556778516997,-289.98040274191317,-1148.2832481488385,-290.5777805365692,-3740.3571883045297
0.33,0.33,2962.6453703703705,-2218.49479945606,-13297.123570916276,-564.700205750514,-3601.094169535114,-44.03771179785417,-6728.884896382431
0.34,0.34,2962.6453703703705,-2900.2193913524025,-11062.359736863387,-481.10025987457766,-5307.84027541785,-203.08650639477764,-2451.762718204911
0.35,0.35,2962.6453703703705,-3482.122529752654,-12195.293714409429,-401.40386902163755,-3638.7604039549733,-1590.0510449827934,-3195.5853585129553
0.36,0.36,2962.6453703703705,-3776.4975737165273,-14139.545500752198,134.39217894672356,-6408.6889996562,-2594.1501058620706,-3933.0510794899783
0.37,0.37,2962.6453703703705,-2508.8435082414,-17250.224907273296,-603.5240056920297,-4115.4695933387975,-723.4328708634234,-5088.694252959445
0.38,0.38,2962.6453703703705,-4419.133606511,-15849.08634044521,-1641.0611251521339,-6474.0877197211885,-1182.5962434342564,-7695.977649612261
