m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,2962.6453703703705,22.496232899080212,68.30061391071814
0.01,0.01,1.0,8.573388203017834e-07,2962.6453703703705,22.7610402231222,70.13590171248251
0.02,0.02,1.0,8.573388203017834e-07,2962.6453703703705,23.501316336056778,70.88272972360426
0.03,0.03,1.0,8.573388203017834e-07,2962.6453703703705,22.682460208936625,66.70872758492115
0.04,0.04,1.0,8.573388203017834e-07,2962.6453703703705,24.43376634696214,66.17148341189667
0.05,0.05,1.0,8.573388203017834e-07,2962.6453703703705,23.985734609126396,69.13483680150075
0.06,0.06,1.0,8.573388203017834e-07,2962.6453703703705,21.58694357294586,70.07580310823825
0.07,0.07,1.0,8.573388203017834e-07,2962.6453703703705,23.542584142378516,64.27245473041823
0.08,0.08,1.0,8.573388203017834e-07,2962.6453703703705,22.08042477004085,68.60198263368252
0.09,0.09,1.0,8.573388203017834e-07,2962.6453703703705,23.925259565878406,71.41131572845975
0.1,0.1,1.0,8.573388203017834e-07,2962.6453703703705,23.026904325808164,71.14481854484367
0.11,0.11,1.0,8.573388203017834e-07,2962.6453703703705,22.383608776870364,71.51961457623845
0.12,0.12,1.0,8.573388203017834e-07,2962.6453703703705,23.40394976042385,71.32005745826555
0.13,0.13,1.0,8.573388203017834e-07,2962.6453703703705,21.64404180756803,68.78261526872062
0.14,0.14,1.0,8.573388203017834e-07,2962.6453703703705,25.461332175829085,68.86112770181795
0.15,0.15,1.0,8.573388203017834e-07,2962.6453703703705,22.451381057588815,67.49170369676797
0.16,0.16,1.0,8.573388203017834e-07,2962.6453703703705,23.43541308332859,66.49408540338065
0.17,0.17,1.0,8.573388203017834e-07,2962.6453703703705,23.46622052377296,72.25162438096437
0.18,0.18,1.0,8.573388203017834e-07,2962.6453703703705,23.209933081827707,69.60500776942546
0.19,0.19,1.0,8.573388203017834e-07,2962.6453703703705,22.620443251635415,70.7958729957432
0.2,0.2,1.0,8.573388203017834e-07,2962.6453703703705,21.96053365036624,70.49337811289959
