m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,2962.6453703703705,23.81203414760728,70.1151742564427
0.01,0.01,0.9936587309970014,8.487654320987657e-07,2962.6453703703705,25.013453054589775,72.24067848661079
0.02,0.02,0.9872769935436304,8.40192043895748e-07,2962.6453703703705,23.713784610890535,66.35578024338899
0.03,0.03,0.9808542678008313,8.316186556927297e-07,2962.6453703703705,25.845247451348296,72.27153135584513
0.04,0.04,0.9743900238483449,8.230452674897117e-07,2962.6453703703705,24.297559285686344,72.28873244026087
0.05,0.05,0.9678837214223395,8.144718792866941e-07,2962.6453703703705,21.829199463983226,70.35214852870429
0.06,0.06,0.9613348096444502,8.058984910836764e-07,2962.6453703703705,25.899459739229428,73.44529913119938
0.07,0.07,0.9547427267418882,7.973251028806586e-07,2962.6453703703705,24.99931828109427,78.57280749607514
0.08,0.08,0.9481068997582622,7.887517146776405e-07,2962.6453703703705,24.5955225342836,75.13031244597042
0.09,0.09,0.9414267442547409,7.801783264746228e-07,2962.6453703703705,24.537541123637844,72.79729748777666
0.1,0.1,0.9347016640011662,7.716049382716049e-07,2962.6453703703705,24.70483153919057,73.58036489535333
0.11,0.11,0.9279310506567138,7.630315500685872e-07,2962.6453703703705,26.075181807267167,70.8646534441765
0.12,0.12,0.9211142834396617,7.544581618655695e-07,2962.6453703703705,24.216277726696884,73.69536488356997
0.13,0.13,0.9142507287858314,7.458847736625516e-07,2962.6453703703705,25.693517728734527,77.69614021967483
0.14,0.14,0.9073397399952268,7.373113854595336e-07,2962.6453703703705,24.491859835859948,73.90546802946238
0.15,0.15,0.9003806568663714,7.287379972565157e-07,2962.6453703703705,28.293862144738597,69.52481408254057
0.16,0.16,0.89337280531784,7.201646090534981e-07,2962.6453703703705,26.478026313456738,72.88401649514255
0.17,0.17,0.8863154969964301,7.115912208504803e-07,2962.6453703703705,25.49673445834655,75.31012459637533
0.18,0.18,0.8792080288714119,7.030178326474626e-07,2962.6453703703705,25.806627049261174,77.97616433914963
0.19,0.19,0.8720496828142519,6.944444444444448e-07,2962.6453703703705,26.53269045285223,77.06068343084726
0.2,0.2,0.86483972516319,6.858710562414266e-07,2962.6453703703705,27.587977271754724,83.6946906328941
0.21,0.21,0.8575774062720013,6.772976680384088e-07,2962.6453703703705,26.962458661286174,87.39339104990523
0.22,0.22,0.8502619600422529,6.68724279835391e-07,2962.6453703703705,27.222960942809973,87.38387653947142
0.23,0.23,0.8428926034383277,6.601508916323734e-07,2962.6453703703705,27.60255585720767,77.16303161446211
0.24,0.24,0.8354685359844455,6.515775034293553e-07,2962.6453703703705,29.86391041955693,85.92988645649865
0.25,0.25,0.8279889392428699,6.430041152263374e-07,2962.6453703703705,27.510332924787537,85.77210465121271
0.26,0.26,0.8204529762724546,6.344307270233195e-07,2962.6453703703705,27.59499847261287,90.93160124265242
0.27,0.27,0.8128597910666385,6.258573388203017e-07,2962.6453703703705,26.10350652589772,84.43523005526522
0.28,0.28,0.8052085079699279,6.172839506172841e-07,2962.6453703703705,30.061094212635403,87.8195735252224
0.29,0.29,0.797498231071897,6.08710562414266e-07,2962.6453703703705,28.79102792713757,83.69060474193617
0.3,0.3,0.7897280435776313,6.001371742112485e-07,2962.6453703703705,27.306573000746734,89.87891479949961
0.31,0.31,0.7818970071535288,5.915637860082305e-07,2962.6453703703705,27.630239279815257,89.52556044617775
0.32,0.32,0.77400416124728,5.829903978052127e-07,2962.6453703703705,28.330954149267797,90.37923181874469
0.33,0.33,0.7660485223807948,5.744170096021948e-07,2962.6453703703705,29.170333932110676,86.55362552022282
0.34,0.34,0.758029083414783,5.65843621399177e-07,2962.6453703703705,29.110817229767278,87.48369024073726
0.35,0.35,0.7499448127836005,5.572702331961592e-07,2962.6453703703705,30.957397063372976,93.2176993523447
0.36,0.36,0.7417946536989195,5.486968449931414e-07,2962.6453703703705,32.455745442362876,85.6320440478655
0.37,0.37,0.7335775233206772,5.401234567901236e-07,2962.6453703703705,32.913335610878214,95.06175112447926
0.38,0.38,0.7252923118936785,5.315500685871056e-07,2962.6453703703705,33.10394751530641,93.1033184339226
0.39,0.39,0.7169378818481357,5.22976680384088e-07,2962.6453703703705,33.56910650057763,95.39247919541302
0.4,0.4,0.7085130668623149,5.144032921810701e-07,2962.6453703703705,30.958704275715913,89.88018764315844
0.41,0.41,0.7000166708853597,5.058299039780522e-07,2962.6453703703705,33.977966482498395,98.65974033273943
0.42,0.42,0.6914474671182481,4.972565157750344e-07,2962.6453703703705,32.833767591875194,98.17385066785741
0.43,0.43,0.6828041969507084,4.886831275720165e-07,2962.6453703703705,34.02524006225034,103.2663507794076
0.44,0.44,0.6740855688517897,4.801097393689987e-07,2962.6453703703705,33.30918095168988,97.09815214313961
0.45,0.45,0.6652902572116409,4.71536351165981e-07,2962.6453703703705,33.205840761800644,104.40246500311562
0.46,0.46,0.6564169011319041,4.629629629629629e-07,2962.6453703703705,37.96279665073683,99.74648987262586
0.47,0.47,0.6474641031619576,4.543895747599452e-07,2962.6453703703705,34.58307058214841,98.98335027283235
0.48,0.48,0.6384304279780763,4.458161865569275e-07,2962.6453703703705,34.86785803055965,108.07986098464801
0.49,0.49,0.6293144010023839,4.372427983539095e-07,2962.6453703703705,32.39705363278736,106.61639228766603
0.5,0.5,0.6201145069582774,4.286694101508917e-07,2962.6453703703705,39.7953391215524,100.39464895272212
0.51,0.51,0.6108291883587842,4.20096021947874e-07,2962.6453703703705,35.34717887910866,105.92631706626501
0.52,0.52,0.6014568439240734,4.1152263374485583e-07,2962.6453703703705,37.93292361539902,110.42051837543754
0.53,0.53,0.5919958269241085,4.029492455418382e-07,2962.6453703703705,39.06165222072073,109.30222167954541
